"","auth","piece","line"
"0","akutagawa","sagito_oshidori.txt","鷺と鴛鴦"
"1","akutagawa","sagito_oshidori.txt","芥川龍之介"
"2","akutagawa","sagito_oshidori.txt",""
"3","akutagawa","sagito_oshidori.txt","-------------------------------------------------------"
"4","akutagawa","sagito_oshidori.txt","【テキスト中に現れる記号について】"
"5","akutagawa","sagito_oshidori.txt",""
"6","akutagawa","sagito_oshidori.txt","《》：ルビ"
"7","akutagawa","sagito_oshidori.txt","（例）銀座"
"8","akutagawa","sagito_oshidori.txt",""
"9","akutagawa","sagito_oshidori.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","sagito_oshidori.txt","（例）二三年｜前"
"11","akutagawa","sagito_oshidori.txt",""
"12","akutagawa","sagito_oshidori.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","sagito_oshidori.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","sagito_oshidori.txt","（例）※"
"15","akutagawa","sagito_oshidori.txt","-------------------------------------------------------"
"16","akutagawa","sagito_oshidori.txt",""
"17","akutagawa","sagito_oshidori.txt","二三年｜前の夏である。"
"18","akutagawa","sagito_oshidori.txt","僕は銀座を歩いてゐるうちに二人の女を発見した。"
"19","akutagawa","sagito_oshidori.txt","それも唯の女ではない。"
"20","akutagawa","sagito_oshidori.txt","はつと思ふほど後ろ姿の好い二人の女を発見したのである。"
"21","akutagawa","sagito_oshidori.txt",""
"22","akutagawa","sagito_oshidori.txt","一人は鷺のやうにすらりとしてゐる。"
"23","akutagawa","sagito_oshidori.txt","もう一人は――この説明はちよつと面倒である。"
"24","akutagawa","sagito_oshidori.txt","古来姿の好いと云ふのは揚肥よりも趙痩を指したものらしい。"
"25","akutagawa","sagito_oshidori.txt","が、もう一人は肥つてゐる。"
"26","akutagawa","sagito_oshidori.txt","中肉以上に肥つてゐる。"
"27","akutagawa","sagito_oshidori.txt","けれども体の吊り合ひは少しもその為に損はれてゐない。"
"28","akutagawa","sagito_oshidori.txt","殊に腰を振るやうに悠々と足を運ぶ容子は鴛鴦のやうに立派である。"
"29","akutagawa","sagito_oshidori.txt","対の縞あかしか何かの着物にやはり対の絽の帯をしめ、当時流行の網をかけた対のパラソルをした所を見ると、或は姉さんに妹かも知れない。"
"30","akutagawa","sagito_oshidori.txt","僕は丁度この二人をモデル台の上へ立たせたやうに、あらゆる面と線とを鑑賞した。"
"31","akutagawa","sagito_oshidori.txt","由来夏の女の姿は着てゐるものの薄い為に、――そんなことは三十年｜前から何度も婦人雑誌に書かれてゐる。"
"32","akutagawa","sagito_oshidori.txt",""
"33","akutagawa","sagito_oshidori.txt","僕はなほ念の為にこの二人を通り越しながら、ちらりと顔を物色した。"
"34","akutagawa","sagito_oshidori.txt","確かにこの二人は姉妹である。"
"35","akutagawa","sagito_oshidori.txt","のみならずどちらも同じやうにスペイド形の髪に結つた二十前後の美人である。"
"36","akutagawa","sagito_oshidori.txt","唯｜鴛鴦は鷺よりも幾分か器量は悪いかも知れない。"
"37","akutagawa","sagito_oshidori.txt","僕はそれぎりこの二人を忘れ、ぶらぶら往来を歩いて行つた。"
"38","akutagawa","sagito_oshidori.txt","往来は前にも云つた通り、夏の日の照りつけた銀座である。"
"39","akutagawa","sagito_oshidori.txt","僕の彼等を忘れたのは必ずしも僕に内在する抒情詩的素質の足りない為ではない。"
"40","akutagawa","sagito_oshidori.txt","寧ろハンケチに汗をふいたり、夏帽子を扇の代りにしたり、爍金の暑と闘ふ為に心力を費してゐたからである。"
"41","akutagawa","sagito_oshidori.txt",""
"42","akutagawa","sagito_oshidori.txt","しかし彼是十分の後、銀座四丁目から電車に乗ると、直に又彼等も同じ電車へ姿を現したのは奇遇である。"
"43","akutagawa","sagito_oshidori.txt","電車はこみ合つてはゐなかつたものの、空席はやつと一つしかない。"
"44","akutagawa","sagito_oshidori.txt","しかもその空席のあるのは丁度僕の右鄰である。"
"45","akutagawa","sagito_oshidori.txt","鷺は姉さん相当にそつと右鄰へ腰を下した。"
"46","akutagawa","sagito_oshidori.txt","鴛鴦は勿論｜姉の前の吊り革に片手を托してゐる。"
"47","akutagawa","sagito_oshidori.txt","僕は持つてゐた本をひろげ、夏読まずとも暑苦しいマハトマ・ガンデイ伝を征服し出した。"
"48","akutagawa","sagito_oshidori.txt","いや、征服し出したのではない。"
"49","akutagawa","sagito_oshidori.txt","征服し出さうと思つただけである。"
"50","akutagawa","sagito_oshidori.txt","僕は電車の動きはじめる拍子に、鴛鴦の一足よろめいたのを見ると、忽ち如何なる紳士よりも慇懃に鴛鴦へ席を譲つた。"
"51","akutagawa","sagito_oshidori.txt","同時に彼等の感謝するのを待たず、さつさと其処から遠ざかつてしまつた。"
"52","akutagawa","sagito_oshidori.txt","利己主義者を以て任ずる僕の自己犠牲を行つたのは偶然ではない。"
"53","akutagawa","sagito_oshidori.txt","鴛鴦は顔を下から見ると、長ながと鼻毛を伸してゐる。"
"54","akutagawa","sagito_oshidori.txt","鷺も亦無精をきめてゐるのか、髪の臭さは一通りではない。"
"55","akutagawa","sagito_oshidori.txt","それ等はまだ好いとしても、彼等の熱心に話してゐたのはメンスラテイオンか何かに関する臨床医科的の事実である。"
"56","akutagawa","sagito_oshidori.txt",""
"57","akutagawa","sagito_oshidori.txt","爾来「夏の女の姿」は不幸にも僕には惨憺たる幻滅の象徴になつてゐる。"
"58","akutagawa","sagito_oshidori.txt","日盛りの銀座の美人などは如何に嬋娟窈窕としてゐても、うつかり敬意を表するものではない。"
"59","akutagawa","sagito_oshidori.txt","少くとも敬意を表する前には※だけでも嗅いで見るものである。"
"60","akutagawa","sagito_oshidori.txt","……"
"61","akutagawa","sagito_oshidori.txt","（大正十三年六月）"
"62","akutagawa","sagito_oshidori.txt",""
"63","akutagawa","sagito_oshidori.txt",""
