"","auth","piece","line"
"0","akutagawa","saigo_takamori.txt","西郷隆盛"
"1","akutagawa","saigo_takamori.txt","芥川龍之介"
"2","akutagawa","saigo_takamori.txt",""
"3","akutagawa","saigo_takamori.txt","-------------------------------------------------------"
"4","akutagawa","saigo_takamori.txt","【テキスト中に現れる記号について】"
"5","akutagawa","saigo_takamori.txt",""
"6","akutagawa","saigo_takamori.txt","《》：ルビ"
"7","akutagawa","saigo_takamori.txt","（例）本間"
"8","akutagawa","saigo_takamori.txt",""
"9","akutagawa","saigo_takamori.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","saigo_takamori.txt","（例）広さ十｜囲"
"11","akutagawa","saigo_takamori.txt",""
"12","akutagawa","saigo_takamori.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","saigo_takamori.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","saigo_takamori.txt","（例）※"
"15","akutagawa","saigo_takamori.txt","-------------------------------------------------------"
"16","akutagawa","saigo_takamori.txt",""
"17","akutagawa","saigo_takamori.txt","これは自分より二三年前に、大学の史学科を卒業した本間さんの話である。"
"18","akutagawa","saigo_takamori.txt","本間さんが維新史に関する、二三興味ある論文の著者だと云う事は、知っている人も多いであろう。"
"19","akutagawa","saigo_takamori.txt","僕は昨年の冬鎌倉へ転居する、丁度一週間ばかり前に、本間さんと一しょに飯を食いに行って、偶然この話を聞いた。"
"20","akutagawa","saigo_takamori.txt",""
"21","akutagawa","saigo_takamori.txt","それがどう云うものか、この頃になっても、僕の頭を離れない。"
"22","akutagawa","saigo_takamori.txt","そこで僕は今、この話を書く事によって、新小説の編輯者に対する僕の寄稿の責を完うしようと思う。"
"23","akutagawa","saigo_takamori.txt","もっとも後になって聞けば、これは「本間さんの西郷隆盛」と云って、友人間には有名な話の一つだそうである。"
"24","akutagawa","saigo_takamori.txt","して見ればこの話もある社会には存外もう知られている事かも知れない。"
"25","akutagawa","saigo_takamori.txt",""
"26","akutagawa","saigo_takamori.txt","本間さんはこの話をした時に、「真偽の判断は聞く人の自由です」と云った。"
"27","akutagawa","saigo_takamori.txt","本間さんさえ主張しないものを、僕は勿論主張する必要がない。"
"28","akutagawa","saigo_takamori.txt","まして読者はただ、古い新聞の記事を読むように、漫然と行を追って、読み下してさえくれれば、よいのである。"
"29","akutagawa","saigo_takamori.txt",""
"30","akutagawa","saigo_takamori.txt",""
"31","akutagawa","saigo_takamori.txt","―――――――――――――――――――――――――"
"32","akutagawa","saigo_takamori.txt",""
"33","akutagawa","saigo_takamori.txt","かれこれ七八年も前にもなろうか。"
"34","akutagawa","saigo_takamori.txt","丁度三月の下旬で、もうそろそろ清水の一重桜が咲きそうな――と云っても、まだ霙まじりの雨がふる、ある寒さのきびしい夜の事である。"
"35","akutagawa","saigo_takamori.txt","当時大学の学生だった本間さんは、午後九時何分かに京都を発した急行の上り列車の食堂で、白葡萄酒のコップを前にしながら、ぼんやりＭ・Ｃ・Ｃの煙をふかしていた。"
"36","akutagawa","saigo_takamori.txt","さっき米原を通り越したから、もう岐阜県の境に近づいているのに相違ない。"
"37","akutagawa","saigo_takamori.txt","硝子窓から外を見ると、どこも一面にまっ暗である。"
"38","akutagawa","saigo_takamori.txt","時々小さい火の光りが流れるように通りすぎるが、それも遠くの家の明りだか、汽車の煙突から出る火花だか判然しない。"
"39","akutagawa","saigo_takamori.txt","その中でただ、窓をたたく、凍りかかった雨の音が、騒々しい車輪の音に単調な響を交している。"
"40","akutagawa","saigo_takamori.txt",""
"41","akutagawa","saigo_takamori.txt","本間さんは、一週間ばかり前から春期休暇を利用して、維新前後の史料を研究かたがた、独りで京都へ遊びに来た。"
"42","akutagawa","saigo_takamori.txt","が、来て見ると、調べたい事もふえて来れば、行って見たい所もいろいろある。"
"43","akutagawa","saigo_takamori.txt","そこで何かと忙しい思をしている中に、いつか休暇も残少なになった。"
"44","akutagawa","saigo_takamori.txt","新学期の講義の始まるのにも、もうあまり時間はない。"
"45","akutagawa","saigo_takamori.txt","そう思うと、いくら都踊りや保津川下りに未練があっても、便々と東山を眺めて、日を暮しているのは、気が咎める。"
"46","akutagawa","saigo_takamori.txt","本間さんはとうとう思い切って、雨が降るのに荷拵えが出来ると、俵屋の玄関から俥を駆って、制服制帽の甲斐甲斐しい姿を、七条の停車場へ運ばせる事にした。"
"47","akutagawa","saigo_takamori.txt",""
"48","akutagawa","saigo_takamori.txt","ところが乗って見ると、二等列車の中は身動きも出来ないほどこんでいる。"
"49","akutagawa","saigo_takamori.txt","ボオイが心配してくれたので、やっと腰を下す空地が見つかったが、それではどうも眠れそうもない。"
"50","akutagawa","saigo_takamori.txt","そうかと云って寝台は、勿論皆売切れている。"
"51","akutagawa","saigo_takamori.txt","本間さんはしばらく、腰の広さ十｜囲に余る酒臭い陸軍将校と、眠りながら歯ぎしりをするどこかの令夫人との間にはさまって、出来るだけ肩をすぼめながら、青年らしい、とりとめのない空想に耽っていた。"
"52","akutagawa","saigo_takamori.txt","が、その中に追々空想も種切れになってしまう。"
"53","akutagawa","saigo_takamori.txt","それから強隣の圧迫も、次第に甚しくなって来るらしい。"
"54","akutagawa","saigo_takamori.txt","そこで本間さんは已むを得ず、立った後の空地へ制帽を置いて、一つ前に連結してある食堂車の中へ避難した。"
"55","akutagawa","saigo_takamori.txt",""
"56","akutagawa","saigo_takamori.txt","食堂車の中はがらんとして、客はたった一人しかいない。"
"57","akutagawa","saigo_takamori.txt","本間さんはそれから一番遠いテエブルへ行って、白葡萄酒を一杯云いつけた。"
"58","akutagawa","saigo_takamori.txt","実は酒を飲みたい訳でも何でもない。"
"59","akutagawa","saigo_takamori.txt","ただ、眠くなるまでの時間さえ、つぶす事が出来ればよいのである。"
"60","akutagawa","saigo_takamori.txt","だから無愛想なウェエタアが琥珀のような酒の杯を、彼の前へ置いて行った後でも、それにはちょいと唇を触れたばかりで、すぐにＭ・Ｃ・Ｃへ火をつけた。"
"61","akutagawa","saigo_takamori.txt","煙草の煙は小さな青い輪を重ねて、明い電燈の光の中へ、悠々とのぼって行く。"
