"","auth","piece","line"
"0","akutagawa","saihono_hito.txt","西方の人"
"1","akutagawa","saihono_hito.txt","芥川龍之介"
"2","akutagawa","saihono_hito.txt",""
"3","akutagawa","saihono_hito.txt","-------------------------------------------------------"
"4","akutagawa","saihono_hito.txt","【テキスト中に現れる記号について】"
"5","akutagawa","saihono_hito.txt",""
"6","akutagawa","saihono_hito.txt","《》：ルビ"
"7","akutagawa","saihono_hito.txt","（例）彼是"
"8","akutagawa","saihono_hito.txt",""
"9","akutagawa","saihono_hito.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","saihono_hito.txt","（例）木下｜杢太郎"
"11","akutagawa","saihono_hito.txt",""
"12","akutagawa","saihono_hito.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","saihono_hito.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","akutagawa","saihono_hito.txt","（例）※"
"15","akutagawa","saihono_hito.txt",""
"16","akutagawa","saihono_hito.txt","〔〕：アクセント分解された欧文をかこむ"
"17","akutagawa","saihono_hito.txt","（例）〔Pie'ta〕"
"18","akutagawa","saihono_hito.txt","アクセント分解についての詳細は下記URLを参照してください"
"19","akutagawa","saihono_hito.txt","http://www.aozora.gr.jp/accent_separation.html"
"20","akutagawa","saihono_hito.txt","-------------------------------------------------------"
"21","akutagawa","saihono_hito.txt",""
"22","akutagawa","saihono_hito.txt","１この人を見よ"
"23","akutagawa","saihono_hito.txt",""
"24","akutagawa","saihono_hito.txt","わたしは彼是十年ばかり前に芸術的にクリスト教を――殊にカトリツク教を愛してゐた。"
"25","akutagawa","saihono_hito.txt","長崎の「日本の聖母の寺」は未だに私の記憶に残つてゐる。"
"26","akutagawa","saihono_hito.txt","かう云ふわたしは北原白秋氏や木下｜杢太郎氏の播いた種をせつせと拾つてゐた鴉に過ぎない。"
"27","akutagawa","saihono_hito.txt","それから又何年か前にはクリスト教の為に殉じたクリスト教徒たちに或興味を感じてゐた。"
"28","akutagawa","saihono_hito.txt","殉教者の心理はわたしにはあらゆる狂信者の心理のやうに病的な興味を与へたのである。"
"29","akutagawa","saihono_hito.txt","わたしはやつとこの頃になつて四人の伝記作者のわたしたちに伝へたクリストと云ふ人を愛し出した。"
"30","akutagawa","saihono_hito.txt","クリストは今日のわたしには行路の人のやうに見ることは出来ない。"
"31","akutagawa","saihono_hito.txt","それは或は紅毛人たちは勿論、今日の青年たちには笑はれるであらう。"
"32","akutagawa","saihono_hito.txt","しかし十九世紀の末に生まれたわたしは彼等のもう見るのに飽きた、――寧ろ倒すことをためらはない十字架に目を注ぎ出したのである。"
"33","akutagawa","saihono_hito.txt","日本に生まれた「わたしのクリスト」は必しもガリラヤの湖を眺めてゐない。"
"34","akutagawa","saihono_hito.txt","赤あかと実のつた柿の木の下に長崎の入江も見えてゐるのである。"
"35","akutagawa","saihono_hito.txt","従つてわたしは歴史的事実や地理的事実を顧みないであらう。"
"36","akutagawa","saihono_hito.txt","（それは少くともジヤアナリステイツクには困難を避ける為ではない。"
"37","akutagawa","saihono_hito.txt","若し真面目に構へようとすれば、五六冊のクリスト伝は容易にこの役をはたしてくれるのである。"
"38","akutagawa","saihono_hito.txt","）それからクリストの一言一行を忠実に挙げてゐる余裕もない。"
"39","akutagawa","saihono_hito.txt","わたしは唯わたしの感じた通りに「わたしのクリスト」を記すのである。"
"40","akutagawa","saihono_hito.txt","厳しい日本のクリスト教徒も売文の徒の書いたクリストだけは恐らくは大目に見てくれるであらう。"
