"","auth","piece","line"
"0","akutagawa","samusa.txt","寒さ"
"1","akutagawa","samusa.txt","芥川龍之介"
"2","akutagawa","samusa.txt",""
"3","akutagawa","samusa.txt","-------------------------------------------------------"
"4","akutagawa","samusa.txt","【テキスト中に現れる記号について】"
"5","akutagawa","samusa.txt",""
"6","akutagawa","samusa.txt","《》：ルビ"
"7","akutagawa","samusa.txt","（例）ある雪上りの午前だった"
"8","akutagawa","samusa.txt",""
"9","akutagawa","samusa.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","samusa.txt","（例）第一｜家を持つとしても"
"11","akutagawa","samusa.txt",""
"12","akutagawa","samusa.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","samusa.txt","（例）家内"
"14","akutagawa","samusa.txt","-------------------------------------------------------"
"15","akutagawa","samusa.txt",""
"16","akutagawa","samusa.txt","ある雪上りの午前だった。"
"17","akutagawa","samusa.txt","保吉は物理の教官室の椅子にストオヴの火を眺めていた。"
"18","akutagawa","samusa.txt","ストオヴの火は息をするように、とろとろと黄色に燃え上ったり、どす黒い灰燼に沈んだりした。"
"19","akutagawa","samusa.txt","それは室内に漂う寒さと戦いつづけている証拠だった。"
"20","akutagawa","samusa.txt","保吉はふと地球の外の宇宙的寒冷を想像しながら、赤あかと熱した石炭に何か同情に近いものを感じた。"
"21","akutagawa","samusa.txt",""
"22","akutagawa","samusa.txt","「堀川君。"
"23","akutagawa","samusa.txt","」"
"24","akutagawa","samusa.txt","保吉はストオヴの前に立った宮本と云う理学士の顔を見上げた。"
"25","akutagawa","samusa.txt","近眼鏡をかけた宮本はズボンのポケットへ手を入れたまま、口髭の薄い唇に人の好い微笑を浮べていた。"
"26","akutagawa","samusa.txt",""
"27","akutagawa","samusa.txt","「堀川君。"
"28","akutagawa","samusa.txt","君は女も物体だと云うことを知っているかい？」"
"29","akutagawa","samusa.txt","「動物だと云うことは知っているが。"
"30","akutagawa","samusa.txt","」"
"31","akutagawa","samusa.txt","「動物じゃない。"
"32","akutagawa","samusa.txt","物体だよ。"
"33","akutagawa","samusa.txt","――こいつは僕も苦心の結果、最近発見した真理なんだがね。"
"34","akutagawa","samusa.txt","」"
"35","akutagawa","samusa.txt","「堀川さん、宮本さんの云うことなどを真面目に聞いてはいけませんよ。"
"36","akutagawa","samusa.txt","」"
"37","akutagawa","samusa.txt","これはもう一人の物理の教官、――長谷川と云う理学士の言葉だった。"
"38","akutagawa","samusa.txt","保吉は彼をふり返った。"
"39","akutagawa","samusa.txt","長谷川は保吉の後ろの机に試験の答案を調べかけたなり、額の禿げ上った顔中に当惑そうな薄笑いを漲らせていた。"
"40","akutagawa","samusa.txt",""
"41","akutagawa","samusa.txt","「こりゃ怪しからん。"
"42","akutagawa","samusa.txt","僕の発見は長谷川君を大いに幸福にしているはずじゃないか？――堀川君、君は伝熱作用の法則を知っているかい？」"
"43","akutagawa","samusa.txt","「デンネツ？電気の熱か何かかい？」"
"44","akutagawa","samusa.txt","「困るなあ、文学者は。"
"45","akutagawa","samusa.txt","」"
"46","akutagawa","samusa.txt","宮本はそう云う間にも、火の気の映ったストオヴの口へ一杯の石炭を浚いこんだ。"
"47","akutagawa","samusa.txt",""
"48","akutagawa","samusa.txt","「温度の異なる二つの物体を互に接触せしめるとだね、熱は高温度の物体から低温度の物体へ、両者の温度の等しくなるまで、ずっと移動をつづけるんだ。"
"49","akutagawa","samusa.txt","」"
"50","akutagawa","samusa.txt","「当り前じゃないか、そんなことは？」"
"51","akutagawa","samusa.txt","「それを伝熱作用の法則と云うんだよ。"
"52","akutagawa","samusa.txt","さて女を物体とするね。"
"53","akutagawa","samusa.txt","好いかい？もし女を物体とすれば、男も勿論物体だろう。"
"54","akutagawa","samusa.txt","すると恋愛は熱に当る訣だね。"
"55","akutagawa","samusa.txt","今この男女を接触せしめると、恋愛の伝わるのも伝熱のように、より逆上した男からより逆上していない女へ、両者の恋愛の等しくなるまで、ずっと移動をつづけるはずだろう。"
"56","akutagawa","samusa.txt","長谷川君の場合などは正にそうだね。"
"57","akutagawa","samusa.txt","……」"
"58","akutagawa","samusa.txt","「そおら、はじまった。"
"59","akutagawa","samusa.txt","」"
"60","akutagawa","samusa.txt","長谷川はむしろ嬉しそうに、擽られる時に似た笑い声を出した。"
"61","akutagawa","samusa.txt",""
"62","akutagawa","samusa.txt","「今Ｓなる面積を通し、Ｔ時間内に移る熱量をＥとするね。"
"63","akutagawa","samusa.txt","すると――好いかい？Ｈは温度、Ｘは熱伝導の方面に計った距離、Ｋは物質により一定されたる熱伝導率だよ。"
"64","akutagawa","samusa.txt","すると長谷川君の場合はだね。"
"65","akutagawa","samusa.txt","……」"
"66","akutagawa","samusa.txt","宮本は小さい黒板へ公式らしいものを書きはじめた。"
"67","akutagawa","samusa.txt","が、突然ふり返ると、さもがっかりしたように白墨の欠を抛り出した。"
"68","akutagawa","samusa.txt",""
"69","akutagawa","samusa.txt","「どうも素人の堀川君を相手じゃ、せっかくの発見の自慢も出来ない。"
"70","akutagawa","samusa.txt","――とにかく長谷川君の許嫁なる人は公式通りにのぼせ出したようだ。"
"71","akutagawa","samusa.txt","」"
"72","akutagawa","samusa.txt","「実際そう云う公式がありゃ、世の中はよっぽど楽になるんだが。"
"73","akutagawa","samusa.txt","」"
"74","akutagawa","samusa.txt","保吉は長ながと足をのばし、ぼんやり窓の外の雪景色を眺めた。"
"75","akutagawa","samusa.txt","この物理の教官室は二階の隅に当っているため、体操器械のあるグラウンドや、グラウンドの向うの並松や、そのまた向うの赤煉瓦の建物を一目に見渡すのも容易だった。"
"76","akutagawa","samusa.txt","海も――海は建物と建物との間に薄暗い波を煙らせていた。"
"77","akutagawa","samusa.txt",""
"78","akutagawa","samusa.txt","「その代りに文学者は上ったりだぜ。"
"79","akutagawa","samusa.txt","――どうだい、この間出した本の売れ口は？」"
"80","akutagawa","samusa.txt","「不相変ちっとも売れないね。"
"81","akutagawa","samusa.txt","作者と読者との間には伝熱作用も起らないようだ。"
"82","akutagawa","samusa.txt","――時に長谷川君の結婚はまだなんですか？」"
"83","akutagawa","samusa.txt","「ええ、もう一月ばかりになっているんですが、――その用もいろいろあるものですから、勉強の出来ないのに弱っています。"
"84","akutagawa","samusa.txt","」"
"85","akutagawa","samusa.txt","「勉強も出来ないほど待ち遠しいかね。"
"86","akutagawa","samusa.txt","」"
"87","akutagawa","samusa.txt","「宮本さんじゃあるまいし、第一｜家を持つとしても、借家のないのに弱っているんです。"
"88","akutagawa","samusa.txt","現にこの前の日曜などにはあらかた市中を歩いて見ました。"
"89","akutagawa","samusa.txt","けれどもたまに明いていたと思うと、ちゃんともう約定済みになっているんですからね。"
"90","akutagawa","samusa.txt","」"
"91","akutagawa","samusa.txt","「僕の方じゃいけないですか？毎日学校へ通うのに汽車へ乗るのさえかまわなければ。"
"92","akutagawa","samusa.txt","」"
"93","akutagawa","samusa.txt","「あなたの方じゃ少し遠すぎるんです。"
"94","akutagawa","samusa.txt","あの辺は借家もあるそうですね、家内はあの辺を希望しているんですが――おや、堀川さん。"
"95","akutagawa","samusa.txt","靴が焦げやしませんか？」"
"96","akutagawa","samusa.txt","保吉の靴はいつのまにかストオヴの胴に触れていたと見え、革の焦げる臭気と共にもやもや水蒸気を昇らせていた。"
"97","akutagawa","samusa.txt",""
"98","akutagawa","samusa.txt","「それも君、やっぱり伝熱作用だよ。"
"99","akutagawa","samusa.txt","」"
"100","akutagawa","samusa.txt","宮本は眼鏡を拭いながら、覚束ない近眼の額ごしににやりと保吉へ笑いかけた。"
"101","akutagawa","samusa.txt",""
"102","akutagawa","samusa.txt",""
"103","akutagawa","samusa.txt","×××"
"104","akutagawa","samusa.txt",""
"105","akutagawa","samusa.txt","それから四五日たった後、――ある霜曇りの朝だった。"
"106","akutagawa","samusa.txt","保吉は汽車を捉えるため、ある避暑地の町はずれを一生懸命に急いでいた。"
"107","akutagawa","samusa.txt","路の右は麦畑、左は汽車の線路のある二間ばかりの堤だった。"
"108","akutagawa","samusa.txt","人っ子一人いない麦畑はかすかな物音に充ち満ちていた。"
"109","akutagawa","samusa.txt","それは誰か麦の間を歩いている音としか思われなかった、しかし事実は打ち返された土の下にある霜柱のおのずから崩れる音らしかった。"
"110","akutagawa","samusa.txt",""
"111","akutagawa","samusa.txt","その内に八時の上り列車は長い汽笛を鳴らしながら、余り速力を早めずに堤の上を通り越した。"
"112","akutagawa","samusa.txt","保吉の捉える下り列車はこれよりも半時間遅いはずだった。"
"113","akutagawa","samusa.txt","彼は時計を出して見た。"
"114","akutagawa","samusa.txt","しかし時計はどうしたのか、八時十五分になりかかっていた。"
"115","akutagawa","samusa.txt","彼はこの時刻の相違を時計の罪だと解釈した。"
"116","akutagawa","samusa.txt","「きょうは乗り遅れる心配はない。"
"117","akutagawa","samusa.txt","」――そんなことも勿論思ったりした。"
"118","akutagawa","samusa.txt","路に隣った麦畑はだんだん生垣に変り出した。"
"119","akutagawa","samusa.txt","保吉は「朝日」を一本つけ、前よりも気楽に歩いて行った。"
"120","akutagawa","samusa.txt",""
"121","akutagawa","samusa.txt","石炭殻などを敷いた路は爪先上りに踏切りへ出る、――そこへ何気なしに来た時だった。"
"122","akutagawa","samusa.txt","保吉は踏切りの両側に人だかりのしているのを発見した。"
"123","akutagawa","samusa.txt","轢死だなとたちまち考えもした。"
"124","akutagawa","samusa.txt","幸い踏切りの柵の側に、荷をつけた自転車を止めているのは知り合いの肉屋の小僧だった。"
"125","akutagawa","samusa.txt","保吉は巻煙草を持った手に、後ろから小僧の肩を叩いた。"
"126","akutagawa","samusa.txt",""
"127","akutagawa","samusa.txt","「おい、どうしたんだい？」"
"128","akutagawa","samusa.txt","「轢かれたんです。"
"129","akutagawa","samusa.txt","今の上りに轢かれたんです。"
"130","akutagawa","samusa.txt","」"
"131","akutagawa","samusa.txt","小僧は早口にこう云った。"
"132","akutagawa","samusa.txt","兎の皮の耳袋をした顔も妙に生き生きと赫いていた。"
"133","akutagawa","samusa.txt",""
"134","akutagawa","samusa.txt","「誰が轢かれたんだい？」"
"135","akutagawa","samusa.txt","「踏切り番です。"
"136","akutagawa","samusa.txt","学校の生徒の轢かれそうになったのを助けようと思って轢かれたんです。"
"137","akutagawa","samusa.txt","ほら、八幡前に永井って本屋があるでしょう？あすこの女の子が轢かれる所だったんです。"
"138","akutagawa","samusa.txt","」"
"139","akutagawa","samusa.txt","「その子供は助かったんだね？」"
"140","akutagawa","samusa.txt","「ええ、あすこに泣いているのがそうです。"
"141","akutagawa","samusa.txt","」"
"142","akutagawa","samusa.txt","「あすこ」というのは踏切りの向う側にいる人だかりだった。"
"143","akutagawa","samusa.txt","なるほど、そこには女の子が一人、巡査に何か尋ねられていた。"
"144","akutagawa","samusa.txt","その側には助役らしい男も時々巡査と話したりしていた。"
"145","akutagawa","samusa.txt","踏切り番は――保吉は踏切り番の小屋の前に菰をかけた死骸を発見した。"
"146","akutagawa","samusa.txt","それは嫌悪を感じさせると同時に好奇心を感じさせるのも事実だった。"
"147","akutagawa","samusa.txt","菰の下からは遠目にも両足の靴だけ見えるらしかった。"
"148","akutagawa","samusa.txt",""
"149","akutagawa","samusa.txt","「死骸はあの人たちが持って行ったんです。"
"150","akutagawa","samusa.txt","」"
"151","akutagawa","samusa.txt","こちら側のシグナルの柱の下には鉄道｜工夫が二三人、小さい焚火を囲んでいた。"
"152","akutagawa","samusa.txt","黄いろい炎をあげた焚火は光も煙も放たなかった。"
"153","akutagawa","samusa.txt","それだけにいかにも寒そうだった。"
"154","akutagawa","samusa.txt","工夫の一人はその焚火に半ズボンの尻を炙っていた。"
"155","akutagawa","samusa.txt",""
"156","akutagawa","samusa.txt","保吉は踏切りを通り越しにかかった。"
"157","akutagawa","samusa.txt","線路は停車場に近いため、何本も踏切りを横ぎっていた。"
"158","akutagawa","samusa.txt","彼はその線路を越える度に、踏切り番の轢かれたのはどの線路だったろうと思い思いした。"
"159","akutagawa","samusa.txt","が、どの線路だったかは直に彼の目にも明らかになった。"
"160","akutagawa","samusa.txt","血はまだ一条の線路の上に二三分｜前の悲劇を語っていた。"
"161","akutagawa","samusa.txt","彼はほとんど、反射的に踏切の向う側へ目を移した。"
"162","akutagawa","samusa.txt","しかしそれは無効だった。"
"163","akutagawa","samusa.txt","冷やかに光った鉄の面にどろりと赤いもののたまっている光景ははっと思う瞬間に、鮮かに心へ焼きついてしまった。"
"164","akutagawa","samusa.txt","のみならずその血は線路の上から薄うすと水蒸気さえ昇らせていた。"
"165","akutagawa","samusa.txt","……"
"166","akutagawa","samusa.txt","十分の後、保吉は停車場のプラットフォオムに落着かない歩みをつづけていた。"
"167","akutagawa","samusa.txt","彼の頭は今しがた見た、気味の悪い光景に一ぱいだった。"
"168","akutagawa","samusa.txt","殊に血から立ち昇っている水蒸気ははっきり目についていた。"
"169","akutagawa","samusa.txt","彼はこの間話し合った伝熱作用のことを思い出した。"
"170","akutagawa","samusa.txt","血の中に宿っている生命の熱は宮本の教えた法則通り、一分一厘の狂いもなしに刻薄に線路へ伝わっている。"
"171","akutagawa","samusa.txt","そのまた生命は誰のでも好い、職に殉じた踏切り番でも重罪犯人でも同じようにやはり刻薄に伝わっている。"
"172","akutagawa","samusa.txt","――そういう考えの意味のないことは彼にも勿論わかっていた。"
"173","akutagawa","samusa.txt","孝子でも水には溺れなければならぬ、節婦でも火には焼かれるはずである。"
"174","akutagawa","samusa.txt","――彼はこう心の中に何度も彼自身を説得しようとした。"
"175","akutagawa","samusa.txt","しかし目のあたりに見た事実は容易にその論理を許さぬほど、重苦しい感銘を残していた。"
"176","akutagawa","samusa.txt",""
"177","akutagawa","samusa.txt","けれどもプラットフォオムの人々は彼の気もちとは没交渉にいずれも、幸福らしい顔をしていた。"
"178","akutagawa","samusa.txt","保吉はそれにも苛立たしさを感じた。"
"179","akutagawa","samusa.txt","就中海軍の将校たちの大声に何か話しているのは肉体的に不快だった。"
"180","akutagawa","samusa.txt","彼は二本目の「朝日」に火をつけ、プラットフォオムの先へ歩いて行った。"
"181","akutagawa","samusa.txt","そこは線路の二三町先にあの踏切りの見える場所だった。"
"182","akutagawa","samusa.txt","踏切りの両側の人だかりもあらかた今は散じたらしかった。"
"183","akutagawa","samusa.txt","ただ、シグナルの柱の下には鉄道工夫の焚火が一点、黄いろい炎を動かしていた。"
"184","akutagawa","samusa.txt",""
"185","akutagawa","samusa.txt","保吉はその遠い焚火に何か同情に似たものを感じた。"
"186","akutagawa","samusa.txt","が、踏切りの見えることはやはり不安には違いなかった。"
