"","auth","piece","line"
"0","akutagawa","sarano_hana.txt","沙羅の花"
"1","akutagawa","sarano_hana.txt","芥川龍之介"
"2","akutagawa","sarano_hana.txt",""
"3","akutagawa","sarano_hana.txt","-------------------------------------------------------"
"4","akutagawa","sarano_hana.txt","【テキスト中に現れる記号について】"
"5","akutagawa","sarano_hana.txt",""
"6","akutagawa","sarano_hana.txt","《》：ルビ"
"7","akutagawa","sarano_hana.txt","（例）沙羅木"
"8","akutagawa","sarano_hana.txt",""
"9","akutagawa","sarano_hana.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","akutagawa","sarano_hana.txt","（例）"
"11","akutagawa","sarano_hana.txt","-------------------------------------------------------"
"12","akutagawa","sarano_hana.txt",""
"13","akutagawa","sarano_hana.txt","沙羅木は植物園にもあるべし。"
"14","akutagawa","sarano_hana.txt","わが見しは或人の庭なりけり。"
"15","akutagawa","sarano_hana.txt","玉の如き花のにほへるもとには太湖石と呼べる石もありしを、今はた如何になりはてけむ、わが知れる人さへ風のたよりにただありとのみ聞えつつ。"
"16","akutagawa","sarano_hana.txt",""
"17","akutagawa","sarano_hana.txt",""
"18","akutagawa","sarano_hana.txt","また立ちかへる水無月の"
"19","akutagawa","sarano_hana.txt","歎きをたれにかたるべき。"
"20","akutagawa","sarano_hana.txt",""
"21","akutagawa","sarano_hana.txt","沙羅のみづ枝に花さけば、"
"22","akutagawa","sarano_hana.txt","かなしき人の目ぞ見ゆる。"
"23","akutagawa","sarano_hana.txt",""
"24","akutagawa","sarano_hana.txt",""
"25","akutagawa","sarano_hana.txt","（大正十四年五月）"
"26","akutagawa","sarano_hana.txt",""
"27","akutagawa","sarano_hana.txt",""
"28","akutagawa","sarano_hana.txt",""
"29","akutagawa","sarano_hana.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"30","akutagawa","sarano_hana.txt","1971（昭和46）年6月5日初版第1刷発行"
"31","akutagawa","sarano_hana.txt","1979（昭和54）年4月10日初版第11刷発行"
"32","akutagawa","sarano_hana.txt","入力：土屋隆"
"33","akutagawa","sarano_hana.txt","校正：松永正敏"
"34","akutagawa","sarano_hana.txt","2007年6月26日作成"
"35","akutagawa","sarano_hana.txt","青空文庫作成ファイル："
"36","akutagawa","sarano_hana.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"37","akutagawa","sarano_hana.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"38","akutagawa","sarano_hana.txt",""
