"","auth","piece","line"
"0","akutagawa","sato_haruoshino_koto.txt","佐藤春夫氏の事"
"1","akutagawa","sato_haruoshino_koto.txt","芥川龍之介"
"2","akutagawa","sato_haruoshino_koto.txt",""
"3","akutagawa","sato_haruoshino_koto.txt","-------------------------------------------------------"
"4","akutagawa","sato_haruoshino_koto.txt","【テキスト中に現れる記号について】"
"5","akutagawa","sato_haruoshino_koto.txt",""
"6","akutagawa","sato_haruoshino_koto.txt","《》：ルビ"
"7","akutagawa","sato_haruoshino_koto.txt","（例）蒟蒻を"
"8","akutagawa","sato_haruoshino_koto.txt",""
"9","akutagawa","sato_haruoshino_koto.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","sato_haruoshino_koto.txt","（例）猶｜南瓜を食わんとして"
"11","akutagawa","sato_haruoshino_koto.txt","-------------------------------------------------------"
"12","akutagawa","sato_haruoshino_koto.txt",""
"13","akutagawa","sato_haruoshino_koto.txt","一、佐藤春夫は詩人なり、何よりも先に詩人なり。"
"14","akutagawa","sato_haruoshino_koto.txt","或は誰よりも先にと云えるかも知れず。"
"15","akutagawa","sato_haruoshino_koto.txt",""
"16","akutagawa","sato_haruoshino_koto.txt","二、されば作品の特色もその詩的なる点にあり。"
"17","akutagawa","sato_haruoshino_koto.txt","詩を求めずして佐藤の作品を読むものは、猶｜南瓜を食わんとして蒟蒻を買うが如し。"
"18","akutagawa","sato_haruoshino_koto.txt","到底満足を得るの機会あるべからず。"
"19","akutagawa","sato_haruoshino_koto.txt","既に満足を得ず、而して後その南瓜ならざるを云々するは愚も亦甚し。"
"20","akutagawa","sato_haruoshino_koto.txt","去って天竺の外に南瓜を求むるに若かず。"
"21","akutagawa","sato_haruoshino_koto.txt",""
"22","akutagawa","sato_haruoshino_koto.txt","三、佐藤の作品中、道徳を諷するものなきにあらず、哲学を寓するもの亦なきにあらざれど、その思想を彩るものは常に一脈の詩情なり。"
"23","akutagawa","sato_haruoshino_koto.txt","故に佐藤はその詩情を満足せしむる限り、乃木大将を崇拝する事を辞せざると同時に、大石内蔵助を撲殺するも顧る所にあらず。"
"24","akutagawa","sato_haruoshino_koto.txt","佐藤の一身、詩仏と詩魔とを併せ蔵すと云うも可なり。"
"25","akutagawa","sato_haruoshino_koto.txt",""
"26","akutagawa","sato_haruoshino_koto.txt","四、佐藤の詩情は最も世に云う世紀末の詩情に近きが如し。"
"27","akutagawa","sato_haruoshino_koto.txt","繊婉にしてよく幽渺たる趣を兼ぬ。"
"28","akutagawa","sato_haruoshino_koto.txt","「田園の憂欝」の如き、「お絹とその兄弟」の如き、皆然らざるはあらず。"
"29","akutagawa","sato_haruoshino_koto.txt","これを称して当代の珍と云う、敢て首肯せざるものは皆偏に南瓜を愛するの徒か。"
"30","akutagawa","sato_haruoshino_koto.txt",""
"31","akutagawa","sato_haruoshino_koto.txt",""
"32","akutagawa","sato_haruoshino_koto.txt",""
"33","akutagawa","sato_haruoshino_koto.txt",""
"34","akutagawa","sato_haruoshino_koto.txt","底本：「大川の水・追憶・本所両国現代日本のエッセイ」講談社文芸文庫、講談社"
"35","akutagawa","sato_haruoshino_koto.txt","1995（平成7）年1月10日第1刷発行"
"36","akutagawa","sato_haruoshino_koto.txt","底本の親本：「芥川龍之介全集第一〜九、一二巻」岩波書店"
"37","akutagawa","sato_haruoshino_koto.txt","1977（昭和52）年7、9〜12月、1978（昭和53）年1〜4、7月初版発行"
"38","akutagawa","sato_haruoshino_koto.txt","入力：向井樹里"
"39","akutagawa","sato_haruoshino_koto.txt","校正：門田裕志"
"40","akutagawa","sato_haruoshino_koto.txt","2005年2月20日作成"
"41","akutagawa","sato_haruoshino_koto.txt","青空文庫作成ファイル："
"42","akutagawa","sato_haruoshino_koto.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"43","akutagawa","sato_haruoshino_koto.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"44","akutagawa","sato_haruoshino_koto.txt",""
