"","auth","piece","line"
"0","akutagawa","seiyoganoyona_nihonga.txt","西洋画のやうな日本画"
"1","akutagawa","seiyoganoyona_nihonga.txt","芥川龍之介"
"2","akutagawa","seiyoganoyona_nihonga.txt",""
"3","akutagawa","seiyoganoyona_nihonga.txt","-------------------------------------------------------"
"4","akutagawa","seiyoganoyona_nihonga.txt","【テキスト中に現れる記号について】"
"5","akutagawa","seiyoganoyona_nihonga.txt",""
"6","akutagawa","seiyoganoyona_nihonga.txt","《》：ルビ"
"7","akutagawa","seiyoganoyona_nihonga.txt","（例）画"
"8","akutagawa","seiyoganoyona_nihonga.txt",""
"9","akutagawa","seiyoganoyona_nihonga.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","seiyoganoyona_nihonga.txt","（例）本来｜剃刀で"
"11","akutagawa","seiyoganoyona_nihonga.txt","-------------------------------------------------------"
"12","akutagawa","seiyoganoyona_nihonga.txt",""
"13","akutagawa","seiyoganoyona_nihonga.txt","中央美術社の展覧会へ行つた。"
"14","akutagawa","seiyoganoyona_nihonga.txt",""
"15","akutagawa","seiyoganoyona_nihonga.txt","行つて見ると三つの室に、七十何点かの画が並んでゐる。"
"16","akutagawa","seiyoganoyona_nihonga.txt","それが皆日本画である。"
"17","akutagawa","seiyoganoyona_nihonga.txt","しかし唯の日本画ぢやない。"
"18","akutagawa","seiyoganoyona_nihonga.txt","いづれも経営惨憺の余になつた、西洋画のやうな日本画である。"
"19","akutagawa","seiyoganoyona_nihonga.txt","まづ第一に絹や紙へ、日本絵具をなすりつけて、よくこれ程油絵じみた効果を与へる事が出来たものだと、その点に聊敬意を表した。"
"20","akutagawa","seiyoganoyona_nihonga.txt",""
"21","akutagawa","seiyoganoyona_nihonga.txt","そこで素人考へに考へて見ると、かう云ふ画を描く以上、かう云ふ画の作者には、自然がかう云ふ風に見えるのに違ひない。"
"22","akutagawa","seiyoganoyona_nihonga.txt","逆に云へばかう云ふ風に自然が見えればこそ、かう云ふ画が此処に出来上つたのだから、一応は至極御尤もである。"
"23","akutagawa","seiyoganoyona_nihonga.txt","が、素人はかう云ふ画を見ると、何故これらの画の作家は、絵具皿の代りにパレツトを、紙や絹の代りにカンヴアスを用ひないかと尋ねたくなる。"
"24","akutagawa","seiyoganoyona_nihonga.txt","その方が作者にも便利なら、僕等素人の見物にも難有くはないかと尋ねたくなる。"
"25","akutagawa","seiyoganoyona_nihonga.txt",""
"26","akutagawa","seiyoganoyona_nihonga.txt","しかしこれらの画の作者は、「我々には自然がかう見えるのだ。"
"27","akutagawa","seiyoganoyona_nihonga.txt","かう見えると云ふ意味は、西洋画風にと云ふ意味ぢやない。"
"28","akutagawa","seiyoganoyona_nihonga.txt","我々の日本画風にと云ふ意味だ」と、立派な返答をするかも知れない。"
"29","akutagawa","seiyoganoyona_nihonga.txt","よろしい。"
"30","akutagawa","seiyoganoyona_nihonga.txt","それも心得た。"
"31","akutagawa","seiyoganoyona_nihonga.txt","が、これらの画の中には、どう考へても西洋画と選ぶ所のない画が沢山ある。"
"32","akutagawa","seiyoganoyona_nihonga.txt","たとへば吉田白流氏の「奥州路」の如き、遠藤教三氏の「嫩葉の森」の如き、乃至穴山義平氏の「盛夏」の如きは、皆この類の作品である。"
"33","akutagawa","seiyoganoyona_nihonga.txt","もし「我々の日本画風」が、かう云ふものであるとすれば、それは遺憾ながら僕なぞには、余り結構なものとは思はれない。"
"34","akutagawa","seiyoganoyona_nihonga.txt","まづ冷酷に批評すると、本来｜剃刀で剃るべき髭を、薙刀で剃つて見せたと云ふ御手柄に感服するだけである。"
"35","akutagawa","seiyoganoyona_nihonga.txt","さうして一応感服した後では、或は剃刀を使つた方が、もつとよく剃れはしなかつたらうかと尋ねたくなるだけである。"
"36","akutagawa","seiyoganoyona_nihonga.txt",""
"37","akutagawa","seiyoganoyona_nihonga.txt","尤も七十何点かの画が、悉くこの種類だと云ふ次第ぢやない。"
"38","akutagawa","seiyoganoyona_nihonga.txt","たとへば畠山錦成氏の「貴美子」の如きは、少くともかう云ふ西洋かぶれの幣は受けてゐない作品である。"
"39","akutagawa","seiyoganoyona_nihonga.txt","如何に奇抜がつた所が、せめて此処までは漕ぎつけてゐないと、どうも僕等｜素人には、ちと新しい日本画としてのレエゾン・デエトルが覚束ないかと思ふ。"
"40","akutagawa","seiyoganoyona_nihonga.txt","もつと書きたい事もないではないが、何しろ原稿を受け取りに来た人が、玄関に待つてゐる始末だから、今度はまづこの辺で御免を蒙る事にする。"
"41","akutagawa","seiyoganoyona_nihonga.txt","悪口は岡目八目の然らしむる所以だと大目に見て頂きたい。"
"42","akutagawa","seiyoganoyona_nihonga.txt","（九・七・十八）"
"43","akutagawa","seiyoganoyona_nihonga.txt",""
"44","akutagawa","seiyoganoyona_nihonga.txt",""
"45","akutagawa","seiyoganoyona_nihonga.txt",""
"46","akutagawa","seiyoganoyona_nihonga.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"47","akutagawa","seiyoganoyona_nihonga.txt","1971（昭和46）年6月5日初版第1刷発行"
"48","akutagawa","seiyoganoyona_nihonga.txt","1979（昭和54）年4月10日初版第11刷発行"
"49","akutagawa","seiyoganoyona_nihonga.txt","入力：土屋隆"
"50","akutagawa","seiyoganoyona_nihonga.txt","校正：松永正敏"
"51","akutagawa","seiyoganoyona_nihonga.txt","2007年6月26日作成"
"52","akutagawa","seiyoganoyona_nihonga.txt","青空文庫作成ファイル："
"53","akutagawa","seiyoganoyona_nihonga.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"54","akutagawa","seiyoganoyona_nihonga.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"55","akutagawa","seiyoganoyona_nihonga.txt",""
