"","auth","piece","line"
"0","akutagawa","sennin.txt","仙人"
"1","akutagawa","sennin.txt","芥川龍之介"
"2","akutagawa","sennin.txt",""
"3","akutagawa","sennin.txt","-------------------------------------------------------"
"4","akutagawa","sennin.txt","【テキスト中に現れる記号について】"
"5","akutagawa","sennin.txt",""
"6","akutagawa","sennin.txt","《》：ルビ"
"7","akutagawa","sennin.txt","（例）琵琶湖"
"8","akutagawa","sennin.txt",""
"9","akutagawa","sennin.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","sennin.txt","（例）皆｜括り合はせ"
"11","akutagawa","sennin.txt","-------------------------------------------------------"
"12","akutagawa","sennin.txt",""
"13","akutagawa","sennin.txt","この「仙人」は琵琶湖に近いＯ町の裁判官を勤めてゐた。"
"14","akutagawa","sennin.txt","彼の道楽は何よりも先に古い瓢箪を集めることだつた。"
"15","akutagawa","sennin.txt","従つて彼の借りてゐた家には二階の戸棚の中は勿論、柱や鴨居に打つた釘にも瓢箪が幾つもぶら下つてゐた。"
"16","akutagawa","sennin.txt",""
"17","akutagawa","sennin.txt","三年ばかりたつた後、この「仙人」はＯ町からＨ市へ転任することになつた。"
"18","akutagawa","sennin.txt","家具家財を運ぶのは勿論彼には何でもなかつた。"
"19","akutagawa","sennin.txt","が、彼是二百余りの瓢箪を運ぶことだけはどうすることも出来なかつた。"
"20","akutagawa","sennin.txt",""
"21","akutagawa","sennin.txt","「汽車に積んでも、馬車に積んでも、無事には着かないのに違ひない。"
"22","akutagawa","sennin.txt","」"
"23","akutagawa","sennin.txt","この仙人はいろいろ考へた揚句、とうとう瓢箪を皆｜括り合はせ、それを琵琶湖の上へ浮かせて舟の代りにすることにした。"
"24","akutagawa","sennin.txt","（その又瓢箪舟の中心になつたのはやはり彼の「掘り出して来た」遊行柳の根つこだつた。"
"25","akutagawa","sennin.txt","）天気は丁度晴れ渡つた上、幸ひ風も吹かなかつた。"
"26","akutagawa","sennin.txt","彼はかういふ瓢箪舟に乗り、彼自身｜棹を使ひながら、静かに湖の上を渡つて行つた。"
"27","akutagawa","sennin.txt",""
"28","akutagawa","sennin.txt","昔の仙人は誰も皆不老不死の道に達してゐる。"
"29","akutagawa","sennin.txt","しかしこの「仙人」だけは世間並みにだんだん年をとり、最後に胃癌になつてしまつた。"
"30","akutagawa","sennin.txt","何でも死ぬ前夜には細り切つた両手をあげ、「あしたあたりはお目出度になるだらう。"
"31","akutagawa","sennin.txt","万歳！」と言つたと云ふことである。"
"32","akutagawa","sennin.txt","しかし彼の遺言状は生死を超越しない俗人よりも更に綿密だつたと云ふことである。"
"33","akutagawa","sennin.txt","尤も彼の遺族たちはこの「仙人」の遺言状を一々忠実には守らなかつたらしい。"
"34","akutagawa","sennin.txt","のみならず彼の瓢箪を目当てに彼の南画を習つてゐた年少の才子もない訣ではなかつた。"
"35","akutagawa","sennin.txt","従つて彼の愛してゐた彼是二百余りの瓢箪は彼の一周忌をすまないうちにいつかどこかへ流れ出してしまつた。"
"36","akutagawa","sennin.txt",""
"37","akutagawa","sennin.txt",""
"38","akutagawa","sennin.txt",""
"39","akutagawa","sennin.txt",""
"40","akutagawa","sennin.txt","底本：「芥川龍之介全集第四巻」筑摩書房"
"41","akutagawa","sennin.txt","1971（昭和46）年6月5日初版第1刷発行"
"42","akutagawa","sennin.txt","1971（昭和46）年10月5日初版第5刷発行"
"43","akutagawa","sennin.txt","入力校正：j.utiyama"
"44","akutagawa","sennin.txt","1999年2月15日公開"
"45","akutagawa","sennin.txt","2003年10月20日修正"
"46","akutagawa","sennin.txt","青空文庫作成ファイル："
"47","akutagawa","sennin.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"48","akutagawa","sennin.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"49","akutagawa","sennin.txt",""
