"","auth","piece","line"
"0","akutagawa","shigo.txt","死後"
"1","akutagawa","shigo.txt","芥川龍之介"
"2","akutagawa","shigo.txt",""
"3","akutagawa","shigo.txt","-------------------------------------------------------"
"4","akutagawa","shigo.txt","【テキスト中に現れる記号について】"
"5","akutagawa","shigo.txt",""
"6","akutagawa","shigo.txt","《》：ルビ"
"7","akutagawa","shigo.txt","（例）稀"
"8","akutagawa","shigo.txt",""
"9","akutagawa","shigo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","shigo.txt","（例）二三冊｜蚊帳の中へ"
"11","akutagawa","shigo.txt",""
"12","akutagawa","shigo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","shigo.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","shigo.txt","（例）※"
"15","akutagawa","shigo.txt","-------------------------------------------------------"
"16","akutagawa","shigo.txt",""
"17","akutagawa","shigo.txt","……僕は床へはいっても、何か本を読まないと、寝つかれない習慣を持っている。"
"18","akutagawa","shigo.txt","のみならずいくら本を読んでも、寝つかれないことさえ稀ではない。"
"19","akutagawa","shigo.txt","こう言う僕の枕もとにはいつも読書用の電燈だのアダリン錠の罎だのが並んでいる。"
"20","akutagawa","shigo.txt","その晩も僕はふだんのように本を二三冊｜蚊帳の中へ持ちこみ、枕もとの電燈を明るくした。"
"21","akutagawa","shigo.txt",""
"22","akutagawa","shigo.txt","「何時？」"
"23","akutagawa","shigo.txt","これはとうに一寝入りした、隣の床にいる妻の声だった。"
"24","akutagawa","shigo.txt","妻は赤児に腕枕をさせ、ま横にこちらを眺めていた。"
"25","akutagawa","shigo.txt",""
"26","akutagawa","shigo.txt","「三時だ。"
"27","akutagawa","shigo.txt","」"
"28","akutagawa","shigo.txt","「もう三時。"
"29","akutagawa","shigo.txt","あたし、まだ一時頃かと思っていた。"
"30","akutagawa","shigo.txt","」僕は好い加減な返事をしたきり、何ともその言葉に取り合わなかった。"
"31","akutagawa","shigo.txt",""
"32","akutagawa","shigo.txt","「うるさい。"
"33","akutagawa","shigo.txt","うるさい、黙って寝ろ。"
"34","akutagawa","shigo.txt","」"
"35","akutagawa","shigo.txt","妻は僕の口真似をしながら、小声にくすくす笑っていた。"
"36","akutagawa","shigo.txt","が、しばらくたったと思うと、赤子の頭に鼻を押しつけ、いつかもう静かに寝入っていた。"
"37","akutagawa","shigo.txt",""
"38","akutagawa","shigo.txt","僕はそちらを向いたまま、説教因縁除睡鈔と言う本を読んでいた。"
"39","akutagawa","shigo.txt","これは和漢｜天竺の話を享保頃の坊さんの集めた八巻ものの随筆である。"
"40","akutagawa","shigo.txt","しかし面白い話は勿論、珍らしい話も滅多にない。"
"41","akutagawa","shigo.txt","僕は君臣、父母、夫婦と五倫部の話を読んでいるうちにそろそろ睡気を感じ出した。"
"42","akutagawa","shigo.txt","それから枕もとの電燈を消し、じきに眠りに落ちてしまった。"
"43","akutagawa","shigo.txt","――"
"44","akutagawa","shigo.txt","夢の中の僕は暑苦しい町をＳと一しょに歩いていた。"
"45","akutagawa","shigo.txt","砂利を敷いた歩道の幅はやっと一間か九尺しかなかった。"
"46","akutagawa","shigo.txt","それへまたどの家も同じようにカアキイ色の日除けを張り出していた。"
"47","akutagawa","shigo.txt",""
"48","akutagawa","shigo.txt","「君が死ぬとは思わなかった。"
"49","akutagawa","shigo.txt","」"
"50","akutagawa","shigo.txt","Ｓは扇を使いながら、こう僕に話しかけた。"
"51","akutagawa","shigo.txt","一応は気の毒に思っていても、その気もちを露骨に表わすことは嫌っているらしい話しぶりだった。"
"52","akutagawa","shigo.txt",""
"53","akutagawa","shigo.txt","「君は長生きをしそうだったがね。"
"54","akutagawa","shigo.txt","」"
"55","akutagawa","shigo.txt","「そうかしら？」"
