"","auth","piece","line"
"0","akutagawa","shimagi_akahiko.txt","島木赤彦氏"
"1","akutagawa","shimagi_akahiko.txt","芥川龍之介"
"2","akutagawa","shimagi_akahiko.txt",""
"3","akutagawa","shimagi_akahiko.txt","-------------------------------------------------------"
"4","akutagawa","shimagi_akahiko.txt","【テキスト中に現れる記号について】"
"5","akutagawa","shimagi_akahiko.txt",""
"6","akutagawa","shimagi_akahiko.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"7","akutagawa","shimagi_akahiko.txt","（例）魂はいづれの空に行くならん我に用なきことを思ひ居り"
"8","akutagawa","shimagi_akahiko.txt","-------------------------------------------------------"
"9","akutagawa","shimagi_akahiko.txt",""
"10","akutagawa","shimagi_akahiko.txt","島木さんに最後に会ったのは確か今年（大正十五年）の正月である。"
"11","akutagawa","shimagi_akahiko.txt","僕はその日の夕飯を斎藤さんの御馳走になり、六韜三略の話だの早発性痴呆の話だのをした。"
"12","akutagawa","shimagi_akahiko.txt","御馳走になった場所は外でもない。"
"13","akutagawa","shimagi_akahiko.txt","東京駅前の花月である。"
"14","akutagawa","shimagi_akahiko.txt","それから又斎藤さんと割り合にすいた省線電車に乗り、アララギ発行所へ出かけることにした。"
"15","akutagawa","shimagi_akahiko.txt","僕はその電車の中にどこか支那の少女に近い、如何にも華奢な女学生が一人坐っていたことを覚えている。"
"16","akutagawa","shimagi_akahiko.txt",""
"17","akutagawa","shimagi_akahiko.txt","僕等は発行所へはいる前にあの空罎を山のように積んだ露路の左側へ立ち小便をした。"
"18","akutagawa","shimagi_akahiko.txt","念の為に断って置くが、この発頭人は僕ではない。"
"19","akutagawa","shimagi_akahiko.txt","僕は唯先輩たる斎藤さんの高教に従ったのである。"
"20","akutagawa","shimagi_akahiko.txt",""
"21","akutagawa","shimagi_akahiko.txt","発行所の下の座敷には島木さん、平福さん、藤沢さん、高田さん（？）、古今書院主人などが車座になって話していた。"
"22","akutagawa","shimagi_akahiko.txt","あの座敷は善く言えば蕭散としている。"
"23","akutagawa","shimagi_akahiko.txt","お茶うけの蜜柑も太だ小さい。"
"24","akutagawa","shimagi_akahiko.txt","僕は殊にこの蜜柑にアララギらしい親しみを感じた。"
"25","akutagawa","shimagi_akahiko.txt","（尤も胃酸過多症の為に一つも食えなかったのは事実である。"
"26","akutagawa","shimagi_akahiko.txt","）"
"27","akutagawa","shimagi_akahiko.txt","島木さんは大分憔悴していた。"
"28","akutagawa","shimagi_akahiko.txt","従って双目だけ大きい気がした。"
"29","akutagawa","shimagi_akahiko.txt","話題は多分刊行中の長塚節全集のことだったであろう。"
"30","akutagawa","shimagi_akahiko.txt","島木さんは談の某君に及ぶや、苦笑と一しょに「下司ですなあ」と言った。"
"31","akutagawa","shimagi_akahiko.txt","それは「下」の字に力を入れた、頗る特色のある言いかただった。"
"32","akutagawa","shimagi_akahiko.txt","僕は某君には会ったことは勿論、某君の作品も読んだことはない。"
"33","akutagawa","shimagi_akahiko.txt","しかし島木さんにこう言われると、忽ち下司らしい気がし出した。"
"34","akutagawa","shimagi_akahiko.txt",""
"35","akutagawa","shimagi_akahiko.txt","それから又島木さんは後ろ向きに坐ったまま、ワイシャツの裾をまくり上げ、医学博士の斎藤さんに神経痛の注射をして貰った。"
"36","akutagawa","shimagi_akahiko.txt","（島木さんは背広を着ていたからである。"
"37","akutagawa","shimagi_akahiko.txt","）二度目の注射は痛かったらしい。"
"38","akutagawa","shimagi_akahiko.txt","島木さんは腰へ手をやりながら、「斎藤君、大分こたえるぞ」などと常談のように声をかけたりした。"
"39","akutagawa","shimagi_akahiko.txt","この神経痛と思ったものが実は後に島木さんを殺した癌腫の痛みに外ならなかったのである。"
"40","akutagawa","shimagi_akahiko.txt",""
"41","akutagawa","shimagi_akahiko.txt","二三箇月たった後、僕は土屋文明君から島木さんの訃を報じて貰った。"
"42","akutagawa","shimagi_akahiko.txt","それから又「改造」に載った斎藤さんの「赤彦終焉記」を読んだ。"
"43","akutagawa","shimagi_akahiko.txt","斎藤さんは島木さんの末期を大往生だったと言っている。"
"44","akutagawa","shimagi_akahiko.txt","しかし当時も病気だった僕には少からず愴然の感を与えた。"
