"","auth","piece","line"
"0","akutagawa","shina_yuki_jijo.txt","「支那游記」自序"
"1","akutagawa","shina_yuki_jijo.txt","芥川龍之介"
"2","akutagawa","shina_yuki_jijo.txt",""
"3","akutagawa","shina_yuki_jijo.txt","-------------------------------------------------------"
"4","akutagawa","shina_yuki_jijo.txt","【テキスト中に現れる記号について】"
"5","akutagawa","shina_yuki_jijo.txt",""
"6","akutagawa","shina_yuki_jijo.txt","《》：ルビ"
"7","akutagawa","shina_yuki_jijo.txt","（例）畢竟"
"8","akutagawa","shina_yuki_jijo.txt",""
"9","akutagawa","shina_yuki_jijo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","akutagawa","shina_yuki_jijo.txt","（例）"
"11","akutagawa","shina_yuki_jijo.txt","-------------------------------------------------------"
"12","akutagawa","shina_yuki_jijo.txt",""
"13","akutagawa","shina_yuki_jijo.txt","「支那游記」一巻は畢竟天の僕に恵んだ（或は僕に災いした）Journalist 的才能の産物である。"
"14","akutagawa","shina_yuki_jijo.txt","僕は大阪毎日新聞社の命を受け、大正十年三月下旬から同年七月上旬に至る一百二十余日の間に上海、南京、九江、漢口、長沙、洛陽、北京、大同、天津等を遍歴した。"
"15","akutagawa","shina_yuki_jijo.txt","それから日本へ帰った後、「上海游記」や「江南游記」を一日に一回ずつ執筆した。"
"16","akutagawa","shina_yuki_jijo.txt","「長江游記」も「江南游記」の後にやはり一日に一回ずつ執筆しかけた未成品である。"
"17","akutagawa","shina_yuki_jijo.txt","「北京日記抄」は必しも一日に一回ずつ書いた訣ではない。"
"18","akutagawa","shina_yuki_jijo.txt","が、何でも全体を二日ばかりに書いたと覚えている。"
"19","akutagawa","shina_yuki_jijo.txt","「雑信一束」は画端書に書いたのを大抵はそのまま収めることにした。"
"20","akutagawa","shina_yuki_jijo.txt","しかし僕のジャアナリスト的才能はこれ等の通信にも電光のように、――少くとも芝居の電光のように閃いていることは確である。"
"21","akutagawa","shina_yuki_jijo.txt",""
"22","akutagawa","shina_yuki_jijo.txt","大正十四年十月"
"23","akutagawa","shina_yuki_jijo.txt","芥川龍之介記"
"24","akutagawa","shina_yuki_jijo.txt",""
"25","akutagawa","shina_yuki_jijo.txt",""
"26","akutagawa","shina_yuki_jijo.txt",""
"27","akutagawa","shina_yuki_jijo.txt","底本：「上海游記・江南游記」講談社文芸文庫、講談社"
"28","akutagawa","shina_yuki_jijo.txt","2001（平成13）年10月10日第1刷発行"
"29","akutagawa","shina_yuki_jijo.txt","底本の親本：「芥川龍之介全集第十三巻」岩波書店"
"30","akutagawa","shina_yuki_jijo.txt","1996（平成8）年11月8日発行"
"31","akutagawa","shina_yuki_jijo.txt","入力：門田裕志"
"32","akutagawa","shina_yuki_jijo.txt","校正：岡山勝美"
"33","akutagawa","shina_yuki_jijo.txt","2015年2月28日作成"
"34","akutagawa","shina_yuki_jijo.txt","青空文庫作成ファイル："
"35","akutagawa","shina_yuki_jijo.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"36","akutagawa","shina_yuki_jijo.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"37","akutagawa","shina_yuki_jijo.txt",""
