"","auth","piece","line"
"0","akutagawa","shirami.txt","虱"
"1","akutagawa","shirami.txt","芥川龍之介"
"2","akutagawa","shirami.txt",""
"3","akutagawa","shirami.txt","-------------------------------------------------------"
"4","akutagawa","shirami.txt","【テキスト中に現れる記号について】"
"5","akutagawa","shirami.txt",""
"6","akutagawa","shirami.txt","《》：ルビ"
"7","akutagawa","shirami.txt","（例）元治元年"
"8","akutagawa","shirami.txt",""
"9","akutagawa","shirami.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","shirami.txt","（例）国家老の長｜大隅守"
"11","akutagawa","shirami.txt",""
"12","akutagawa","shirami.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","shirami.txt","（例）せいとうのしやうがあるが"
"14","akutagawa","shirami.txt",""
"15","akutagawa","shirami.txt","〔〕：アクセント分解された欧文をかこむ"
"16","akutagawa","shirami.txt","（例）〔Pre'curseur〕 の説が、"
"17","akutagawa","shirami.txt","アクセント分解についての詳細は下記URLを参照してください"
"18","akutagawa","shirami.txt","http://aozora.gr.jp/accent_separation.html"
"19","akutagawa","shirami.txt","-------------------------------------------------------"
"20","akutagawa","shirami.txt",""
"21","akutagawa","shirami.txt","一"
"22","akutagawa","shirami.txt",""
"23","akutagawa","shirami.txt","元治元年十一月二十六日、京都守護の任に当つてゐた、加州家の同勢は、折からの長州征伐に加はる為、国家老の長｜大隅守を大将にして、大阪の安治川口から、船を出した。"
"24","akutagawa","shirami.txt",""
"25","akutagawa","shirami.txt","小頭は、佃久太夫、山岸三十郎の二人で、佃組の船には白幟、山岸組の船には赤幟が立つてゐる。"
"26","akutagawa","shirami.txt","五百石積の金毘羅船が、皆それぞれ、紅白の幟を風にひるがへして、川口を海へのり出した時の景色は、如何にも勇ましいものだつたさうである。"
"27","akutagawa","shirami.txt",""
"28","akutagawa","shirami.txt","しかし、その船へ乗組んでゐる連中は、中々勇ましがつてゐる所の騒ぎではない。"
"29","akutagawa","shirami.txt","第一どの船にも、一艘に、主従三十四人、船頭四人、併せて三十八人づつ乗組んでゐる。"
"30","akutagawa","shirami.txt","だから、船の中は、皆、身動きも碌に出来ない程狭い。"
"31","akutagawa","shirami.txt","それから又、胴の間には、沢庵漬を鰌桶へつめたのが、足のふみ所もない位、ならべてある。"
"32","akutagawa","shirami.txt","慣れない内は、その臭気を嗅ぐと、誰でもすぐに、吐き気を催した。"
"33","akutagawa","shirami.txt","最後に旧暦の十一月下旬だから、海上を吹いて来る風が、まるで身を切るやうに冷い。"
"34","akutagawa","shirami.txt","殊に日が暮れてからは、摩耶颪なり水の上なり、流石に北国生れの若侍も、多くは歯の根が合はないと云ふ始末であつた。"
"35","akutagawa","shirami.txt",""
"36","akutagawa","shirami.txt","その上、船の中には、虱が沢山ゐた。"
"37","akutagawa","shirami.txt","それも、着物の縫目にかくれてゐるなどと云ふ、生やさしい虱ではない。"
"38","akutagawa","shirami.txt","帆にもたかつてゐる。"
"39","akutagawa","shirami.txt","幟にもたかつてゐる。"
"40","akutagawa","shirami.txt","檣にもたかつてゐる。"
"41","akutagawa","shirami.txt","錨にもたかつてゐる。"
"42","akutagawa","shirami.txt","少し誇張して云へば、人間を乗せる為の船だか、虱を乗せる為の船だか、判然しない位である。"
"43","akutagawa","shirami.txt","勿論その位だから、着物には、何十匹となくたかつてゐる。"
"44","akutagawa","shirami.txt","さうして、それが人肌にさへさはれば、すぐに、いい気になつて、ちくちくやる。"
"45","akutagawa","shirami.txt","それも、五匹や十匹なら、どうにでも、せいとうのしやうがあるが、前にも云つた通り、白胡麻をふり撒いたやうに、沢山ゐるのだから、とても、とりつくすなどと云ふ事が出来る筈のものではない。"
"46","akutagawa","shirami.txt","だから、佃組と山岸組とを問はず、船中にゐる侍と云ふ侍の体は、悉く虱に食はれた痕で、まるで麻疹にでも罹つたやうに、胸と云はず腹と云はず、一面に赤く腫れ上がつてゐた。"
"47","akutagawa","shirami.txt",""
"48","akutagawa","shirami.txt","しかし、いくら手のつけやうがないと云つても、そのまま打遣つて置くわけには、猶行かない。"
"49","akutagawa","shirami.txt","そこで、船中の連中は、暇さへあれば、虱狩をやつた。"
"50","akutagawa","shirami.txt","上は家老から下は草履取まで、悉く裸になつて、随所にゐる虱をてんでに茶呑茶碗の中へ、取つては入れ、取つては入れするのである。"
"51","akutagawa","shirami.txt","大きな帆に内海の冬の日をうけた金毘羅船の中で、三十何人かの侍が、湯もじ一つに茶呑茶碗を持つて、帆綱の下、錨の陰と、一生懸命に虱ばかり、さがして歩いた時の事を想像すると、今日では誰しも滑稽だと云ふ感じが先に立つが、「必要」の前に、一切の事が真面目になるのは、維新以前と雖も、今と別に変りはない。"
"52","akutagawa","shirami.txt","――そこで、一船の裸侍は、それ自身が大きな虱のやうに、寒いのを我慢して、毎日根気よく、そこここと歩きながら、丹念に板の間の虱ばかりつぶしてゐた。"
"53","akutagawa","shirami.txt",""
"54","akutagawa","shirami.txt",""
"55","akutagawa","shirami.txt","二"
"56","akutagawa","shirami.txt",""
"57","akutagawa","shirami.txt","所が佃組の船に、妙な男が一人ゐた。"
"58","akutagawa","shirami.txt","これは森｜権之進と云ふ中老のつむじ曲りで、身分は七十俵五人｜扶持の御徒士である。"
"59","akutagawa","shirami.txt","この男だけは不思議に、虱をとらない。"
"60","akutagawa","shirami.txt","とらないから、勿論、何処と云はず、たかつてゐる。"
"61","akutagawa","shirami.txt","髷ぶしへのぼつてゐる奴があるかと思ふと、袴腰のふちを渡つてゐる奴がある。"
"62","akutagawa","shirami.txt","それでも別段、気にかける容子がない。"
"63","akutagawa","shirami.txt",""
"64","akutagawa","shirami.txt","ではこの男だけ、虱に食はれないのかと云ふと、又さうでもない。"
"65","akutagawa","shirami.txt","やはり外の連中のやうに、体中｜金銭斑々とでも形容したらよからうと思ふ程、所まだらに赤くなつてゐる。"
"66","akutagawa","shirami.txt","その上、当人がそれを掻いてゐる所を見ると、痒くない訳でもないらしい。"
"67","akutagawa","shirami.txt","が、痒くつても何でも、一向平気で、すましてゐる。"
"68","akutagawa","shirami.txt",""
"69","akutagawa","shirami.txt","すましてゐるだけなら、まだいいが、外の連中が、せつせと虱狩をしてゐるのを見ると、必わきからこんな事を云ふ。"
"70","akutagawa","shirami.txt","――"
"71","akutagawa","shirami.txt","「とるなら、殺し召さるな。"
"72","akutagawa","shirami.txt","殺さずに茶碗へ入れて置けば、わしが貰うて進ぜよう。"
"73","akutagawa","shirami.txt","」"
"74","akutagawa","shirami.txt","「貰うて、どうさつしやる？」同役の一人が、呆れた顔をして、かう尋ねた。"
"75","akutagawa","shirami.txt",""
"76","akutagawa","shirami.txt","「貰うてか。"
"77","akutagawa","shirami.txt","貰へばわしが飼うておくまでぢや。"
"78","akutagawa","shirami.txt","」"
"79","akutagawa","shirami.txt","森は、恬然として答へるのである。"
"80","akutagawa","shirami.txt",""
"81","akutagawa","shirami.txt","「では殺さずにとつて進ぜよう。"
"82","akutagawa","shirami.txt","」"
"83","akutagawa","shirami.txt","同役は、冗談だと思つたから、二三人の仲間と一しよに半日がかりで、虱を生きたまま、茶呑茶碗へ二三杯とりためた。"
"84","akutagawa","shirami.txt","この男の腹では、かうして置いて「さあ飼へ」と云つたら、いくら依怙地な森でも、閉口するだらうと思つたからである。"
"85","akutagawa","shirami.txt",""
"86","akutagawa","shirami.txt","すると、こつちからはまだ何とも云はない内に、森が自分の方から声をかけた。"
"87","akutagawa","shirami.txt",""
"88","akutagawa","shirami.txt","「とれたかな。"
"89","akutagawa","shirami.txt","とれたらわしが貰うて進ぜよう。"
"90","akutagawa","shirami.txt","」"
"91","akutagawa","shirami.txt","同役の連中は、皆、驚いた。"
"92","akutagawa","shirami.txt",""
"93","akutagawa","shirami.txt","「ではここへ入れてくれさつしやい。"
"94","akutagawa","shirami.txt","」"
"95","akutagawa","shirami.txt","森は平然として、着物の襟をくつろげた。"
"96","akutagawa","shirami.txt",""
"97","akutagawa","shirami.txt","「痩我慢をして、あとでお困りなさるな。"
"98","akutagawa","shirami.txt","」"
"99","akutagawa","shirami.txt","同役がかう云つたが、当人は耳にもかけない。"
"100","akutagawa","shirami.txt","そこで一人づつ、持つてゐる茶碗を倒にして、米屋が一合｜枡で米をはかるやうに、ぞろぞろ虱をその襟元へあけてやると、森は、大事さうに外へこぼれた奴を拾ひながら、"
"101","akutagawa","shirami.txt","「有難い。"
"102","akutagawa","shirami.txt","これで今夜から暖に眠られるて。"
"103","akutagawa","shirami.txt","」といふ独語を云ひながら、にやにや笑つてゐる。"
"104","akutagawa","shirami.txt",""
"105","akutagawa","shirami.txt","「虱がゐると、暖うこざるかな。"
"106","akutagawa","shirami.txt","」"
"107","akutagawa","shirami.txt","呆気にとられてゐた同役は、皆互に顔を見合せながら、誰に尋ねるともなく、かう云つた。"
"108","akutagawa","shirami.txt","すると、森は、虱を入れた後の襟を、丁寧に直しながら、一応、皆の顔を莫迦にしたやうに見まはして、それからこんな事を云ひ出した。"
"109","akutagawa","shirami.txt",""
"110","akutagawa","shirami.txt","「各々は皆、この頃の寒さで、風をひかれるがな、この権之進はどうぢや。"
"111","akutagawa","shirami.txt","嚔もせぬ。"
"112","akutagawa","shirami.txt","洟もたらさぬ。"
"113","akutagawa","shirami.txt","まして、熱が出たの、手足が冷えるのと云うた覚は、嘗てあるまい。"
"114","akutagawa","shirami.txt","各々はこれを、誰のおかげぢやと思はつしやる。"
