"","auth","piece","line"
"0","akutagawa","shokoseibo.txt","商賈聖母"
"1","akutagawa","shokoseibo.txt","芥川龍之介"
"2","akutagawa","shokoseibo.txt",""
"3","akutagawa","shokoseibo.txt","-------------------------------------------------------"
"4","akutagawa","shokoseibo.txt","【テキスト中に現れる記号について】"
"5","akutagawa","shokoseibo.txt",""
"6","akutagawa","shokoseibo.txt","《》：ルビ"
"7","akutagawa","shokoseibo.txt","（例）天草"
"8","akutagawa","shokoseibo.txt","-------------------------------------------------------"
"9","akutagawa","shokoseibo.txt",""
"10","akutagawa","shokoseibo.txt","天草の原の城の内曲輪。"
"11","akutagawa","shokoseibo.txt","立ち昇る火焔。"
"12","akutagawa","shokoseibo.txt","飛びちがふ矢玉。"
"13","akutagawa","shokoseibo.txt","伏し重なつた男女の死骸。"
"14","akutagawa","shokoseibo.txt","その中に手を負つた一人の老人。"
"15","akutagawa","shokoseibo.txt","老人は石垣の上に懸けた麻利耶の画像を仰ぎながら、高声に「はれるや」を唱へてゐる。"
"16","akutagawa","shokoseibo.txt",""
"17","akutagawa","shokoseibo.txt","忽ち又一発の銃弾。"
"18","akutagawa","shokoseibo.txt",""
"19","akutagawa","shokoseibo.txt","老人はのけざまに仆れたぎり、二度と起き上る気色は見えない。"
"20","akutagawa","shokoseibo.txt","白衣の聖母は石垣の上から、黙黙とその姿を見下してゐる。"
"21","akutagawa","shokoseibo.txt","おごそかに、悠悠と。"
"22","akutagawa","shokoseibo.txt",""
"23","akutagawa","shokoseibo.txt","白衣の聖母？いや、わたしは知つてゐる。"
"24","akutagawa","shokoseibo.txt","それは白衣の聖母ではない。"
"25","akutagawa","shokoseibo.txt","明らかに唯の女人である。"
"26","akutagawa","shokoseibo.txt","一朶の薔薇の花を愛する唯の紅毛の女人である。"
"27","akutagawa","shokoseibo.txt","見給へ。"
"28","akutagawa","shokoseibo.txt","その女人の下にはかう云ふ金色の横文字さへある。"
"29","akutagawa","shokoseibo.txt","ウイルヘルム煙草商会、アムステルダム。"
"30","akutagawa","shokoseibo.txt","阿蘭陀……"
"31","akutagawa","shokoseibo.txt",""
"32","akutagawa","shokoseibo.txt",""
"33","akutagawa","shokoseibo.txt",""
"34","akutagawa","shokoseibo.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"35","akutagawa","shokoseibo.txt","1971（昭和46）年6月5日初版第1刷発行"
"36","akutagawa","shokoseibo.txt","1979（昭和54）年4月10日初版第11刷発行"
"37","akutagawa","shokoseibo.txt","入力：土屋隆"
"38","akutagawa","shokoseibo.txt","校正：松永正敏"
"39","akutagawa","shokoseibo.txt","2007年6月26日作成"
"40","akutagawa","shokoseibo.txt","青空文庫作成ファイル："
"41","akutagawa","shokoseibo.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"42","akutagawa","shokoseibo.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"43","akutagawa","shokoseibo.txt",""
