"","auth","piece","line"
"0","akutagawa","shosetsuno_gikyokuka.txt","小説の戯曲化"
"1","akutagawa","shosetsuno_gikyokuka.txt","芥川龍之介"
"2","akutagawa","shosetsuno_gikyokuka.txt",""
"3","akutagawa","shosetsuno_gikyokuka.txt","-------------------------------------------------------"
"4","akutagawa","shosetsuno_gikyokuka.txt","【テキスト中に現れる記号について】"
"5","akutagawa","shosetsuno_gikyokuka.txt",""
"6","akutagawa","shosetsuno_gikyokuka.txt","《》：ルビ"
"7","akutagawa","shosetsuno_gikyokuka.txt","（例）頗る"
"8","akutagawa","shosetsuno_gikyokuka.txt",""
"9","akutagawa","shosetsuno_gikyokuka.txt","｜：ルビの付いていない漢字とルビの付く漢字の境の記号"
"10","akutagawa","shosetsuno_gikyokuka.txt","（例）原稿料｜乃至上場料"
"11","akutagawa","shosetsuno_gikyokuka.txt","-------------------------------------------------------"
"12","akutagawa","shosetsuno_gikyokuka.txt",""
"13","akutagawa","shosetsuno_gikyokuka.txt","売文に関する法律は不備を極めてゐるやうである。"
"14","akutagawa","shosetsuno_gikyokuka.txt","たとへば或雑誌社に若干枚の短篇を一つ渡し、若干円を貰つたとする。"
"15","akutagawa","shosetsuno_gikyokuka.txt","その時その若干金は小説そのものだけを売つた金か、それとも小説の書いてある若干枚の原稿用紙を売つた金か、法律には何とも規定されてゐない。"
"16","akutagawa","shosetsuno_gikyokuka.txt","これは我我の原稿ならば兎も角、夏目先生の原稿にでもなれば当然問題を生ずる筈である。"
"17","akutagawa","shosetsuno_gikyokuka.txt","が、まあそんなことはどうでも好い。"
"18","akutagawa","shosetsuno_gikyokuka.txt","差当り頗る困ることは或種の著作権侵害である。"
"19","akutagawa","shosetsuno_gikyokuka.txt",""
"20","akutagawa","shosetsuno_gikyokuka.txt","たとへばこの間菊池寛は小説「義民甚兵衛」を三幕の戯曲に書直した。"
"21","akutagawa","shosetsuno_gikyokuka.txt","あれを菊池自身はやらずに、僕でも戯曲に書直したとする。"
"22","akutagawa","shosetsuno_gikyokuka.txt","その場合僕は友誼上、或は慣例上一応菊池の許可を待つた後、戯曲に書直すのに違ひない。"
"23","akutagawa","shosetsuno_gikyokuka.txt","のみならずその原稿料｜乃至上場料の何割かはちやんと菊池にも奉納するであらう。"
"24","akutagawa","shosetsuno_gikyokuka.txt","しかし万一許可を受けず、原稿料乃至上場料をすつかり着服してしまつたにしろ、僕は必しも罰金を出したり、監獄へはいつたりしないでも好い。"
"25","akutagawa","shosetsuno_gikyokuka.txt","いや、日本の法律にかう云ふ著作権侵害に関する明文の存在しない以上、明日も亦昨日のやうに平然と散歩位は出来さうである。"
"26","akutagawa","shosetsuno_gikyokuka.txt",""
"27","akutagawa","shosetsuno_gikyokuka.txt","それも芥川龍之介に著作権侵害を蒙つたのならば、まだしも菊池はあきらめられるであらう。"
"28","akutagawa","shosetsuno_gikyokuka.txt","少くとも絶交さへ申渡せば、大抵片はついてしまひさうである。"
"29","akutagawa","shosetsuno_gikyokuka.txt","が、何処の馬の骨ともわからぬ君子に素早い仕事をやられた時にも、やはり泣寝入りになり兼ねないと云ふのは、――勿論菊池は身代限りをしても、法廷に権利を争ふかも知れない。"
"30","akutagawa","shosetsuno_gikyokuka.txt","しかし訴訟を起したにしろ、敗訴になる可能性を持つてゐると云ふのは明らかに不合理の行止まりである。"
"31","akutagawa","shosetsuno_gikyokuka.txt",""
"32","akutagawa","shosetsuno_gikyokuka.txt","尤もこれは日本ばかりではない。"
"33","akutagawa","shosetsuno_gikyokuka.txt","英吉利も亦同じことである。"
"34","akutagawa","shosetsuno_gikyokuka.txt","少くとも Shaw の Admirable Bashville の始めて書物の形になつた千九百十三年迄は同じことだつた筈である。"
"35","akutagawa","shosetsuno_gikyokuka.txt","（これはショオ自身の小説 Cashel Byron's Profession を戯曲に書直したものである。"
"36","akutagawa","shosetsuno_gikyokuka.txt","ショオは勿論この戯曲の序文にかう云ふ著作権侵害に関する法律上の不備を論じてゐる。"
"37","akutagawa","shosetsuno_gikyokuka.txt","さもなければ法律などに疎い僕は永久にこんなことには気がつかなかつたかも知れない。"
"38","akutagawa","shosetsuno_gikyokuka.txt","或は又千九百十年位におのづから気づいてゐたかも知れない。"
"39","akutagawa","shosetsuno_gikyokuka.txt","）"
"40","akutagawa","shosetsuno_gikyokuka.txt","この法律上の不備に応ずる途は菊池寛のしたやうに、或は又ショオのしたやうに、戯曲になる小説のあつた時には作者自身戯曲に書直すことである。"
"41","akutagawa","shosetsuno_gikyokuka.txt","しかし戯曲を書かない作者は（一例を挙げれば僕の如き）おいそれと書直しの出来るものではない。"
"42","akutagawa","shosetsuno_gikyokuka.txt","するとかう云ふ一群の作者は丁度乱世の民のやうに、野武士の切取り強盗にも黙従しなければならない訳である。"
"43","akutagawa","shosetsuno_gikyokuka.txt","これは大正の聖代にも似合はぬ物騒さ加減と云はなければならぬ。"
