"","auth","piece","line"
"0","akutagawa","shosetsusaho.txt","小説作法十則"
"1","akutagawa","shosetsusaho.txt","芥川龍之介"
"2","akutagawa","shosetsusaho.txt",""
"3","akutagawa","shosetsusaho.txt","-------------------------------------------------------"
"4","akutagawa","shosetsusaho.txt","【テキスト中に現れる記号について】"
"5","akutagawa","shosetsusaho.txt",""
"6","akutagawa","shosetsusaho.txt","《》：ルビ"
"7","akutagawa","shosetsusaho.txt","（例）相亘らざる"
"8","akutagawa","shosetsusaho.txt",""
"9","akutagawa","shosetsusaho.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","akutagawa","shosetsusaho.txt","（例）比較的平和なる一生を得んと欲せば"
"11","akutagawa","shosetsusaho.txt","-------------------------------------------------------"
"12","akutagawa","shosetsusaho.txt",""
"13","akutagawa","shosetsusaho.txt","一小説はあらゆる文芸中、最も非芸術的なるものと心得べし。"
"14","akutagawa","shosetsusaho.txt","文芸中の文芸は詩あるのみ。"
"15","akutagawa","shosetsusaho.txt","即ち小説は小説中の詩により、文芸の中に列するに過ぎず。"
"16","akutagawa","shosetsusaho.txt","従つて歴史乃至伝記と実は少しも異る所なし。"
"17","akutagawa","shosetsusaho.txt",""
"18","akutagawa","shosetsusaho.txt","二小説家は詩人たる以外に歴史家乃至伝記作者なり。"
"19","akutagawa","shosetsusaho.txt","従つて人生（一時代に於ける一国の）と相亘らざるべからず。"
"20","akutagawa","shosetsusaho.txt","紫式部より井原西鶴に至る日本の小説家の作品はこの事実を証明すべし。"
"21","akutagawa","shosetsusaho.txt",""
"22","akutagawa","shosetsusaho.txt","三詩人は常に自己の衷心を何人かに向つて訴ふるものなり。"
"23","akutagawa","shosetsusaho.txt","（女人をくどく為に恋歌の生じたるを見よ。"
"24","akutagawa","shosetsusaho.txt","）既に小説家は詩人たる以上に歴史家乃至伝記作者なりとせん乎、伝記の一つなる自叙伝作者も小説家自身の中に存在すべし。"
"25","akutagawa","shosetsusaho.txt","従つて小説家は彼自身暗澹たる人生に対することも常人より屡々ならざるべからず。"
"26","akutagawa","shosetsusaho.txt","そは小説家自身の中の詩人は実行力乏しきを常とすればなり。"
"27","akutagawa","shosetsusaho.txt","若し小説家自身の中の詩人にして歴史家乃至伝記作者よりも力強からん乎、彼の一生は愈出でて愈悲惨なるを免れざるべし。"
"28","akutagawa","shosetsusaho.txt","ポオの如きはこの好例なり。"
"29","akutagawa","shosetsusaho.txt","（ナポレオン乃至レニンをして詩人たらしめば、不世出の小説家を生ずるは言を俟たず。"
"30","akutagawa","shosetsusaho.txt","）"
"31","akutagawa","shosetsusaho.txt","四小説家的才能は前に挙げたる三条により、詩人的才能、歴史家的乃至伝記作者的才能、処世的才能の三者に帰着すべし。"
"32","akutagawa","shosetsusaho.txt","この三者を相剋せしめざることは前人も至難の業としたり。"
"33","akutagawa","shosetsusaho.txt","（至難の業とせざりしものは凡庸の才なり。"
"34","akutagawa","shosetsusaho.txt","）小説家たらんとするものは自動車学校を卒業せざる運転手の自動車を街頭に駆るがごとし。"
"35","akutagawa","shosetsusaho.txt","一生の平穏無事なるを期すべからず。"
"36","akutagawa","shosetsusaho.txt",""
"37","akutagawa","shosetsusaho.txt","五既に一生の平穏無事なるを期すべからずとせば、体力と金銭と単身立命（即ちボヘミアニズム）とに頼まざるべからず。"
"38","akutagawa","shosetsusaho.txt","但しこの両者の効ある程度も存外少なるを覚悟すべし。"
"39","akutagawa","shosetsusaho.txt","比較的平和なる一生を得んと欲せば、畢に小説家とならざるに若かず。"
"40","akutagawa","shosetsusaho.txt","比較的平和なる一生を送れる小説家は常に彼等の伝記の細部に亘りて判然せざる小説家なるを記憶すべし。"
"41","akutagawa","shosetsusaho.txt",""
