"","auth","piece","line"
"0","akutagawa","shuppon.txt","出帆"
"1","akutagawa","shuppon.txt","芥川龍之介"
"2","akutagawa","shuppon.txt",""
"3","akutagawa","shuppon.txt","-------------------------------------------------------"
"4","akutagawa","shuppon.txt","【テキスト中に現れる記号について】"
"5","akutagawa","shuppon.txt",""
"6","akutagawa","shuppon.txt","《》：ルビ"
"7","akutagawa","shuppon.txt","（例）成瀬君"
"8","akutagawa","shuppon.txt",""
"9","akutagawa","shuppon.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","akutagawa","shuppon.txt","（例）（大正五年九月）"
"11","akutagawa","shuppon.txt","-------------------------------------------------------"
"12","akutagawa","shuppon.txt",""
"13","akutagawa","shuppon.txt","成瀬君"
"14","akutagawa","shuppon.txt","君に別れてから、もう一月の余になる。"
"15","akutagawa","shuppon.txt","早いものだ。"
"16","akutagawa","shuppon.txt","この分では、存外容易に、君と僕らとを隔てる五、六年が、すぎ去ってしまうかもしれない。"
"17","akutagawa","shuppon.txt",""
"18","akutagawa","shuppon.txt","君が横浜を出帆した日、銅鑼が鳴って、見送りに来た連中が、皆、梯子伝いに、船から波止場へおりると、僕はジョオンズといっしょになった。"
"19","akutagawa","shuppon.txt","もっとも、さっき甲板ではちょいと姿を見かけたが、その後、君の船室へもサロンへも顔を出さなかったので、僕はもう帰ったのかと思っていた。"
"20","akutagawa","shuppon.txt","ところが、先生、僕をつかまえると、大元気で、ここへ来るといつでも旅がしたくなるとか、己も来年かさ来年はアメリカへ行くとか、いろんなことを言う。"
"21","akutagawa","shuppon.txt","僕はいいかげんな返事をしながら、はなはだ、煮切らない態度で、お相手をつとめていた。"
"22","akutagawa","shuppon.txt","第一、ばかに暑い。"
"23","akutagawa","shuppon.txt","それから、胃がしくしく、痛む。"
"24","akutagawa","shuppon.txt","とうてい彼のしゃべる英語を、いちいち理解するほど、神経を緊張する気になれない。"
"25","akutagawa","shuppon.txt",""
"26","akutagawa","shuppon.txt","そのうちに、船が動きだした。"
"27","akutagawa","shuppon.txt","それも、はなはだ、緩慢な動き方で、船と波止場との間の水が少しずつ幅を広くしていくから、わかるようなものの、さもなければ、ほとんど、動いているとは受取れないくらいである。"
"28","akutagawa","shuppon.txt","おまけに、この間の水なるものが、非常にきたない。"
"29","akutagawa","shuppon.txt","わらくずやペンキ塗りの木の片が黄緑色に濁った水面を、一面におおっている。"
"30","akutagawa","shuppon.txt","どうも、昔、森さんの「桟橋」とかいうもので読んだほど、小説らしくもなんともない。"
