"","auth","piece","line"
"0","akutagawa","shuzanzu.txt","秋山図"
"1","akutagawa","shuzanzu.txt","芥川龍之介"
"2","akutagawa","shuzanzu.txt",""
"3","akutagawa","shuzanzu.txt","-------------------------------------------------------"
"4","akutagawa","shuzanzu.txt","【テキスト中に現れる記号について】"
"5","akutagawa","shuzanzu.txt",""
"6","akutagawa","shuzanzu.txt","《》：ルビ"
"7","akutagawa","shuzanzu.txt","（例）黄大癡"
"8","akutagawa","shuzanzu.txt",""
"9","akutagawa","shuzanzu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","shuzanzu.txt","（例）大癡老人｜黄公望"
"11","akutagawa","shuzanzu.txt",""
"12","akutagawa","shuzanzu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","shuzanzu.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","shuzanzu.txt","（例）※"
"15","akutagawa","shuzanzu.txt","-------------------------------------------------------"
"16","akutagawa","shuzanzu.txt",""
"17","akutagawa","shuzanzu.txt","「――黄大癡といえば、大癡の秋山図をご覧になったことがありますか？」"
"18","akutagawa","shuzanzu.txt","ある秋の夜、甌香閣を訪ねた王石谷は、主人の※南田と茶を啜りながら、話のついでにこんな問を発した。"
"19","akutagawa","shuzanzu.txt",""
"20","akutagawa","shuzanzu.txt","「いや、見たことはありません。"
"21","akutagawa","shuzanzu.txt","あなたはご覧になったのですか？」"
"22","akutagawa","shuzanzu.txt","大癡老人｜黄公望は、梅道人や黄鶴山樵とともに、元朝の画の神手である。"
"23","akutagawa","shuzanzu.txt","※南田はこう言いながら、かつて見た沙磧図や富春巻が、髣髴と眼底に浮ぶような気がした。"
"24","akutagawa","shuzanzu.txt",""
"25","akutagawa","shuzanzu.txt","「さあ、それが見たと言って好いか、見ないと言って好いか、不思議なことになっているのですが、――」"
"26","akutagawa","shuzanzu.txt","「見たと言って好いか、見ないと言って好いか、――」"
"27","akutagawa","shuzanzu.txt","※南田は訝しそうに、王石谷の顔へ眼をやった。"
"28","akutagawa","shuzanzu.txt",""
"29","akutagawa","shuzanzu.txt","「模本でもご覧になったのですか？」"
"30","akutagawa","shuzanzu.txt","「いや、模本を見たのでもないのです。"
"31","akutagawa","shuzanzu.txt","とにかく真蹟は見たのですが、――それも私ばかりではありません。"
"32","akutagawa","shuzanzu.txt","この秋山図のことについては、煙客先生（王時敏）や廉州先生（王鑑）も、それぞれ因縁がおありなのです」"
"33","akutagawa","shuzanzu.txt","王石谷はまた茶を啜った後、考深そうに微笑した。"
"34","akutagawa","shuzanzu.txt",""
"35","akutagawa","shuzanzu.txt","「ご退屈でなければ話しましょうか？」"
"36","akutagawa","shuzanzu.txt","「どうぞ」"
"37","akutagawa","shuzanzu.txt","※南田は銅檠の火を掻き立ててから、慇懃に客を促した。"
"38","akutagawa","shuzanzu.txt",""
"39","akutagawa","shuzanzu.txt",""
"40","akutagawa","shuzanzu.txt","＊＊＊"
"41","akutagawa","shuzanzu.txt",""
"42","akutagawa","shuzanzu.txt","元宰先生（董其昌）が在世中のことです。"
"43","akutagawa","shuzanzu.txt","ある年の秋先生は、煙客翁と画論をしている内に、ふと翁に、黄一峯の秋山図を見たかと尋ねました。"
"44","akutagawa","shuzanzu.txt","翁はご承知のとおり画事の上では、大癡を宗としていた人です。"
"45","akutagawa","shuzanzu.txt","ですから大癡の画という画はいやしくも人間にある限り、看尽したと言ってもかまいません。"
"46","akutagawa","shuzanzu.txt","が、その秋山図という画ばかりは、ついに見たことがないのです。"
"47","akutagawa","shuzanzu.txt",""
"48","akutagawa","shuzanzu.txt","「いや、見るどころか、名を聞いたこともないくらいです」"
"49","akutagawa","shuzanzu.txt","煙客翁はそう答えながら、妙に恥しいような気がしたそうです。"
"50","akutagawa","shuzanzu.txt",""
"51","akutagawa","shuzanzu.txt","「では機会のあり次第、ぜひ一度は見ておおきなさい。"
"52","akutagawa","shuzanzu.txt","夏山図や浮嵐図に比べると、また一段と出色の作です。"
"53","akutagawa","shuzanzu.txt","おそらくは大癡老人の諸本の中でも、白眉ではないかと思いますよ」"
"54","akutagawa","shuzanzu.txt","「そんな傑作ですか？それはぜひ見たいものですが、いったい誰が持っているのです？」"
"55","akutagawa","shuzanzu.txt","「潤州の張氏の家にあるのです。"
"56","akutagawa","shuzanzu.txt","金山寺へでも行った時に、門を叩いてご覧なさい。"
"57","akutagawa","shuzanzu.txt","私が紹介状を書いて上げます」"
"58","akutagawa","shuzanzu.txt","煙客翁は先生の手簡を貰うと、すぐに潤州へ出かけて行きました。"
"59","akutagawa","shuzanzu.txt","何しろそういう妙画を蔵している家ですから、そこへ行けば黄一峯の外にも、まだいろいろ歴代の墨妙を見ることができるに違いない。"
