"","auth","piece","line"
"0","akutagawa","sonokorono_akamonseikatsu.txt","その頃の赤門生活"
"1","akutagawa","sonokorono_akamonseikatsu.txt","芥川龍之介"
"2","akutagawa","sonokorono_akamonseikatsu.txt",""
"3","akutagawa","sonokorono_akamonseikatsu.txt","-------------------------------------------------------"
"4","akutagawa","sonokorono_akamonseikatsu.txt","【テキスト中に現れる記号について】"
"5","akutagawa","sonokorono_akamonseikatsu.txt",""
"6","akutagawa","sonokorono_akamonseikatsu.txt","《》：ルビ"
"7","akutagawa","sonokorono_akamonseikatsu.txt","（例）住せざりし"
"8","akutagawa","sonokorono_akamonseikatsu.txt",""
"9","akutagawa","sonokorono_akamonseikatsu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","sonokorono_akamonseikatsu.txt","（例）唯｜雷に"
"11","akutagawa","sonokorono_akamonseikatsu.txt",""
"12","akutagawa","sonokorono_akamonseikatsu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","sonokorono_akamonseikatsu.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","sonokorono_akamonseikatsu.txt","（例）※々"
"15","akutagawa","sonokorono_akamonseikatsu.txt","-------------------------------------------------------"
"16","akutagawa","sonokorono_akamonseikatsu.txt"," "
"17","akutagawa","sonokorono_akamonseikatsu.txt","一"
"18","akutagawa","sonokorono_akamonseikatsu.txt",""
"19","akutagawa","sonokorono_akamonseikatsu.txt","僕の二十六歳の時なりしと覚ゆ。"
"20","akutagawa","sonokorono_akamonseikatsu.txt","大学院学生となりをりしが、当時東京に住せざりしため、退学届を出す期限に遅れ、期限後数日を経て事務所に退学届を出したりしに、事務の人は規則を厳守して受けつけず「既に期限に遅れし故、三十円の金を収めよ」といふ。"
"21","akutagawa","sonokorono_akamonseikatsu.txt","大正五六年の三十円は大金なり。"
"22","akutagawa","sonokorono_akamonseikatsu.txt","僕はこの大金を出し難き事情ありしが故に「然らばやむを得ず除名処分を受くべし」といへり。"
"23","akutagawa","sonokorono_akamonseikatsu.txt","事務の人は僕の将来を気づかひ「君にして除名処分を受けん乎、今後の就職口を如何せん」といひしが、畢に除名処分を受くることとなれり。"
"24","akutagawa","sonokorono_akamonseikatsu.txt",""
"25","akutagawa","sonokorono_akamonseikatsu.txt","僕の同級の哲学科の学生、僕の為に感激して曰、「君もシエリングの如く除名処分を受けしか」と！シエリングも亦僕の如く三十円の金を出し渋りしや否や、僕は未だ寡聞にしてこれを知らざるを遺憾とするものなり。"
"26","akutagawa","sonokorono_akamonseikatsu.txt",""
"27","akutagawa","sonokorono_akamonseikatsu.txt",""
"28","akutagawa","sonokorono_akamonseikatsu.txt","二"
"29","akutagawa","sonokorono_akamonseikatsu.txt",""
"30","akutagawa","sonokorono_akamonseikatsu.txt","僕達のイギリス文学科の先生は、故ロオレンス先生なり、先生は一日僕を路上に捉へ、※々数千言を述べられてやまず。"
"31","akutagawa","sonokorono_akamonseikatsu.txt","然れども僕は先生の言を少しも解すること能はざりし故、唯｜雷に打たれたる唖の如く瞠目して先生の顔を見守り居たり。"
"32","akutagawa","sonokorono_akamonseikatsu.txt","先生も亦僕の容子に多少の疑惑を感ぜられしなるべし。"
"33","akutagawa","sonokorono_akamonseikatsu.txt","突如として僕に問うて曰く、“Are you Mr. K. ?”僕、答へて曰く、“No, Sir.”先生は――先生もまた雷に打たれたる唖の如く瞠目せらるること少時の後、僕を後にして立ち去られたり。"
"34","akutagawa","sonokorono_akamonseikatsu.txt","僕の親しく先生に接したるは実にこの路上の数分間なるのみ。"
"35","akutagawa","sonokorono_akamonseikatsu.txt",""
"36","akutagawa","sonokorono_akamonseikatsu.txt",""
"37","akutagawa","sonokorono_akamonseikatsu.txt","三"
"38","akutagawa","sonokorono_akamonseikatsu.txt",""
"39","akutagawa","sonokorono_akamonseikatsu.txt","僕等「新思潮社」同人の列したるは大正天皇の行幸し給へる最後の卒業式なりしなるべし。"
"40","akutagawa","sonokorono_akamonseikatsu.txt","僕等は久米正雄と共に夏の制服を持たざりし為、裸の上に冬の制服を着、恐る恐る大勢の中にまじり居たり。"
"41","akutagawa","sonokorono_akamonseikatsu.txt",""
"42","akutagawa","sonokorono_akamonseikatsu.txt",""
"43","akutagawa","sonokorono_akamonseikatsu.txt","四"
"44","akutagawa","sonokorono_akamonseikatsu.txt",""
"45","akutagawa","sonokorono_akamonseikatsu.txt","僕はケエベル先生を知れり。"
"46","akutagawa","sonokorono_akamonseikatsu.txt","先生はいつもフランネルのシヤツを着られ、シヨオペンハウエルを講ぜられしが、そのシヨオペンハウエルの本の上等なりしことは今に至つて忘るること能はず。"
"47","akutagawa","sonokorono_akamonseikatsu.txt",""
"48","akutagawa","sonokorono_akamonseikatsu.txt",""
"49","akutagawa","sonokorono_akamonseikatsu.txt","五"
"50","akutagawa","sonokorono_akamonseikatsu.txt",""
"51","akutagawa","sonokorono_akamonseikatsu.txt","僕は確か二年生の時｜独逸語の出来のよかりし為、独乙大使グラアフ・レツクスよりアルントの詩集を四冊貰へり。"
"52","akutagawa","sonokorono_akamonseikatsu.txt","然れどもこは真に出来のよかりしにあらず、一つには喜多床に髪を刈りに行きし時、独乙語の先生に順を譲り、先に刈らせたる為なるべし。"
