"","auth","piece","line"
"0","akutagawa","sosaku.txt","創作"
"1","akutagawa","sosaku.txt","芥川龍之介"
"2","akutagawa","sosaku.txt",""
"3","akutagawa","sosaku.txt","-------------------------------------------------------"
"4","akutagawa","sosaku.txt","【テキスト中に現れる記号について】"
"5","akutagawa","sosaku.txt",""
"6","akutagawa","sosaku.txt","《》：ルビ"
"7","akutagawa","sosaku.txt","（例）暇"
"8","akutagawa","sosaku.txt",""
"9","akutagawa","sosaku.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","sosaku.txt","（例）社会的｜覊絆"
"11","akutagawa","sosaku.txt",""
"12","akutagawa","sosaku.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","sosaku.txt","（例）（大正五年八月十九日）"
"14","akutagawa","sosaku.txt","-------------------------------------------------------"
"15","akutagawa","sosaku.txt",""
"16","akutagawa","sosaku.txt","僕に小説をかけと云ふのかね。"
"17","akutagawa","sosaku.txt","書けるのなら、とうに書いてゐるさ。"
"18","akutagawa","sosaku.txt","が、書けない。"
"19","akutagawa","sosaku.txt","遺憾ながら、職業に逐はれてペンをとる暇がない。"
"20","akutagawa","sosaku.txt","そこで、人に話す、その人が、それを小説に書く。"
"21","akutagawa","sosaku.txt","僕が材料を提供した小説が、これで十や二十はあるだらう。"
"22","akutagawa","sosaku.txt","勿論、有名なる作家の作品でね。"
"23","akutagawa","sosaku.txt","唯、君に注意して置きたいのは、僕の提供する材料が、大部分は、僕の創作だと云ふ事だよ。"
"24","akutagawa","sosaku.txt","勿論、これは、今まで、人に話した事はない。"
"25","akutagawa","sosaku.txt","さう云ふと、誰も、僕の話を聞いて、小説にする奴がないからね。"
"26","akutagawa","sosaku.txt","僕は、何時でも、小説らしい事実を想像でつくり上げて、それを僕の友だちの小説家に、ほんたうらしく話してやる。"
"27","akutagawa","sosaku.txt","すると、それが旬日ならずして、小説になる。"
"28","akutagawa","sosaku.txt","自分が小説を書くのも、同じ事さ。"
"29","akutagawa","sosaku.txt","唯、技巧が、多くの場合、全然僕の気に入らないがね、それは、まあ仕方がないさ。"
"30","akutagawa","sosaku.txt",""
"31","akutagawa","sosaku.txt","尤も、ほんたうらしく見せかけるのには、いろんな条件が必要だよ。"
"32","akutagawa","sosaku.txt","僕自身、僕の小説の主人公になる事もある。"
"33","akutagawa","sosaku.txt","或は、僕の友だちの夫婦関係を粉本に、ちよいと借用する事もある。"
"34","akutagawa","sosaku.txt","が、決して、モデル問題は起らない。"
"35","akutagawa","sosaku.txt","起らない筈さ。"
"36","akutagawa","sosaku.txt","モデル自身は、実際、僕の提供する材料のやうな事をしてはゐないんだし、僕の友だちの小説家も、それが姦通とか、竊盗とか、シリアスな事になればなる程、徳義上、モデルの名は出さないからね。"
"37","akutagawa","sosaku.txt","そこで、その小説が活字になる。"
"38","akutagawa","sosaku.txt","作家は原稿料を貰ふ。"
"39","akutagawa","sosaku.txt","どうかすると、僕をよんで、一杯やらうと云ふやうな事になる。"
"40","akutagawa","sosaku.txt","実は、僕の方が、作家に礼をすべき筈なのだが、向ふで、嬉しがつて、するのだからさせて置くのさ。"
"41","akutagawa","sosaku.txt",""
"42","akutagawa","sosaku.txt","所が、この間、弱つた事があつた。"
"43","akutagawa","sosaku.txt","なに、Ｋの奴を、小説の主人公にして見たのさ。"
"44","akutagawa","sosaku.txt","何しろ先生あの通り、トルストイヤンだから、あいつが、芸者に関係してゐる事にしたら、面白からうと思つて、さう云ふ情話を、創作してしまつたのだね。"
"45","akutagawa","sosaku.txt","すると、その小説が出て、五六日すると、Ｋが僕の所へやつて来て、恨がましい事を並べてるぢやあないか。"
"46","akutagawa","sosaku.txt","いくら、あれは君の事を書いたのではないと云つても、承知しない。"
"47","akutagawa","sosaku.txt","始めから、僕の手から出た材料ではないと云つてしまへば、よかつたのだが、それをしなかつたのが、こつちの落度さ。"
"48","akutagawa","sosaku.txt","が、僕がＫの話をした小説家と云ふのは、気の小さい、大学を出たての男で、Ｋ君の名誉に関る事だから位、おどかして置けば、決して、モデルが誰だなぞと云ふ事を、吹聴する男ぢやあない。"
"49","akutagawa","sosaku.txt","そこで、怪しいと思つたから、Ｋに、何故君がモデルだと云ふ事がわかつたと、追窮したら、驚いたね、実際Ｋの奴が、かくれて芸者遊びをしてゐたのだ。"
"50","akutagawa","sosaku.txt","それも、箒なのだらうぢやあないか。"
"51","akutagawa","sosaku.txt","仕方がないから、僕は、表面上、Ｋの私行を発いたと云ふ罪を甘受して、Ｋに謝罪したがね。"
"52","akutagawa","sosaku.txt","まるで、寃罪に伏した事になるのだから、僕もいい迷惑さ。"
"53","akutagawa","sosaku.txt","しかし、それ以来、僕の提供する材料が、嘘ではないと云ふ事が、僕の友だちの小説家仲間に、確証されたからね。"
"54","akutagawa","sosaku.txt","満更、莫迦を見たわけでもないと云ふものさ。"
"55","akutagawa","sosaku.txt",""
"56","akutagawa","sosaku.txt","だが、たまには、面白い事もあるよ。"
"57","akutagawa","sosaku.txt","僕は、いつかＭが、他人の細君に恋してゐると云ふ話を創作した。"
"58","akutagawa","sosaku.txt","尤も一切の社会的｜覊絆を蹂躙して、その女と結婚する事が男らしい如く、自分の恋を打明けずにおくのも男らしいと云ふ信念から、依然として、童貞を守りながら、その女ときれいな交際をしてゐると云ふ筋なのだがね。"
"59","akutagawa","sosaku.txt","すると、それを聞いた僕の友だちの小説家は、それ以来、大にＭに推服してしまつたぢやあないか。"
"60","akutagawa","sosaku.txt","実は、Ｍ位、誘惑に負け易い、男らしくない人間はないのだがね。"
"61","akutagawa","sosaku.txt","それを見てゐると、いくら僕でも、笑はずにはゐられないよ。"
"62","akutagawa","sosaku.txt",""
"63","akutagawa","sosaku.txt","君は、いやな顔をするね。"
"64","akutagawa","sosaku.txt","僕を、罪な事をする男だとでも、思つてゐるのだらう。"
"65","akutagawa","sosaku.txt","隠したつて、駄目だよ、商売がら、僕の診察に間違ひはない。"
"66","akutagawa","sosaku.txt","医者と云ふものは、病状の診断を、患者の顔色からも、拵へるものだからね。"
"67","akutagawa","sosaku.txt","それは、君のモラアルも、僕にはよくわかつてゐるさ。"
"68","akutagawa","sosaku.txt","しかしだね、僕が、さう云ふ事をしたからと云つて、どれだけ他人に迷惑を与へるだらう。"
"69","akutagawa","sosaku.txt","唯、甲が乙に対して持つてゐる考へを、少し変更するだけの事だ。"
"70","akutagawa","sosaku.txt","善くか、悪くかは、場合場合でちがふがね。"
"71","akutagawa","sosaku.txt","え、偽を真に代へる惧がある？冗談云つちやあいけない。"
"72","akutagawa","sosaku.txt","甲が乙に対して持つてゐる考へに、真偽の別なんぞ、あり得ないぢやあないか。"
"73","akutagawa","sosaku.txt","自分を知つてゐる者は、自分だけさ。"
"74","akutagawa","sosaku.txt","もう一つあれば、自分を造つた、自分の上の実在だけさ。"
"75","akutagawa","sosaku.txt",""
"76","akutagawa","sosaku.txt","尤も、その為に、甲と乙との間に、不和でも起れば、僕の責任だが、そんな事は、絶対にないと云つても、まあいいね。"
"77","akutagawa","sosaku.txt","それだけの注意は、僕でも、ちやんとしてゐるのだから。"
"78","akutagawa","sosaku.txt",""
"79","akutagawa","sosaku.txt","第一僕のやうな真似をした人間は、昔から沢山ゐたらうと思ふね。"
"80","akutagawa","sosaku.txt","それは、僕程、明白な自覚を以て、した奴はないかも知れないさ。"
"81","akutagawa","sosaku.txt","が、ゐた事は、確にゐたよ。"
"82","akutagawa","sosaku.txt","たとへばだね、僕が、実際、何か経験して、それを、僕の友だちに話したとする。"
"83","akutagawa","sosaku.txt","君は、その時、厳密な意味で、僕が嘘をつかずに、ありのままを話せると思ふかね。"
"84","akutagawa","sosaku.txt","よし、出来るにしても、むづかしい事には、ちがひなからう。"
"85","akutagawa","sosaku.txt","さうすると、嘘の材料を提供すると云ふ事と、実際のそれを提供すると云ふ事との差が、一般に考へてゐるよりも、少なくなつてくる。"
"86","akutagawa","sosaku.txt","それなら、昔から、出たらめを、小説家や詩人に話した奴が、沢山ゐたらうぢやあないか。"
"87","akutagawa","sosaku.txt","出たらめと云ふと、人聞きが悪いがね。"
"88","akutagawa","sosaku.txt","実は、立派な想像の産物さ。"
"89","akutagawa","sosaku.txt",""
"90","akutagawa","sosaku.txt","まあ、そんなむづかしい顔をするのは、よし給へ。"
"91","akutagawa","sosaku.txt","それよりその珈琲でものんで、一しよに出かけよう。"
"92","akutagawa","sosaku.txt","さうして、あの電燈の下で、ベエトオフエンでも聞かう。"
"93","akutagawa","sosaku.txt","ヘルデン・レエベンは、自動車の音に似てゐるから、好きだと云ふ男が、ジアン・クリストフの中に、出て来るぢやあないか。"
"94","akutagawa","sosaku.txt","僕のベエトオフエンの聞き方も、あの男と同じかも知れない。"
"95","akutagawa","sosaku.txt","事によると、人生と云ふものの観方もね。"
"96","akutagawa","sosaku.txt","……"
"97","akutagawa","sosaku.txt","（大正五年八月十九日）"
"98","akutagawa","sosaku.txt",""
"99","akutagawa","sosaku.txt",""
"100","akutagawa","sosaku.txt",""
"101","akutagawa","sosaku.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"102","akutagawa","sosaku.txt","1971（昭和46）年6月5日初版第1刷発行"
"103","akutagawa","sosaku.txt","1979（昭和54）年4月10日初版第11刷発行"
"104","akutagawa","sosaku.txt","入力：土屋隆"
"105","akutagawa","sosaku.txt","校正：松永正敏"
"106","akutagawa","sosaku.txt","2007年6月26日作成"
"107","akutagawa","sosaku.txt","青空文庫作成ファイル："
"108","akutagawa","sosaku.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"109","akutagawa","sosaku.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"110","akutagawa","sosaku.txt",""
