"","auth","piece","line"
"0","akutagawa","takita_tetsutarokun.txt","滝田哲太郎君"
"1","akutagawa","takita_tetsutarokun.txt","芥川龍之介"
"2","akutagawa","takita_tetsutarokun.txt",""
"3","akutagawa","takita_tetsutarokun.txt","-------------------------------------------------------"
"4","akutagawa","takita_tetsutarokun.txt","【テキスト中に現れる記号について】"
"5","akutagawa","takita_tetsutarokun.txt",""
"6","akutagawa","takita_tetsutarokun.txt","《》：ルビ"
"7","akutagawa","takita_tetsutarokun.txt","（例）初めて"
"8","akutagawa","takita_tetsutarokun.txt",""
"9","akutagawa","takita_tetsutarokun.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","takita_tetsutarokun.txt","（例）その時｜僕のために"
"11","akutagawa","takita_tetsutarokun.txt",""
"12","akutagawa","takita_tetsutarokun.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","takita_tetsutarokun.txt","（例）滝田君"
"14","akutagawa","takita_tetsutarokun.txt","-------------------------------------------------------"
"15","akutagawa","takita_tetsutarokun.txt",""
"16","akutagawa","takita_tetsutarokun.txt","◇"
"17","akutagawa","takita_tetsutarokun.txt","滝田君に初めて会ったのは夏目先生のお宅だったであろう。"
"18","akutagawa","takita_tetsutarokun.txt","が、生憎その時のことは何も記憶に残っていない。"
"19","akutagawa","takita_tetsutarokun.txt",""
"20","akutagawa","takita_tetsutarokun.txt","滝田君の初めて僕の家へ来たのは僕の大学を出た年の秋、――僕の初めて「中央公論」へ「手巾」という小説を書いた時である。"
"21","akutagawa","takita_tetsutarokun.txt","滝田君は僕にその小説のことを「ちょっと皮肉なものですな」といった。"
"22","akutagawa","takita_tetsutarokun.txt",""
"23","akutagawa","takita_tetsutarokun.txt","それから滝田君は二三ヵ月おきに僕の家へ来るようになった。"
"24","akutagawa","takita_tetsutarokun.txt",""
"25","akutagawa","takita_tetsutarokun.txt","◇"
"26","akutagawa","takita_tetsutarokun.txt","或年の春、僕は原稿の出来ぬことに少からず屈託していた。"
