"","auth","piece","line"
"0","akutagawa","tanekono_yutsu.txt","たね子の憂鬱"
"1","akutagawa","tanekono_yutsu.txt","芥川龍之介"
"2","akutagawa","tanekono_yutsu.txt",""
"3","akutagawa","tanekono_yutsu.txt","-------------------------------------------------------"
"4","akutagawa","tanekono_yutsu.txt","【テキスト中に現れる記号について】"
"5","akutagawa","tanekono_yutsu.txt",""
"6","akutagawa","tanekono_yutsu.txt","《》：ルビ"
"7","akutagawa","tanekono_yutsu.txt","（例）夫"
"8","akutagawa","tanekono_yutsu.txt",""
"9","akutagawa","tanekono_yutsu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","tanekono_yutsu.txt","（例）結婚｜披露式"
"11","akutagawa","tanekono_yutsu.txt",""
"12","akutagawa","tanekono_yutsu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","tanekono_yutsu.txt","（例）しもた家"
"14","akutagawa","tanekono_yutsu.txt","-------------------------------------------------------"
"15","akutagawa","tanekono_yutsu.txt",""
"16","akutagawa","tanekono_yutsu.txt","たね子は夫の先輩に当るある実業家の令嬢の結婚｜披露式の通知を貰った時、ちょうど勤め先へ出かかった夫にこう熱心に話しかけた。"
"17","akutagawa","tanekono_yutsu.txt",""
"18","akutagawa","tanekono_yutsu.txt","「あたしも出なければ悪いでしょうか？」"
"19","akutagawa","tanekono_yutsu.txt","「それは悪いさ。"
"20","akutagawa","tanekono_yutsu.txt","」"
"21","akutagawa","tanekono_yutsu.txt","夫はタイを結びながら、鏡の中のたね子に返事をした。"
"22","akutagawa","tanekono_yutsu.txt","もっともそれは箪笥の上に立てた鏡に映っていた関係上、たね子よりもむしろたね子の眉に返事をした――のに近いものだった。"
"23","akutagawa","tanekono_yutsu.txt",""
"24","akutagawa","tanekono_yutsu.txt","「だって帝国ホテルでやるんでしょう？」"
"25","akutagawa","tanekono_yutsu.txt","「帝国ホテル――か？」"
"26","akutagawa","tanekono_yutsu.txt","「あら、御存知なかったの？」"
"27","akutagawa","tanekono_yutsu.txt","「うん、……おい、チョッキ！」"
"28","akutagawa","tanekono_yutsu.txt","たね子は急いでチョッキをとり上げ、もう一度この披露式の話をし出した。"
"29","akutagawa","tanekono_yutsu.txt",""
"30","akutagawa","tanekono_yutsu.txt","「帝国ホテルじゃ洋食でしょう？」"
"31","akutagawa","tanekono_yutsu.txt","「当り前なことを言っている。"
"32","akutagawa","tanekono_yutsu.txt","」"
"33","akutagawa","tanekono_yutsu.txt","「それだからあたしは困ってしまう。"
"34","akutagawa","tanekono_yutsu.txt","」"
"35","akutagawa","tanekono_yutsu.txt","「なぜ？」"
"36","akutagawa","tanekono_yutsu.txt","「なぜって……あたしは洋食の食べかたを一度も教わったことはないんですもの。"
"37","akutagawa","tanekono_yutsu.txt","」"
"38","akutagawa","tanekono_yutsu.txt","「誰でも教わったり何かするものか！……」"
"39","akutagawa","tanekono_yutsu.txt","夫は上着をひっかけるが早いか、無造作に春の中折帽をかぶった。"
"40","akutagawa","tanekono_yutsu.txt","それからちょっと箪笥の上の披露式の通知に目を通し「何だ、四月の十六日じゃないか？」と言った。"
"41","akutagawa","tanekono_yutsu.txt",""
"42","akutagawa","tanekono_yutsu.txt","「そりゃ十六日だって十七日だって……」"
"43","akutagawa","tanekono_yutsu.txt","「だからさ、まだ三日もある。"
"44","akutagawa","tanekono_yutsu.txt","そのうちに稽古をしろと言うんだ。"
"45","akutagawa","tanekono_yutsu.txt","」"
"46","akutagawa","tanekono_yutsu.txt","「じゃあなた、あしたの日曜にでもきっとどこかへつれて行って下さる！」"
"47","akutagawa","tanekono_yutsu.txt","しかし夫は何とも言わずにさっさと会社へ出て行ってしまった。"
"48","akutagawa","tanekono_yutsu.txt","たね子は夫を見送りながら、ちょっと憂鬱にならずにはいられなかった。"
"49","akutagawa","tanekono_yutsu.txt","それは彼女の体の具合も手伝っていたことは確かだった。"
"50","akutagawa","tanekono_yutsu.txt","子供のない彼女はひとりになると、長火鉢の前の新聞をとり上げ、何かそう云う記事はないかと一々欄外へも目を通した。"
"51","akutagawa","tanekono_yutsu.txt","が、「今日の献立て」はあっても、洋食の食べかたなどと云うものはなかった。"
