"","auth","piece","line"
"0","akutagawa","tatsumura_heizo_shi.txt","龍村平蔵氏の芸術"
"1","akutagawa","tatsumura_heizo_shi.txt","芥川龍之介"
"2","akutagawa","tatsumura_heizo_shi.txt",""
"3","akutagawa","tatsumura_heizo_shi.txt","-------------------------------------------------------"
"4","akutagawa","tatsumura_heizo_shi.txt","【テキスト中に現れる記号について】"
"5","akutagawa","tatsumura_heizo_shi.txt",""
"6","akutagawa","tatsumura_heizo_shi.txt","《》：ルビ"
"7","akutagawa","tatsumura_heizo_shi.txt","（例）斯る"
"8","akutagawa","tatsumura_heizo_shi.txt","-------------------------------------------------------"
"9","akutagawa","tatsumura_heizo_shi.txt",""
"10","akutagawa","tatsumura_heizo_shi.txt","現代はせち辛い世の中である。"
"11","akutagawa","tatsumura_heizo_shi.txt","このせち辛い世の中に、龍村平蔵さんの如く一本二千円も三千円もする女帯を織つてゐると云ふ事は或は時代の大勢に風馬牛だと云ふ非難を得るかも知れない。"
"12","akutagawa","tatsumura_heizo_shi.txt","いや、中には斯る贅沢品の為に、生産能力の費される事を憤慨する向きもありさうである。"
"13","akutagawa","tatsumura_heizo_shi.txt",""
"14","akutagawa","tatsumura_heizo_shi.txt","が、その女帯が単なる女帯に止まらなかつたら――工芸品よりも寧ろ芸術品として鑑賞せらるべき性質のものだつたら、如何に現代が明日の日にも、米の飯さへ食へなくなりさうな、せち辛い世の中であるにもせよ、一概に贅沢品退治の鼓を鳴らして、龍村さんの事業と作品とを責める訳には行くまいと思ふ。"
"15","akutagawa","tatsumura_heizo_shi.txt","この意味に於て私は、悪辣無双に切迫した時勢の手前も遠慮なく、堂々と龍村さんの女帯を天下に推称出来る事を、この上もなく喜ばしく思はない訳には行かないのである。"
"16","akutagawa","tatsumura_heizo_shi.txt",""
"17","akutagawa","tatsumura_heizo_shi.txt","と云つて勿論私は、特に織物の鑑賞に長じてゐる次第でも何でもない。"
"18","akutagawa","tatsumura_heizo_shi.txt","ましてその方面の歴史的或は科学的知識に至つては、猶更不案内な人間である。"
"19","akutagawa","tatsumura_heizo_shi.txt","だから龍村さんの女帯が、滔々たる当世の西陣織と比較して、――と云ふよりは呉織綾織から川島甚兵衛に至るまで、上下二千年の織工史を通じて、如何なる地歩を占むべきものか、その辺の消息に至つては、毫もわからぬと云ふ外はない。"
