"","auth","piece","line"
"0","akutagawa","tegami.txt","手紙"
"1","akutagawa","tegami.txt","芥川龍之介"
"2","akutagawa","tegami.txt",""
"3","akutagawa","tegami.txt","-------------------------------------------------------"
"4","akutagawa","tegami.txt","【テキスト中に現れる記号について】"
"5","akutagawa","tegami.txt",""
"6","akutagawa","tegami.txt","《》：ルビ"
"7","akutagawa","tegami.txt","（例）神経衰弱に善い"
"8","akutagawa","tegami.txt",""
"9","akutagawa","tegami.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","tegami.txt","（例）時々｜裂けかかった"
"11","akutagawa","tegami.txt",""
"12","akutagawa","tegami.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","tegami.txt","（例）（昭和二年六月七日）"
"14","akutagawa","tegami.txt","-------------------------------------------------------"
"15","akutagawa","tegami.txt",""
"16","akutagawa","tegami.txt","僕は今この温泉宿に滞在しています。"
"17","akutagawa","tegami.txt","避暑する気もちもないではありません。"
"18","akutagawa","tegami.txt","しかしまだそのほかにゆっくり読んだり書いたりしたい気もちもあることは確かです。"
"19","akutagawa","tegami.txt","ここは旅行案内の広告によれば、神経衰弱に善いとか云うことです。"
"20","akutagawa","tegami.txt","そのせいか狂人も二人ばかりいます。"
"21","akutagawa","tegami.txt","一人は二十七八の女です。"
"22","akutagawa","tegami.txt","この女は何も口を利かずに手風琴ばかり弾いています。"
"23","akutagawa","tegami.txt","が、身なりはちゃんとしていますから、どこか相当な家の奥さんでしょう。"
"24","akutagawa","tegami.txt","のみならず二三度見かけたところではどこかちょっと混血児じみた、輪廓の正しい顔をしています。"
"25","akutagawa","tegami.txt","もう一人の狂人は赤あかと額の禿げ上った四十前後の男です。"
"26","akutagawa","tegami.txt","この男は確か左の腕に松葉の入れ墨をしているところを見ると、まだ狂人にならない前には何か意気な商売でもしていたものかも知れません。"
"27","akutagawa","tegami.txt","僕は勿論この男とは度たび風呂の中でも一しょになります。"
"28","akutagawa","tegami.txt","Ｋ君は（これはここに滞在しているある大学の学生です。"
"29","akutagawa","tegami.txt","）この男の入れ墨を指さし、いきなり「君の細君の名はお松さんだね」と言ったものです。"
"30","akutagawa","tegami.txt","するとこの男は湯に浸ったまま、子供のように赤い顔をしました。"
"31","akutagawa","tegami.txt","……"
"32","akutagawa","tegami.txt","Ｋ君は僕よりも十も若い人です。"
"33","akutagawa","tegami.txt","おまけに同じ宿のＭ子さん親子とかなり懇意にしている人です。"
"34","akutagawa","tegami.txt","Ｍ子さんは昔風に言えば、若衆顔をしているとでも言うのでしょう。"
"35","akutagawa","tegami.txt","僕はＭ子さんの女学校時代にお下げに白い後ろ鉢巻をした上、薙刀を習ったと云うことを聞き、定めしそれは牛若丸か何かに似ていたことだろうと思いました。"
"36","akutagawa","tegami.txt","もっともこのＭ子さん親子にはＳ君もやはり交際しています。"
"37","akutagawa","tegami.txt","Ｓ君はＫ君の友だちです。"
"38","akutagawa","tegami.txt","ただＫ君と違うのは、――僕はいつも小説などを読むと、二人の男性を差別するために一人を肥った男にすれば、一人を瘠せた男にするのをちょっと滑稽に思っています。"
"39","akutagawa","tegami.txt","それからまた一人を豪放な男にすれば、一人を繊弱な男にするのにもやはり微笑まずにはいられません。"
"40","akutagawa","tegami.txt","現にＫ君やＳ君は二人とも肥ってはいないのです。"
"41","akutagawa","tegami.txt","のみならず二人とも傷き易い神経を持って生まれているのです。"
"42","akutagawa","tegami.txt","が、Ｋ君はＳ君のように容易に弱みを見せません。"
"43","akutagawa","tegami.txt","実際また弱みを見せない修業を積もうともしているらしいのです。"
"44","akutagawa","tegami.txt",""
"45","akutagawa","tegami.txt","Ｋ君、Ｓ君、Ｍ子さん親子、――僕のつき合っているのはこれだけです。"
"46","akutagawa","tegami.txt","もっともつき合いと言ったにしろ、ただ一しょに散歩したり話したりするほかはありません。"
"47","akutagawa","tegami.txt","何しろここには温泉宿のほかに（それもたった二軒だけです。"
"48","akutagawa","tegami.txt","）カッフェ一つないのです。"
"49","akutagawa","tegami.txt","僕はこう云う寂しさを少しも不足には思っていません。"
"50","akutagawa","tegami.txt","しかしＫ君やＳ君は時々「我等の都会に対する郷愁」と云うものを感じています。"
"51","akutagawa","tegami.txt","Ｍ子さん親子も、――Ｍ子さん親子の場合は複雑です。"
"52","akutagawa","tegami.txt","Ｍ子さん親子は貴族主義者です。"
"53","akutagawa","tegami.txt","従ってこう云う山の中に満足している訣はありません。"
"54","akutagawa","tegami.txt","しかしその不満の中に満足を感じているのです。"
"55","akutagawa","tegami.txt","少くともかれこれ一月だけの満足を感じているのです。"
"56","akutagawa","tegami.txt",""
"57","akutagawa","tegami.txt","僕の部屋は二階の隅にあります。"
"58","akutagawa","tegami.txt","僕はこの部屋の隅の机に向かい、午前だけはちゃんと勉強します。"
"59","akutagawa","tegami.txt","午後はトタン屋根に日が当るものですから、その烈しい火照りだけでもとうてい本などは読めません。"
"60","akutagawa","tegami.txt","では何をするかと言えば、Ｋ君やＳ君に来て貰ってトランプや将棊に閑をつぶしたり、組み立て細工の木枕をして（これはここの名産です。"
"61","akutagawa","tegami.txt","）昼寝をしたりするだけです。"
"62","akutagawa","tegami.txt","五六日前の午後のことです。"
"63","akutagawa","tegami.txt","僕はやはり木枕をしたまま、厚い渋紙の表紙をかけた「大久保武蔵鐙」を読んでいました。"
"64","akutagawa","tegami.txt","するとそこへ襖をあけていきなり顔を出したのは下の部屋にいるＭ子さんです。"
"65","akutagawa","tegami.txt","僕はちょっと狼狽し、莫迦莫迦しいほどちゃんと坐り直しました。"
"66","akutagawa","tegami.txt",""
"67","akutagawa","tegami.txt","「あら、皆さんはいらっしゃいませんの？」"
"68","akutagawa","tegami.txt","「ええ。"
"69","akutagawa","tegami.txt","きょうは誰も、……まあ、どうかおはいりなさい。"
"70","akutagawa","tegami.txt","」"
"71","akutagawa","tegami.txt","Ｍ子さんは襖をあけたまま、僕の部屋の縁先に佇みました。"
"72","akutagawa","tegami.txt",""
"73","akutagawa","tegami.txt","「この部屋はお暑うございますわね。"
"74","akutagawa","tegami.txt","」"
"75","akutagawa","tegami.txt","逆光線になったＭ子さんの姿は耳だけ真紅に透いて見えます。"
"76","akutagawa","tegami.txt","僕は何か義務に近いものを感じ、Ｍ子さんの隣に立つことにしました。"
"77","akutagawa","tegami.txt",""
"78","akutagawa","tegami.txt","「あなたのお部屋は涼しいでしょう。"
"79","akutagawa","tegami.txt","」"
"80","akutagawa","tegami.txt","「ええ、……でも手風琴の音ばかりして。"
"81","akutagawa","tegami.txt","」"
"82","akutagawa","tegami.txt","「ああ、あの気違いの部屋の向うでしたね。"
"83","akutagawa","tegami.txt","」"
"84","akutagawa","tegami.txt","僕等はこんな話をしながら、しばらく縁先に佇んでいました。"
"85","akutagawa","tegami.txt","西日を受けたトタン屋根は波がたにぎらぎらかがやいています。"
"86","akutagawa","tegami.txt","そこへ庭の葉桜の枝から毛虫が一匹転げ落ちました。"
"87","akutagawa","tegami.txt","毛虫は薄いトタン屋根の上にかすかな音を立てたと思うと、二三度体をうねらせたぎり、すぐにぐったり死んでしまいました。"
"88","akutagawa","tegami.txt","それは実に呆っ気ない死です。"
"89","akutagawa","tegami.txt","同時にまた実に世話の無い死です。"
"90","akutagawa","tegami.txt","――"
"91","akutagawa","tegami.txt","「フライ鍋の中へでも落ちたようですね。"
"92","akutagawa","tegami.txt","」"
"93","akutagawa","tegami.txt","「あたしは毛虫は大嫌い。"
"94","akutagawa","tegami.txt","」"
"95","akutagawa","tegami.txt","「僕は手でもつまめますがね。"
"96","akutagawa","tegami.txt","」"
"97","akutagawa","tegami.txt","「Ｓさんもそんなことを言っていらっしゃいました。"
"98","akutagawa","tegami.txt","」"
"99","akutagawa","tegami.txt","Ｍ子さんは真面目に僕の顔を見ました。"
"100","akutagawa","tegami.txt",""
"101","akutagawa","tegami.txt","「Ｓ君もね。"
"102","akutagawa","tegami.txt","」"
"103","akutagawa","tegami.txt","僕の返事はＭ子さんには気乗りのしないように聞えたのでしょう。"
"104","akutagawa","tegami.txt","（僕は実はＭ子さんに、――と云うよりもＭ子さんと云う少女の心理に興味を持っていたのですが。"
"105","akutagawa","tegami.txt","）Ｍ子さんは幾分か拗ねたようにこう言って手すりを離れました。"
"106","akutagawa","tegami.txt",""
"107","akutagawa","tegami.txt","「じゃまた後ほど。"
"108","akutagawa","tegami.txt","」"
"109","akutagawa","tegami.txt","Ｍ子さんの帰って行った後、僕はまた木枕をしながら、「大久保武蔵鐙」を読みつづけました。"
"110","akutagawa","tegami.txt","が、活字を追う間に時々あの毛虫のことを思い出しました。"
"111","akutagawa","tegami.txt","……"
"112","akutagawa","tegami.txt","僕の散歩に出かけるのはいつも大抵は夕飯前です。"
"113","akutagawa","tegami.txt","こう云う時にはＭ子さん親子をはじめ、Ｋ君やＳ君も一しょに出るのです。"
"114","akutagawa","tegami.txt","そのまた散歩する場所もこの村の前後二三町の松林よりほかにはありません。"
"115","akutagawa","tegami.txt","これは毛虫の落ちるのを見た時よりもあるいは前の出来事でしょう。"
"116","akutagawa","tegami.txt","僕等はやはりはしゃぎながら、松林の中を歩いていました。"
"117","akutagawa","tegami.txt","僕等は？――もっともＭ子さんのお母さんだけは例外です。"
"118","akutagawa","tegami.txt","この奥さんは年よりは少くとも十ぐらいはふけて見えるのでしょう。"
"119","akutagawa","tegami.txt","僕はＭ子さんの一家のことは何も知らないものの一人です。"
"120","akutagawa","tegami.txt","しかしいつか読んだ新聞記事によれば、この奥さんはＭ子さんやＭ子さんの兄さんを産んだ人ではないはずです。"
"121","akutagawa","tegami.txt","Ｍ子さんの兄さんはどこかの入学試験に落第したためにお父さんのピストルで自殺しました。"
"122","akutagawa","tegami.txt","僕の記憶を信ずるとすれば、新聞は皆兄さんの自殺したのもこの後妻に来た奥さんに責任のあるように書いていました。"
"123","akutagawa","tegami.txt","この奥さんの年をとっているのもあるいはそんなためではないでしょうか？僕はまだ五十を越していないのに髪の白い奥さんを見る度にどうもそんなことを考えやすいのです。"
"124","akutagawa","tegami.txt","しかし僕等四人だけはとにかくしゃべりつづけにしゃべっていました。"
"125","akutagawa","tegami.txt","するとＭ子さんは何を見たのか、「あら、いや」と言ってＫ君の腕を抑えました。"
"126","akutagawa","tegami.txt",""
"127","akutagawa","tegami.txt","「何です？僕は蛇でも出たのかと思った。"
"128","akutagawa","tegami.txt","」"
"129","akutagawa","tegami.txt","それは実際何でもない。"
"130","akutagawa","tegami.txt","ただ乾いた山砂の上に細かい蟻が何匹も半死半生の赤蜂を引きずって行こうとしていたのです。"
"131","akutagawa","tegami.txt","赤蜂は仰けになったなり、時々｜裂けかかった翅を鳴らし、蟻の群を逐い払っています。"
"132","akutagawa","tegami.txt","が、蟻の群は蹴散らされたと思うと、すぐにまた赤蜂の翅や脚にすがりついてしまうのです。"
"133","akutagawa","tegami.txt","僕等はそこに立ちどまり、しばらくこの赤蜂のあがいているのを眺めていました。"
"134","akutagawa","tegami.txt","現にＭ子さんも始めに似合わず、妙に真剣な顔をしたまま、やはりＫ君の側に立っていたのです。"
"135","akutagawa","tegami.txt",""
"136","akutagawa","tegami.txt","「時々｜剣を出しますわね。"
"137","akutagawa","tegami.txt","」"
"138","akutagawa","tegami.txt","「蜂の剣は鉤のように曲っているものですね。"
"139","akutagawa","tegami.txt","」"
"140","akutagawa","tegami.txt","僕は誰も黙っているものですから、Ｍ子さんとこんな話をしていました。"
"141","akutagawa","tegami.txt",""
"142","akutagawa","tegami.txt","「さあ、行きましょう。"
"143","akutagawa","tegami.txt","あたしはこんなものを見るのは大嫌い。"
"144","akutagawa","tegami.txt","」"
"145","akutagawa","tegami.txt","Ｍ子さんのお母さんは誰よりも先きに歩き出しました。"
"146","akutagawa","tegami.txt","僕等も歩き出したのは勿論です。"
"147","akutagawa","tegami.txt","松林は路をあましたまま、ひっそりと高い草を伸ばしていました。"
"148","akutagawa","tegami.txt","僕等の話し声はこの松林の中に存外高い反響を起しました。"
"149","akutagawa","tegami.txt","殊にＫ君の笑い声は――Ｋ君はＳ君やＭ子さんにＫ君の妹さんのことを話していました。"
"150","akutagawa","tegami.txt","この田舎にいる妹さんは女学校を卒業したばかりらしいのです。"
"151","akutagawa","tegami.txt","が、何でも夫になる人は煙草ものまなければ酒ものまない、品行方正の紳士でなければならないと言っていると云うことです。"
"152","akutagawa","tegami.txt",""
"153","akutagawa","tegami.txt","「僕等は皆落第ですね？」"
