"","auth","piece","line"
"0","akutagawa","tokyoni_umarete.txt","東京に生れて"
"1","akutagawa","tokyoni_umarete.txt","芥川龍之介"
"2","akutagawa","tokyoni_umarete.txt",""
"3","akutagawa","tokyoni_umarete.txt","-------------------------------------------------------"
"4","akutagawa","tokyoni_umarete.txt","【テキスト中に現れる記号について】"
"5","akutagawa","tokyoni_umarete.txt",""
"6","akutagawa","tokyoni_umarete.txt","《》：ルビ"
"7","akutagawa","tokyoni_umarete.txt","（例）殆んど"
"8","akutagawa","tokyoni_umarete.txt",""
"9","akutagawa","tokyoni_umarete.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","akutagawa","tokyoni_umarete.txt","（例）たね"
"11","akutagawa","tokyoni_umarete.txt",""
"12","akutagawa","tokyoni_umarete.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"13","akutagawa","tokyoni_umarete.txt","（例）ごみ／＼した"
"14","akutagawa","tokyoni_umarete.txt","-------------------------------------------------------"
"15","akutagawa","tokyoni_umarete.txt",""
"16","akutagawa","tokyoni_umarete.txt","変化の激しい都会"
"17","akutagawa","tokyoni_umarete.txt","僕に東京の印象を話せといふのは無理である。"
"18","akutagawa","tokyoni_umarete.txt","何故といへば、或る印象を得るためには、印象するものと、印象されるものとの間に、或る新鮮さがなければならない。"
"19","akutagawa","tokyoni_umarete.txt","ところが、僕は東京に生れ、東京に育ち、東京に住んでゐる。"
"20","akutagawa","tokyoni_umarete.txt","だから、東京に対する神経は麻痺し切つてゐるといつてもいゝ。"
"21","akutagawa","tokyoni_umarete.txt","従つて、東京の印象といふやうなことは、殆んど話すことがないのである。"
"22","akutagawa","tokyoni_umarete.txt",""
"23","akutagawa","tokyoni_umarete.txt","しかし、こゝに幸せなことは、東京は変化の激しい都会である。"
"24","akutagawa","tokyoni_umarete.txt","例へばつい半年ほど前には、石の擬宝珠のあつた京橋も、このごろでは、西洋風の橋に変つてゐる。"
"25","akutagawa","tokyoni_umarete.txt","そのために、東京の印象といふやうなものが、多少は話せないわけでもない。"
"26","akutagawa","tokyoni_umarete.txt","殊に、僕の如き出不精なものは、それだけ変化にも驚き易いから、幾分か話すたねも殖えるわけである。"
"27","akutagawa","tokyoni_umarete.txt",""
"28","akutagawa","tokyoni_umarete.txt",""
"29","akutagawa","tokyoni_umarete.txt","住み心地のよくないところ"
"30","akutagawa","tokyoni_umarete.txt","大体にいへば、今の東京はあまり住み心地のいゝところではない。"
"31","akutagawa","tokyoni_umarete.txt","例へば、大川にしても、僕が子供の時分には、まだ百本杭もあつたし、中洲界隈は一面の蘆原だつたが、もう今では如何にも都会の川らしい、ごみ／＼したものに変つてしまつた。"
"32","akutagawa","tokyoni_umarete.txt","殊にこの頃出来るアメリカ式の大建築は、どこにあるのも見にくいものゝみである。"
"33","akutagawa","tokyoni_umarete.txt","その外、電車、カフエー、並木、自働車、何れもあまり感心するものはない。"
"34","akutagawa","tokyoni_umarete.txt",""
