"","auth","piece","line"
"0","akutagawa","toyono_aki.txt","東洋の秋"
"1","akutagawa","toyono_aki.txt","芥川龍之介"
"2","akutagawa","toyono_aki.txt",""
"3","akutagawa","toyono_aki.txt","-------------------------------------------------------"
"4","akutagawa","toyono_aki.txt","【テキスト中に現れる記号について】"
"5","akutagawa","toyono_aki.txt",""
"6","akutagawa","toyono_aki.txt","《》：ルビ"
"7","akutagawa","toyono_aki.txt","（例）地平"
"8","akutagawa","toyono_aki.txt",""
"9","akutagawa","toyono_aki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","toyono_aki.txt","（例）一枚｜毎に"
"11","akutagawa","toyono_aki.txt",""
"12","akutagawa","toyono_aki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","toyono_aki.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","toyono_aki.txt","（例）※"
"15","akutagawa","toyono_aki.txt","-------------------------------------------------------"
"16","akutagawa","toyono_aki.txt",""
"17","akutagawa","toyono_aki.txt","おれは日比谷公園を歩いてゐた。"
"18","akutagawa","toyono_aki.txt",""
"19","akutagawa","toyono_aki.txt","空には薄雲が重なり合つて、地平に近い樹々の上だけ、僅にほの青い色を残してゐる。"
"20","akutagawa","toyono_aki.txt","そのせゐか秋の木の間の路は、まだ夕暮が来ない内に、砂も、石も、枯草も、しつとりと濡れてゐるらしい。"
"21","akutagawa","toyono_aki.txt","いや、路の右左に枝をさしかはせた篠懸にも、露に洗はれたやうな薄明りが、やはり黄色い葉の一枚｜毎にかすかな陰影を交へながら、懶げに漂つてゐるのである。"
"22","akutagawa","toyono_aki.txt",""
"23","akutagawa","toyono_aki.txt","おれは籐の杖を小脇にして、火の消えた葉巻を啣へながら、別に何処へ行かうと云ふ当もなく、寂しい散歩を続けてゐた。"
"24","akutagawa","toyono_aki.txt",""
"25","akutagawa","toyono_aki.txt","そのうそ寒い路の上には、おれ以外に誰も歩いてゐない。"
"26","akutagawa","toyono_aki.txt","路をさし挾んだ篠懸も、ひつそりと黄色い葉を垂らしてゐる。"
"27","akutagawa","toyono_aki.txt","仄かに霧の懸つてゐる行く手の樹々の間からは、唯、噴水のしぶく音が、百年の昔も変らないやうに、小止みないさざめきを送つて来る。"
"28","akutagawa","toyono_aki.txt","その上｜今日はどう云ふ訳か、公園の外の町の音も、まるで風の落ちた海の如く、蕭条とした木立の向うに静まり返つてしまつたらしい。"
"29","akutagawa","toyono_aki.txt","――と思ふと鋭い鶴の声が、しめやかな噴水の響を圧して、遠い林の奥の池から、一二度高く空へ挙つた。"
"30","akutagawa","toyono_aki.txt",""
"31","akutagawa","toyono_aki.txt","おれは散歩を続けながらも、云ひやうのない疲労と倦怠とが、重たくおれの心の上にのしかかつてゐるのを感じてゐた。"
"32","akutagawa","toyono_aki.txt","寸刻も休みない売文生活！おれはこの儘たつた一人、悩ましいおれの創作力の空に、空しく黄昏の近づくのを待つてゐなければならないのであらうか。"
"33","akutagawa","toyono_aki.txt",""
"34","akutagawa","toyono_aki.txt","さう云ふ内にこの公園にも、次第に黄昏が近づいて来た。"
"35","akutagawa","toyono_aki.txt","おれの行く路の右左には、苔の※や落葉の※が、混つた土の※と一しよに、しつとりと冷たく動いてゐる。"
"36","akutagawa","toyono_aki.txt","その中にうす甘い※のするのは、人知れず木の間に腐つて行く花や果物の香りかも知れない。"
"37","akutagawa","toyono_aki.txt","と思へば路ばたの水たまりの中にも、誰が摘んで捨てたのか、青ざめた薔薇の花が一つ、土にもまみれずに※つてゐた。"
"38","akutagawa","toyono_aki.txt","もしこの秋の※の中に、困憊を重ねたおれ自身を名残りなく浸す事が出来たら――"
"39","akutagawa","toyono_aki.txt","おれは思はず足を止めた。"
"40","akutagawa","toyono_aki.txt",""
"41","akutagawa","toyono_aki.txt","おれの行く手には二人の男が、静に竹箒を動かしながら、路上に明く散り乱れた篠懸の落葉を掃いてゐる。"
"42","akutagawa","toyono_aki.txt","その鳥の巣のやうな髪と云ひ、殆ど肌も蔽はない薄墨色の破れ衣と云ひ、或は又｜獣にも紛ひさうな手足の爪の長さと云ひ、云ふまでもなく二人とも、この公園の掃除をする人夫の類とは思はれない。"
"43","akutagawa","toyono_aki.txt","のみならず更に不思議な事には、おれが立つて見てゐる間に、何処からか飛んで来た鴉が二三羽、さつと大きな輪を描くと、黙然と箒を使つてゐる二人の肩や頭の上へ、先を争つて舞ひ下つた。"
"44","akutagawa","toyono_aki.txt","が、二人は依然として、砂上に秋を撒き散らした篠懸の落葉を掃いてゐる。"
"45","akutagawa","toyono_aki.txt",""
"46","akutagawa","toyono_aki.txt","おれは徐に踵を返して、火の消えた葉巻を啣へながら、寂しい篠懸の間の路を元来た方へ歩き出した。"
"47","akutagawa","toyono_aki.txt",""
"48","akutagawa","toyono_aki.txt","が、おれの心の中には、今までの疲労と倦怠との代りに、何時か静な悦びがしつとりと薄明く溢れてゐた。"
"49","akutagawa","toyono_aki.txt","あの二人が死んだと思つたのは、憐むべきおれの迷ひたるに過ぎない。"
"50","akutagawa","toyono_aki.txt","寒山拾得は生きてゐる。"
