"","auth","piece","line"
"0","akutagawa","tozaimondo.txt","東西問答"
"1","akutagawa","tozaimondo.txt","芥川龍之介"
"2","akutagawa","tozaimondo.txt",""
"3","akutagawa","tozaimondo.txt","-------------------------------------------------------"
"4","akutagawa","tozaimondo.txt","【テキスト中に現れる記号について】"
"5","akutagawa","tozaimondo.txt",""
"6","akutagawa","tozaimondo.txt","《》：ルビ"
"7","akutagawa","tozaimondo.txt","（例）問"
"8","akutagawa","tozaimondo.txt",""
"9","akutagawa","tozaimondo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","akutagawa","tozaimondo.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"11","akutagawa","tozaimondo.txt","（例）玉※"
"12","akutagawa","tozaimondo.txt","-------------------------------------------------------"
"13","akutagawa","tozaimondo.txt",""
"14","akutagawa","tozaimondo.txt",""
"15","akutagawa","tozaimondo.txt","問現代の作家に就いて、比較上の問題ですが、東洋種と西洋種とに区別したら如何なものでせうか。"
"16","akutagawa","tozaimondo.txt",""
"17","akutagawa","tozaimondo.txt","答それは東洋種と西洋種とに分けられるかも知れない。"
"18","akutagawa","tozaimondo.txt","けれども多少の西洋種を交へて居ないものは殆んどないと云つてもいいだらう。"
"19","akutagawa","tozaimondo.txt","たとへば久保田万太郎君なぞは、純日本種の作家のやうに思はれて居るが、久保田君の小説には、プロロオグと横文字に題を書いたのがある。"
"20","akutagawa","tozaimondo.txt","勿論作品そのものの中にも、多分に三田文学流の西洋種を交へて居る。"
"21","akutagawa","tozaimondo.txt","先づ比較的西洋種を交へない作家と云へば、徳田秋声氏位のものだらうと思ふ。"
"22","akutagawa","tozaimondo.txt",""
"23","akutagawa","tozaimondo.txt","問葛西善蔵氏はどうですか。"
"24","akutagawa","tozaimondo.txt",""
"25","akutagawa","tozaimondo.txt","答葛西善蔵氏も、西洋種の交りは少いと思ふ。"
"26","akutagawa","tozaimondo.txt",""
"27","akutagawa","tozaimondo.txt","問それでは、東洋種の作家の作品の要素をお伺ひしたいのです。"
"28","akutagawa","tozaimondo.txt",""
"29","akutagawa","tozaimondo.txt","答それは難問だね。"
"30","akutagawa","tozaimondo.txt","ここに云ふ東洋種と云ふ意味は、西洋種の交つて居ないと云ふ事だ。"
"31","akutagawa","tozaimondo.txt","即ち消極的に云つたものに過ぎない。"
"32","akutagawa","tozaimondo.txt","それを積極的にどう云ふ特色のあるものが、東洋種になるかと云ふ事になると、三考も四考もしなければならない。"
"33","akutagawa","tozaimondo.txt","それはお互ひに面倒だし、まあ見合せる事にしよう。"
"34","akutagawa","tozaimondo.txt","ただ徳田秋声氏や葛西善蔵氏の作品には、官能的にも思想的にも、西洋人にかぶれたと云ふ痕跡が少い。"
"35","akutagawa","tozaimondo.txt","それ丈けは安全に云ひ得られるかと思ふ。"
"36","akutagawa","tozaimondo.txt",""
"37","akutagawa","tozaimondo.txt",""
"38","akutagawa","tozaimondo.txt",""
"39","akutagawa","tozaimondo.txt","×"
"40","akutagawa","tozaimondo.txt",""
