"","auth","piece","line"
"0","akutagawa","wasurerarenu_insho.txt","忘れられぬ印象"
"1","akutagawa","wasurerarenu_insho.txt","芥川龍之介"
"2","akutagawa","wasurerarenu_insho.txt",""
"3","akutagawa","wasurerarenu_insho.txt","-------------------------------------------------------"
"4","akutagawa","wasurerarenu_insho.txt","【テキスト中に現れる記号について】"
"5","akutagawa","wasurerarenu_insho.txt",""
"6","akutagawa","wasurerarenu_insho.txt","《》：ルビ"
"7","akutagawa","wasurerarenu_insho.txt","（例）伊香保"
"8","akutagawa","wasurerarenu_insho.txt",""
"9","akutagawa","wasurerarenu_insho.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","wasurerarenu_insho.txt","（例）一｜人乗り"
"11","akutagawa","wasurerarenu_insho.txt",""
"12","akutagawa","wasurerarenu_insho.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","wasurerarenu_insho.txt","（例）（大正八年八月）"
"14","akutagawa","wasurerarenu_insho.txt","-------------------------------------------------------"
"15","akutagawa","wasurerarenu_insho.txt",""
"16","akutagawa","wasurerarenu_insho.txt","伊香保の事を書けと云ふ命令である。"
"17","akutagawa","wasurerarenu_insho.txt","が、遺憾ながら伊香保へは、高等学校時代に友だちと二人で、赤城山と妙義山へ登つた序に、ちよいと一晩泊つた事があるだけなんだから、麗々しく書いて御眼にかける程の事は何もない。"
"18","akutagawa","wasurerarenu_insho.txt","第一どんな町で、どんな湯があつたか、それさへもう忘れてしまつた。"
"19","akutagawa","wasurerarenu_insho.txt","唯、朧げに覚えてゐるのは、山に蔓る若葉の中を電車でむやみに上つて行つた事だけである。"
"20","akutagawa","wasurerarenu_insho.txt","それから何とか云ふ宿屋へとまつたら、隣座敷に立派な紳士が泊り合せてゐて、その人が又非常に湯が好きだつたものだから、あくる日は朝から六度も一しよに風呂へ行つた。"
"21","akutagawa","wasurerarenu_insho.txt","さうしたら腹の底からへとへとにくたびれて、廊下を歩くのさへ大儀になつた。"
"22","akutagawa","wasurerarenu_insho.txt","けれどもくたびれた儘で、安閑と宿屋へ尻を据ゑてもゐられないから、その日の暮方その紳士と三人で、高崎の停車場まで下つて来たが、さて停車場へ来てみると、我々の財布には上野までの汽車賃さへ残つてゐない。"
"23","akutagawa","wasurerarenu_insho.txt","そこで甚恐縮しながら、その紳士に事情を話して、確か一円二十銭ばかり借用した。"
"24","akutagawa","wasurerarenu_insho.txt","以上の如く伊香保と云つても、溪山の風光は更に覚えてゐないが、この紳士の記憶だけは温泉の話が出る度に必ず心に浮んで来る。"
"25","akutagawa","wasurerarenu_insho.txt","何でも湯の中で話した所によると、この人は一｜人乗りの小さな自働車を製造したいとか云ふ事だつた。"
"26","akutagawa","wasurerarenu_insho.txt","今日の新聞で見ると、乗合自働車はもう出来たさうであるが、一｜人乗りの小さな自働車が出来たと云ふ噂はどこにもない。"
"27","akutagawa","wasurerarenu_insho.txt","今ごろあの紳士はどうしてゐるかしら。"
"28","akutagawa","wasurerarenu_insho.txt",""
"29","akutagawa","wasurerarenu_insho.txt","（大正八年八月）"
"30","akutagawa","wasurerarenu_insho.txt",""
"31","akutagawa","wasurerarenu_insho.txt",""
"32","akutagawa","wasurerarenu_insho.txt",""
"33","akutagawa","wasurerarenu_insho.txt","底本：「筑摩全集類聚芥川龍之介全集第四巻」筑摩書房"
"34","akutagawa","wasurerarenu_insho.txt","1971（昭和46）年6月5日初版第1刷発行"
"35","akutagawa","wasurerarenu_insho.txt","1979（昭和54）年4月10日初版第11刷発行"
"36","akutagawa","wasurerarenu_insho.txt","入力：土屋隆"
"37","akutagawa","wasurerarenu_insho.txt","校正：松永正敏"
"38","akutagawa","wasurerarenu_insho.txt","2007年6月26日作成"
"39","akutagawa","wasurerarenu_insho.txt","青空文庫作成ファイル："
"40","akutagawa","wasurerarenu_insho.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"41","akutagawa","wasurerarenu_insho.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"42","akutagawa","wasurerarenu_insho.txt",""
