"","auth","piece","line"
"0","akutagawa","yokosuka_shokei.txt","横須賀小景"
"1","akutagawa","yokosuka_shokei.txt","芥川龍之介"
"2","akutagawa","yokosuka_shokei.txt",""
"3","akutagawa","yokosuka_shokei.txt","-------------------------------------------------------"
"4","akutagawa","yokosuka_shokei.txt","【テキスト中に現れる記号について】"
"5","akutagawa","yokosuka_shokei.txt",""
"6","akutagawa","yokosuka_shokei.txt","《》：ルビ"
"7","akutagawa","yokosuka_shokei.txt","（例）生海苔"
"8","akutagawa","yokosuka_shokei.txt",""
"9","akutagawa","yokosuka_shokei.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","akutagawa","yokosuka_shokei.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"11","akutagawa","yokosuka_shokei.txt","（例）大きい※"
"12","akutagawa","yokosuka_shokei.txt","-------------------------------------------------------"
"13","akutagawa","yokosuka_shokei.txt",""
"14","akutagawa","yokosuka_shokei.txt","カフエ"
"15","akutagawa","yokosuka_shokei.txt",""
"16","akutagawa","yokosuka_shokei.txt","僕は或カフエの隅に半熟の卵を食べてゐた。"
"17","akutagawa","yokosuka_shokei.txt","するとぼんやりした人が一人、僕のテエブルに腰をおろした。"
"18","akutagawa","yokosuka_shokei.txt","僕は驚いてその人をながめた。"
"19","akutagawa","yokosuka_shokei.txt","その人は妙にどろりとした、薄い生海苔の洋服を着てゐた。"
"20","akutagawa","yokosuka_shokei.txt",""
"21","akutagawa","yokosuka_shokei.txt",""
"22","akutagawa","yokosuka_shokei.txt","虹"
"23","akutagawa","yokosuka_shokei.txt",""
"24","akutagawa","yokosuka_shokei.txt","僕はいつも煤の降る工廠の裏を歩いてゐた。"
"25","akutagawa","yokosuka_shokei.txt","どんより曇つた工廠の空には虹が一すぢ消えかかつてゐた。"
"26","akutagawa","yokosuka_shokei.txt","僕は踵を擡げるやうにし、ちよつとその虹へ鼻をやつて見た。"
"27","akutagawa","yokosuka_shokei.txt","すると――かすかに石油の匂がした。"
"28","akutagawa","yokosuka_shokei.txt",""
"29","akutagawa","yokosuka_shokei.txt",""
"30","akutagawa","yokosuka_shokei.txt","五分間写真"
"31","akutagawa","yokosuka_shokei.txt",""
"32","akutagawa","yokosuka_shokei.txt","僕は或晩春の午後、或若い海軍中尉と五分間写真を映しに行つた。"
"33","akutagawa","yokosuka_shokei.txt","写真はすぐに出来上つた。"
"34","akutagawa","yokosuka_shokei.txt","しかし印画に映つたのは大きい※といふ羅馬数字だつた。"
"35","akutagawa","yokosuka_shokei.txt",""
"36","akutagawa","yokosuka_shokei.txt",""
"37","akutagawa","yokosuka_shokei.txt","小さい泥"
"38","akutagawa","yokosuka_shokei.txt",""
"39","akutagawa","yokosuka_shokei.txt","僕は或十二三のお嬢さんの後ろを歩いて行つた。"
"40","akutagawa","yokosuka_shokei.txt","お嬢さんは空色のフロツクの下に裸の脚を露してゐた。"
"41","akutagawa","yokosuka_shokei.txt","その又脚には小さい泥がたつた一つかすかに乾いてゐた。"
"42","akutagawa","yokosuka_shokei.txt",""
"43","akutagawa","yokosuka_shokei.txt","僕はこのお嬢さんの脚の上の泥を眺めて行つた。"
"44","akutagawa","yokosuka_shokei.txt","すると泥はいつの間にかアメリカ大陸に変つてゐた。"
"45","akutagawa","yokosuka_shokei.txt","山脈や湖や鉄道も一々はつきり盛り上つてゐた。"
"46","akutagawa","yokosuka_shokei.txt",""
"47","akutagawa","yokosuka_shokei.txt","僕はおやと思つてお嬢さんを探した。"
"48","akutagawa","yokosuka_shokei.txt","が、お嬢さんは見えなかつた。"
"49","akutagawa","yokosuka_shokei.txt","僕の前には横須賀軍港がひろがり、唯一面に三角の波が立つたり倒れたりしてゐるだけだつた。"
"50","akutagawa","yokosuka_shokei.txt",""
"51","akutagawa","yokosuka_shokei.txt","――旧稿より――"
"52","akutagawa","yokosuka_shokei.txt",""
"53","akutagawa","yokosuka_shokei.txt",""
"54","akutagawa","yokosuka_shokei.txt",""
"55","akutagawa","yokosuka_shokei.txt","底本：「芥川龍之介全集第十三巻」岩波書店"
"56","akutagawa","yokosuka_shokei.txt","1996（平成8）年11月8日発行"
"57","akutagawa","yokosuka_shokei.txt","入力：もりみつじゅんじ"
"58","akutagawa","yokosuka_shokei.txt","校正：林幸雄"
"59","akutagawa","yokosuka_shokei.txt","2002年1月26日公開"
"60","akutagawa","yokosuka_shokei.txt","2004年3月17日修正"
"61","akutagawa","yokosuka_shokei.txt","青空文庫作成ファイル："
"62","akutagawa","yokosuka_shokei.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"63","akutagawa","yokosuka_shokei.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"64","akutagawa","yokosuka_shokei.txt",""
