"","auth","piece","line"
"0","akutagawa","yonosukeno_hanashi.txt","世之助の話"
"1","akutagawa","yonosukeno_hanashi.txt","芥川龍之介"
"2","akutagawa","yonosukeno_hanashi.txt",""
"3","akutagawa","yonosukeno_hanashi.txt","-------------------------------------------------------"
"4","akutagawa","yonosukeno_hanashi.txt","【テキスト中に現れる記号について】"
"5","akutagawa","yonosukeno_hanashi.txt",""
"6","akutagawa","yonosukeno_hanashi.txt","《》：ルビ"
"7","akutagawa","yonosukeno_hanashi.txt","（例）世之助"
"8","akutagawa","yonosukeno_hanashi.txt",""
"9","akutagawa","yonosukeno_hanashi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","yonosukeno_hanashi.txt","（例）女護ヶ｜島"
"11","akutagawa","yonosukeno_hanashi.txt",""
"12","akutagawa","yonosukeno_hanashi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","yonosukeno_hanashi.txt","（例）上"
"14","akutagawa","yonosukeno_hanashi.txt","-------------------------------------------------------"
"15","akutagawa","yonosukeno_hanashi.txt",""
"16","akutagawa","yonosukeno_hanashi.txt","上"
"17","akutagawa","yonosukeno_hanashi.txt",""
"18","akutagawa","yonosukeno_hanashi.txt","友だち処でね、一つ承りたい事があるんだが。"
"19","akutagawa","yonosukeno_hanashi.txt",""
"20","akutagawa","yonosukeno_hanashi.txt","世之助何だい。"
"21","akutagawa","yonosukeno_hanashi.txt","馬鹿に改まつて。"
"22","akutagawa","yonosukeno_hanashi.txt",""
"23","akutagawa","yonosukeno_hanashi.txt","友だちそれがさ。"
"24","akutagawa","yonosukeno_hanashi.txt","今日はふだんとちがつて、君が近々に伊豆の何とか云ふ港から船を出して、女護ヶ｜島へ渡らうと云ふ、その名残りの酒宴だらう。"
"25","akutagawa","yonosukeno_hanashi.txt",""
"26","akutagawa","yonosukeno_hanashi.txt","世之助さうさ。"
"27","akutagawa","yonosukeno_hanashi.txt",""
"28","akutagawa","yonosukeno_hanashi.txt","友だちだから、こんな事を云ひ出すのは、何だか一座の興を殺ぐやうな気がして、太夫の手前も、聊恐縮なんだがね。"
"29","akutagawa","yonosukeno_hanashi.txt",""
"30","akutagawa","yonosukeno_hanashi.txt","世之助そんならよせばいいぢやないか。"
"31","akutagawa","yonosukeno_hanashi.txt",""
"32","akutagawa","yonosukeno_hanashi.txt","友だち処が、よせないね。"
"33","akutagawa","yonosukeno_hanashi.txt","よせる位なら、始から云ひ出しはしない。"
"34","akutagawa","yonosukeno_hanashi.txt",""
"35","akutagawa","yonosukeno_hanashi.txt","世之助ぢや話すさ。"
"36","akutagawa","yonosukeno_hanashi.txt",""
"37","akutagawa","yonosukeno_hanashi.txt","友だちそれがさ、さう中々簡単には行かない訳がある。"
"38","akutagawa","yonosukeno_hanashi.txt",""
"39","akutagawa","yonosukeno_hanashi.txt","世之助何故？"
"40","akutagawa","yonosukeno_hanashi.txt","友だち尋く方も、尋かれる方も、あんまり難有い事ぢやないからね。"
"41","akutagawa","yonosukeno_hanashi.txt","尤も君が愈いいと云へば、私も度胸を据ゑて、承る事にするが。"
"42","akutagawa","yonosukeno_hanashi.txt",""
"43","akutagawa","yonosukeno_hanashi.txt","世之助何だい、一体。"
"44","akutagawa","yonosukeno_hanashi.txt",""
"45","akutagawa","yonosukeno_hanashi.txt","友だちまあさ、君は何だと思ふ。"
"46","akutagawa","yonosukeno_hanashi.txt",""
"47","akutagawa","yonosukeno_hanashi.txt","世之助ぢれつたい男だな。"
"48","akutagawa","yonosukeno_hanashi.txt","何だつて云へば。"
"49","akutagawa","yonosukeno_hanashi.txt",""
"50","akutagawa","yonosukeno_hanashi.txt","友だちいやさう開き直られると、反つて云ひ出しにくいがね。"
"51","akutagawa","yonosukeno_hanashi.txt","つまり何さ。"
"52","akutagawa","yonosukeno_hanashi.txt","――この頃｜西鶴が書いた本で見ると、君は七つの時から女を知つて……、"
"53","akutagawa","yonosukeno_hanashi.txt","世之助おい、おい、まさか意見をする気ぢやあるまいね。"
"54","akutagawa","yonosukeno_hanashi.txt",""
"55","akutagawa","yonosukeno_hanashi.txt","友だち大丈夫、叔父さんがまだ若すぎる。"
"56","akutagawa","yonosukeno_hanashi.txt","――そこで、六十歳の今日まで、三千七百四十二人の女に戯れ……"
"57","akutagawa","yonosukeno_hanashi.txt","世之助こいつはちと手きびしいな。"
"58","akutagawa","yonosukeno_hanashi.txt",""
"59","akutagawa","yonosukeno_hanashi.txt","友だちまあさ、三千七百四十二人の女に戯れ、七百二十五人の少人を弄んだと云ふ事だが、あれは君、ほんたうかい。"
"60","akutagawa","yonosukeno_hanashi.txt",""
"61","akutagawa","yonosukeno_hanashi.txt","世之助ほんたうだよ。"
"62","akutagawa","yonosukeno_hanashi.txt","ほんたうだが、精々お手柔かに願ひたいな。"
"63","akutagawa","yonosukeno_hanashi.txt",""
"64","akutagawa","yonosukeno_hanashi.txt","友だちそれが、どうも私には少し真にうけられないんだね。"
"65","akutagawa","yonosukeno_hanashi.txt","いくら何だつて君、三千七百四十二人は多すぎるよ。"
"66","akutagawa","yonosukeno_hanashi.txt",""
"67","akutagawa","yonosukeno_hanashi.txt","世之助成程ね。"
"68","akutagawa","yonosukeno_hanashi.txt",""
"69","akutagawa","yonosukeno_hanashi.txt","友だちいくら君を尊敬した上でもだよ。"
"70","akutagawa","yonosukeno_hanashi.txt",""
"71","akutagawa","yonosukeno_hanashi.txt","世之助ぢや勝手に割引して置くさ。"
"72","akutagawa","yonosukeno_hanashi.txt","――太夫が笑つてゐるぜ。"
"73","akutagawa","yonosukeno_hanashi.txt",""
"74","akutagawa","yonosukeno_hanashi.txt","友だちいくら太夫が笑つてゐても、この儘にはすまされない。"
"75","akutagawa","yonosukeno_hanashi.txt","白状すればよし、さもなければ、――"
"76","akutagawa","yonosukeno_hanashi.txt","世之助盛りつぶすか。"
"77","akutagawa","yonosukeno_hanashi.txt","そいつは御免を蒙らう。"
"78","akutagawa","yonosukeno_hanashi.txt","何もそんなにむづかしい事ぢやない。"
"79","akutagawa","yonosukeno_hanashi.txt","唯、私の算盤が、君のと少しちがつてゐるだけなんだ。"
"80","akutagawa","yonosukeno_hanashi.txt",""
"81","akutagawa","yonosukeno_hanashi.txt","友だちははあ、すると一桁狂つたと云ふ次第かい。"
"82","akutagawa","yonosukeno_hanashi.txt",""
"83","akutagawa","yonosukeno_hanashi.txt","世之助いいえ。"
"84","akutagawa","yonosukeno_hanashi.txt",""
"85","akutagawa","yonosukeno_hanashi.txt","友だちぢや――おい、どつちがぢれつたい男だつけ。"
"86","akutagawa","yonosukeno_hanashi.txt",""
"87","akutagawa","yonosukeno_hanashi.txt","世之助だが君も亦、つまらない事を気にしたもんだ。"
"88","akutagawa","yonosukeno_hanashi.txt",""
"89","akutagawa","yonosukeno_hanashi.txt","友だち気にするつて訳ぢやないが、私だつて男だらうぢやないか。"
"90","akutagawa","yonosukeno_hanashi.txt","何割引くか判然しない中は首を切られても、引きさがらない。"
"91","akutagawa","yonosukeno_hanashi.txt",""
"92","akutagawa","yonosukeno_hanashi.txt","世之助困つた男だな。"
"93","akutagawa","yonosukeno_hanashi.txt","それならお名残りに一つ、私の算盤のとり方を話さうか。"
"94","akutagawa","yonosukeno_hanashi.txt","――おい、加賀節はしばらく見合せだ。"
"95","akutagawa","yonosukeno_hanashi.txt","その祐善の絵のある扇をこつちへよこしてくれ。"
"96","akutagawa","yonosukeno_hanashi.txt","それから、誰か蝋燭の心を切つて貰ひたいな。"
"97","akutagawa","yonosukeno_hanashi.txt",""
"98","akutagawa","yonosukeno_hanashi.txt","友だちいやに大袈裟だぜ――かう静になつて見ると、何だか桜もさむいやうだ。"
"99","akutagawa","yonosukeno_hanashi.txt",""
"100","akutagawa","yonosukeno_hanashi.txt","世之助ぢや、始めるがね。"
"101","akutagawa","yonosukeno_hanashi.txt","勿論唯一例を話すだけなんだから、どうかそのつもりに願ひたい。"
"102","akutagawa","yonosukeno_hanashi.txt",""
"103","akutagawa","yonosukeno_hanashi.txt",""
"104","akutagawa","yonosukeno_hanashi.txt","中"
"105","akutagawa","yonosukeno_hanashi.txt",""
"106","akutagawa","yonosukeno_hanashi.txt","もう彼是三十年ばかり昔の事だ。"
"107","akutagawa","yonosukeno_hanashi.txt","私が始めて、江戸へ下つた時に、たしか吉原のかへりだつたと思ふが、太鼓を二人ばかりつれて、角田川の渡しを渡つた事がある。"
"108","akutagawa","yonosukeno_hanashi.txt","どこの渡しだつたか、それも今では覚えてゐない。"
"109","akutagawa","yonosukeno_hanashi.txt","どこへ行くつもりだつたか、それももう忘れてしまつた。"
"110","akutagawa","yonosukeno_hanashi.txt","が、その時の容子だけは、かう云ふ中にも、朧げながら眼の前へ浮んで来る。"
"111","akutagawa","yonosukeno_hanashi.txt","……"
"112","akutagawa","yonosukeno_hanashi.txt","何でも花曇りの午すぎで、川すぢ一帯、どこを見ても、煮え切らない、退屈な景色だつた。"
"113","akutagawa","yonosukeno_hanashi.txt","水も生ぬるさうに光つてゐれば、向う河岸の家並も、うつらうつら夢を見てゐるやうに思はれる。"
"114","akutagawa","yonosukeno_hanashi.txt","後をふり返ると、土手の松にまじつて、半開の桜が、べつたり泥絵具をなすつてゐた。"
"115","akutagawa","yonosukeno_hanashi.txt","その又やけに白いのが、何時になく重くるしい。"
