"","auth","piece","line"
"0","akutagawa","yume.txt","夢"
"1","akutagawa","yume.txt","芥川龍之介"
"2","akutagawa","yume.txt",""
"3","akutagawa","yume.txt","-------------------------------------------------------"
"4","akutagawa","yume.txt","【テキスト中に現れる記号について】"
"5","akutagawa","yume.txt",""
"6","akutagawa","yume.txt","《》：ルビ"
"7","akutagawa","yume.txt","（例）頸"
"8","akutagawa","yume.txt",""
"9","akutagawa","yume.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","akutagawa","yume.txt","（例）谷中｜三崎町"
"11","akutagawa","yume.txt",""
"12","akutagawa","yume.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","akutagawa","yume.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","akutagawa","yume.txt","（例）※"
"15","akutagawa","yume.txt","-------------------------------------------------------"
"16","akutagawa","yume.txt",""
"17","akutagawa","yume.txt","わたしはすっかり疲れていた。"
"18","akutagawa","yume.txt","肩や頸の凝るのは勿論、不眠症もかなり甚しかった。"
"19","akutagawa","yume.txt","のみならず偶々眠ったと思うと、いろいろの夢を見勝ちだった。"
"20","akutagawa","yume.txt","いつか誰かは「色彩のある夢は不健全な証拠だ」と話していた。"
"21","akutagawa","yume.txt","が、わたしの見る夢は画家と云う職業も手伝うのか、大抵色彩のないことはなかった。"
"22","akutagawa","yume.txt","わたしはある友だちと一しょにある場末のカッフェらしい硝子戸の中へはいって行った。"
"23","akutagawa","yume.txt","そのまた埃じみた硝子戸の外はちょうど柳の新芽をふいた汽車の踏み切りになっていた。"
"24","akutagawa","yume.txt","わたしたちは隅のテエブルに坐り、何か椀に入れた料理を食った。"
"25","akutagawa","yume.txt","が、食ってしまって見ると、椀の底に残っているのは一｜寸ほどの蛇の頭だった。"
"26","akutagawa","yume.txt","――そんな夢も色彩ははっきりしていた。"
"27","akutagawa","yume.txt",""
"28","akutagawa","yume.txt","わたしの下宿は寒さの厳しい東京のある郊外にあった。"
"29","akutagawa","yume.txt","わたしは憂鬱になって来ると、下宿の裏から土手の上にあがり、省線電車の線路を見おろしたりした。"
"30","akutagawa","yume.txt","線路は油や金錆に染った砂利の上に何本も光っていた。"
"31","akutagawa","yume.txt","それから向うの土手の上には何か椎らしい木が一本斜めに枝を伸ばしていた。"
"32","akutagawa","yume.txt","それは憂鬱そのものと言っても、少しも差し支えない景色だった。"
"33","akutagawa","yume.txt","しかし銀座や浅草よりもわたしの心もちにぴったりしていた。"
"34","akutagawa","yume.txt","「毒を以て毒を制す、」――わたしはひとり土手の上にしゃがみ、一本の煙草をふかしながら、時々そんなことを考えたりした。"
"35","akutagawa","yume.txt",""
"36","akutagawa","yume.txt","わたしにも友だちはない訣ではなかった。"
"37","akutagawa","yume.txt","それはある年の若い金持ちの息子の洋画家だった。"
"38","akutagawa","yume.txt","彼はわたしの元気のないのを見、旅行に出ることを勧めたりした。"
"39","akutagawa","yume.txt","「金の工面などはどうにでもなる。"
"40","akutagawa","yume.txt","」――そうも親切に言ってくれたりした。"
"41","akutagawa","yume.txt","が、たとい旅行に行っても、わたしの憂鬱の癒らないことはわたし自身誰よりも知り悉していた。"
"42","akutagawa","yume.txt","現にわたしは三四年前にもやはりこう云う憂鬱に陥り、一時でも気を紛らせるためにはるばる長崎に旅行することにした。"
"43","akutagawa","yume.txt","けれども長崎へ行って見ると、どの宿もわたしには気に入らなかった。"
"44","akutagawa","yume.txt","のみならずやっと落ちついた宿も夜は大きい火取虫が何匹もひらひら舞いこんだりした。"
"45","akutagawa","yume.txt","わたしはさんざん苦しんだ揚句、まだ一週間とたたないうちにもう一度東京へ帰ることにした。"
"46","akutagawa","yume.txt","……"
"47","akutagawa","yume.txt","ある霜柱の残っている午後、わたしは為替をとりに行った帰りにふと制作慾を感じ出した。"
"48","akutagawa","yume.txt","それは金のはいったためにモデルを使うことの出来るのも原因になっていたのに違いなかった。"
"49","akutagawa","yume.txt","しかしまだそのほかにも何か発作的に制作慾の高まり出したのも確かだった。"
"50","akutagawa","yume.txt","わたしは下宿へ帰らずにとりあえずＭと云う家へ出かけ、十号ぐらいの人物を仕上げるためにモデルを一人雇うことにした。"
"51","akutagawa","yume.txt","こう云う決心は憂鬱の中にも久しぶりにわたしを元気にした。"
"52","akutagawa","yume.txt","「この画さえ仕上げれば死んでも善い。"
"53","akutagawa","yume.txt","」――そんな気も実際したものだった。"
"54","akutagawa","yume.txt",""
"55","akutagawa","yume.txt","Ｍと云う家からよこしたモデルは顔は余り綺麗ではなかった。"
"56","akutagawa","yume.txt","が、体は――殊に胸は立派だったのに違いなかった。"
"57","akutagawa","yume.txt","それからオオル・バックにした髪の毛も房ふさしていたのに違いなかった。"
"58","akutagawa","yume.txt","わたしはこのモデルにも満足し、彼女を籐椅子の上へ坐らせて見た後、早速仕事にとりかかることにした。"
"59","akutagawa","yume.txt","裸になった彼女は花束の代りに英字新聞のしごいたのを持ち、ちょっと両足を組み合せたまま、頸を傾けているポオズをしていた。"
"60","akutagawa","yume.txt","しかしわたしは画架に向うと、今更のように疲れていることを感じた。"
"61","akutagawa","yume.txt","北に向いたわたしの部屋には火鉢の一つあるだけだった。"
"62","akutagawa","yume.txt","わたしは勿論この火鉢に縁の焦げるほど炭火を起した。"
"63","akutagawa","yume.txt","が、部屋はまだ十分に暖らなかった。"
"64","akutagawa","yume.txt","彼女は籐椅子に腰かけたなり、時々｜両腿の筋肉を反射的に震わせるようにした。"
"65","akutagawa","yume.txt","わたしはブラッシュを動かしながら、その度に一々｜苛立たしさを感じた。"
"66","akutagawa","yume.txt","それは彼女に対するよりもストオヴ一つ買うことの出来ないわたし自身に対する苛立たしさだった。"
"67","akutagawa","yume.txt","同時にまたこう云うことにも神経を使わずにはいられないわたし自身に対する苛立たしさだった。"
"68","akutagawa","yume.txt",""
"69","akutagawa","yume.txt","「君の家はどこ？」"
"70","akutagawa","yume.txt","「あたしの家？あたしの家は谷中｜三崎町。"
"71","akutagawa","yume.txt","」"
"72","akutagawa","yume.txt","「君一人で住んでいるの？」"
"73","akutagawa","yume.txt","「いいえ、お友だちと二人で借りているんです。"
"74","akutagawa","yume.txt","」"
"75","akutagawa","yume.txt","わたしはこんな話をしながら、静物を描いた古カンヴァスの上へ徐ろに色を加えて行った。"
"76","akutagawa","yume.txt","彼女は頸を傾けたまま、全然表情らしいものを示したことはなかった。"
"77","akutagawa","yume.txt","のみならず彼女の言葉は勿論、彼女の声もまた一本調子だった。"
"78","akutagawa","yume.txt","それはわたしには持って生まれた彼女の気質としか思われなかった。"
"79","akutagawa","yume.txt","わたしはそこに気安さを感じ、時々彼女を時間外にもポオズをつづけて貰ったりした。"
"80","akutagawa","yume.txt","けれども何かの拍子には目さえ動かさない彼女の姿にある妙な圧迫を感じることもない訣ではなかった。"
"81","akutagawa","yume.txt",""
"82","akutagawa","yume.txt","わたしの制作は捗どらなかった。"
"83","akutagawa","yume.txt","わたしは一日の仕事を終ると、大抵は絨氈の上にころがり、頸すじや頭を揉んで見たり、ぼんやり部屋の中を眺めたりしていた。"
"84","akutagawa","yume.txt","わたしの部屋には画架のほかに籐椅子の一脚あるだけだった。"
"85","akutagawa","yume.txt","籐椅子は空気の湿度の加減か、時々誰も坐らないのに籐のきしむ音をさせることもあった。"
"86","akutagawa","yume.txt","わたしはこう云う時には無気味になり、早速どこかへ散歩へ出ることにしていた。"
"87","akutagawa","yume.txt","しかし散歩に出ると云っても、下宿の裏の土手伝いに寺の多い田舎町へ出るだけだった。"
"88","akutagawa","yume.txt",""
"89","akutagawa","yume.txt","けれどもわたしは休みなしに毎日画架に向っていた。"
"90","akutagawa","yume.txt","モデルもまた毎日｜通って来ていた。"
"91","akutagawa","yume.txt","そのうちにわたしは彼女の体に前よりも圧迫を感じ出した。"
"92","akutagawa","yume.txt","それにはまた彼女の健康に対する羨しさもあったのに違いなかった。"
"93","akutagawa","yume.txt","彼女は不相変無表情にじっと部屋の隅へ目をやったなり、薄赤い絨氈の上に横わっていた。"
"94","akutagawa","yume.txt","「この女は人間よりも動物に似ている。"
"95","akutagawa","yume.txt","」――わたしは画架にブラッシュをやりながら、時々そんなことを考えたりした。"
"96","akutagawa","yume.txt",""
"97","akutagawa","yume.txt","ある生暖い風の立った午後、わたしはやはり画架に向かい、せっせとブラッシュを動かしていた。"
"98","akutagawa","yume.txt","モデルはきょうはいつもよりは一層むっつりしているらしかった。"
"99","akutagawa","yume.txt","わたしはいよいよ彼女の体に野蛮な力を感じ出した。"
"100","akutagawa","yume.txt","のみならず彼女の腋の下や何かにある※も感じ出した。"
"101","akutagawa","yume.txt","その※はちょっと黒色人種の皮膚の臭気に近いものだった。"
"102","akutagawa","yume.txt",""
"103","akutagawa","yume.txt","「君はどこで生まれたの？」"
"104","akutagawa","yume.txt","「群馬県××町」"
"105","akutagawa","yume.txt","「××町？機織り場の多い町だったね。"
"106","akutagawa","yume.txt","」"
"107","akutagawa","yume.txt","「ええ。"
"108","akutagawa","yume.txt","」"
"109","akutagawa","yume.txt","「君は機を織らなかったの？」"
"110","akutagawa","yume.txt","「子供の時に織ったことがあります。"
"111","akutagawa","yume.txt","」"
"112","akutagawa","yume.txt","わたしはこう云う話の中にいつか彼女の乳首の大きくなり出したのに気づいていた。"
"113","akutagawa","yume.txt","それはちょうどキャベツの芽のほぐれかかったのに近いものだった。"
"114","akutagawa","yume.txt","わたしは勿論ふだんのように一｜心にブラッシュを動かしつづけた。"
"115","akutagawa","yume.txt","が、彼女の乳首に――そのまた気味の悪い美しさに妙にこだわらずにはいられなかった。"
"116","akutagawa","yume.txt",""
"117","akutagawa","yume.txt","その晩も風はやまなかった。"
"118","akutagawa","yume.txt","わたしはふと目をさまし、下宿の便所へ行こうとした。"
"119","akutagawa","yume.txt","しかし意識がはっきりして見ると、障子だけはあけたものの、ずっとわたしの部屋の中を歩きまわっていたらしかった。"
"120","akutagawa","yume.txt","わたしは思わず足をとめたまま、ぼんやりわたしの部屋の中に、――殊にわたしの足もとにある、薄赤い絨氈に目を落した。"
"121","akutagawa","yume.txt","それから素足の指先にそっと絨氈を撫でまわした。"
"122","akutagawa","yume.txt","絨氈の与える触覚は存外毛皮に近いものだった。"
"123","akutagawa","yume.txt","「この絨氈の裏は何色だったかしら？」――そんなこともわたしには気がかりだった。"
"124","akutagawa","yume.txt","が、裏をまくって見ることは妙にわたしには恐しかった。"
"125","akutagawa","yume.txt","わたしは便所へ行った後、※々床へはいることにした。"
"126","akutagawa","yume.txt",""
"127","akutagawa","yume.txt","わたしは翌日の仕事をすますと、いつもよりも一層がっかりした。"
"128","akutagawa","yume.txt","と云ってわたしの部屋にいることは反ってわたしには落ち着かなかった。"
"129","akutagawa","yume.txt","そこでやはり下宿の裏の土手の上へ出ることにした。"
"130","akutagawa","yume.txt","あたりはもう暮れかかっていた。"
"131","akutagawa","yume.txt","が、立ち木や電柱は光の乏しいのにも関らず、不思議にもはっきり浮き上っていた。"
"132","akutagawa","yume.txt","わたしは土手伝いに歩きながら、おお声に叫びたい誘惑を感じた。"
"133","akutagawa","yume.txt","しかし勿論そんな誘惑は抑えなければならないのに違いなかった。"
"134","akutagawa","yume.txt","わたしはちょうど頭だけ歩いているように感じながら、土手伝いにある見すぼらしい田舎町へ下りて行った。"
"135","akutagawa","yume.txt",""
"136","akutagawa","yume.txt","この田舎町は不相変人通りもほとんど見えなかった。"
"137","akutagawa","yume.txt","しかし路ばたのある電柱に朝鮮牛が一匹｜繋いであった。"
"138","akutagawa","yume.txt","朝鮮牛は頸をさしのべたまま、妙に女性的にうるんだ目にじっとわたしを見守っていた。"
"139","akutagawa","yume.txt","それは何かわたしの来るのを待っているらしい表情だった。"
"140","akutagawa","yume.txt","わたしはこう云う朝鮮牛の表情に穏かに戦を挑んでいるのを感じた。"
"141","akutagawa","yume.txt","「あいつは屠殺者に向う時もああ云う目をするのに違いない。"
"142","akutagawa","yume.txt","」――そんな気もわたしを不安にした。"
"143","akutagawa","yume.txt","わたしはだんだん憂鬱になり、とうとうそこを通り過ぎずにある横町へ曲って行った。"
"144","akutagawa","yume.txt",""
"145","akutagawa","yume.txt","それから二三日たったある午後、わたしはまた画架に向いながら、一生懸命にブラッシュを使っていた。"
"146","akutagawa","yume.txt","薄赤い絨氈の上に横たわったモデルはやはり眉毛さえ動かさなかった。"
"147","akutagawa","yume.txt","わたしはかれこれ半月の間、このモデルを前にしたまま、捗どらない制作をつづけていた。"
"148","akutagawa","yume.txt","が、わたしたちの心もちは少しも互に打ち解けなかった。"
"149","akutagawa","yume.txt","いや、むしろわたし自身には彼女の威圧を受けている感じの次第に強まるばかりだった。"
"150","akutagawa","yume.txt","彼女は休憩時間にもシュミイズ一枚着たことはなかった。"
"151","akutagawa","yume.txt","のみならずわたしの言葉にももの憂い返事をするだけだった。"
"152","akutagawa","yume.txt","しかしきょうはどうしたのか、わたしに背中を向けたまま、（わたしはふと彼女の右の肩に黒子のあることを発見した。"
"153","akutagawa","yume.txt","）絨氈の上に足を伸ばし、こうわたしに話しかけた。"
"154","akutagawa","yume.txt",""
"155","akutagawa","yume.txt","「先生、この下宿へはいる路には細い石が何本も敷いてあるでしょう？」"
"156","akutagawa","yume.txt","「うん。"
"157","akutagawa","yume.txt","……」"
"158","akutagawa","yume.txt","「あれは胞衣塚ですね。"
"159","akutagawa","yume.txt","」"
"160","akutagawa","yume.txt","「胞衣塚？」"
"161","akutagawa","yume.txt","「ええ、胞衣を埋めた標に立てる石ですね。"
"162","akutagawa","yume.txt","」"
"163","akutagawa","yume.txt","「どうして？」"
"164","akutagawa","yume.txt","「ちゃんと字のあるのも見えますもの。"
"165","akutagawa","yume.txt","」"
"166","akutagawa","yume.txt","彼女は肩越しにわたしを眺め、ちらりと冷笑に近い表情を示した。"
"167","akutagawa","yume.txt",""
"168","akutagawa","yume.txt","「誰でも胞衣をかぶって生まれて来るんですね？」"
"169","akutagawa","yume.txt","「つまらないことを言っている。"
"170","akutagawa","yume.txt","」"
"171","akutagawa","yume.txt","「だって胞衣をかぶって生まれて来ると思うと、……」"
"172","akutagawa","yume.txt","「？……」"
"173","akutagawa","yume.txt","「犬の子のような気もしますものね。"
"174","akutagawa","yume.txt","」"
