"","auth","piece","line"
"0","akutagawa","yuwaku.txt","誘惑"
"1","akutagawa","yuwaku.txt","――或シナリオ――"
"2","akutagawa","yuwaku.txt","芥川龍之介"
"3","akutagawa","yuwaku.txt",""
"4","akutagawa","yuwaku.txt","-------------------------------------------------------"
"5","akutagawa","yuwaku.txt","【テキスト中に現れる記号について】"
"6","akutagawa","yuwaku.txt",""
"7","akutagawa","yuwaku.txt","《》：ルビ"
"8","akutagawa","yuwaku.txt","（例）天主教徒"
"9","akutagawa","yuwaku.txt",""
"10","akutagawa","yuwaku.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","akutagawa","yuwaku.txt","（例）一｜艘"
"12","akutagawa","yuwaku.txt",""
"13","akutagawa","yuwaku.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","akutagawa","yuwaku.txt","（例）"
"15","akutagawa","yuwaku.txt","-------------------------------------------------------"
"16","akutagawa","yuwaku.txt",""
"17","akutagawa","yuwaku.txt","１"
"18","akutagawa","yuwaku.txt",""
"19","akutagawa","yuwaku.txt","天主教徒の古暦の一枚、その上に見えるのはこう云う文字である。"
"20","akutagawa","yuwaku.txt","――"
"21","akutagawa","yuwaku.txt","御出生来千六百三十四年。"
"22","akutagawa","yuwaku.txt","せばすちあん記し奉る。"
"23","akutagawa","yuwaku.txt",""
"24","akutagawa","yuwaku.txt","二月。"
"25","akutagawa","yuwaku.txt","小"
"26","akutagawa","yuwaku.txt","二十六日。"
"27","akutagawa","yuwaku.txt","さんたまりやの御つげの日。"
"28","akutagawa","yuwaku.txt",""
"29","akutagawa","yuwaku.txt","二十七日。"
"30","akutagawa","yuwaku.txt","どみいご。"
"31","akutagawa","yuwaku.txt",""
"32","akutagawa","yuwaku.txt","三月。"
"33","akutagawa","yuwaku.txt","大"
"34","akutagawa","yuwaku.txt","五日。"
"35","akutagawa","yuwaku.txt","どみいご、ふらんしすこ。"
"36","akutagawa","yuwaku.txt",""
"37","akutagawa","yuwaku.txt","十二日。"
"38","akutagawa","yuwaku.txt","……………"
"39","akutagawa","yuwaku.txt",""
"40","akutagawa","yuwaku.txt","２"
"41","akutagawa","yuwaku.txt",""
"42","akutagawa","yuwaku.txt","日本の南部の或山みち。"
"43","akutagawa","yuwaku.txt","大きい樟の木の枝を張った向うに洞穴の口が一つ見える。"
"44","akutagawa","yuwaku.txt","暫くたってから木樵りが二人。"
"45","akutagawa","yuwaku.txt","この山みちを下って来る。"
"46","akutagawa","yuwaku.txt","木樵りの一人は洞穴を指さし、もう一人に何か話しかける。"
"47","akutagawa","yuwaku.txt","それから二人とも十字を切り、はるかに洞穴を礼拝する。"
"48","akutagawa","yuwaku.txt",""
"49","akutagawa","yuwaku.txt",""
"50","akutagawa","yuwaku.txt","３"
"51","akutagawa","yuwaku.txt",""
"52","akutagawa","yuwaku.txt","この大きい樟の木の梢。"
"53","akutagawa","yuwaku.txt","尻っ尾の長い猿が一匹、或枝の上に坐ったまま、じっと遠い海を見守っている。"
"54","akutagawa","yuwaku.txt","海の上には帆前船が一｜艘。"
"55","akutagawa","yuwaku.txt","帆前船はこちらへ進んで来るらしい。"
"56","akutagawa","yuwaku.txt",""
"57","akutagawa","yuwaku.txt",""
"58","akutagawa","yuwaku.txt","４"
"59","akutagawa","yuwaku.txt",""
"60","akutagawa","yuwaku.txt","海を走っている帆前船が一艘。"
"61","akutagawa","yuwaku.txt",""
"62","akutagawa","yuwaku.txt",""
"63","akutagawa","yuwaku.txt","５"
"64","akutagawa","yuwaku.txt",""
"65","akutagawa","yuwaku.txt","この帆前船の内部。"
"66","akutagawa","yuwaku.txt","紅毛人の水夫が二人、檣の下に賽を転がしている。"
"67","akutagawa","yuwaku.txt","そのうちに勝負の争いを生じ、一人の水夫は飛び立つが早いか、もう一人の水夫の横腹へずぶりとナイフを突き立ててしまう。"
"68","akutagawa","yuwaku.txt","大勢の水夫は二人のまわりへ四方八方から集まって来る。"
"69","akutagawa","yuwaku.txt",""
"70","akutagawa","yuwaku.txt",""
"71","akutagawa","yuwaku.txt","６"
"72","akutagawa","yuwaku.txt",""
"73","akutagawa","yuwaku.txt","仰向けになった水夫の死に顔。"
"74","akutagawa","yuwaku.txt","突然その鼻の穴から尻っ尾の長い猿が一匹、顋の上に這い出して来る。"
"75","akutagawa","yuwaku.txt","が、あたりを見まわしたと思うと忽ち又鼻の穴の中へはいってしまう。"
"76","akutagawa","yuwaku.txt",""
"77","akutagawa","yuwaku.txt",""
"78","akutagawa","yuwaku.txt","７"
"79","akutagawa","yuwaku.txt",""
"80","akutagawa","yuwaku.txt","上から斜めに見おろした海面。"
"81","akutagawa","yuwaku.txt","急にどこか空中から水夫の死骸が一つ落ちて来る。"
"82","akutagawa","yuwaku.txt","死骸は水けぶりの立った中に忽ち姿を失ってしまう。"
"83","akutagawa","yuwaku.txt","あとには唯浪の上に猿が一匹もがいているばかり。"
"84","akutagawa","yuwaku.txt",""
"85","akutagawa","yuwaku.txt",""
"86","akutagawa","yuwaku.txt","８"
"87","akutagawa","yuwaku.txt",""
"88","akutagawa","yuwaku.txt","海の向うに見える半島。"
"89","akutagawa","yuwaku.txt",""
"90","akutagawa","yuwaku.txt",""
"91","akutagawa","yuwaku.txt","９"
"92","akutagawa","yuwaku.txt",""
"93","akutagawa","yuwaku.txt","前の山みちにある樟の木の梢。"
"94","akutagawa","yuwaku.txt","猿はやはり熱心に海の上の帆前船を眺めている。"
"95","akutagawa","yuwaku.txt","が、やがて両手を挙げ、顔中に喜びを漲らせる。"
"96","akutagawa","yuwaku.txt","すると猿がもう一匹いつか同じ枝の上にゆらりと腰をおろしている。"
"97","akutagawa","yuwaku.txt","二匹の猿は手真似をしながら、暫く何か話しつづける。"
"98","akutagawa","yuwaku.txt","それから後に来た猿は長い尻っ尾を枝にまきつけ、ぶらりと宙に下ったまま、樟の木の枝や葉に遮られた向うを目の上に手をやって眺めはじめる。"
"99","akutagawa","yuwaku.txt",""
"100","akutagawa","yuwaku.txt",""
"101","akutagawa","yuwaku.txt","10"
"102","akutagawa","yuwaku.txt",""
"103","akutagawa","yuwaku.txt","前の洞穴の外部。"
"104","akutagawa","yuwaku.txt","芭蕉や竹の茂った外には何もそこに動いていない。"
"105","akutagawa","yuwaku.txt","そのうちにだんだん日の暮になる。"
"106","akutagawa","yuwaku.txt","すると洞穴の中から蝙蝠が一匹ひらひらと空へ舞い上って行く。"
"107","akutagawa","yuwaku.txt",""
"108","akutagawa","yuwaku.txt",""
"109","akutagawa","yuwaku.txt","11"
"110","akutagawa","yuwaku.txt",""
"111","akutagawa","yuwaku.txt","この洞穴の内部。"
"112","akutagawa","yuwaku.txt","「さん・せばすちあん」がたった一人岩の壁の上に懸けた十字架の前に祈っている。"
"113","akutagawa","yuwaku.txt","「さん・せばすちあん」は黒い法服を着た、四十に近い日本人。"
"114","akutagawa","yuwaku.txt","火をともした一本の蝋燭は机だの水瓶だのを照らしている。"
"115","akutagawa","yuwaku.txt",""
"116","akutagawa","yuwaku.txt",""
"117","akutagawa","yuwaku.txt","12"
"118","akutagawa","yuwaku.txt",""
"119","akutagawa","yuwaku.txt","蝋燭の火かげの落ちた岩の壁。"
"120","akutagawa","yuwaku.txt","そこには勿論はっきりと「さん・せばすちあん」の横顔も映っている。"
"121","akutagawa","yuwaku.txt","その横顔の頸すじを尻っ尾の長い猿の影が一つ静かに頭の上へ登りはじめる。"
"122","akutagawa","yuwaku.txt","続いて又同じ猿の影が一つ。"
"123","akutagawa","yuwaku.txt",""
"124","akutagawa","yuwaku.txt",""
"125","akutagawa","yuwaku.txt","13"
"126","akutagawa","yuwaku.txt",""
