"","auth","piece","line"
"0","akutagawa","yuyuso.txt","悠々荘"
"1","akutagawa","yuyuso.txt","芥川龍之介"
"2","akutagawa","yuyuso.txt",""
"3","akutagawa","yuyuso.txt","-------------------------------------------------------"
"4","akutagawa","yuyuso.txt","【テキスト中に現れる記号について】"
"5","akutagawa","yuyuso.txt",""
"6","akutagawa","yuyuso.txt","《》：ルビ"
"7","akutagawa","yuyuso.txt","（例）梢に"
"8","akutagawa","yuyuso.txt",""
"9","akutagawa","yuyuso.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","akutagawa","yuyuso.txt","（例）（大正十五年十月二十六日・鵠沼）"
"11","akutagawa","yuyuso.txt","-------------------------------------------------------"
"12","akutagawa","yuyuso.txt",""
"13","akutagawa","yuyuso.txt","十月のある午後、僕等三人は話し合いながら、松の中の小みちを歩いていた。"
"14","akutagawa","yuyuso.txt","小みちにはどこにも人かげはなかった。"
"15","akutagawa","yuyuso.txt","ただ時々松の梢に鵯の声のするだけだった。"
"16","akutagawa","yuyuso.txt",""
"17","akutagawa","yuyuso.txt","「ゴオグの死骸を載せた玉突台だね、あの上では今でも玉を突いているがね。"
"18","akutagawa","yuyuso.txt","……」"
"19","akutagawa","yuyuso.txt","西洋から帰って来たＳさんはそんなことを話して聞かせたりした。"
"20","akutagawa","yuyuso.txt",""
"21","akutagawa","yuyuso.txt","そのうちに僕等は薄苔のついた御影石の門の前へ通りかかった。"
"22","akutagawa","yuyuso.txt","石に嵌めこんだ標札には「悠々荘」と書いてあった。"
"23","akutagawa","yuyuso.txt","が、門の奥にある家は、――茅葺き屋根の西洋館はひっそりと硝子窓を鎖していた。"
"24","akutagawa","yuyuso.txt","僕は日頃この家に愛着を持たずにはいられなかった。"
"25","akutagawa","yuyuso.txt","それは一つには家自身のいかにも瀟洒としているためだった。"
"26","akutagawa","yuyuso.txt","しかしまたそのほかにも荒廃を極めたあたりの景色に――伸び放題伸びた庭芝や水の干上った古池に風情の多いためもない訣ではなかった。"
"27","akutagawa","yuyuso.txt",""
"28","akutagawa","yuyuso.txt","「一つ中へはいって見るかな。"
"29","akutagawa","yuyuso.txt","」"
"30","akutagawa","yuyuso.txt","僕は先に立って門の中へはいった。"
"31","akutagawa","yuyuso.txt","敷石を挟んだ松の下には姫路茸などもかすかに赤らんでいた。"
"32","akutagawa","yuyuso.txt",""
"33","akutagawa","yuyuso.txt","「この別荘を持っている人も震災以来来なくなったんだね。"
"34","akutagawa","yuyuso.txt","……」"
"35","akutagawa","yuyuso.txt","するとＴ君は考え深そうに玄関前の萩に目をやった後、こう僕の言葉に反対した。"
"36","akutagawa","yuyuso.txt",""
