"","auth","piece","line"
"0","mori","andreas_thameyers.txt","アンドレアス・タアマイエルが遺書"
"1","mori","andreas_thameyers.txt","ANDREAS THAMEYERS LETZTER BRIEF"
"2","mori","andreas_thameyers.txt","アルツウル・シユニツツレルArthur Schnitzler"
"3","mori","andreas_thameyers.txt","森林太郎訳"
"4","mori","andreas_thameyers.txt",""
"5","mori","andreas_thameyers.txt","-------------------------------------------------------"
"6","mori","andreas_thameyers.txt","【テキスト中に現れる記号について】"
"7","mori","andreas_thameyers.txt",""
"8","mori","andreas_thameyers.txt","《》：ルビ"
"9","mori","andreas_thameyers.txt","（例）今日"
"10","mori","andreas_thameyers.txt",""
"11","mori","andreas_thameyers.txt","｜：ルビの付く文字列の始まりを特定する記号"
"12","mori","andreas_thameyers.txt","（例）人｜嘲り"
"13","mori","andreas_thameyers.txt","-------------------------------------------------------"
"14","mori","andreas_thameyers.txt",""
"15","mori","andreas_thameyers.txt","小生は如何にしても今日以後生きながらへ居ること難く候。"
"16","mori","andreas_thameyers.txt","何故と申すに小生生きながらへ居る限りは、世間の人｜嘲り笑ひ申すべく、誰一人事実の真相を認めくるる者は有之まじく候。"
"17","mori","andreas_thameyers.txt","仮令世間にては何と申し候とも、妻が貞操を守り居たりしことは小生の確信する所に有之、小生は死を以て之を証明する考に候。"
"18","mori","andreas_thameyers.txt","今日まで種々の書籍に就て、此困難なる、又｜疑団多き事件に就き取調べ候処、著述家の中には斯様なる事実の有り得べきことを疑ふ者少からず候へども、知名の学者にして斯の如き事実の有り得べきことを認め居る者も少からざるやう相見え候。"
"19","mori","andreas_thameyers.txt","マルブランシユの記録する所に依れば、某氏の妻、聖ピウスの祭の日にピウスの肖像を長き間凝視し居りしに、其女の生みし男子の容貌全く彼肖像に似たりし由に候。"
"20","mori","andreas_thameyers.txt","生れたる赤子は彼聖者の如く老衰したる面貌を呈し、生れし時、両手を胸の上にて組み合せ、開きたる目は空を見居り、肩の上に黶子ありて、聖者の戴ける垂れたる帽子の形になり居りし由に候。"
"21","mori","andreas_thameyers.txt","若し此記者マルブランシユの著名なる哲学者たり、デカルトの後継者たるをも猶信じ難しと為す者あらば、小生は更にマルチン・ルウテルの伝へし所を紹介致すべく候。"
"22","mori","andreas_thameyers.txt","ルウテルの食卓演説の中に左の如き物語有之候。"
"23","mori","andreas_thameyers.txt","ルウテルがヰツテンベルヒに在りし時、頭の形、髑髏に似たる男を見しことありて、其履歴を問ひしに、其男の母は妊娠中死骸を見て甚しく驚きしことありし由に候。"
"24","mori","andreas_thameyers.txt","其の他ヘリオドオルがリブリイ、エチオピコオルムに記載したる物語の如きは、最も信を置く可きものゝ如く存ぜられ候。"
