"","auth","piece","line"
"0","mori","fukasetsu.txt","不可説"
"1","mori","fukasetsu.txt","UNERKLARLICHT!"
"2","mori","fukasetsu.txt","アンリ・ド・レニエエHenri de Regnier"
"3","mori","fukasetsu.txt","森林太郎訳"
"4","mori","fukasetsu.txt",""
"5","mori","fukasetsu.txt","-------------------------------------------------------"
"6","mori","fukasetsu.txt","【テキスト中に現れる記号について】"
"7","mori","fukasetsu.txt",""
"8","mori","fukasetsu.txt","《》：ルビ"
"9","mori","fukasetsu.txt","（例）家隷"
"10","mori","fukasetsu.txt",""
"11","mori","fukasetsu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"12","mori","fukasetsu.txt","（例）一｜塊"
"13","mori","fukasetsu.txt",""
"14","mori","fukasetsu.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"15","mori","fukasetsu.txt","（例）いよ／＼"
"16","mori","fukasetsu.txt","-------------------------------------------------------"
"17","mori","fukasetsu.txt",""
"18","mori","fukasetsu.txt","愛する友よ。"
"19","mori","fukasetsu.txt","此手紙が君の手に届いた時には、僕はもう此世にゐないだらう。"
"20","mori","fukasetsu.txt","此手紙の這入つた封筒が封ぜられて、僕の忠実な家隷フランソアが「すぐに出せ」と云ふ命令と共に、それを受け取るや否や、今物を書いてゐる此机の引出しから、僕は拳銃を取り出して、それを手に持つて長椅子の上に横になるだらう。"
"21","mori","fukasetsu.txt","後に僕の死んでゐるのが、そこで見出されるだらう。"
"22","mori","fukasetsu.txt","長椅子に掛けてある近東製の氈を、流れ出る僕の血が汚さないやうにする積だ。"
"23","mori","fukasetsu.txt","若しあの絹のやうに光る深紅色が余り傷んでゐなかつたら、君あれを記念に取つて置いてくれ給へ。"
"24","mori","fukasetsu.txt","あの冷やかな、鈍い色と、品の好い波斯の模様とを君は好いてゐたのだから。"
"25","mori","fukasetsu.txt",""
"26","mori","fukasetsu.txt","よし君が友人中の長も遠慮深い人であつたとしても、なぜ僕がこんな風にして此世を去るかと云ふことを、君はきつと問ふだらう。"
"27","mori","fukasetsu.txt","それを僕は無理だとは思はない。"
"28","mori","fukasetsu.txt","僕はまだ若い。"
"29","mori","fukasetsu.txt","金はある。"
"30","mori","fukasetsu.txt","体は丈夫だ。"
"31","mori","fukasetsu.txt","世間には精神上か又は肉体上に苦痛があつて、そのために死を求める人が随分あるやうだが、そんな苦痛は僕には無い。"
"32","mori","fukasetsu.txt","苦痛どころではない。"
"33","mori","fukasetsu.txt","沈鬱をも僕は感じてゐない。"
"34","mori","fukasetsu.txt","どうかするとなまけた挙句に世の中が面白くなくなると云ふこともあるが、それも僕には無い。"
"35","mori","fukasetsu.txt","又さう云ふ精神上の難関があつたとしても、それを凌いで通る手段が、僕には幾らもあつた筈だ。"
"36","mori","fukasetsu.txt","さう云ふ手段を、僕はいつも巧者に、有利に用ゐて来たものだ。"
