"","auth","piece","line"
"0","mori","fukushu.txt","復讐"
"1","mori","fukushu.txt","BALTHASAR ALDRAMIN. KURZE LEBENSGESCHICHTE AUS DEM ALTEN VENEDIG."
"2","mori","fukushu.txt","アンリ・ド・レニエエHenri de Regnier"
"3","mori","fukushu.txt","森林太郎訳"
"4","mori","fukushu.txt",""
"5","mori","fukushu.txt","-------------------------------------------------------"
"6","mori","fukushu.txt","【テキスト中に現れる記号について】"
"7","mori","fukushu.txt",""
"8","mori","fukushu.txt","《》：ルビ"
"9","mori","fukushu.txt","（例）己"
"10","mori","fukushu.txt",""
"11","mori","fukushu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"12","mori","fukushu.txt","（例）一本｜背後"
"13","mori","fukushu.txt",""
"14","mori","fukushu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"15","mori","fukushu.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"16","mori","fukushu.txt","（例）※"
"17","mori","fukushu.txt",""
"18","mori","fukushu.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"19","mori","fukushu.txt","（例）ぬる／＼"
"20","mori","fukushu.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"21","mori","fukushu.txt","-------------------------------------------------------"
"22","mori","fukushu.txt",""
"23","mori","fukushu.txt","一"
"24","mori","fukushu.txt",""
"25","mori","fukushu.txt","バルタザル・アルドラミンは生きてゐた間、己が大ぶ精しく知つてゐたから、己が今あの男に成り代つて身上話をして、諸君に聞かせることが出来る。"
"26","mori","fukushu.txt","もうあれが口は開く時は無い。"
"27","mori","fukushu.txt","笑ふためにも歌ふためにも、ジエンツアノの葡萄酒を飲むためにも、ピエンツアの無花果を食ふためにも、その外の事をするためにも、永遠に開く時は無い。"
"28","mori","fukushu.txt","なぜと云ふに、あれはサン・ステフアノの寺の石畳みの下に眠つてゐるからである。"
"29","mori","fukushu.txt","両手を胸の創口の上に組み合せて眠つてゐる。"
"30","mori","fukushu.txt","此創が一七七九年三月三日にあれが若い命を忽然絶つてしまつたのである。"
"31","mori","fukushu.txt",""
"32","mori","fukushu.txt","バルタザルは三十になり掛けてゐた。"
"33","mori","fukushu.txt","丁度バルタザルの父と己の父とが小さい時から近附きになつてゐたやうに、バルタザルと己とも早くから親しい友達になつてゐた。"
"34","mori","fukushu.txt","己達二人は殆ど同時に父を喪つた。"
"35","mori","fukushu.txt","その亡くなつた父も略同年位であつた。"
"36","mori","fukushu.txt","あれが館と己の館とは隣同士になつてゐて、二つの館が同じ運河の水に影をうつして、変つた壁の色を交ぜ合つてゐた。"
"37","mori","fukushu.txt","バルタザルが館の正面は白塗で、それに大さの違ふ淡紅色の大理石で刻んだロゼツトが二つ嵌めてあつた。"
"38","mori","fukushu.txt","それが化石した花のやうに見えた。"
"39","mori","fukushu.txt","己の家族の住んでゐる館、即ちヰマニ家の館は、壁が赤み掛かつた色に塗つてあつた。"
"40","mori","fukushu.txt","館から運河に降りる石階の上の二段は、久しく人に踏まれて※びてすべつこくなつてゐた。"
"41","mori","fukushu.txt","上から三段目は水に漬つたり水の上に出たりするので、湿つてぬる／＼してゐた。"
"42","mori","fukushu.txt",""
"43","mori","fukushu.txt","大抵バルタザルは毎日此石階に出た。"
"44","mori","fukushu.txt","朝か昼か、さうでないと松明の光に照されて晩に出た。"
"45","mori","fukushu.txt","あれが己の館の石階に片足を踏み掛ける時、反対の足に力が入ると、乗つて来たゴンドラの舟がごぼ／＼と揺れた。"
"46","mori","fukushu.txt","己はあれが石階の上から呼ぶ声を聞いた。"
"47","mori","fukushu.txt","あれは随分善く話して善く笑ふ男であつた。"
"48","mori","fukushu.txt","あれも己も少しも拘束せられずに青春を弄んでゐたのである。"
"49","mori","fukushu.txt","大抵遊びの場所へ己を引き出すのはあれが首唱の力であつた。"
"50","mori","fukushu.txt","あれは強い熱心と変つた工夫とを以て遊びを試みる男であつた。"
"51","mori","fukushu.txt","受用はあれが性命の核心になつてゐたので、あれはそれを多く味はふために夜を以て日に継いだ。"
"52","mori","fukushu.txt","その遊びの中で主位を占めてゐたものは恋愛であつた。"
"53","mori","fukushu.txt",""
"54","mori","fukushu.txt","バルタザルは女に好かれた。"
"55","mori","fukushu.txt","そして己を好いてくれた。"
"56","mori","fukushu.txt","それだから宴会の席でも散歩の街でもあれと己とは離れずにゐた。"
"57","mori","fukushu.txt","そこで二人が一層離れずにゐられるやうに、あれと己とは友達同士になつてゐる女を情人にした。"
"58","mori","fukushu.txt","偶に情人と分かれてゐる時は、二人は中洲へ往つて魚や貝の料理を食つた。"
"59","mori","fukushu.txt","凡そ市にありとあらゆる肉欲に満足を与へる遊びには、己達二人の与らぬことは無い。"
"60","mori","fukushu.txt","そしてそんな遊びの多いことは言を須たない。"
"61","mori","fukushu.txt","尼寺の応接所に二人が据わつて、干菓子をかじつたり、ソルベツトを啜つたりしながら、尼達の饒舌るのを聞いて、偸目をして尼達の胸の薄衣の開き掛かつてゐる所をのぞいてゐたことは幾度であらう。"
"62","mori","fukushu.txt","二人が賭博の卓に倚つて、人の金を取つたり、人に金を取られたりしてゐたことも幾晩であらう。"
"63","mori","fukushu.txt","カルネワレの祭の頃、二人で町中を暴れ廻り跳ね廻つたのも幾度であらう。"
"64","mori","fukushu.txt","仮装舞踏に一しよに往つて、一しよにそこから帰る時は、二人の外套の袖と袖とが狭い巷で触れ合つたものである。"
"65","mori","fukushu.txt","彼誰時の空には星の色が褪め掛かる。"
"66","mori","fukushu.txt","運河の岸まで歩いて来ると、潮気のある風が海から吹いて来て、二人の着物の裾を翻す。"
"67","mori","fukushu.txt","二人は色々に塗つた仮面の下の熱した頬の上に、暁の冷たい息を感じたのである。"
"68","mori","fukushu.txt",""
"69","mori","fukushu.txt","こんな風に己達の青春は過ぎた。"
"70","mori","fukushu.txt","ヱネチアの少女等は恋愛でこれに味を附けて過させてくれた。"
"71","mori","fukushu.txt","波の上をすべるゴンドラの舟が、ひまな己達の体をゆすつてくれた。"
"72","mori","fukushu.txt","歌の声や笑声が、柔かい烈しさで己達のひまな時間を慰めてくれた。"
"73","mori","fukushu.txt","その時の反響がまだ己の耳の底に残つてゐる。"
"74","mori","fukushu.txt","こんな楽しかつた日の記念の数々は、運河のうねりの数々よりも多く、その記念のかゞやきは、運河の水の光より強い。"
"75","mori","fukushu.txt","今から思つて見ても、あの生活を永遠に継続することが出来たなら、己は別に何物をも求めようとはしなかつただらう。"
"76","mori","fukushu.txt","あの生活をどう変更しようと云ふ欲望は、己には無かつただらう。"
"77","mori","fukushu.txt","只目の前にゐる美しい女の微笑が折々変つて、その唇が己に新なる刺戟を与へてくれさへしたら、己はそれに満足してゐただらう。"
"78","mori","fukushu.txt",""
"79","mori","fukushu.txt","併しバルタザルはさうは思はなかつた。"
"80","mori","fukushu.txt","己の胸はあれが館の窓々が鎖されて、只白壁の上に淡紅色の大理石の花ばかりが開くやうに見えてゐた時、どんなにか血を流しただらう。"
"81","mori","fukushu.txt","バルタザルは遠い旅に立つた。"
"82","mori","fukushu.txt","世間を見ようと思つたのである。"
"83","mori","fukushu.txt","あれは三年の間遠い所にゐた。"
"84","mori","fukushu.txt","そして去る時飄然として去つたやうに、或る日、又飄然として帰つて来た。"
"85","mori","fukushu.txt","朝が来れば、あれの声が石階の上から又己を呼ぶ。"
"86","mori","fukushu.txt","晩にはあれと己とが又博奕の卓を囲む。"
"87","mori","fukushu.txt","己達は又昔の通りの生活を始めた。"
"88","mori","fukushu.txt","そのうち或る日不思議な出来事があつて、あれを永遠に復た起つことの出来ないやうにしてしまつた。"
"89","mori","fukushu.txt","それからと云ふものは、あれはサン・ステフアノの寺の石畳みの下に眠つてゐる。"
"90","mori","fukushu.txt","両手を胸の創口の上に組み合せて眠つてゐる。"
"91","mori","fukushu.txt",""
"92","mori","fukushu.txt","それだから己の口から今諸君にあれが身上話をしなくてはならぬことになつた。"
"93","mori","fukushu.txt","そこで己、ロレンツオ・ヰラミは諸君にことわつて置くが、己の話すのは、己の確かに知つてゐる事でほ無い。"
"94","mori","fukushu.txt","只あれが不思議な死を説明するために、己の推察したあれが生涯である。"
"95","mori","fukushu.txt","只或る夜、幹の赤い縦の木の林で、己の友人のヱネチア人、バルタザル・アルドラミンが己に囁いだやうに思はれた伝記である。"
"96","mori","fukushu.txt",""
"97","mori","fukushu.txt","――――――――――――"
"98","mori","fukushu.txt","ロレンツオや、聞いてくれ。"
