"","auth","piece","line"
"0","mori","furui_techokara.txt","古い手帳から"
"1","mori","furui_techokara.txt","森鴎外"
"2","mori","furui_techokara.txt",""
"3","mori","furui_techokara.txt","-------------------------------------------------------"
"4","mori","furui_techokara.txt","【テキスト中に現れる記号について】"
"5","mori","furui_techokara.txt",""
"6","mori","furui_techokara.txt","《》：ルビ"
"7","mori","furui_techokara.txt","（例）蔽膝"
"8","mori","furui_techokara.txt",""
"9","mori","furui_techokara.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","mori","furui_techokara.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"11","mori","furui_techokara.txt","（例）※"
"12","mori","furui_techokara.txt",""
"13","mori","furui_techokara.txt","〔〕：アクセント分解された欧文をかこむ"
"14","mori","furui_techokara.txt","（例）〔a^rja〕"
"15","mori","furui_techokara.txt","アクセント分解についての詳細は下記URLを参照してください"
"16","mori","furui_techokara.txt","http://www.aozora.gr.jp/accent_separation.html"
"17","mori","furui_techokara.txt","-------------------------------------------------------"
"18","mori","furui_techokara.txt",""
"19","mori","furui_techokara.txt","Platon"
"20","mori","furui_techokara.txt",""
"21","mori","furui_techokara.txt","Platon は何故に共産主義者とせられてゐるか。"
"22","mori","furui_techokara.txt","此人は人の心を植物性、動物性、精神性の三つに分つた。"
"23","mori","furui_techokara.txt","植物性は榮養、動物性は感情、精神性は智慧である。"
"24","mori","furui_techokara.txt","此人は又これと併行して社會を勞動者、防禦者、思惟者の三つに分つた。"
"25","mori","furui_techokara.txt","勞動者は農、工、商である。"
"26","mori","furui_techokara.txt","防禦者（φ※λακε※）は兵である、軍人である。"
"27","mori","furui_techokara.txt","思惟者は哲學者で、同時に政治家である。"
"28","mori","furui_techokara.txt","さて上の思惟者と中の防禦者とのために金錢と婦女とを私畜することを禁ぜようとした。"
"29","mori","furui_techokara.txt","上中の二階級のために共産主義を要求したのである。"
"30","mori","furui_techokara.txt",""
"31","mori","furui_techokara.txt","昔は支那でも宰相が死んで葬をする錢のないのを譽とした。"
"32","mori","furui_techokara.txt","又軍人が錢を愛するのは惡いとした。"
"33","mori","furui_techokara.txt","女色に溺れてはならぬのは上にあるものの務であつた。"
"34","mori","furui_techokara.txt","又印度でも僧尼は獨身者で、乞食は淨行であつた。"
"35","mori","furui_techokara.txt","基督教の無配偶者（coelebs）乞食者（mendicans）もこれに似てゐた。"
"36","mori","furui_techokara.txt","Platon は社會上中の二階級のためにこれを制度化して、妻孥財寶の繋縛を脱せしめ、全力を擧げて國家のために盡させようとしたのである。"
"37","mori","furui_techokara.txt",""
"38","mori","furui_techokara.txt","國家のために盡すとはどうするのか。"
"39","mori","furui_techokara.txt","國民をして公正（δικατοσ※νη）を得しむるの謂で、これは禀賦各相殊なるものをして適材の適處に居るに至らしむるに外ならぬのである。"
"40","mori","furui_techokara.txt","國家の幸福はこれより生じて來る。"
"41","mori","furui_techokara.txt","即富國強兵策である。"
"42","mori","furui_techokara.txt",""
"43","mori","furui_techokara.txt","そして下の階級たる農工商は總て問題外に置かれてゐる。"
"44","mori","furui_techokara.txt","これが狹義の人民（δημο※）で、Platon はこれを敵視すると明言して憚らない。"
"45","mori","furui_techokara.txt","啻にそれのみではない。"
"46","mori","furui_techokara.txt","其下には又奴隷が必要の一團として存在せしめてある。"
"47","mori","furui_techokara.txt",""
"48","mori","furui_techokara.txt","此下の階級の中に今相對峙してゐる資本家と勞動者とが打して一丸をなして入れてあるのが可笑しい。"
"49","mori","furui_techokara.txt","營々役々として錙銖の利を爭つて、成功して資本家となつてゐるものも、これを羨望しつつ勞動者となつてゐるものも、Platon の目から見れば等しく賤業者（β※ναυσο※）である。"
"50","mori","furui_techokara.txt","此に個人主義と民政主義との否定がある。"
"51","mori","furui_techokara.txt",""
"52","mori","furui_techokara.txt","Platon の理想國は上中二階級のためには共産主義、下一階級のためには非個人主義、非民政主義を以て組織せられてゐる。"
"53","mori","furui_techokara.txt","概括して言へば Platon は貴族主義者である、非平等主義者である。"
"54","mori","furui_techokara.txt",""
"55","mori","furui_techokara.txt",""
"56","mori","furui_techokara.txt","Aristoteles"
"57","mori","furui_techokara.txt",""
"58","mori","furui_techokara.txt","Platon は人生の幸福を、絶て自己の利害を顧みずに國家のために盡瘁する中に求めた。"
"59","mori","furui_techokara.txt","これに反して Aristoteles の政論は人生の幸福を、我が有となすものがあつて始て成立すべきものとなした。"
"60","mori","furui_techokara.txt","彼は純利他である。"
"61","mori","furui_techokara.txt","此は自利があつた上の利他である。"
"62","mori","furui_techokara.txt","ここに Platon の國家集産主義に對する Aristoteles の個人主義がある。"
"63","mori","furui_techokara.txt",""
"64","mori","furui_techokara.txt","この自利があつた上の利他は何處から出て來るか。"
"65","mori","furui_techokara.txt","Aristoteles はこれを人間天賦の仁（φιλ※α）に求めた。"
"66","mori","furui_techokara.txt","仁は社會的感情である。"
"67","mori","furui_techokara.txt","そして此感情は人間の平等を待つて始て生ずるものではない。"
"68","mori","furui_techokara.txt","相異なる人と人との間にも亦能く生ずる。"
"69","mori","furui_techokara.txt","そして自利の心はこれに由つて調節せられる。"
