"","auth","piece","line"
"0","mori","gan.txt","雁"
"1","mori","gan.txt","森鴎外"
"2","mori","gan.txt",""
"3","mori","gan.txt","-------------------------------------------------------"
"4","mori","gan.txt","【テキスト中に現れる記号について】"
"5","mori","gan.txt",""
"6","mori","gan.txt","《》：ルビ"
"7","mori","gan.txt","（例）壱"
"8","mori","gan.txt",""
"9","mori","gan.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","gan.txt","（例）当時｜競漕"
"11","mori","gan.txt",""
"12","mori","gan.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","gan.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","mori","gan.txt","（例）※"
"15","mori","gan.txt",""
"16","mori","gan.txt","〔〕：アクセント分解された欧文をかこむ"
"17","mori","gan.txt","（例）〔fe^te〕"
"18","mori","gan.txt","アクセント分解についての詳細は下記URLを参照してください"
"19","mori","gan.txt","http://www.aozora.gr.jp/accent_separation.html"
"20","mori","gan.txt","-------------------------------------------------------"
"21","mori","gan.txt",""
"22","mori","gan.txt","壱"
"23","mori","gan.txt",""
"24","mori","gan.txt","古い話である。"
"25","mori","gan.txt","僕は偶然それが明治十三年の出来事だと云うことを記憶している。"
"26","mori","gan.txt","どうして年をはっきり覚えているかと云うと、その頃僕は東京大学の鉄門の真向いにあった、上条と云う下宿屋に、この話の主人公と壁一つ隔てた隣同士になって住んでいたからである。"
"27","mori","gan.txt","その上条が明治十四年に自火で焼けた時、僕も焼け出された一人であった。"
"28","mori","gan.txt","その火事のあった前年の出来事だと云うことを、僕は覚えているからである。"
"29","mori","gan.txt",""
"30","mori","gan.txt","上条に下宿しているものは大抵医科大学の学生ばかりで、その外は大学の附属病院に通う患者なんぞであった。"
"31","mori","gan.txt","大抵どの下宿屋にも特別に幅を利かせている客があるもので、そう云う客は第一金廻りが好く、小気が利いていて、お上さんが箱火鉢を控えて据わっている前の廊下を通るときは、きっと声を掛ける。"
"32","mori","gan.txt","時々はその箱火鉢の向側にしゃがんで、世間話の一つもする。"
"33","mori","gan.txt","部屋で酒盛をして、わざわざ肴を拵えさせたり何かして、お上さんに面倒を見させ、我儘をするようでいて、実は帳場に得の附くようにする。"
"34","mori","gan.txt","先ずざっとこう云う性の男が尊敬を受け、それに乗じて威福を擅にすると云うのが常である。"
"35","mori","gan.txt","然るに上条で幅を利かせている、僕の壁隣の男は頗る趣を殊にしていた。"
"36","mori","gan.txt",""
"37","mori","gan.txt","この男は岡田と云う学生で、僕より一学年若いのだから、とにかくもう卒業に手が届いていた。"
"38","mori","gan.txt","岡田がどんな男だと云うことを説明するには、その手近な、際立った性質から語り始めなくてはならない。"
"39","mori","gan.txt","それは美男だと云うことである。"
"40","mori","gan.txt","色の蒼い、ひょろひょろした美男ではない。"
"41","mori","gan.txt","血色が好くて、体格ががっしりしていた。"
"42","mori","gan.txt","僕はあんな顔の男を見たことが殆ど無い。"
"43","mori","gan.txt","強いて求めれば、大分あの頃から後になって、僕は青年時代の川上眉山と心安くなった。"
"44","mori","gan.txt","あのとうとう窮境に陥って悲惨の最期を遂げた文士の川上である。"
"45","mori","gan.txt","あれの青年時代が一寸岡田に似ていた。"
"46","mori","gan.txt","尤も当時｜競漕の選手になっていた岡田は、体格では※かに川上なんぞに優っていたのである。"
"47","mori","gan.txt",""
"48","mori","gan.txt","容貌はその持主を何人にも推薦する。"
