"","auth","piece","line"
"0","mori","gengono_kigen_fuki.txt","「言語の起原」附記"
"1","mori","gengono_kigen_fuki.txt","森林太郎"
"2","mori","gengono_kigen_fuki.txt",""
"3","mori","gengono_kigen_fuki.txt","-------------------------------------------------------"
"4","mori","gengono_kigen_fuki.txt","【テキスト中に現れる記号について】"
"5","mori","gengono_kigen_fuki.txt",""
"6","mori","gengono_kigen_fuki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"7","mori","gengono_kigen_fuki.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"8","mori","gengono_kigen_fuki.txt","（例）※"
"9","mori","gengono_kigen_fuki.txt",""
"10","mori","gengono_kigen_fuki.txt","〔〕：アクセント分解された欧文をかこむ"
"11","mori","gengono_kigen_fuki.txt","（例）〔CUCU^LUS〕"
"12","mori","gengono_kigen_fuki.txt","アクセント分解についての詳細は下記URLを参照してください"
"13","mori","gengono_kigen_fuki.txt","http://www.aozora.gr.jp/accent_separation.html"
"14","mori","gengono_kigen_fuki.txt","-------------------------------------------------------"
"15","mori","gengono_kigen_fuki.txt",""
"16","mori","gengono_kigen_fuki.txt","此言語起原の一篇は江村學人の草する所なり。"
"17","mori","gengono_kigen_fuki.txt","予は之を萬年艸に收録するに當りて、一二所思を附記することの必ずしも無用ならざるべきを信ず。"
"18","mori","gengono_kigen_fuki.txt","學人は小兒の※聲聲」に白丸傍点］、簡單なるものより複雜なるものに進み、言語の原料となると云ひ、數語を擧げて之れが證例に充てられたり。"
"19","mori","gengono_kigen_fuki.txt","是れ言語學上容易ならざる問題なり。"
"20","mori","gengono_kigen_fuki.txt","予は故に謂へらく。"
"21","mori","gengono_kigen_fuki.txt","此研究の便宜上、一應彼※聲と言語の原料とを區別し置かんこと或は宜しきを得たるものなるべし。"
"22","mori","gengono_kigen_fuki.txt","而して其の用語は MUELLER に從ひて、※聲に關する一切の事を間投的語原の問題（INTERJECTIONAL）と名づけ、所謂言語の原料の一部（證例の半）の事を繪聲的語原の問題（ONOMATOPOETISCH）と名づくるに若かずと。"
"23","mori","gengono_kigen_fuki.txt","繪聲（ONOMATOPOEIE）の語は希臘以來の意義幾多の變遷を閲し來り、稍や誤解を招き易き嫌あるより、學者往々他語を以て之に代へんとしたることあり。"
