"","auth","piece","line"
"0","mori","haikuto_yumono.txt","俳句と云ふもの"
"1","mori","haikuto_yumono.txt","森鴎外"
"2","mori","haikuto_yumono.txt",""
"3","mori","haikuto_yumono.txt","-------------------------------------------------------"
"4","mori","haikuto_yumono.txt","【テキスト中に現れる記号について】"
"5","mori","haikuto_yumono.txt",""
"6","mori","haikuto_yumono.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"7","mori","haikuto_yumono.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"8","mori","haikuto_yumono.txt","（例）偶※"
"9","mori","haikuto_yumono.txt","-------------------------------------------------------"
"10","mori","haikuto_yumono.txt",""
"11","mori","haikuto_yumono.txt","○俳句と云ものを始て見たのは十五六歳の時であつたと思ふ。"
"12","mori","haikuto_yumono.txt","父と東京へ出て来て向嶋に住んでゐる所へ、母や弟妹が津和野の家を引き払つて這入り込んで来た。"
"13","mori","haikuto_yumono.txt","その時蔵書丈は売らずに持つて来たが、歌の本では、橘守部の「心の種」、流布本の「古今集」、詩の本では「唐詩選」があつた。"
"14","mori","haikuto_yumono.txt","俳諧の本は、誰やらが蕉門の句を集めた類題の零本で、秋冬の部丈があつた。"
"15","mori","haikuto_yumono.txt","表紙も何もなくなつてゐて、初の一枚には立秋の句があつたのを記憶してゐる。"
"16","mori","haikuto_yumono.txt","さう云ふ本を好奇心から読み出した。"
"17","mori","haikuto_yumono.txt","丁度進文学社と云ふ学校で独逸語を学んでゐた片手間であつた。"
"18","mori","haikuto_yumono.txt","其頃向嶋で交際してゐた友達は、伊藤孫一といふ漢学好きの少年一人であつたので、詩が一番好きであつた。"
"19","mori","haikuto_yumono.txt","尤も国にゐた時七絶を並べて見る稽古をしたこともあつたのである。"
"20","mori","haikuto_yumono.txt","唐詩選の中の多くの詩は諳んじてゐた。"
"21","mori","haikuto_yumono.txt","歌は、「心の種」に初心の人の歌だと云つて、"
"22","mori","haikuto_yumono.txt",""
"23","mori","haikuto_yumono.txt","ふじの山おなじ姿に見ゆるかな"
"24","mori","haikuto_yumono.txt","かなたおもてもこなたおもても"
"25","mori","haikuto_yumono.txt",""
"26","mori","haikuto_yumono.txt","とか云ふのがあつて、奈何に有りの儘が好いと云つても、これでは歌にならないと云つてあつた。"
"27","mori","haikuto_yumono.txt","それを可笑しいと思つたのを記憶してゐる。"
"28","mori","haikuto_yumono.txt",""
"29","mori","haikuto_yumono.txt","俳句は類題の零本を読んで面白いと丈は思てゐた。"
"30","mori","haikuto_yumono.txt","分かると思ふ句と、分からぬと思ふ句とがあつた。"
"31","mori","haikuto_yumono.txt","その分かると思つたのが、ひどく見当違いであつたとは、今から回顧して見ても思はない。"
"32","mori","haikuto_yumono.txt","生利で物は早く飲み込むことの出来る性であつたらしい。"
"33","mori","haikuto_yumono.txt",""
"34","mori","haikuto_yumono.txt","秋風や白木の弓に弦張らん去来"
"35","mori","haikuto_yumono.txt","と云ふ句がひどく気に入つて、こんな句がして見たいと思つた。"
"36","mori","haikuto_yumono.txt","その後俳句を少しして見たが、かう云ふ向きの句は一つも出来たことがない。"
"37","mori","haikuto_yumono.txt","何事によらず、自分の出来ない方角のものに感服してゐて、それが出来ずじまひになるのが、性分であるらしい。"
"38","mori","haikuto_yumono.txt",""
"39","mori","haikuto_yumono.txt","○父は医書の外は何も読まない流儀の人であつた。"
"40","mori","haikuto_yumono.txt","詩や歌や俳句の本が偶※有つたのは、皆祖父の遺物である。"
"41","mori","haikuto_yumono.txt","祖父は歌を一番好いてゐた。"
"42","mori","haikuto_yumono.txt","始て江戸に上る途中で、"
"43","mori","haikuto_yumono.txt",""
"44","mori","haikuto_yumono.txt","おもひきやさしも名高き富士のねも"
"45","mori","haikuto_yumono.txt","麓を雲の上に見んとは綱浄"
"46","mori","haikuto_yumono.txt",""
"47","mori","haikuto_yumono.txt","と云ふ歌をよんだ。"
"48","mori","haikuto_yumono.txt","それを福羽子爵が半折に書いて、"
"49","mori","haikuto_yumono.txt",""
"50","mori","haikuto_yumono.txt","いと高きしらべなりけりふじのねに"
"51","mori","haikuto_yumono.txt","これもおとらぬ君がことのは"
"52","mori","haikuto_yumono.txt",""
"53","mori","haikuto_yumono.txt","と書き添へて贈られた掛物が残つてゐる。"
"54","mori","haikuto_yumono.txt","漢文は達者に書いたらしいが、詩は一つもない。"
"55","mori","haikuto_yumono.txt","俳諧の話は、母が小娘の時によくして聞かせられたと云ふ事である。"
"56","mori","haikuto_yumono.txt","その話は浪人になつて大阪にゐた時、点取と云ふことを人に勧められてしたが、宗匠に不服なのと、どうも無学な人にかなはないのとで、すぐに廃めたと云ふことであつたさうだ。"
"57","mori","haikuto_yumono.txt","負けじ魂のあつた人らしいので、さう思つたのも無理はないと、微笑まれるやうな気がする。"
"58","mori","haikuto_yumono.txt","宗匠との衝突はかうであつた。"
"59","mori","haikuto_yumono.txt",""
"60","mori","haikuto_yumono.txt","茸狩や落した櫛を拾ふ手に"
"61","mori","haikuto_yumono.txt","と云ふ句を、宗匠が"
"62","mori","haikuto_yumono.txt","茸狩や釵捜す手にもこれ"
"63","mori","haikuto_yumono.txt","と直した。"
"64","mori","haikuto_yumono.txt","祖父が、それでは松茸が頭に生えてゐるやうだと云つて、承知しなかつたと云ふことがある。"
