"","auth","piece","line"
"0","mori","hannichi.txt","半日"
"1","mori","hannichi.txt","森鴎外"
"2","mori","hannichi.txt",""
"3","mori","hannichi.txt","-------------------------------------------------------"
"4","mori","hannichi.txt","【テキスト中に現れる記号について】"
"5","mori","hannichi.txt",""
"6","mori","hannichi.txt","《》：ルビ"
"7","mori","hannichi.txt","（例）心"
"8","mori","hannichi.txt",""
"9","mori","hannichi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","hannichi.txt","（例）一｜度"
"11","mori","hannichi.txt",""
"12","mori","hannichi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","hannichi.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","mori","hannichi.txt","（例）※"
"15","mori","hannichi.txt",""
"16","mori","hannichi.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","mori","hannichi.txt","（例）がた／＼"
"18","mori","hannichi.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"19","mori","hannichi.txt","-------------------------------------------------------"
"20","mori","hannichi.txt",""
"21","mori","hannichi.txt","六疊の間に、床を三つ並べて取つて、七つになる娘を眞中に寢かして、夫婦が寢てゐる。"
"22","mori","hannichi.txt","宵に活けて置いた桐火桶の佐倉炭が、白い灰になつてしまつて、主人の枕元には、唯ゞ心を引込ませたランプが微かに燃えてゐる。"
"23","mori","hannichi.txt","その脇には、時計や手帳などを入れた小葢が置いてあつて、その上に假綴の西洋書が開けて伏せてある。"
"24","mori","hannichi.txt","主人が讀みさして寢たのであらう。"
"25","mori","hannichi.txt",""
"26","mori","hannichi.txt","一月三十日の午前七時である。"
"27","mori","hannichi.txt","西北の風が強く吹いて、雨戸が折々がた／＼と鳴る。"
"28","mori","hannichi.txt","一間隔てた臺所では下女が起きて、何かこと／＼と音をさせてゐる。"
"29","mori","hannichi.txt","その音で主人は目を醒ました。"
"30","mori","hannichi.txt",""
"31","mori","hannichi.txt","裏庭の方の障子は微白い。"
"32","mori","hannichi.txt","いつの間にか仲働が此處の雨戸丈は開けたのである。"
"33","mori","hannichi.txt","主人は側に、夜着の襟に半分程、赤く圓くふとつた顏を埋めて寢てゐる娘を見て、微笑んだ。"
"34","mori","hannichi.txt","夜中に夢を見て唱歌を歌つてゐたことを思ひ出したのである。"
"35","mori","hannichi.txt",""
"36","mori","hannichi.txt","主人は、今日は孝明天皇祭だから、九時半迄には賢所に集らねばならない日であつたと思ひ出して、時計を見た。"
"37","mori","hannichi.txt","自用車で、此西片町から御所へ往くには、八時半に内を出れば好い。"
"38","mori","hannichi.txt","ゆつくり起きても、手水を使つて、朝飯を食ふには、十分の時間があると思つた。"
"39","mori","hannichi.txt",""
"40","mori","hannichi.txt","その時臺所で、「おや、まだお湯は湧かないのかねえ」と、鋭い聲で云ふのが聞えた。"
"41","mori","hannichi.txt","忽ち奧さんが白い華奢な手を伸べて、夜着を跳ね上げた。"
"42","mori","hannichi.txt","奧さんは頭からすつぽり夜着を被つて寢る癖がある。"
"43","mori","hannichi.txt","これは娘であつた時、何處かの家へ賊がはいつて、女の貌の美しいのを見たので、強奸をする氣になつたといふ話を聞いてから、顏の見えないやうにして寢るやうになつたのである。"
"44","mori","hannichi.txt","なる程、目鼻立の好い顏である。"
"45","mori","hannichi.txt","ほどいたら、身の丈にも餘らうと思はれる髮を束髮にしたのが半ば崩れて、ピンや櫛が、黒塗の臺に赤い小枕を附けた枕の元に落ちてゐる。"
"46","mori","hannichi.txt","奧さんは蒼い顏の半ばを占領してゐるかと思ふ程の、大きい、黒目勝の目をばつちり開いた。"
"47","mori","hannichi.txt","そして斯う云つた。"
"48","mori","hannichi.txt","「まあ、何といふ聲だらう。"
"49","mori","hannichi.txt","いつでもあの聲で玉が目を醒ましてしまふ。"
"50","mori","hannichi.txt","」それが大聲で、癇走つてゐるのだから、臺所へは確に聞えたのである。"
"51","mori","hannichi.txt",""
"52","mori","hannichi.txt","一體臺所で湯の沸くのが遲い小言を言つたのは誰であるか。"
"53","mori","hannichi.txt","これは主人文科大學教授文學博士高山峻藏君の母君である。"
"54","mori","hannichi.txt","博士の父が、明治の初年に、同縣の友で好い位地を得てゐた某の世話で、月給十五圓の腰辨當を拜命して、東京に住むやうになつた時から、食ふ筈の肴を食はず、着る筈の着ものを着ずに、博士の學資を續けて、博士が其頃の貸費生といふものになりおふせる迄にしたのは、此母君の力である。"
"55","mori","hannichi.txt","博士の父が、ある時世話になつてゐた大官に、洋行といふものは、どの位の金があつたら出來ませうかと問うたら、大官が斯う云つたさうだ。"
"56","mori","hannichi.txt","「君は貯金をして息子を洋行させようとでも思ふのか知らぬが、そんな冒險な考を出してはいけない。"
"57","mori","hannichi.txt","兎角日本人は財産を重んずるといふ思想に乏しい。"
"58","mori","hannichi.txt","第一君などの俸給では、食はずに溜めても、息子を洋行させることは出來ないが、縱や出來るとしても、さうして洋行させた子が死にでもしたらどうするのだ。"
"59","mori","hannichi.txt","女房をも餓死させては義務が立たない。"
"60","mori","hannichi.txt","跡から出來る子供にも、普通教育丈は是非共受けさせねばなるまい。"
