"","auth","piece","line"
"0","mori","hasegawa_tatsunosuke.txt","長谷川辰之助"
"1","mori","hasegawa_tatsunosuke.txt","森林太郎"
"2","mori","hasegawa_tatsunosuke.txt",""
"3","mori","hasegawa_tatsunosuke.txt","-------------------------------------------------------"
"4","mori","hasegawa_tatsunosuke.txt","【テキスト中に現れる記号について】"
"5","mori","hasegawa_tatsunosuke.txt",""
"6","mori","hasegawa_tatsunosuke.txt","《》：ルビ"
"7","mori","hasegawa_tatsunosuke.txt","（例）和かな"
"8","mori","hasegawa_tatsunosuke.txt",""
"9","mori","hasegawa_tatsunosuke.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","mori","hasegawa_tatsunosuke.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"11","mori","hasegawa_tatsunosuke.txt","（例）※"
"12","mori","hasegawa_tatsunosuke.txt",""
"13","mori","hasegawa_tatsunosuke.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"14","mori","hasegawa_tatsunosuke.txt","（例）とう／＼"
"15","mori","hasegawa_tatsunosuke.txt","-------------------------------------------------------"
"16","mori","hasegawa_tatsunosuke.txt",""
"17","mori","hasegawa_tatsunosuke.txt","逢ひたくて逢はずにしまふ人は澤山ある。"
"18","mori","hasegawa_tatsunosuke.txt",""
"19","mori","hasegawa_tatsunosuke.txt","それは私の方から人を尋ねるといふことが、殆ど絶待的に出來ないからである。"
"20","mori","hasegawa_tatsunosuke.txt","何故出來ないか、私には職務があると辯解して見る。"
"21","mori","hasegawa_tatsunosuke.txt","併し此辯解は通らない。"
"22","mori","hasegawa_tatsunosuke.txt","誰だつて職務の無いものはあるまい。"
"23","mori","hasegawa_tatsunosuke.txt","何かしらしてゐるだらう。"
"24","mori","hasegawa_tatsunosuke.txt",""
"25","mori","hasegawa_tatsunosuke.txt","役所に出る前、役所を引いた後、休日などがあるから、人を尋ねれば尋ねられる筈である。"
"26","mori","hasegawa_tatsunosuke.txt","ところが、朝なぞは朝飯を食つてゐるとお客に掴まる。"
"27","mori","hasegawa_tatsunosuke.txt","夕方歸つて見ると、待ち受けてゐる人がある。"
"28","mori","hasegawa_tatsunosuke.txt","土曜日の午後、日曜日、大祭日なぞには朝からお客に逢ふ。"
"29","mori","hasegawa_tatsunosuke.txt","一人と話をしてゐるうちに、後の一人が見える。"
"30","mori","hasegawa_tatsunosuke.txt","とう／＼日が暮れてしまふ。"
"31","mori","hasegawa_tatsunosuke.txt",""
"32","mori","hasegawa_tatsunosuke.txt","面會日といふものを極めてゐる人もある。"
"33","mori","hasegawa_tatsunosuke.txt","極めるとなると、なんだか自分で自分を縛るやうな心持がして不愉快である。"
"34","mori","hasegawa_tatsunosuke.txt","それも嫌だ。"
"35","mori","hasegawa_tatsunosuke.txt",""
"36","mori","hasegawa_tatsunosuke.txt","あるときお客の淘汰をしようとした。"
"37","mori","hasegawa_tatsunosuke.txt","お客の話の中で一番面白くないのは、何か書け、書けません、是非書けの押問答である。"
"38","mori","hasegawa_tatsunosuke.txt","それを遣るに極まつてゐる新聞雜誌の記者諸君丈を謝絶して見ようと試みた。"
"39","mori","hasegawa_tatsunosuke.txt","取次に教へてある挨拶はかうである。"
"40","mori","hasegawa_tatsunosuke.txt","お話に入らつしやつたのなら、どうぞお通り下さい。"
"41","mori","hasegawa_tatsunosuke.txt","新聞社や雜誌社の御用で入らつしやつたのならお斷申します。"
"42","mori","hasegawa_tatsunosuke.txt","先づこんな風に言はせるのである。"
"43","mori","hasegawa_tatsunosuke.txt",""
"44","mori","hasegawa_tatsunosuke.txt","併し此淘汰法は全く失敗に終つた。"
"45","mori","hasegawa_tatsunosuke.txt","個人の用だと云つてお通りになる。"
"46","mori","hasegawa_tatsunosuke.txt","自分の心得の爲めに承知して置きたいといふので、色々な事を聞いて歸られる。"
"47","mori","hasegawa_tatsunosuke.txt","それが矢張何かに出るのである。"
"48","mori","hasegawa_tatsunosuke.txt",""
"49","mori","hasegawa_tatsunosuke.txt","新聞の探訪は手段を選んでは出來ない。"
"50","mori","hasegawa_tatsunosuke.txt","訪問記者だつて殆ど同じ道理であらう。"
"51","mori","hasegawa_tatsunosuke.txt","その位な事を遣られるのは無理はない。"
"52","mori","hasegawa_tatsunosuke.txt",""
"53","mori","hasegawa_tatsunosuke.txt","その外素直に歸つた人は憤懣してゐるのだから、飛んだ處で、其鬱憤を洩すこともある。"
"54","mori","hasegawa_tatsunosuke.txt","人の名譽とか聲價とかといふやうなものは活板で極められる活板時代であるから、新聞雜誌の記者諸君を片端から怒らせるのは、丸で自分で自分の顏に泥を塗るやうなものである。"
"55","mori","hasegawa_tatsunosuke.txt","お客の淘汰は所詮出來ない。"
"56","mori","hasegawa_tatsunosuke.txt","依然どなたにでもお目に掛かる。"
"57","mori","hasegawa_tatsunosuke.txt","常の日の内にゐる時間も、休日も、祭日もお客のお相手をする。"
"58","mori","hasegawa_tatsunosuke.txt","人を尋ねる餘裕はない。"
"59","mori","hasegawa_tatsunosuke.txt",""
"60","mori","hasegawa_tatsunosuke.txt","私はこんな風に考へてゐる。"
"61","mori","hasegawa_tatsunosuke.txt","尤も私だとて、こんな風に考へてゐるのを立派な事だとは思つてゐない。"
"62","mori","hasegawa_tatsunosuke.txt","こんな風に考へざることを得ないのは、實に私の拙なのである。"
"63","mori","hasegawa_tatsunosuke.txt",""
"64","mori","hasegawa_tatsunosuke.txt","私の時間の遣操に拙なのは、金の遣操に拙なのと同一である。"
"65","mori","hasegawa_tatsunosuke.txt","拙は藏するが常である。"
"66","mori","hasegawa_tatsunosuke.txt","併し拙を藏するのも、金を藏すると同一で、氣苦勞である。"
"67","mori","hasegawa_tatsunosuke.txt","今は告白流行の時代である。"
"68","mori","hasegawa_tatsunosuke.txt","仍て私は私の拙を告白するのである。"
"69","mori","hasegawa_tatsunosuke.txt",""
