"","auth","piece","line"
"0","mori","hitoributai.txt","一人舞台"
"1","mori","hitoributai.txt","ストリンドベルヒAugust Strindberg"
"2","mori","hitoributai.txt","森鴎外訳"
"3","mori","hitoributai.txt",""
"4","mori","hitoributai.txt","-------------------------------------------------------"
"5","mori","hitoributai.txt","【テキスト中に現れる記号について】"
"6","mori","hitoributai.txt",""
"7","mori","hitoributai.txt","《》：ルビ"
"8","mori","hitoributai.txt","（例）坐って"
"9","mori","hitoributai.txt",""
"10","mori","hitoributai.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","mori","hitoributai.txt","（例）丁度｜繭"
"12","mori","hitoributai.txt",""
"13","mori","hitoributai.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","mori","hitoributai.txt","（例）人物"
"15","mori","hitoributai.txt","-------------------------------------------------------"
"16","mori","hitoributai.txt",""
"17","mori","hitoributai.txt","人物"
"18","mori","hitoributai.txt",""
"19","mori","hitoributai.txt","甲、夫ある女優。"
"20","mori","hitoributai.txt",""
"21","mori","hitoributai.txt","乙、夫なき女優。"
"22","mori","hitoributai.txt",""
"23","mori","hitoributai.txt",""
"24","mori","hitoributai.txt","婦人珈琲店の一隅。"
"25","mori","hitoributai.txt","小さき鉄の卓二つ。"
"26","mori","hitoributai.txt","緋天鵞絨張の長椅子一つ。"
"27","mori","hitoributai.txt","椅子数箇。"
"28","mori","hitoributai.txt","○甲、帽子外套の冬支度にて、手に上等の日本製の提籠を持ち入り来る。"
"29","mori","hitoributai.txt","乙、半ば飲みさしたる麦酒の小瓶を前に置き、絵入雑誌を読みいる。"
"30","mori","hitoributai.txt","後対話の間に、他の雑誌と取り替うることあり。"
"31","mori","hitoributai.txt",""
"32","mori","hitoributai.txt",""
"33","mori","hitoributai.txt","甲。"
"34","mori","hitoributai.txt","アメリイさん。"
"35","mori","hitoributai.txt","今晩は。"
"36","mori","hitoributai.txt","クリスマスの晩だのに、そんな風に一人で坐っているところを見ると、まるで男の独者のようね。"
"37","mori","hitoributai.txt",""
"38","mori","hitoributai.txt",""
"39","mori","hitoributai.txt","（乙、目を雑誌より放し、頷き、また読み続く。"
"40","mori","hitoributai.txt","）"
"41","mori","hitoributai.txt",""
"42","mori","hitoributai.txt","ほんとにお前さんのそうしているところを見ると、わたし胸が痛くなるわ。"
"43","mori","hitoributai.txt","珈琲店で、一人ぼっちでいるなんて。"
"44","mori","hitoributai.txt","お負けにクリスマスの晩だのに。"
"45","mori","hitoributai.txt","わたしパリイにいた時、婚礼をした連中が料理店に這入っていたのを見たことがあるのよ。"
"46","mori","hitoributai.txt","お嫁さんは腰を掛けて滑稽雑誌を見ている。"
"47","mori","hitoributai.txt","お婿さんと立会人とで球を突いているというわけさ。"
"48","mori","hitoributai.txt","婚礼の晩がこんな風では、行末どうなるだろうと思ったの。"
"49","mori","hitoributai.txt","よくまあ、お婿さんになって、その晩に球なんぞが突けたことね。"
"50","mori","hitoributai.txt","お嫁さんもお嫁さんで、よくまあ、滑稽雑誌なんぞが見ていられたことね。"
"51","mori","hitoributai.txt","お嫁さんの方がひどいかも知れないわ。"
"52","mori","hitoributai.txt","今お前さんのそうしてつくねんとしているところを見ると、わたしその連中を見た時のような心持がするわ。"
"53","mori","hitoributai.txt",""
"54","mori","hitoributai.txt",""
"55","mori","hitoributai.txt","（給仕女、入り来り、甲の前にチョコレエト一杯を置き、また出で去る。"
"56","mori","hitoributai.txt","）"
"57","mori","hitoributai.txt",""
"58","mori","hitoributai.txt","今になって思って見ればね、お前さんはあの約束をおしの人を亭主に持った方が好かったかも知れないと思うわ。"
"59","mori","hitoributai.txt","そら。"
"60","mori","hitoributai.txt","あの時そういったのは、わたしが初めよ。"
"61","mori","hitoributai.txt","勘忍してお遣りとそう云ったわ。"
"62","mori","hitoributai.txt","あの事をまだ覚えていて。"
"63","mori","hitoributai.txt","あの時お前さんがわたしの言った通りにすると、今はちゃんと家持になっているのね。"
"64","mori","hitoributai.txt","去年のクリスマスにはあの約束をおしの人の二親のいる、田舎の内にお前さんは行っていて、そういったっけね。"
"65","mori","hitoributai.txt","もうもう芝居なんぞは厭だ。"
"66","mori","hitoributai.txt","こんな田舎で気楽に暮したいとそういったっけね。"
"67","mori","hitoributai.txt","なんでも家持に限るのだよ。"
"68","mori","hitoributai.txt","それは芝居にいるも好いけれどもね。"
"69","mori","hitoributai.txt","その次ぎには内というものが好いわ。"
"70","mori","hitoributai.txt","そして子供でも出来ようもんなら、それは好くってよ。"
"71","mori","hitoributai.txt","そんなことはお前さんには分からないわね。"
"72","mori","hitoributai.txt",""
"73","mori","hitoributai.txt",""
"74","mori","hitoributai.txt","（乙、さげすむようなる顔色をなす。"
"75","mori","hitoributai.txt","甲、チョコレエトを匙へしゃくりて飲み、提籠の蓋を明け、中にあるクリスマスの贈物を示す。"
"76","mori","hitoributai.txt","）"
"77","mori","hitoributai.txt",""
"78","mori","hitoributai.txt","御覧よ。"
"79","mori","hitoributai.txt","内のちび達にこれを遣るのだわ。"
"80","mori","hitoributai.txt",""
"81","mori","hitoributai.txt",""
"82","mori","hitoributai.txt","（人形を一つ取り出す。"
"83","mori","hitoributai.txt","）"
"84","mori","hitoributai.txt",""
"85","mori","hitoributai.txt","これがリイザアのよ。"
"86","mori","hitoributai.txt","好い人形でしょう。"
"87","mori","hitoributai.txt","目をくるくる廻して、首がどっちへでも向くのよ。"
"88","mori","hitoributai.txt","好いじゃないか。"
"89","mori","hitoributai.txt","このコルクのピストルはマヤに遣るの。"
"90","mori","hitoributai.txt",""
"91","mori","hitoributai.txt",""
"92","mori","hitoributai.txt","（コルクを填め、乙に向いて射撃す。"
"93","mori","hitoributai.txt","乙、驚きたる表情をなす。"
"94","mori","hitoributai.txt","）"
"95","mori","hitoributai.txt",""
"96","mori","hitoributai.txt","こわくって。"
"97","mori","hitoributai.txt","わたしがお前さんを撃ち殺すかと思ったの。"
"98","mori","hitoributai.txt","まさかお前さんがそんなことを思うだろうとは、わたし思わなくってよ。"
