"","auth","piece","line"
"0","mori","inu.txt","犬"
"1","mori","inu.txt","レオニイド・アンドレイエフLeonid Andrejew"
"2","mori","inu.txt","森鴎外訳"
"3","mori","inu.txt",""
"4","mori","inu.txt","-------------------------------------------------------------"
"5","mori","inu.txt","【テキスト中に現れる記号について】"
"6","mori","inu.txt",""
"7","mori","inu.txt","《》：ルビ"
"8","mori","inu.txt","（例）困められて"
"9","mori","inu.txt",""
"10","mori","inu.txt","：入力者注主に外字の説明"
"11","mori","inu.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"12","mori","inu.txt","（例）※"
"13","mori","inu.txt","-------------------------------------------------------------"
"14","mori","inu.txt",""
"15","mori","inu.txt","この犬は名を附けて人に呼ばれたことはない。"
"16","mori","inu.txt","永い冬の間、何処にどうして居るか、何を食べて居るか、誰も知らぬ。"
"17","mori","inu.txt","暖かそうな小屋に近づけば、其処に飼われて居る犬が、これも同じように饑渇に困められては居ながら、その家の飼犬だというので高慢らしく追い払う。"
"18","mori","inu.txt","饑渇に迫られ、犬仲間との交を恋しく思って、時々町に出ると、子供達が石を投げつける。"
"19","mori","inu.txt","大人も口笛を吹いたり何かして、外の犬を嗾ける。"
"20","mori","inu.txt","そこでこわごわあちこち歩いた末に、往来の人に打突ったり、垣などに打突ったりして、遂には村はずれまで行って、何処かの空地に逃げ込むより外はない。"
"21","mori","inu.txt","人の目にかからぬ木立の間を索めて身に受けた創を調べ、この寂しい処で、人を怖れる心と、人を憎む心とを養うより外はない。"
"22","mori","inu.txt",""
"23","mori","inu.txt","たった一度人が彼に憫みを垂れたことがある。"
"24","mori","inu.txt","それは百姓で、酒屋から家に帰りかかった酔漢であった。"
"25","mori","inu.txt","この男は目にかかる物を何でも可哀がって、憐れで、ああ人間というものは善いものだ、善い人間が己れのために悪いことをするはずがない、などと口の中で囁く癖があった。"
"26","mori","inu.txt","この男がたまたま酒でちらつく目にこの醜い犬を見付けて、この犬をさえ、良い犬可哀い犬だと思った。"
"27","mori","inu.txt",""
"28","mori","inu.txt","「シュッチュカ」とその男は叫んだ。"
"29","mori","inu.txt","これは露西亜で毎に知らぬ犬を呼ぶ名である。"
"30","mori","inu.txt","「シュッチュカ」、来い来い、何も可怖いことはない。"
"31","mori","inu.txt",""
"32","mori","inu.txt","シュッチュカは行っても好いと思った。"
"33","mori","inu.txt","そこで尻尾を振って居たが、いよいよ行くというまでに決心がつかなかった。"
"34","mori","inu.txt","百姓は掌で自分の膝を叩いて、また呼んだ。"
"35","mori","inu.txt","「来いといったら来い。"
"36","mori","inu.txt","シュッチュカ奴。"
"37","mori","inu.txt","馬鹿な奴だ。"
"38","mori","inu.txt","己れはどうもしやしない。"
"39","mori","inu.txt","」"
"40","mori","inu.txt","そこで犬は小股に歩いて、百姓の側へ行掛かった。"
"41","mori","inu.txt","しかしその間に百姓の考が少し変って来た。"
"42","mori","inu.txt","それは今まで自分の良い人だと思った人が、自分に種々迷惑をかけたり、自分を侮辱したりした事があると思い出したのだ、それで心持が悪くなって訳もなく腹を立って来た。"
"43","mori","inu.txt","シュッチュカは次第に側へ寄って来た。"
"44","mori","inu.txt","その時百姓は穿いて居る重い長靴を挙げて、犬の腋腹を蹴た。"
"45","mori","inu.txt",""
"46","mori","inu.txt","「ええ。"
"47","mori","inu.txt","畜生奴、うぬまで己の側へ来やがるか。"
"48","mori","inu.txt","」犬は悲しげに啼いた。"
"49","mori","inu.txt","これはさ程痛かったためではないが、余り不意であったために泣いたのだ。"
"50","mori","inu.txt","さて百姓は蹣跚きながら我家に帰った。"
"51","mori","inu.txt","永い間女房を擲って居た。"
"52","mori","inu.txt","そうしてたった一週間前に買って遣った頭に被る新しい巾を引き裂いた。"
"53","mori","inu.txt",""
"54","mori","inu.txt","それからこの犬は人間というものを信用しなくなって、人が呼んで摩ろうとすると、尾を股の間へ挿んで逃げた。"
"55","mori","inu.txt","時々はまた怒って人間に飛付いて噛もうとしたが、そんな時は大抵杖で撲たれたり、石を投付けられたりして、逃げなければならぬのであった。"
"56","mori","inu.txt","ある年の冬番人を置いてない明別荘の石段の上の方に居処を占めて、何の報酬も求めないで、番をして居た。"
"57","mori","inu.txt","夜になると街道に出て声の嗄れるまで吠えた。"
"58","mori","inu.txt","さて草臥れば、別荘の側へ帰って独で呟くような声を出して居た。"
"59","mori","inu.txt",""
"60","mori","inu.txt","冬の夜は永い。"
"61","mori","inu.txt","明別荘の黒い窓はさびしげに物音の絶えた、土の凍た庭を見出して居る。"
"62","mori","inu.txt","その内春になった。"
"63","mori","inu.txt","春と共に静かであった別荘に賑が来た。"
"64","mori","inu.txt","別荘の持主は都会から引越して来た。"
"65","mori","inu.txt","その人々は大人も子供も大人になり掛かった子供も、皆空気と温度と光線とに酔って居る人達で、叫んだり歌を謡ったり笑ったりして居る。"
"66","mori","inu.txt",""
"67","mori","inu.txt","その中でこの犬と初めて近づきになったのは、ふと庭へ走り出た美しい小娘であった。"
"68","mori","inu.txt","その娘は何でも目に見えるものを皆優しい両手で掻き抱き、自分の胸に押しつけたいと思うような気分で、まず晴れ渡った空を仰いで見て、桜の木の赤味を帯びた枝の方を見て、それから庭の草の上に寝ころんで顔を熱く照らす日に向けて居た。"
"69","mori","inu.txt","しかしそれも退屈だと見えて、直ぐに飛び上がって手を広げて、赤い唇で春の空気に接吻して「まあ好い心持だ事」といった。"
"70","mori","inu.txt",""
"71","mori","inu.txt","その時何と思ったか、犬は音のしないように娘の側へ這い寄ったと思うと、着物の裾を銜えて引っ張って裂いてしまって、直ぐに声も出さずに、苺の木の茂って居る中へ引っ込んだ。"
"72","mori","inu.txt","娘は直ぐに別荘に帰って、激した声で叫んだ。"
"73","mori","inu.txt","「喰付く犬が居るよ。"
"74","mori","inu.txt","お母あさんも、みんなも、もう庭へ出てはいけません。"
"75","mori","inu.txt","本当に憎らしい犬だよ」といった。"
"76","mori","inu.txt",""
"77","mori","inu.txt","夜になって犬は人々の寝静まった別荘の側に這い寄って、そうして声を立てずにいつも寝る土の上に寝た。"
"78","mori","inu.txt","いつもと違って人間の香がする。"
"79","mori","inu.txt","熱いので明けてある窓からは人の呼吸が静かに漏れる。"
"80","mori","inu.txt","人は皆な寝て居るのだ。"
"81","mori","inu.txt","犬は羨ましく思いながら番をして居る。"
"82","mori","inu.txt","犬は左右の眼で交る交る寝た。"
"83","mori","inu.txt","そうして何か物音がする度に頭を上げて、燐のように輝く眼を※いた。"
"84","mori","inu.txt","種々な物音がする。"
"85","mori","inu.txt","しかしこの春の夜の物音は何れも心を押し鎮めるような好い物音であった。"
"86","mori","inu.txt","何とは知らず周囲の草の中で、がさがさ音がして犬の沾れて居る口の端に這い寄るものがある。"
"87","mori","inu.txt","木の上では睡った鳥の重りで枯枝の落ちる音がする。"
"88","mori","inu.txt","近い街道では車が軋る。"
"89","mori","inu.txt","中には重荷を積んだ車のやや劇しい響をさせるのもある。"
"90","mori","inu.txt","犬の身の辺には新らしい※児の匂いがする。"
"91","mori","inu.txt",""
"92","mori","inu.txt","この別荘に来た人たちは皆好い人であった。"
"93","mori","inu.txt","その好い人が町を離れて此処で清い空気を吸って、緑色な草木を見て、平日よりも好い人になって居るのだ。"
"94","mori","inu.txt","初の内は子供を驚かした犬を逐い出してしまおうという人もあり、中には拳銃で打ち殺そうなどという人もあった。"
"95","mori","inu.txt","その内に段々夜吠える声に聞き馴れて、しまいには夜が明けると犬のことを思い出して「クサカは何処に居るかしらん」などと話し合うようになった。"
"96","mori","inu.txt",""
"97","mori","inu.txt","このクサカという名がこういう風に初めてこの犬に附けられた。"
"98","mori","inu.txt","稀には昼間も木立の茂った中にクサカの姿が見える。"
"99","mori","inu.txt","しかし人が麺包を遣ろうと思って、手を動かすと、その麺包が石ででもあるかのように、犬の姿は直ぐ見えなくなる。"
"100","mori","inu.txt","その内皆がクサカに馴れた。"
"101","mori","inu.txt","何時か飼犬のように思って、その人馴れぬ処、物を怖れる処などを冷かすような風になった。"
"102","mori","inu.txt","そこで一日一日と人間とクサカとを隔てる間が狭くなった。"
"103","mori","inu.txt","クサカも次第に別荘の人の顔を覚えて、昼食の前半時間位の時になると、木立の間から顔を出して、友情を持った目で座敷の方を見るようになった。"
"104","mori","inu.txt","その内高等女学校に入学して居るレリヤという娘、これは初めて犬に出会った娘であったが、この娘がいよいよクサカを別荘の人々の近づきにする事になった。"
"105","mori","inu.txt",""
"106","mori","inu.txt","「クサチュカ、私と一しょにおいで」と犬を呼んで来た。"
"107","mori","inu.txt","「クサチュカ、好い子だね。"
"108","mori","inu.txt","お砂糖をあげようか。"
"109","mori","inu.txt","おいでといったらおいでよ」といった。"
"110","mori","inu.txt",""
"111","mori","inu.txt","しかしクサカは来なかった。"
"112","mori","inu.txt","まだ人間を怖れて居る。"
"113","mori","inu.txt","レリヤは平手で膝を打って出来るだけ優しい声で呼んだ。"
"114","mori","inu.txt","それでも来ないので、自分が犬の方へ寄って来た。"
"115","mori","inu.txt","しかし迂濶に側までは来ない。"
"116","mori","inu.txt","人間の方でも噛まれてはならぬという虞があるから。"
"117","mori","inu.txt",""
"118","mori","inu.txt","「クサチュカ、どうもするのじゃないよ。"
"119","mori","inu.txt","お前は可哀い眼付をして居る。"
"120","mori","inu.txt","お前の鼻梁も中々美しいよ。"
"121","mori","inu.txt","可哀がって遣るから、もっと此方へおいで」といった。"
"122","mori","inu.txt",""
"123","mori","inu.txt","レリヤはこういって顔を振り上げた。"
"124","mori","inu.txt","犬を誉めた詞の通りに、この娘も可哀い眼付をして、美しい鼻を持って居た。"
"125","mori","inu.txt","それだから春の日が喜んでその顔に接吻して、娘の頬が赤くなって居るのだ。"
"126","mori","inu.txt",""
"127","mori","inu.txt","クサカは生れてから、二度目に人間の側へ寄って、どうせられるか、打たれるか、摩られるかと思いながら目を瞑った。"
"128","mori","inu.txt","しかし今度は摩られた。"
"129","mori","inu.txt","小さい温い手が怖る怖る毛のおどろになって居る、犬の頭に触れた。"
"130","mori","inu.txt","次第に馴れて来て、その手が犬の背中を一ぱいに摩って、また指尖で掻くように弄った。"
"131","mori","inu.txt",""
"132","mori","inu.txt","レリヤは別荘の方に向いて、「お母あさんも皆も来て御覧。"
"133","mori","inu.txt","私今クサカを摩って居るのだから」といった。"
"134","mori","inu.txt",""
"135","mori","inu.txt","子供たち大勢がわやわやいって走り寄った。"
"136","mori","inu.txt","クサカの方ではやや恐怖心を起して様子を見て居た。"
"137","mori","inu.txt","クサカの怖れは打たれる怖れではない。"
"138","mori","inu.txt","最早鋭い牙を、よしや打たれてもこの人たちに立てることが出来ぬようになったのを怖れるのだ。"
"139","mori","inu.txt","平生の人間に対する憤りと恨みとが、消えたために、自ら危んだのだ。"
"140","mori","inu.txt","どの子もどの子も手を出して摩るのだ。"
"141","mori","inu.txt","摩られる度に、犬はびくびくした。"
"142","mori","inu.txt","この犬のためにはまだ摩られるのが、打たれるように苦痛なのであった。"
"143","mori","inu.txt",""
"144","mori","inu.txt","次第にクサカの心持が優しくなった。"
"145","mori","inu.txt","「クサカ」と名を呼ばれる度に何の心配もなく庭に走り出るようになった。"
"146","mori","inu.txt","クサカは人の持物になった。"
"147","mori","inu.txt","クサカは人に仕えるようになった。"
"148","mori","inu.txt","犬の身にとっては為合者になったのではあるまいか。"
"149","mori","inu.txt",""
"150","mori","inu.txt","この犬は年来主人がなくて饑渇に馴れて居るので、今食物を貰うようになっても余り多くは喰べない。"
"151","mori","inu.txt","しかしその少しの食物が犬の様子を大相に変えた。"
"152","mori","inu.txt","今までは処々に捩れて垂れて居て、泥などで汚れて居た毛が綺麗になって、玻璃のように光って来た。"
"153","mori","inu.txt","この頃は別荘を離れて、街道へ出て見ても、誰も冷かすものはない。"
"154","mori","inu.txt","ましてや石を投げつけようとするものもない。"
"155","mori","inu.txt",""
"156","mori","inu.txt","しかし犬が気持ちよく思うのはこの時もただ独り居る時だけであった。"
"157","mori","inu.txt","人に摩られる時はまだ何だか苦痛を覚える。"
"158","mori","inu.txt","何か己の享けるはずでない事を享けるというような心持であった。"
"159","mori","inu.txt","クサカはまだ人に諂う事を知らぬ。"
"160","mori","inu.txt","余所の犬は後脚で立ったり、膝なぞに体を摩り付けたり、嬉しそうに吠えたりするが、クサカはそれが出来ない。"
"161","mori","inu.txt",""
"162","mori","inu.txt","クサカの芸当は精々ごろりと寝て背中を下にして、目を瞑って声を出すより外はない。"
"163","mori","inu.txt","しかしそれだけでは自分の喜びと、自分の恩に感ずる心とを表わすことが出来ぬと思った。"
"164","mori","inu.txt","それでふいと思い出したことがある。"
"165","mori","inu.txt","それは昔余所の犬のするのを見て、今までは永く忘れて居たことであった。"
"166","mori","inu.txt","クサカはそれをやる気になって、飛びあがって、翻筋斗をして、後脚でくるくる廻って見せた。"
"167","mori","inu.txt","それも中々手際よくは出来ない。"
"168","mori","inu.txt",""
"169","mori","inu.txt","レリヤはそれを見て吹き出して、「お母あさんも皆も御覧よ。"
"170","mori","inu.txt","クサカが芸をするよ。"
"171","mori","inu.txt","クサカもう一反やって御覧。"
"172","mori","inu.txt","それでいい、それでいい」といった。"
"173","mori","inu.txt",""
"174","mori","inu.txt","人々は馳せ集ってこれを見て笑った。"
"175","mori","inu.txt","クサカは相変らず翻筋斗をしたり、後脚を軸にしてくるくる廻ったりして居るのだ、しかし誰もこの犬の目に表われて居る哀願するような気色を見るものはない。"
"176","mori","inu.txt","大人でも子供でも「クサチュカ、またやって御覧」という度に、犬は翻筋斗をしてくるくる廻って、しまいには皆に笑われながら仆れてしまう。"
"177","mori","inu.txt",""
"178","mori","inu.txt","次第にクサカは食物の心配などもないようになった。"
"179","mori","inu.txt","別荘の女中が毎日時分が来れば食物を持って来る。"
"180","mori","inu.txt","何時も寝る処に今は威張って寝て、時々は人に摩られに自分から側へ寄るようになった。"
"181","mori","inu.txt","そうしてクサカは太った。"
"182","mori","inu.txt","時々は子供たちが森へ連て行く。"
"183","mori","inu.txt","その時は尾を振って付いて行って、途中で何処か往ってしまう。"
"184","mori","inu.txt","しかし夜になれば、別荘の人々には外で番をして吠える声が聞えるのである。"
"185","mori","inu.txt",""
"186","mori","inu.txt","その内秋になった。"
"187","mori","inu.txt","雨の日が続いた。"
"188","mori","inu.txt","次第に処々の別荘から人が都会へ帰るようになった。"
"189","mori","inu.txt",""
"190","mori","inu.txt","この別荘の中でも評議が初まった。"
"191","mori","inu.txt","レリヤが、「クサカはどうしましょうね」といった。"
"192","mori","inu.txt","この娘は両手で膝を擁いて悲しげに点滴の落ちている窓の外を見ているのだ。"
"193","mori","inu.txt",""
"194","mori","inu.txt","母は娘の顔を見て、「レリヤや。"
"195","mori","inu.txt","何だってそんな行儀の悪い腰の掛けようをして居るのだえ。"
"196","mori","inu.txt","そうさね。"
"197","mori","inu.txt","クサカは置いて行くより外あるまいよ」といった。"
"198","mori","inu.txt","「可哀そうね」とレリヤは眩いた。"
"199","mori","inu.txt","「可哀そうだって、どうも為様はないじゃありませんか。"
"200","mori","inu.txt","内には庭はないし。"
"201","mori","inu.txt","それだといって、家の中へあんなものを連れて這入る訳にいかない事は、お前にだって解ろうじゃありませんか」と母はいった。"
"202","mori","inu.txt","「可哀そうね」とレリヤは繰り返して居たが、何だか泣きそうな顔になった。"
"203","mori","inu.txt",""
"204","mori","inu.txt","その内別荘へ知らぬ人が来て、荷車の軋る音がした。"
"205","mori","inu.txt","床の上を重そうな足で踏む響がした。"
"206","mori","inu.txt","クサカは知らぬ人の顔を怖れ、また何か身の上に不幸の来るらしい感じがするので、小さくなって、庭の隅に行って、木立の隙間から別荘を見て居た。"
"207","mori","inu.txt",""
"208","mori","inu.txt","其処へレリヤは旅行の時に着る着物に着更えて出て来た。"
"209","mori","inu.txt","その着物は春の頃クサカが喰い裂いた茶色の着物であった。"
"210","mori","inu.txt","「可哀相にここに居たのかい。"
"211","mori","inu.txt","こっちへ一しょにおいで」とレリヤがいった。"
"212","mori","inu.txt","そして犬を連れて街道に出た。"
"213","mori","inu.txt","街道の傍は穀物を刈った、刈株の残って居る畠であった。"
"214","mori","inu.txt","所々丘のように高まって居る。"
"215","mori","inu.txt","また低い木立や草叢がある。"
"216","mori","inu.txt","暫く行くと道標の杙が立って居て、その側に居酒屋がある。"
"217","mori","inu.txt","その前に百姓が大勢居る。"
"218","mori","inu.txt","百姓はこの辺りをうろつく馬鹿者にイリュウシャというものがいるのをつかまえて、からかって居る。"
"219","mori","inu.txt",""
"220","mori","inu.txt","「一銭おくれ」と馬鹿は大儀そうな声でいった。"
