"","auth","piece","line"
"0","mori","kajo_chahan.txt","家常茶飯"
"1","mori","kajo_chahan.txt","ライネル・マリア・リルケRainer Maria Rilke"
"2","mori","kajo_chahan.txt","森鴎外訳"
"3","mori","kajo_chahan.txt",""
"4","mori","kajo_chahan.txt","-------------------------------------------------------"
"5","mori","kajo_chahan.txt","【テキスト中に現れる記号について】"
"6","mori","kajo_chahan.txt",""
"7","mori","kajo_chahan.txt","《》：ルビ"
"8","mori","kajo_chahan.txt","（例）大窓"
"9","mori","kajo_chahan.txt",""
"10","mori","kajo_chahan.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","mori","kajo_chahan.txt","（例）コニャック一｜瓶"
"12","mori","kajo_chahan.txt",""
"13","mori","kajo_chahan.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","mori","kajo_chahan.txt","（例）"
"15","mori","kajo_chahan.txt","-------------------------------------------------------"
"16","mori","kajo_chahan.txt",""
"17","mori","kajo_chahan.txt","第一場"
"18","mori","kajo_chahan.txt",""
"19","mori","kajo_chahan.txt",""
"20","mori","kajo_chahan.txt","広き画室。"
"21","mori","kajo_chahan.txt","大窓の下に銅版の為事をする卓あり。"
"22","mori","kajo_chahan.txt","その上に為事半ばの銅版と色々の道具とを置きあり。"
"23","mori","kajo_chahan.txt","左手に画架。"
"24","mori","kajo_chahan.txt","その上に光線を遮るために使う枠を逆さにして載せあり。"
"25","mori","kajo_chahan.txt","室の真中に今一つの大いなる画架あり。"
"26","mori","kajo_chahan.txt","その脇に台あり。"
"27","mori","kajo_chahan.txt","その上に色々の形をなしたる筆立に絵筆を立てあり。"
"28","mori","kajo_chahan.txt","筆立の中には銅器にて腹のふくらみたるも交れり。"
"29","mori","kajo_chahan.txt","絵具入になりおる小さき箪笥。"
"30","mori","kajo_chahan.txt","その上には色々の雑具を載せあり。"
"31","mori","kajo_chahan.txt","その内に小さき鏡、コニャック一｜瓶、小さきコップ数個、紙巻莨を入れたる箱、菓子を入れたる朱色の日本漆器などあり。"
"32","mori","kajo_chahan.txt","その傍に甚だ深く造りたる凭掛の椅子あり。"
"33","mori","kajo_chahan.txt","凭りかかる処は堅牢に造りありて、両肱を持たする処を広くなしあり。"
"34","mori","kajo_chahan.txt","この椅子に向き合せて、木部を朱色の漆にて塗りたる籐の椅子あり。"
"35","mori","kajo_chahan.txt","奥の壁は全く窓にて占領せられおる。"
"36","mori","kajo_chahan.txt","左手の壁に押付けて黒き箪笥を据えあり。"
"37","mori","kajo_chahan.txt","その上に髑髏に柔かき帽子を被せたるを載せあり。"
"38","mori","kajo_chahan.txt","また小さき素焼の人形、鉢、冠を置きあり。"
"39","mori","kajo_chahan.txt","その壁には鉛筆画、チョオク画、油絵｜等のスケッチを多く掛けあり。"
"40","mori","kajo_chahan.txt","枠に入れたると入れざると交れり。"
"41","mori","kajo_chahan.txt","前手に小さき円形の鉄の煖炉あり。"
"42","mori","kajo_chahan.txt","その上に鍋類を二つ三つ載せあり。"
"43","mori","kajo_chahan.txt","黒き箪笥の傍に、廊下より入り来るようになりおる入口あり。"
"44","mori","kajo_chahan.txt","右手の壁の前には、窓に近き処に寝椅子あり。"
"45","mori","kajo_chahan.txt","これに絨緞を掛く。"
"46","mori","kajo_chahan.txt","その上にはまた金糸の繍ある派手なる帛を拡げあり。"
"47","mori","kajo_chahan.txt","この上の壁は中程を棚にて横に為切りあり。"
"48","mori","kajo_chahan.txt","そこまで緑色の帛を張りあり。"
"49","mori","kajo_chahan.txt","その上に数個の額を掛く。"
"50","mori","kajo_chahan.txt","小さき写真の上を生花にて飾りたるあり。"
"51","mori","kajo_chahan.txt","棚の上には小さき、柄の長き和蘭陀パイプを斜に一列に置きあり。"
"52","mori","kajo_chahan.txt","その外小さき彫刻品、人形、浮彫の品等あり。"
"53","mori","kajo_chahan.txt","寝椅子の末の処に一枚戸の戸口あり。"
"54","mori","kajo_chahan.txt","これより寝間に入る。"
"55","mori","kajo_chahan.txt","その傍に、前へ寄せて、人の昇りて立つようにしたる台あり、その半ばを屏風にて隠しあり。"
"56","mori","kajo_chahan.txt","台の上には緋の天鵞絨に金糸の繍ある立派なる帛を投げ掛けあり。"
"57","mori","kajo_chahan.txt","ずっと前に甚だ大いなる卓あり。"
"58","mori","kajo_chahan.txt","これは為事机に用いるものにて、紙、文反古、書籍、その他色々の小さなる道具を載せあり。"
"59","mori","kajo_chahan.txt","その脇に書棚ありて、多くは淡りしたる色の仮綴の本を並べあり。"
"60","mori","kajo_chahan.txt","○この画室は町外にあり。"
"61","mori","kajo_chahan.txt","時刻は午少し過ぎたる頃なり。"
"62","mori","kajo_chahan.txt","窓の外には鼠色の平なる屋根、高き春の空、静に揺ぐ針葉樹の頂を臨む。"
"63","mori","kajo_chahan.txt","○画家ゲオルク・ミルネル。"
"64","mori","kajo_chahan.txt","丈余り高からず。"
"65","mori","kajo_chahan.txt","二十四歳ばかり。"
"66","mori","kajo_chahan.txt","ブロンドなり。"
"67","mori","kajo_chahan.txt","髪は柔かく、小さなる八字｜髭を生やしいる。"
"68","mori","kajo_chahan.txt","黒のフロックコオトに黒のネクタイ。"
"69","mori","kajo_chahan.txt","服は着たるばかりなりと覚しく、手にて皺を熨すように撫で、埃を払うように叩きつつ、寝間の戸を開けて登場。"
"70","mori","kajo_chahan.txt","斯く服をいじりて窓の処まで行き暫く外を見て、急に向き返り、部屋の内を、何か探すように、歩き廻る。"
