"","auth","piece","line"
"0","mori","kakeochi.txt","駆落"
"1","mori","kakeochi.txt","DIE FLUCHT"
"2","mori","kakeochi.txt","ライネル・マリア・リルケRainer Maria Rilke"
"3","mori","kakeochi.txt","森林太郎訳"
"4","mori","kakeochi.txt",""
"5","mori","kakeochi.txt","-------------------------------------------------------"
"6","mori","kakeochi.txt","【テキスト中に現れる記号について】"
"7","mori","kakeochi.txt",""
"8","mori","kakeochi.txt","《》：ルビ"
"9","mori","kakeochi.txt","（例）贄卓"
"10","mori","kakeochi.txt",""
"11","mori","kakeochi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"12","mori","kakeochi.txt","（例）｜PLATON, SYMPOSION"
"13","mori","kakeochi.txt",""
"14","mori","kakeochi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"15","mori","kakeochi.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"16","mori","kakeochi.txt","（例）※"
"17","mori","kakeochi.txt",""
"18","mori","kakeochi.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"19","mori","kakeochi.txt","（例）こち／＼"
"20","mori","kakeochi.txt","-------------------------------------------------------"
"21","mori","kakeochi.txt",""
"22","mori","kakeochi.txt","寺院は全く空虚である。"
"23","mori","kakeochi.txt",""
"24","mori","kakeochi.txt","贄卓の上の色硝子の窓から差し入る夕日が、昔の画家が童貞女の御告の画にかくやうに、幅広く素直に中堂に落ちて、階段に敷いてある、色の褪めた絨緞を彩つてゐる。"
"25","mori","kakeochi.txt","それからバロツク式の木の柱の立つてゐる、レクトリウムを通つて、その奥の方に行くと、段々暗くなつて、そこには煤けた聖者の像の前に点してある、小さい常燈明が、さも意味ありげに瞬をしてゐる。"
"26","mori","kakeochi.txt","それから一番奥の粗末な石の柱の向うは真の闇になつてゐる。"
"27","mori","kakeochi.txt",""
"28","mori","kakeochi.txt","そこに二人は坐つてゐる。"
"29","mori","kakeochi.txt","その頭の上には古い受難図が掛けてある。"
"30","mori","kakeochi.txt","色の青い娘は、着てゐる薄い茶色のジヤケツを、分厚に出来た、黒い※の木のベンチの、一番暗い隅に押し付けるやうにして坐つてゐる。"
"31","mori","kakeochi.txt","娘の被つてゐる帽子の薔薇の花が、腰を掛けてゐるベンチの背中の木彫の天使の腮をくすぐると見えて、天使は微笑んでゐる。"
"32","mori","kakeochi.txt",""
"33","mori","kakeochi.txt","フリツツといふ高等学校生徒は、地の悪くなつた手袋に嵌め込んである、ひどく小さい、娘の両手を、丁度小鳥をでも握つてゐるやうに、柔かに、しかもしつかり握つてゐる。"
"34","mori","kakeochi.txt",""
"35","mori","kakeochi.txt","フリツツは好い心持に、現の夢を見てゐる。"
"36","mori","kakeochi.txt","大方今に己達のゐるのを知らずに、寺院の戸を締めるだらう。"
"37","mori","kakeochi.txt","さうしたら己達は二人切りになるだらう。"
"38","mori","kakeochi.txt","夜になつたら化物が出て来さうだなどと思つてゐるのである。"
"39","mori","kakeochi.txt",""
