"","auth","piece","line"
"0","mori","kanzanjittoku_engi_shinji.txt","寒山拾得縁起"
"1","mori","kanzanjittoku_engi_shinji.txt","森鴎外"
"2","mori","kanzanjittoku_engi_shinji.txt",""
"3","mori","kanzanjittoku_engi_shinji.txt","-------------------------------------------------------"
"4","mori","kanzanjittoku_engi_shinji.txt","【テキスト中に現れる記号について】"
"5","mori","kanzanjittoku_engi_shinji.txt",""
"6","mori","kanzanjittoku_engi_shinji.txt","《》：ルビ"
"7","mori","kanzanjittoku_engi_shinji.txt","（例）徒然草"
"8","mori","kanzanjittoku_engi_shinji.txt",""
"9","mori","kanzanjittoku_engi_shinji.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","mori","kanzanjittoku_engi_shinji.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"11","mori","kanzanjittoku_engi_shinji.txt","（例）※"
"12","mori","kanzanjittoku_engi_shinji.txt","-------------------------------------------------------"
"13","mori","kanzanjittoku_engi_shinji.txt",""
"14","mori","kanzanjittoku_engi_shinji.txt","徒然草に最初の仏はどうして出来たかと問われて困ったというような話があった。"
"15","mori","kanzanjittoku_engi_shinji.txt","子供に物を問われて困ることはたびたびである。"
"16","mori","kanzanjittoku_engi_shinji.txt","中にも宗教上のことには、答に窮することが多い。"
"17","mori","kanzanjittoku_engi_shinji.txt","しかしそれを拒んで答えずにしまうのは、ほとんどそれは※だというと同じようになる。"
"18","mori","kanzanjittoku_engi_shinji.txt","近ごろ帰一協会などでは、それを子供のために悪いと言って気づかっている。"
"19","mori","kanzanjittoku_engi_shinji.txt",""
"20","mori","kanzanjittoku_engi_shinji.txt","寒山詩が所々で活字本にして出されるので、私のうちの子供がその広告を読んで買ってもらいたいと言った。"
"21","mori","kanzanjittoku_engi_shinji.txt",""
"22","mori","kanzanjittoku_engi_shinji.txt","「それは漢字ばかりで書いた本で、お前にはまだ読めない」と言うと、重ねて「どんなことが書いてあります」と問う。"
