"","auth","piece","line"
"0","mori","karafuto_datsugokuki.txt","樺太脱獄記"
"1","mori","karafuto_datsugokuki.txt","コロレンコVladimir Galaktionovick Korolenko"
"2","mori","karafuto_datsugokuki.txt","森林太郎訳"
"3","mori","karafuto_datsugokuki.txt",""
"4","mori","karafuto_datsugokuki.txt","-------------------------------------------------------"
"5","mori","karafuto_datsugokuki.txt","【テキスト中に現れる記号について】"
"6","mori","karafuto_datsugokuki.txt",""
"7","mori","karafuto_datsugokuki.txt","《》：ルビ"
"8","mori","karafuto_datsugokuki.txt","（例）為事"
"9","mori","karafuto_datsugokuki.txt",""
"10","mori","karafuto_datsugokuki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","mori","karafuto_datsugokuki.txt","（例）只｜一色の"
"12","mori","karafuto_datsugokuki.txt",""
"13","mori","karafuto_datsugokuki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","mori","karafuto_datsugokuki.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"15","mori","karafuto_datsugokuki.txt","（例）見※して"
"16","mori","karafuto_datsugokuki.txt",""
"17","mori","karafuto_datsugokuki.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"18","mori","karafuto_datsugokuki.txt","（例）ちよい／＼と、"
"19","mori","karafuto_datsugokuki.txt",""
"20","mori","karafuto_datsugokuki.txt","〔〕：アクセント分解された欧文をかこむ"
"21","mori","karafuto_datsugokuki.txt","（例）「〔DIE FLU:CHTLINGE VON SACHALIN.〕」"
"22","mori","karafuto_datsugokuki.txt","アクセント分解についての詳細は下記URLを参照してください"
"23","mori","karafuto_datsugokuki.txt","http://aozora.gr.jp/accent_separation.html"
"24","mori","karafuto_datsugokuki.txt","-------------------------------------------------------"
"25","mori","karafuto_datsugokuki.txt",""
"26","mori","karafuto_datsugokuki.txt","一"
"27","mori","karafuto_datsugokuki.txt",""
"28","mori","karafuto_datsugokuki.txt","己はこのシベリア地方で一般に用ゐられてゐる、毛織の天幕の中に住んでゐる。"
"29","mori","karafuto_datsugokuki.txt","一しよにゐた男が旅に出たので、一人でゐる。"
"30","mori","karafuto_datsugokuki.txt",""
"31","mori","karafuto_datsugokuki.txt","北の国は日が短い。"
"32","mori","karafuto_datsugokuki.txt","冷たい霧が立つて来て、直ぐに何もかも包んでしまふ。"
"33","mori","karafuto_datsugokuki.txt","己は為事をする気になられない。"
"34","mori","karafuto_datsugokuki.txt","ランプを点けるのが厭なので、己は薄暗がりに、床の上で横になつてゐる。"
"35","mori","karafuto_datsugokuki.txt","あたりが暗くて静かな時には、兎角重くろしい感じが起るものである。"
"36","mori","karafuto_datsugokuki.txt","己はせうことなしに、その感じに身を委ねてゐる。"
"37","mori","karafuto_datsugokuki.txt","さつきまで当つてゐた夕日の、弱い光が、天幕内の部屋の、氷つた窓から消えてしまつた。"
"38","mori","karafuto_datsugokuki.txt","隅々から這ひ出して来たやうな闇が、斜に立つてゐる壁を包む。"
"39","mori","karafuto_datsugokuki.txt","そしてその壁が四方から己の頭の上へ倒れ掛かつて来るやうな気がする。"
"40","mori","karafuto_datsugokuki.txt","暫くの間は、天幕の真ん中に据ゑてある、大きな煖炉の輪廓が見えてゐた。"
"41","mori","karafuto_datsugokuki.txt","この煖炉が、己の住んでゐるヤクツク地方の人家の、極まつた道具で、どの家でも同じやうな、不細工な恰好をしてゐる。"
"42","mori","karafuto_datsugokuki.txt","その内広がつて来る闇が、とうとう煖炉を、包んでしまつた。"
"43","mori","karafuto_datsugokuki.txt","己の周囲は只｜一色の闇である。"
"44","mori","karafuto_datsugokuki.txt","只三個所だけ、微かに、ちらちら光つてゐる所がある。"
"45","mori","karafuto_datsugokuki.txt","それは氷つた窓である。"
