"","auth","piece","line"
"0","mori","kazuisuchika.txt","カズイスチカ"
"1","mori","kazuisuchika.txt","森鴎外"
"2","mori","kazuisuchika.txt",""
"3","mori","kazuisuchika.txt","-------------------------------------------------------"
"4","mori","kazuisuchika.txt","【テキスト中に現れる記号について】"
"5","mori","kazuisuchika.txt",""
"6","mori","kazuisuchika.txt","《》：ルビ"
"7","mori","kazuisuchika.txt","（例）花房"
"8","mori","kazuisuchika.txt",""
"9","mori","kazuisuchika.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","kazuisuchika.txt","（例）年々｜宿根が残っていて"
"11","mori","kazuisuchika.txt",""
"12","mori","kazuisuchika.txt","〔〕：アクセント分解された欧文をかこむ"
"13","mori","kazuisuchika.txt","（例）〔d'oe&il〕"
"14","mori","kazuisuchika.txt","アクセント分解についての詳細は下記URLを参照してください"
"15","mori","kazuisuchika.txt","http://aozora.gr.jp/accent_separation.html"
"16","mori","kazuisuchika.txt","-------------------------------------------------------"
"17","mori","kazuisuchika.txt",""
"18","mori","kazuisuchika.txt","父が開業をしていたので、花房医学士は卒業する少し前から、休課に父の許へ来ている間は、代診の真似事をしていた。"
"19","mori","kazuisuchika.txt",""
"20","mori","kazuisuchika.txt","花房の父の診療所は大千住にあったが、小金井きみ子という女が「千住の家」というものを書いて、委しくこの家の事を叙述しているから、loco citato としてここには贅せない。"
"21","mori","kazuisuchika.txt","Monet なんぞは同じ池に同じ水草の生えている処を何遍も書いていて、時候が違い、天気が違い、一日のうちでも朝夕の日当りの違うのを、人に味わせるから、一枚見るよりは較べて見る方が面白い。"
"22","mori","kazuisuchika.txt","それは巧妙な芸術家の事である。"
"23","mori","kazuisuchika.txt","同じモデルの写生を下手に繰り返されては、たまったものではない。"
"24","mori","kazuisuchika.txt","ここらで省筆をするのは、読者に感謝して貰っても好い。"
"25","mori","kazuisuchika.txt",""
"26","mori","kazuisuchika.txt","尤もきみ子はあの家の歴史を書いていなかった。"
"27","mori","kazuisuchika.txt","あれを建てた緒方某は千住の旧家で、徳川将軍が鷹狩の時、千住で小休みをする度毎に、緒方の家が御用を承わることに極まっていた。"
"28","mori","kazuisuchika.txt","花房の父があの家をがらくたと一しょに買い取った時、天井裏から長さ三尺ばかりの細長い箱が出た。"
"29","mori","kazuisuchika.txt","蓋に御鋪物と書いてある。"
"30","mori","kazuisuchika.txt","御鋪物とは将軍の鋪物である。"
"31","mori","kazuisuchika.txt","今は花房の家で、その箱に掛物が入れてある。"
"32","mori","kazuisuchika.txt",""
"33","mori","kazuisuchika.txt","火事にも逢わずに、だいぶ久しく立っている家と見えて、頗ぶる古びが附いていた。"
"34","mori","kazuisuchika.txt","柱なんぞは黒檀のように光っていた。"
"35","mori","kazuisuchika.txt","硝子の器を載せた春慶塗の卓や、白いシイツを掩うた診察用の寝台が、この柱と異様なコントラストをなしていた。"
"36","mori","kazuisuchika.txt",""
"37","mori","kazuisuchika.txt","この卓や寝台の置いてある診察室は、南向きの、一番広い間で、花房の父が大きい雛棚のような台を据えて、盆栽を並べて置くのは、この室の前の庭であった。"
"38","mori","kazuisuchika.txt","病人を見て疲れると、この髯の長い翁は、目を棚の上の盆栽に移して、私かに自ら娯むのであった。"
"39","mori","kazuisuchika.txt",""
"40","mori","kazuisuchika.txt","待合にしてある次の間には幾ら病人が溜まっていても、翁は小さい煙管で雲井を吹かしながら、ゆっくり盆栽を眺めていた。"
"41","mori","kazuisuchika.txt",""
"42","mori","kazuisuchika.txt","午前に一度、午後に一度は、極まって三十分ばかり休む。"
"43","mori","kazuisuchika.txt","その時は待合の病人の中を通り抜けて、北向きの小部屋に這入って、煎茶を飲む。"
"44","mori","kazuisuchika.txt","中年の頃、石州流の茶をしていたのが、晩年に国を去って東京に出た頃から碾茶を止めて、煎茶を飲むことにした。"
"45","mori","kazuisuchika.txt","盆栽と煎茶とが翁の道楽であった。"
"46","mori","kazuisuchika.txt",""
"47","mori","kazuisuchika.txt","この北向きの室は、家じゅうで一番狭い間で、三畳敷である。"
"48","mori","kazuisuchika.txt","何の手入もしないに、年々｜宿根が残っていて、秋海棠が敷居と平らに育った。"
"49","mori","kazuisuchika.txt","その直ぐ向うは木槿の生垣で、垣の内側には疎らに高い棕櫚が立っていた。"
"50","mori","kazuisuchika.txt",""
"51","mori","kazuisuchika.txt","花房が大学にいる頃も、官立病院に勤めるようになってからも、休日に帰って来ると、先ずこの三畳で煎茶を飲ませられる。"
"52","mori","kazuisuchika.txt","当時八犬伝に読み耽っていた花房は、これをお父うさんの「三茶の礼」と名づけていた。"
"53","mori","kazuisuchika.txt",""
"54","mori","kazuisuchika.txt","翁が特に愛していた、蝦蟇出という朱泥の急須がある。"
"55","mori","kazuisuchika.txt","径二寸もあろうかと思われる、小さい急須の代赭色の膚に Pemphigus という水泡のような、大小種々の疣が出来ている。"
"56","mori","kazuisuchika.txt","多分焼く時に出来損ねたのであろう。"
"57","mori","kazuisuchika.txt","この蝦蟇出の急須に絹糸の切屑のように細かくよじれた、暗緑色の宇治茶を入れて、それに冷ました湯を注いで、暫く待っていて、茶碗に滴らす。"
"58","mori","kazuisuchika.txt","茶碗の底には五立方サンチメエトル位の濃い帯緑黄色の汁が落ちている。"
"59","mori","kazuisuchika.txt","花房はそれを舐めさせられるのである。"
"60","mori","kazuisuchika.txt",""
"61","mori","kazuisuchika.txt","甘みは微かで、苦みの勝ったこの茶をも、花房は翁の微笑と共に味わって、それを埋合せにしていた。"
"62","mori","kazuisuchika.txt",""
"63","mori","kazuisuchika.txt","或日こう云う対坐の時、花房が云った。"
"64","mori","kazuisuchika.txt",""
"65","mori","kazuisuchika.txt","「お父うさん。"
"66","mori","kazuisuchika.txt","わたくしも大分理窟だけは覚えました。"
"67","mori","kazuisuchika.txt","少しお手伝をしましょうか」"
"68","mori","kazuisuchika.txt","「そうじゃろう。"
"69","mori","kazuisuchika.txt","理窟はわしよりはえらいに違いない。"
"70","mori","kazuisuchika.txt","むずかしい病人があったら、見て貰おう」"
"71","mori","kazuisuchika.txt","この話をしてから、花房は病人をちょいちょい見るようになったのであった。"
"72","mori","kazuisuchika.txt","そして翁の満足を贏ち得ることも折々あった。"
"73","mori","kazuisuchika.txt",""
"74","mori","kazuisuchika.txt","翁の医学は Hufeland の内科を主としたもので、その頃もう古くなって用立たないことが多かった。"
"75","mori","kazuisuchika.txt","そこで翁は新しい翻訳書を幾らか見るようにしていた。"
"76","mori","kazuisuchika.txt","素とフウフェランドは蘭訳の書を先輩の日本訳の書に引き較べて見たのであるが、新しい蘭書を得ることが容易くなかったのと、多くの障碍を凌いで横文の書を読もうとする程の気力がなかったのとの為めに、昔読み馴れた書でない洋書を読むことを、翁は面倒がって、とうとう翻訳書ばかり見るようになったのである。"
"77","mori","kazuisuchika.txt","ところが、その翻訳書の数が多くないのに、善い訳は少ないので、翁の新しい医学の上の智識には頗る不十分な処がある。"
"78","mori","kazuisuchika.txt",""
"79","mori","kazuisuchika.txt","防腐外科なんぞは、翁は分っている積りでも、実際本当には分からなかった。"
"80","mori","kazuisuchika.txt","丁寧に消毒した手を有合の手拭で拭くような事が、いつまでも止まなかった。"
"81","mori","kazuisuchika.txt",""
"82","mori","kazuisuchika.txt","これに反して、若い花房がどうしても企て及ばないと思ったのは、一種の Coup 〔d'oe&il〕 であった。"
"83","mori","kazuisuchika.txt","「この病人はもう一日は持たん」と翁が云うと、その病人はきっと二十四時間以内に死ぬる。"
"84","mori","kazuisuchika.txt","それが花房にはどう見ても分からなかった。"
"85","mori","kazuisuchika.txt",""
"86","mori","kazuisuchika.txt","只これだけなら、少花房が経験の上で老花房に及ばないと云うに過ぎないが、実はそうでは無い。"
"87","mori","kazuisuchika.txt","翁の及ぶべからざる処が別に有ったのである。"
"88","mori","kazuisuchika.txt",""
"89","mori","kazuisuchika.txt","翁は病人を見ている間は、全幅の精神を以て病人を見ている。"
"90","mori","kazuisuchika.txt","そしてその病人が軽かろうが重かろうが、鼻風だろうが必死の病だろうが、同じ態度でこれに対している。"
"91","mori","kazuisuchika.txt","盆栽を翫んでいる時もその通りである。"
"92","mori","kazuisuchika.txt","茶を啜っている時もその通りである。"
"93","mori","kazuisuchika.txt",""
"94","mori","kazuisuchika.txt","花房学士は何かしたい事｜若くはする筈の事があって、それをせずに姑く病人を見ているという心持である。"
"95","mori","kazuisuchika.txt","それだから、同じ病人を見ても、平凡な病だとつまらなく思う。"
"96","mori","kazuisuchika.txt","〔Inte'ressant〕 の病症でなくては厭き足らなく思う。"
"97","mori","kazuisuchika.txt","又｜偶々所謂興味ある病症を見ても、それを研究して書いて置いて、業績として公にしようとも思わなかった。"
"98","mori","kazuisuchika.txt","勿論発見も発明も出来るならしようとは思うが、それを生活の目的だとは思わない。"
"99","mori","kazuisuchika.txt","始終何か更にしたい事、する筈の事があるように思っている。"
"100","mori","kazuisuchika.txt","しかしそのしたい事、する筈の事はなんだか分からない。"
"101","mori","kazuisuchika.txt","或時は何物かが幻影の如くに浮んでも、捕捉することの出来ないうちに消えてしまう。"
"102","mori","kazuisuchika.txt","女の形をしている時もある。"
"103","mori","kazuisuchika.txt","種々の栄華の夢になっている時もある。"
"104","mori","kazuisuchika.txt","それかと思うと、その頃｜碧巌を見たり無門関を見たりしていたので、禅定めいた contemplatif な観念になっている時もある。"
"105","mori","kazuisuchika.txt","とにかく取留めのないものであった。"
"106","mori","kazuisuchika.txt","それが病人を見る時ばかりではない。"
"107","mori","kazuisuchika.txt","何をしていても同じ事で、これをしてしまって、片付けて置いて、それからというような考をしている。"
"108","mori","kazuisuchika.txt","それからどうするのだか分からない。"
"109","mori","kazuisuchika.txt",""
"110","mori","kazuisuchika.txt","そして花房はその分からない或物が何物だということを、強いて分からせようともしなかった。"
"111","mori","kazuisuchika.txt","唯或時はその或物を幸福というものだと考えて見たり、或時はそれを希望ということに結び付けて見たりする。"
"112","mori","kazuisuchika.txt","その癖又それを得れば成功で、失えば失敗だというような処までは追求しなかったのである。"
"113","mori","kazuisuchika.txt",""
"114","mori","kazuisuchika.txt","しかしこの或物が父に無いということだけは、花房も疾くに気が付いて、初めは父がつまらない、内容の無い生活をしているように思って、それは老人だからだ、老人のつまらないのは当然だと思った。"
"115","mori","kazuisuchika.txt","そのうち、熊沢蕃山の書いたものを読んでいると、志を得て天下国家を事とするのも道を行うのであるが、平生顔を洗ったり髪を梳ったりするのも道を行うのであるという意味の事が書いてあった。"
"116","mori","kazuisuchika.txt","花房はそれを見て、父の平生を考えて見ると、自分が遠い向うに或物を望んで、目前の事を好い加減に済ませて行くのに反して、父はつまらない日常の事にも全幅の精神を傾注しているということに気が附いた。"
"117","mori","kazuisuchika.txt","宿場の医者たるに安んじている父の 〔re'signation〕 の態度が、有道者の面目に近いということが、朧気ながら見えて来た。"
"118","mori","kazuisuchika.txt","そしてその時から遽に父を尊敬する念を生じた。"
"119","mori","kazuisuchika.txt",""
"120","mori","kazuisuchika.txt","実際花房の気の付いた通りに、翁の及び難いところはここに存じていたのである。"
"121","mori","kazuisuchika.txt",""
"122","mori","kazuisuchika.txt","花房は大学を卒業して官吏になって、半年ばかりも病院で勤めていただろう。"
"123","mori","kazuisuchika.txt","それから後は学校教師になって、Laboratorium に出入するばかりで、病人というものを扱った事が無い。"
"124","mori","kazuisuchika.txt","それだから花房の記憶には、いつまでも千住の家で、父の代診をした時の事が残っている。"
"125","mori","kazuisuchika.txt","それが医学をした花房の医者らしい生活をした短い期間であった。"
"126","mori","kazuisuchika.txt",""
"127","mori","kazuisuchika.txt","その花房の記憶に僅かに残っている事を二つ三つ書く。"
"128","mori","kazuisuchika.txt","一体医者の為めには、軽い病人も重い病人も、贅沢薬を飲む人も、病気が死活問題になっている人も、均しくこれ casus である。"
"129","mori","kazuisuchika.txt","Casus として取り扱って、感動せずに、冷眼に視ている処に医者の強みがある。"
"130","mori","kazuisuchika.txt","しかし花房はそういう境界には到らずにしまった。"
"131","mori","kazuisuchika.txt","花房はまだ病人が人間に見えているうちに、病人を扱わないようになってしまった。"
"132","mori","kazuisuchika.txt","そしてその記憶には唯 Curiosa が残っている。"
"133","mori","kazuisuchika.txt","作者が漫然と医者の術語を用いて、これに Casuistica と題するのは、花房の冤枉とする所かも知れない。"
"134","mori","kazuisuchika.txt",""
"135","mori","kazuisuchika.txt","落架風。"
"136","mori","kazuisuchika.txt","花房が父に手伝をしようと云ってから、間のない時の事であった。"
"137","mori","kazuisuchika.txt","丁度新年で、門口に羽根を衝いていた、花房の妹の藤子が、きゃっと云って奥の間へ飛び込んで来た。"
"138","mori","kazuisuchika.txt","花月新誌の新年号を見ていた花房が、なんだと問うと、恐ろしい顔の病人が来たと云う。"
"139","mori","kazuisuchika.txt","どんな顔かと問えば、只食い附きそうな顔をしていたから、二目と見ずに逃げて這入ったと云う。"
"140","mori","kazuisuchika.txt","そこへ佐藤という、色の白い、髪を長くしている、越後生れの書生が来て花房に云った。"
"141","mori","kazuisuchika.txt",""
"142","mori","kazuisuchika.txt","「老先生が一寸お出下さるようにと仰ゃいますが」"
"143","mori","kazuisuchika.txt","「そうか」"
"144","mori","kazuisuchika.txt","と云って、花房は直ぐに書生と一しょに広間に出た。"
"145","mori","kazuisuchika.txt",""
"146","mori","kazuisuchika.txt","春慶塗の、楕円形をしている卓の向うに、翁はにこにこした顔をして、椅子に倚り掛かっていたが、花房に「あの病人を御覧」と云って、顔で方角を示した。"
"147","mori","kazuisuchika.txt",""
"148","mori","kazuisuchika.txt","寝台の据えてあるあたりの畳の上に、四十余りのお上さんと、二十ばかりの青年とが据わっている。"
"149","mori","kazuisuchika.txt","藤子が食い付きそうだと云ったのは、この青年の顔であった。"
"150","mori","kazuisuchika.txt",""
"151","mori","kazuisuchika.txt","色の蒼白い、面長な男である。"
"152","mori","kazuisuchika.txt","下顎を後下方へ引っ張っているように、口を開いているので、その長い顔が殆ど二倍の長さに引き延ばされている。"
"153","mori","kazuisuchika.txt","絶えず涎が垂れるので、畳んだ手拭で腮を拭いている。"
"154","mori","kazuisuchika.txt","顔位の狭い面積の処で、一部を強く引っ張れば、全体の形が変って来る。"
"155","mori","kazuisuchika.txt","醜くくはない顔の大きい目が、外眦を引き下げられて、異様に開いて、物に驚いたように正面を凝視している。"
