"","auth","piece","line"
"0","mori","maihime.txt","舞姫"
"1","mori","maihime.txt","森鴎外"
"2","mori","maihime.txt",""
"3","mori","maihime.txt","-------------------------------------------------------"
"4","mori","maihime.txt","【テキスト中に現れる記号について】"
"5","mori","maihime.txt",""
"6","mori","maihime.txt","《》：ルビ"
"7","mori","maihime.txt","（例）早や"
"8","mori","maihime.txt",""
"9","mori","maihime.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","maihime.txt","（例）余｜一人"
"11","mori","maihime.txt",""
"12","mori","maihime.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","maihime.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","mori","maihime.txt","（例）※に"
"15","mori","maihime.txt",""
"16","mori","maihime.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","mori","maihime.txt","（例）すが／＼しく"
"18","mori","maihime.txt","＊濁点付きの二倍の踊り字は「／″＼」"
"19","mori","maihime.txt","-------------------------------------------------------"
"20","mori","maihime.txt",""
"21","mori","maihime.txt","石炭をば早や積み果てつ。"
"22","mori","maihime.txt","中等室の卓のほとりはいと静にて、熾熱燈の光の晴れがましきも徒なり。"
"23","mori","maihime.txt","今宵は夜毎にこゝに集ひ来る骨牌仲間も「ホテル」に宿りて、舟に残れるは余｜一人のみなれば。"
"24","mori","maihime.txt",""
"25","mori","maihime.txt","五年前の事なりしが、平生の望足りて、洋行の官命を蒙り、このセイゴンの港まで来し頃は、目に見るもの、耳に聞くもの、一つとして新ならぬはなく、筆に任せて書き記しつる紀行文日ごとに幾千言をかなしけむ、当時の新聞に載せられて、世の人にもてはやされしかど、今日になりておもへば、穉き思想、身の程知らぬ放言、さらぬも尋常の動植金石、さては風俗などをさへ珍しげにしるしゝを、心ある人はいかにか見けむ。"
"26","mori","maihime.txt","こたびは途に上りしとき、日記ものせむとて買ひし冊子もまだ白紙のまゝなるは、独逸にて物学びせし間に、一種の「ニル、アドミラリイ」の気象をや養ひ得たりけむ、あらず、これには別に故あり。"
"27","mori","maihime.txt",""
"28","mori","maihime.txt","げに東に還る今の我は、西に航せし昔の我ならず、学問こそ猶心に飽き足らぬところも多かれ、浮世のうきふしをも知りたり、人の心の頼みがたきは言ふも更なり、われとわが心さへ変り易きをも悟り得たり。"
"29","mori","maihime.txt","きのふの是はけふの非なるわが瞬間の感触を、筆に写して誰にか見せむ。"
"30","mori","maihime.txt","これや日記の成らぬ縁故なる、あらず、これには別に故あり。"
"31","mori","maihime.txt",""
"32","mori","maihime.txt","嗚呼、ブリンヂイシイの港を出でゝより、早や二十日あまりを経ぬ。"
"33","mori","maihime.txt","世の常ならば生面の客にさへ交を結びて、旅の憂さを慰めあふが航海の習なるに、微恙にことよせて房の裡にのみ籠りて、同行の人々にも物言ふことの少きは、人知らぬ恨に頭のみ悩ましたればなり。"
"34","mori","maihime.txt","此恨は初め一抹の雲の如く我心を掠めて、瑞西の山色をも見せず、伊太利の古蹟にも心を留めさせず、中頃は世を厭ひ、身をはかなみて、腸日ごとに九廻すともいふべき惨痛をわれに負はせ、今は心の奥に凝り固まりて、一点の翳とのみなりたれど、文読むごとに、物見るごとに、鏡に映る影、声に応ずる響の如く、限なき懐旧の情を喚び起して、幾度となく我心を苦む。"
"35","mori","maihime.txt","嗚呼、いかにしてか此恨を銷せむ。"
"36","mori","maihime.txt","若し外の恨なりせば、詩に詠じ歌によめる後は心地すが／＼しくもなりなむ。"
"37","mori","maihime.txt","これのみは余りに深く我心に彫りつけられたればさはあらじと思へど、今宵はあたりに人も無し、房奴の来て電気線の鍵を捩るには猶程もあるべければ、いで、その概略を文に綴りて見む。"
"38","mori","maihime.txt",""
"39","mori","maihime.txt","余は幼き比より厳しき庭の訓を受けし甲斐に、父をば早く喪ひつれど、学問の荒み衰ふることなく、旧藩の学館にありし日も、東京に出でゝ予備黌に通ひしときも、大学法学部に入りし後も、太田｜豊太郎といふ名はいつも一級の首にしるされたりしに、一人子の我を力になして世を渡る母の心は慰みけらし。"
"40","mori","maihime.txt","十九の歳には学士の称を受けて、大学の立ちてよりその頃までにまたなき名誉なりと人にも言はれ、某省に出仕して、故郷なる母を都に呼び迎へ、楽しき年を送ること三とせばかり、官長の覚え殊なりしかば、洋行して一課の事務を取り調べよとの命を受け、我名を成さむも、我家を興さむも、今ぞとおもふ心の勇み立ちて、五十を踰えし母に別るゝをもさまで悲しとは思はず、遙々と家を離れてベルリンの都に来ぬ。"
"41","mori","maihime.txt",""
"42","mori","maihime.txt","余は模糊たる功名の念と、検束に慣れたる勉強力とを持ちて、忽ちこの欧羅巴の新大都の中央に立てり。"
"43","mori","maihime.txt","何等の光彩ぞ、我目を射むとするは。"
"44","mori","maihime.txt","何等の色沢ぞ、我心を迷はさむとするは。"
"45","mori","maihime.txt","菩提樹下と訳するときは、幽静なる境なるべく思はるれど、この大道｜髪の如きウンテル、デン、リンデンに来て両辺なる石だゝみの人道を行く隊々の士女を見よ。"
"46","mori","maihime.txt","胸張り肩｜聳えたる士官の、まだ維廉一世の街に臨める※に倚り玉ふ頃なりければ、様々の色に飾り成したる礼装をなしたる、妍き少女の巴里まねびの粧したる、彼も此も目を驚かさぬはなきに、車道の土瀝青の上を音もせで走るいろ／＼の馬車、雲に聳ゆる楼閣の少しとぎれたる処には、晴れたる空に夕立の音を聞かせて漲り落つる噴井の水、遠く望めばブランデンブルク門を隔てゝ緑樹枝をさし交はしたる中より、半天に浮び出でたる凱旋塔の神女の像、この許多の景物｜目睫の間に聚まりたれば、始めてこゝに来しものゝ応接に遑なきも宜なり。"
"47","mori","maihime.txt","されど我胸には縦ひいかなる境に遊びても、あだなる美観に心をば動さじの誓ありて、つねに我を襲ふ外物を遮り留めたりき。"
"48","mori","maihime.txt",""
"49","mori","maihime.txt","余が鈴索を引き鳴らして謁を通じ、おほやけの紹介状を出だして東来の意を告げし普魯西の官員は、皆快く余を迎へ、公使館よりの手つゞきだに事なく済みたらましかば、何事にもあれ、教へもし伝へもせむと約しき。"
"50","mori","maihime.txt","喜ばしきは、わが故里にて、独逸、仏蘭西の語を学びしことなり。"
"51","mori","maihime.txt","彼等は始めて余を見しとき、いづくにていつの間にかくは学び得つると問はぬことなかりき。"
"52","mori","maihime.txt",""
"53","mori","maihime.txt","さて官事の暇あるごとに、かねておほやけの許をば得たりければ、ところの大学に入りて政治学を修めむと、名を簿冊に記させつ。"
"54","mori","maihime.txt",""
"55","mori","maihime.txt","ひと月ふた月と過す程に、おほやけの打合せも済みて、取調も次第に捗り行けば、急ぐことをば報告書に作りて送り、さらぬをば写し留めて、つひには幾巻をかなしけむ。"
"56","mori","maihime.txt","大学のかたにては、穉き心に思ひ計りしが如く、政治家になるべき特科のあるべうもあらず、此か彼かと心迷ひながらも、二三の法家の講筵に列ることにおもひ定めて、謝金を収め、往きて聴きつ。"
"57","mori","maihime.txt",""
"58","mori","maihime.txt","かくて三年ばかりは夢の如くにたちしが、時来れば包みても包みがたきは人の好尚なるらむ、余は父の遺言を守り、母の教に従ひ、人の神童なりなど褒むるが嬉しさに怠らず学びし時より、官長の善き働き手を得たりと奨ますが喜ばしさにたゆみなく勤めし時まで、たゞ所動的、器械的の人物になりて自ら悟らざりしが、今二十五歳になりて、既に久しくこの自由なる大学の風に当りたればにや、心の中なにとなく妥ならず、奥深く潜みたりしまことの我は、やうやう表にあらはれて、きのふまでの我ならぬ我を攻むるに似たり。"
"59","mori","maihime.txt","余は我身の今の世に雄飛すべき政治家になるにも宜しからず、また善く法典を諳じて獄を断ずる法律家になるにもふさはしからざるを悟りたりと思ひぬ。"
"60","mori","maihime.txt",""
"61","mori","maihime.txt","余は私に思ふやう、我母は余を活きたる辞書となさんとし、我官長は余を活きたる法律となさんとやしけん。"
"62","mori","maihime.txt","辞書たらむは猶ほ堪ふべけれど、法律たらんは忍ぶべからず。"
"63","mori","maihime.txt","今までは瑣々たる問題にも、極めて丁寧にいらへしつる余が、この頃より官長に寄する書には連りに法制の細目に拘ふべきにあらぬを論じて、一たび法の精神をだに得たらんには、紛々たる万事は破竹の如くなるべしなどゝ広言しつ。"
"64","mori","maihime.txt","又大学にては法科の講筵を余所にして、歴史文学に心を寄せ、漸く蔗を嚼む境に入りぬ。"
"65","mori","maihime.txt",""
"66","mori","maihime.txt","官長はもと心のまゝに用ゐるべき器械をこそ作らんとしたりけめ。"
"67","mori","maihime.txt","独立の思想を懐きて、人なみならぬ面もちしたる男をいかでか喜ぶべき。"
"68","mori","maihime.txt","危きは余が当時の地位なりけり。"
"69","mori","maihime.txt","されどこれのみにては、なほ我地位を覆へすに足らざりけんを、日比伯林の留学生の中にて、或る勢力ある一群と余との間に、面白からぬ関係ありて、彼人々は余を猜疑し、又｜遂に余を讒誣するに至りぬ。"
"70","mori","maihime.txt","されどこれとても其故なくてやは。"
"71","mori","maihime.txt",""
"72","mori","maihime.txt","彼人々は余が倶に麦酒の杯をも挙げず、球突きの棒をも取らぬを、かたくななる心と慾を制する力とに帰して、且は嘲り且は嫉みたりけん。"
"73","mori","maihime.txt","されどこは余を知らねばなり。"
"74","mori","maihime.txt","嗚呼、此故よしは、我身だに知らざりしを、怎でか人に知らるべき。"
"75","mori","maihime.txt","わが心はかの合歓といふ木の葉に似て、物｜触れば縮みて避けんとす。"
"76","mori","maihime.txt","我心は処女に似たり。"
"77","mori","maihime.txt","余が幼き頃より長者の教を守りて、学の道をたどりしも、仕の道をあゆみしも、皆な勇気ありて能くしたるにあらず、耐忍勉強の力と見えしも、皆な自ら欺き、人をさへ欺きつるにて、人のたどらせたる道を、唯だ一条にたどりしのみ。"
"78","mori","maihime.txt","余所に心の乱れざりしは、外物を棄てゝ顧みぬ程の勇気ありしにあらず、唯外物に恐れて自らわが手足を縛せしのみ。"
"79","mori","maihime.txt","故郷を立ちいづる前にも、我が有為の人物なることを疑はず、又我心の能く耐へんことをも深く信じたりき。"
"80","mori","maihime.txt","嗚呼、彼も一時。"
"81","mori","maihime.txt","舟の横浜を離るるまでは、天晴豪傑と思ひし身も、せきあへぬ涙に手巾を濡らしつるを我れ乍ら怪しと思ひしが、これぞなか／＼に我本性なりける。"
"82","mori","maihime.txt","此心は生れながらにやありけん、又早く父を失ひて母の手に育てられしによりてや生じけん。"
"83","mori","maihime.txt",""
"84","mori","maihime.txt","彼人々の嘲るはさることなり。"
"85","mori","maihime.txt","されど嫉むはおろかならずや。"
"86","mori","maihime.txt","この弱くふびんなる心を。"
"87","mori","maihime.txt",""
"88","mori","maihime.txt","赤く白く面を塗りて、赫然たる色の衣を纏ひ、珈琲店に坐して客を延く女を見ては、往きてこれに就かん勇気なく、高き帽を戴き、眼鏡に鼻を挾ませて、普魯西にては貴族めきたる鼻音にて物言ふ「レエベマン」を見ては、往きてこれと遊ばん勇気なし。"
"89","mori","maihime.txt","此等の勇気なければ、彼活溌なる同郷の人々と交らんやうもなし。"
"90","mori","maihime.txt","この交際の疎きがために、彼人々は唯余を嘲り、余を嫉むのみならで、又余を猜疑することゝなりぬ。"
"91","mori","maihime.txt","これぞ余が冤罪を身に負ひて、暫時の間に無量の艱難を閲し尽す媒なりける。"
