"","auth","piece","line"
"0","mori","michino_ki.txt","みちの記"
"1","mori","michino_ki.txt","森鴎外"
"2","mori","michino_ki.txt",""
"3","mori","michino_ki.txt","-------------------------------------------------------"
"4","mori","michino_ki.txt","【テキスト中に現れる記号について】"
"5","mori","michino_ki.txt",""
"6","mori","michino_ki.txt","《》：ルビ"
"7","mori","michino_ki.txt","（例）碓氷嶺"
"8","mori","michino_ki.txt",""
"9","mori","michino_ki.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","michino_ki.txt","（例）一番｜汽車"
"11","mori","michino_ki.txt",""
"12","mori","michino_ki.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","michino_ki.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","mori","michino_ki.txt","（例）蜻※"
"15","mori","michino_ki.txt","-------------------------------------------------------"
"16","mori","michino_ki.txt",""
"17","mori","michino_ki.txt","明治二十三年八月十七日、上野より一番｜汽車に乗りていず。"
"18","mori","michino_ki.txt","途にて一たび車を換うることありて、横川にて車はてぬ。"
"19","mori","michino_ki.txt","これより鉄道馬車雇いて、薄氷嶺にかかる。"
"20","mori","michino_ki.txt","その車は外を青「ペンキ」にて塗りたる木の箱にて、中に乗りし十二人の客は肩腰相触れて、膝は犬牙のように交錯す。"
"21","mori","michino_ki.txt","つくりつけの木の腰掛は、「フランケット」二枚敷きても膚を破らんとす。"
"22","mori","michino_ki.txt","右左に帆木綿のとばりあり、上下にすじがね引きて、それを帳の端の環にとおしてあけたてす。"
"23","mori","michino_ki.txt","山路になりてよりは、二頭の馬｜喘ぎ喘ぎ引くに、軌幅極めて狭き車の震ること甚しく、雨さえ降りて例の帳閉じたれば息籠もりて汗の臭車に満ち、頭痛み堪えがたし。"
"24","mori","michino_ki.txt","嶺は五六年前に踰えしおりに似ず、泥濘踝を没す。"
"25","mori","michino_ki.txt","こは車のゆきき漸く繁くなりていたみたるならん。"
"26","mori","michino_ki.txt","軌道の二重になりたる処にて、向いよりの車を待合わすこと二度。"
"27","mori","michino_ki.txt","この間長きときは三十分もあらん。"
"28","mori","michino_ki.txt","あたりの茶店より茶菓子などもて来れど、飲食わむとする人なし。"
"29","mori","michino_ki.txt","下りになりてより霧深く、背後より吹く風寒く、忽夏を忘れぬ。"
"30","mori","michino_ki.txt","されど頭のやましきことは前に比べて一層を加えたり。"
"31","mori","michino_ki.txt","軽井沢停車場の前にて馬車はつ。"
"32","mori","michino_ki.txt","恰も鈴鐸鳴るおりなりしが、余りの苦しさに直には乗り遷らず。"
"33","mori","michino_ki.txt","油屋という家に入りて憩う。"
"34","mori","michino_ki.txt","信州の鯉はじめて膳に上る、果して何の祥にや。"
"35","mori","michino_ki.txt","二時間眠りて、頭やや軽き心地す。"
"36","mori","michino_ki.txt","次の汽車に乗ればさきに上野よりの車にて室を同うせし人々もここに乗りたり。"
"37","mori","michino_ki.txt","中には百年も交りたるように親みあうも見えて、いとにがにがしき事に覚えぬ。"
"38","mori","michino_ki.txt","若し方今のありさまにて、傾蓋の交はかかる所にて求むべしといわばわれ又何をかいわん。"
"39","mori","michino_ki.txt","停車場は蘆葦人長の中に立てり。"
"40","mori","michino_ki.txt","車のいずるにつれて、蘆の葉まばらになりて桔梗の紫なる、女郎花の黄なる、芒花の赤き、まだ深き霧の中に見ゆ。"
"41","mori","michino_ki.txt","蝶一つ二つ翅重げに飛べり。"
"42","mori","michino_ki.txt","車漸く進みゆくに霧晴る。"
"43","mori","michino_ki.txt","夕日木梢に残りて、またここかしこなる断崖の白き処を照せり。"
"44","mori","michino_ki.txt","忽｜虹一道ありて、近き山の麓より立てり。"
"45","mori","michino_ki.txt","幅きわめて広く、山麓の人家三つ四つが程を占めたり。"
"46","mori","michino_ki.txt","火点しごろ過ぎて上田に着き、上村に宿る。"
"47","mori","michino_ki.txt",""
"48","mori","michino_ki.txt","十八日、上田を発す。"
"49","mori","michino_ki.txt","汽車の中等室にて英吉利婦人に逢う。"
"50","mori","michino_ki.txt","「カバン」の中より英文の道中記取出して読み、眼鏡かけて車窓の外の山を望み居たりしが、記中には此山三千尺とあり、見る所はあまりに低しなどいう。"
"51","mori","michino_ki.txt","実に英吉利人はいずくに来ても英吉利人なりと打笑いぬ。"
"52","mori","michino_ki.txt","長野にて車を下り、人力車｜雇いて須坂に来ぬ。"
"53","mori","michino_ki.txt","この間に信濃川にかけたる舟橋あり。"
"54","mori","michino_ki.txt","水清く底見えたり。"
