"","auth","piece","line"
"0","mori","moso.txt","妄想"
"1","mori","moso.txt","森鴎外"
"2","mori","moso.txt",""
"3","mori","moso.txt","-------------------------------------------------------"
"4","mori","moso.txt","【テキスト中に現れる記号について】"
"5","mori","moso.txt",""
"6","mori","moso.txt","《》：ルビ"
"7","mori","moso.txt","（例）目前"
"8","mori","moso.txt",""
"9","mori","moso.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","moso.txt","（例）只｜二間"
"11","mori","moso.txt",""
"12","mori","moso.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","moso.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","mori","moso.txt","（例）夷※川"
"15","mori","moso.txt",""
"16","mori","moso.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"17","mori","moso.txt","（例）炯々たる目が"
"18","mori","moso.txt",""
"19","mori","moso.txt","〔〕：アクセント分解された欧文をかこむ"
"20","mori","moso.txt","（例）〔du^n〕 といふ語"
"21","mori","moso.txt","アクセント分解についての詳細は下記URLを参照してください"
"22","mori","moso.txt","http://aozora.gr.jp/accent_separation.html"
"23","mori","moso.txt","-------------------------------------------------------"
"24","mori","moso.txt",""
"25","mori","moso.txt","目前には広々と海が横はつてゐる。"
"26","mori","moso.txt",""
"27","mori","moso.txt","その海から打ち上げられた砂が、小山のやうに盛り上がつて、自然の堤防を形づくつてゐる。"
"28","mori","moso.txt","アイルランドとスコットランドとから起つて、ヨオロッパ一般に行はれるやうになつた 〔du^n〕 といふ語は、かういふ処を斥して言ふのである。"
"29","mori","moso.txt",""
"30","mori","moso.txt","その砂山の上に、ひよろひよろした赤松が簇がつて生えてゐる。"
"31","mori","moso.txt","余り年を経た松ではない。"
"32","mori","moso.txt",""
"33","mori","moso.txt","海を眺めてゐる白髪の主人は、此松の幾本かを切つて、松林の中へ嵌め込んだやうに立てた小家の一間に据わつてゐる。"
"34","mori","moso.txt",""
"35","mori","moso.txt","主人が元と世に立ち交つてゐる頃に、別荘の真似事のやうな心持で立てた此小家は、只｜二間と台所とから成り立つてゐる。"
"36","mori","moso.txt","今据わつてゐるのは、東の方一面に海を見晴らした、六畳の居間である。"
