"","auth","piece","line"
"0","mori","munaguruma.txt","空車"
"1","mori","munaguruma.txt","森鴎外"
"2","mori","munaguruma.txt",""
"3","mori","munaguruma.txt","-------------------------------------------------------"
"4","mori","munaguruma.txt","【テキスト中に現れる記号について】"
"5","mori","munaguruma.txt",""
"6","mori","munaguruma.txt","《》：ルビ"
"7","mori","munaguruma.txt","（例）誰も"
"8","mori","munaguruma.txt",""
"9","mori","munaguruma.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"10","mori","munaguruma.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"11","mori","munaguruma.txt","（例）※"
"12","mori","munaguruma.txt","-------------------------------------------------------"
"13","mori","munaguruma.txt",""
"14","mori","munaguruma.txt","むなぐるまは古言である。"
"15","mori","munaguruma.txt","これを聞けば昔の絵巻にあるような物見車が思い浮かべられる。"
"16","mori","munaguruma.txt",""
"17","mori","munaguruma.txt","すべて古言はその行われた時と所との色を帯びている。"
"18","mori","munaguruma.txt","これをそのままにとって用いるときは、誰もその間に異議をはさむことはできない。"
"19","mori","munaguruma.txt","しかしそうばかりしていると、そのことばの用いられる範囲がせばめられる。"
"20","mori","munaguruma.txt","この範囲はアルシャイスムの領分を限る線によって定められる。"
"21","mori","munaguruma.txt","そしてそのことばは擬古文の中にしか用いられぬことになる。"
"22","mori","munaguruma.txt",""
"23","mori","munaguruma.txt","これは窮屈である。"
"24","mori","munaguruma.txt","さらに一歩を進めて考えてみると、この窮屈はいっそう甚だしくなってくる。"
"25","mori","munaguruma.txt","なぜであるか。"
"26","mori","munaguruma.txt","いまむなぐるまということばを擬古文に用いるには異議がないものとする。"
"27","mori","munaguruma.txt","ところで擬古文でさえあるなら、文の内容がなんであろうと、古言を用いていいかというに、必ずしもそうでない。"
"28","mori","munaguruma.txt","文体にふさわしくない内容もある。"
"29","mori","munaguruma.txt","都の手振だとか北里十二時だとかいうものは、読む人が文と事との間に調和をかいでいるのを感ぜずにはいない。"
"30","mori","munaguruma.txt",""
"31","mori","munaguruma.txt","この調和は読む人の受用を傷つける。"
"32","mori","munaguruma.txt","それは時と所との色を帯びている古言が濫用せられたからである。"
"33","mori","munaguruma.txt",""
"34","mori","munaguruma.txt","しかしここにいう所は文と事との不調和である。"
"35","mori","munaguruma.txt","文自体においてはなお調和を保つことが努められている。"
"36","mori","munaguruma.txt","これに反して仮りに古言を引き離して今体文に用いたらどうであろう。"
"37","mori","munaguruma.txt","極端な例をいえば、これを口語体の文に用いたらどうであろう。"
"38","mori","munaguruma.txt",""
"39","mori","munaguruma.txt","文章を愛好する人はこれを見て、必ずや憤慨するであろう。"
"40","mori","munaguruma.txt","口語体の文は文にあらずという人はしばらくおく。"
"41","mori","munaguruma.txt","これを文として視ることをゆるす人でも、古言をその中に用いたのを見たら、希世の宝が粗暴な手によって毀たれたのを惜しんで、作者を陋とせずにはいぬであろう。"
"42","mori","munaguruma.txt",""
"43","mori","munaguruma.txt","以上は保守の見解である。"
"44","mori","munaguruma.txt","わたくしはこれを首肯する。"
"45","mori","munaguruma.txt","そして不用意に古言を用いることを嫌う。"
"46","mori","munaguruma.txt",""
"47","mori","munaguruma.txt","しかしわたくしは保守の見解にのみ安住している窮屈に堪えない。"
"48","mori","munaguruma.txt","そこで今体文を作っているうちに、ふと古言を用いる。"
"49","mori","munaguruma.txt","口語体の文においてもまた恬としてこれを用いる。"
"50","mori","munaguruma.txt","着意してあえて用いるのである。"
"51","mori","munaguruma.txt",""
"52","mori","munaguruma.txt","そして自分で自分に分疏をする。"
"53","mori","munaguruma.txt","それはこうである。"
"54","mori","munaguruma.txt","古言は宝である。"
"55","mori","munaguruma.txt","しかし什襲してこれを蔵しておくのは、宝の持ちぐされである。"
"56","mori","munaguruma.txt","たとい尊重して用いずにおくにしても、用いざれば死物である。"
"57","mori","munaguruma.txt","わたくしは宝を掘り出して活かしてこれを用いる。"
"58","mori","munaguruma.txt","わたくしは古言に新たなる性命を与える。"
"59","mori","munaguruma.txt","古言の帯びている固有の色は、これがために滅びよう。"
"60","mori","munaguruma.txt","しかしこれは新たなる性命に犠牲を供するのである。"
"61","mori","munaguruma.txt","わたくしはこんな分疏をして、人の誚をかえりみない。"
"62","mori","munaguruma.txt",""
"63","mori","munaguruma.txt",""
"64","mori","munaguruma.txt","わたくしの意中にいわんと欲する一事があった。"
"65","mori","munaguruma.txt","わたくしは紙を展べて漫然空車と題した。"
"66","mori","munaguruma.txt","題しおわってなんと読もうかと思った。"
"67","mori","munaguruma.txt","音読すれば耳に聴いて何事ともわきまえがたい。"
"68","mori","munaguruma.txt","しからばからぐるまと訓もうか。"
"69","mori","munaguruma.txt","これはいかにもなつかしくないことばである。"
"70","mori","munaguruma.txt","そのうえ軽そうに感ぜられる。"
"71","mori","munaguruma.txt","やせた男が躁急に挽いて行きそうに感ぜられる。"
"72","mori","munaguruma.txt","この感じはわたくしの意中の車と合致しがたい。"
"73","mori","munaguruma.txt","そこでわたくしはむなぐるまと訓むことにした。"
"74","mori","munaguruma.txt","わたくしは着意してこの古言の帯びている時と所との色をうばって、新たなる語としてこれを用いるのである。"
"75","mori","munaguruma.txt","そしてかのなつかしくない、軽そうに感ぜさせるからぐるまの語を忌避するのである。"
"76","mori","munaguruma.txt",""
"77","mori","munaguruma.txt","空車はわたくしの往々街上において見るところのものである。"
"78","mori","munaguruma.txt","この車には定めて名があろう。"
"79","mori","munaguruma.txt","しかしわたくしは不敏にしてこれを知らない。"
"80","mori","munaguruma.txt","わたくしの説明によって、さすところのなんの車たるを解した人が、もしその名を知っていたなら、幸いに誨えてもらいたい。"
"81","mori","munaguruma.txt",""
"82","mori","munaguruma.txt","わたくしの意中の車は大いなる荷車である。"
"83","mori","munaguruma.txt","その構造はきわめて原始的で、大八車というものに似ている。"
"84","mori","munaguruma.txt","ただ大きさがこれに数倍している。"
"85","mori","munaguruma.txt","大八車は人が挽くのにこの車は馬が挽く。"
"86","mori","munaguruma.txt",""
"87","mori","munaguruma.txt","この車だっていつも空虚でないことは、言をまたない。"
"88","mori","munaguruma.txt","わたくしは白山の通りで、この車が洋紙を※載して王子から来るのにあうことがある。"
"89","mori","munaguruma.txt","しかしそういうときにはこの車はわたくしの目にとまらない。"
"90","mori","munaguruma.txt",""
"91","mori","munaguruma.txt","わたくしはこの車が空車として行くにあうごとに、目迎えてこれを送ることを禁じ得ない。"
"92","mori","munaguruma.txt","車はすでに大きい。"
"93","mori","munaguruma.txt","そしてそれが空虚であるがゆえに、人をしていっそうその大きさを覚えしむる。"
"94","mori","munaguruma.txt","この大きい車が大道せましと行く。"
"95","mori","munaguruma.txt","これにつないである馬は骨格がたくましく、栄養がいい。"
"96","mori","munaguruma.txt","それが車につながれたのを忘れたように、ゆるやかに行く。"
"97","mori","munaguruma.txt","馬の口を取っている男は背の直い大男である。"
"98","mori","munaguruma.txt","それが肥えた馬、大きい車の霊ででもあるように、大股に行く。"
"99","mori","munaguruma.txt","この男は左顧右眄することをなさない。"
"100","mori","munaguruma.txt","物にあって一歩をゆるくすることもなさず、一歩を急にすることをもなさない。"
"101","mori","munaguruma.txt","旁若無人という語はこの男のために作られたかと疑われる。"
"102","mori","munaguruma.txt",""
"103","mori","munaguruma.txt","この車にあえば、徒歩の人も避ける。"
"104","mori","munaguruma.txt","騎馬の人も避ける。"
"105","mori","munaguruma.txt","貴人の馬車も避ける。"
"106","mori","munaguruma.txt","富豪の自動車も避ける。"
"107","mori","munaguruma.txt","隊伍をなした士卒も避ける。"
"108","mori","munaguruma.txt","送葬の行列も避ける。"
"109","mori","munaguruma.txt","この車の軌道を横たわるに会えば、電車の車掌といえども、車をとめて、忍んでその過ぐるを待たざることを得ない。"
"110","mori","munaguruma.txt",""
"111","mori","munaguruma.txt","そしてこの車は一の空車に過ぎぬのである。"
"112","mori","munaguruma.txt",""
"113","mori","munaguruma.txt","わたくしはこの空車の行くにあうごとに、目迎えてこれを送ることを禁じ得ない。"
"114","mori","munaguruma.txt","わたくしはこの空車が何物をかのせて行けばよいなどとは、かけても思わない。"
"115","mori","munaguruma.txt","わたくしがこの空車とある物をのせた車とを比較して、優劣を論ぜようなどと思わぬこともまた言をまたない。"
"116","mori","munaguruma.txt","たといそのある物がいかに貴き物であるにもせよ。"
"117","mori","munaguruma.txt",""
"118","mori","munaguruma.txt","大正五年五月"
"119","mori","munaguruma.txt",""
"120","mori","munaguruma.txt",""
"121","mori","munaguruma.txt",""
"122","mori","munaguruma.txt","底本：「日本の文学2森鴎外（一）」中央公論社"
"123","mori","munaguruma.txt","1966（昭和41）年1月5日初版発行"
"124","mori","munaguruma.txt","1972（昭和47）年3月25日19版発行"
"125","mori","munaguruma.txt","初出：「東京日日新聞」「大阪毎日新聞」"
"126","mori","munaguruma.txt","1916（大正5）年5月6日、7日"
"127","mori","munaguruma.txt","入力：土屋隆"
"128","mori","munaguruma.txt","校正：小林繁雄"
"129","mori","munaguruma.txt","2005年10月16日作成"
"130","mori","munaguruma.txt","青空文庫作成ファイル："
"131","mori","munaguruma.txt","このファイルは、インターネットの図書館、青空文庫(http://www.aozora.gr.jp/)で作られました。"
"132","mori","munaguruma.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"133","mori","munaguruma.txt",""
