"","auth","piece","line"
"0","mori","ogai_gyoshitowa_darezo.txt","鴎外漁史とは誰ぞ"
"1","mori","ogai_gyoshitowa_darezo.txt","森鴎外"
"2","mori","ogai_gyoshitowa_darezo.txt",""
"3","mori","ogai_gyoshitowa_darezo.txt","-------------------------------------------------------"
"4","mori","ogai_gyoshitowa_darezo.txt","【テキスト中に現れる記号について】"
"5","mori","ogai_gyoshitowa_darezo.txt",""
"6","mori","ogai_gyoshitowa_darezo.txt","《》：ルビ"
"7","mori","ogai_gyoshitowa_darezo.txt","（例）親戚の"
"8","mori","ogai_gyoshitowa_darezo.txt",""
"9","mori","ogai_gyoshitowa_darezo.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","ogai_gyoshitowa_darezo.txt","（例）主筆｜猪股為治君は"
"11","mori","ogai_gyoshitowa_darezo.txt",""
"12","mori","ogai_gyoshitowa_darezo.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","ogai_gyoshitowa_darezo.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","mori","ogai_gyoshitowa_darezo.txt","（例）間※"
"15","mori","ogai_gyoshitowa_darezo.txt","-------------------------------------------------------"
"16","mori","ogai_gyoshitowa_darezo.txt",""
"17","mori","ogai_gyoshitowa_darezo.txt","福岡日日新聞の主筆｜猪股為治君は予が親戚の郷人である。"
"18","mori","ogai_gyoshitowa_darezo.txt","予が九州に来てから、主筆はわざわざ我旅寓を訪われたので、予は共に世事を談じ、また間※文学の事に及んだこともあった。"
"19","mori","ogai_gyoshitowa_darezo.txt","主筆は多く欧羅巴の文章を読んで居て、地方の新聞記者中には実に珍しいといわねばならぬ人である。"
"20","mori","ogai_gyoshitowa_darezo.txt","昨年｜彼新聞が六千号を刊するに至ったとき、主筆が我文を請われて、予は交誼上これに応ぜねばならぬことになったので、乃ち我をして九州の富人たらしめばという一篇を草して贈った。"
"21","mori","ogai_gyoshitowa_darezo.txt","その時新聞社の一記者は我文に書後のようなものを添えて読者に紹介せられた。"
"22","mori","ogai_gyoshitowa_darezo.txt","その語中にこの森というものは鴎外漁史だとことわってあった。"
"23","mori","ogai_gyoshitowa_darezo.txt","予は当時これを読んで不思議な感を作した。"
"24","mori","ogai_gyoshitowa_darezo.txt","この鴎外漁史と云う称は、予の久しく自ら署したことのないところのものである。"
"25","mori","ogai_gyoshitowa_darezo.txt","これを聞けば、ほとんど別人の名を聞くが如く、しかもその別人は同世の人のようではなくて、却って隔世の人のようである。"
"26","mori","ogai_gyoshitowa_darezo.txt","明治の時代中ある短日月の間、文章と云えば、作に露伴紅葉四迷｜篁村緑雨美妙等があって、評に逍遥鴎外があるなどと云ったことがある。"
"27","mori","ogai_gyoshitowa_darezo.txt","これは筆を執る人の間で唱えたのであるが、世間のものもそれに応じて、漫りに予を諸才子の中に算えるようになって居た。"
"28","mori","ogai_gyoshitowa_darezo.txt","姑く今数えた人の上だけを言って見ように、いずれも皆文を以て業として居る人々であって、僅に四迷が官吏になって居り、逍遥が学校の教員をして居る位が格外であった。"
"29","mori","ogai_gyoshitowa_darezo.txt","独り予は医者で、しかも軍医である。"
"30","mori","ogai_gyoshitowa_darezo.txt","そこで世間で我虚名を伝うると与に、門外の見は作と評との別をさえ模糊たらしめて、他は小説家だということになった。"
"31","mori","ogai_gyoshitowa_darezo.txt","何故に予は小説家であるか。"
"32","mori","ogai_gyoshitowa_darezo.txt","予が書いたものの中に小説というようなものは、僅に四つ程あって、それが皆｜極の短篇で、三四枚のものから二十枚｜許りのものに過ぎない。"
"33","mori","ogai_gyoshitowa_darezo.txt","予がこれに費した時間も、前後通算して一週間にだに足るまい。"
"34","mori","ogai_gyoshitowa_darezo.txt","予がもし小説家ならば、天下は小説家の多きに勝えぬであろう。"
"35","mori","ogai_gyoshitowa_darezo.txt","かように一面には当時の所謂文壇が、予に実に副わざる名声を与えて、見当違の幸福を強いたと同時に、一面には予が医学を以て相交わる人は、他は小説家だから与に医学を談ずるには足らないと云い、予が官職を以て相対する人は、他は小説家だから重事を托するには足らないと云って、暗々裡に我進歩を礙げ、我成功を挫いたことは幾何ということを知らない。"
"36","mori","ogai_gyoshitowa_darezo.txt","予は実に副わざる名声を博して幸福とするものではない。"
"37","mori","ogai_gyoshitowa_darezo.txt","予は一片誠実の心を以て学問に従事し、官事に鞅掌して居ながら、その好意と悪意とを問わず、人の我｜真面目を認めてくれないのを見るごとに、独り自ら悲しむことを禁ずることを得なかったのである。"
"38","mori","ogai_gyoshitowa_darezo.txt","それ故に予は次第に名を避くるということを勉めるようになった。"
"39","mori","ogai_gyoshitowa_darezo.txt","予が久しく鴎外漁史という文字を署したことがなくて、福岡日日新聞社員にこれを拈出せられて一驚を喫したのもこれがためである。"
"40","mori","ogai_gyoshitowa_darezo.txt","然るに昨年の暮に※んで、一社員はまた予をおとずれて、この新年の新刊のために何か書けと曰うた。"
