"","auth","piece","line"
"0","mori","onnano_ketto.txt","女の決闘"
"1","mori","onnano_ketto.txt","オイレンベルクHerbert Eulenberg"
"2","mori","onnano_ketto.txt","森鴎外訳"
"3","mori","onnano_ketto.txt",""
"4","mori","onnano_ketto.txt","-------------------------------------------------------"
"5","mori","onnano_ketto.txt","【テキスト中に現れる記号について】"
"6","mori","onnano_ketto.txt",""
"7","mori","onnano_ketto.txt","《》：ルビ"
"8","mori","onnano_ketto.txt","（例）尾鰭"
"9","mori","onnano_ketto.txt",""
"10","mori","onnano_ketto.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"11","mori","onnano_ketto.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"12","mori","onnano_ketto.txt","（例）※"
"13","mori","onnano_ketto.txt","-------------------------------------------------------"
"14","mori","onnano_ketto.txt",""
"15","mori","onnano_ketto.txt","古来例のない、非常な、この出来事には、左の通りの短い行掛りがある。"
"16","mori","onnano_ketto.txt",""
"17","mori","onnano_ketto.txt","ロシアの医科大学の女学生が、ある晩の事、何の学科やらの、高尚な講義を聞いて、下宿へ帰って見ると、卓の上にこんな手紙があった。"
"18","mori","onnano_ketto.txt","宛名も何も書いてない。"
"19","mori","onnano_ketto.txt","「あなたの御関係なすっておいでになる男の事を、ある偶然の機会で承知しました。"
"20","mori","onnano_ketto.txt","その手続きはどうでも好い事だから、申しません。"
"21","mori","onnano_ketto.txt","わたくしはその男の妻だと、只今まで思っていた女です。"
"22","mori","onnano_ketto.txt","わたくしはあなたの人柄を推察して、こう思います。"
"23","mori","onnano_ketto.txt","あなたは決して自分のなすった事の成行がどうなろうと、その成行のために、前になすった事の責を負わない方ではありますまい。"
"24","mori","onnano_ketto.txt","またあなたは御自分に対して侮辱を加えた事のない第三者を侮辱して置きながら、その責を逃れようとなさる方でも決してありますまい。"
"25","mori","onnano_ketto.txt","わたくしはあなたが、たびたび拳銃で射撃をなさる事を承っています。"
