"","auth","piece","line"
"0","mori","resignation_no_setsu.txt","Resignation の説"
"1","mori","resignation_no_setsu.txt","森鴎外"
"2","mori","resignation_no_setsu.txt",""
"3","mori","resignation_no_setsu.txt","-------------------------------------------------------"
"4","mori","resignation_no_setsu.txt","【テキスト中に現れる記号について】"
"5","mori","resignation_no_setsu.txt",""
"6","mori","resignation_no_setsu.txt","《》：ルビ"
"7","mori","resignation_no_setsu.txt","（例）頗る"
"8","mori","resignation_no_setsu.txt",""
"9","mori","resignation_no_setsu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","resignation_no_setsu.txt","（例）一行｜差支がないように"
"11","mori","resignation_no_setsu.txt",""
"12","mori","resignation_no_setsu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","resignation_no_setsu.txt","（例）（明治四十二年十二月）"
"14","mori","resignation_no_setsu.txt","-------------------------------------------------------"
"15","mori","resignation_no_setsu.txt",""
"16","mori","resignation_no_setsu.txt","現代の思想とか、新しい作者の発表している思想とか云うものについて話せというのですか。"
"17","mori","resignation_no_setsu.txt","それは私の立場として頗る迷惑です。"
"18","mori","resignation_no_setsu.txt",""
"19","mori","resignation_no_setsu.txt","もし私が現に批評壇に立っている諸君と同一な思想を持っていたなら、別にそれを発表する必要がないわけでしょう。"
"20","mori","resignation_no_setsu.txt","もし変った思想を持っていたなら、それを発表した結果がどうなるでしょうか。"
"21","mori","resignation_no_setsu.txt",""
"22","mori","resignation_no_setsu.txt","それについては多少の経験を持っています。"
"23","mori","resignation_no_setsu.txt","ついどうかした機会に何か言うことがある。"
"24","mori","resignation_no_setsu.txt","そしてその都度不愉快極まる反響を聞くのです。"
"25","mori","resignation_no_setsu.txt",""
"26","mori","resignation_no_setsu.txt","昨今は私が何か云うと、愚痴とか厭味とか云ってからかわれることになっている。"
"27","mori","resignation_no_setsu.txt","それだけで何の効果もない。"
"28","mori","resignation_no_setsu.txt","何の役にも立たない。"
"29","mori","resignation_no_setsu.txt","人に利益は与えずに、自分が不愉快な目に逢うのみです。"
"30","mori","resignation_no_setsu.txt","そんなことは私だってしたくはないのです。"
"31","mori","resignation_no_setsu.txt",""
"32","mori","resignation_no_setsu.txt","現在の文芸界では active に何かしている、重立った諸君は極まっています。"
"33","mori","resignation_no_setsu.txt","田山君とか、島崎君とか、正宗君とか、それから少し後に仲間入をしたような小山内君とか、永井君とか云うような諸君でしょう。"
"34","mori","resignation_no_setsu.txt","それと少し距離のある方面で働いているのは夏目君に接近している二三の人位なものでしょうか。"
"35","mori","resignation_no_setsu.txt","小説以外の作品を出していられる諸君は数えません。"
"36","mori","resignation_no_setsu.txt",""
"37","mori","resignation_no_setsu.txt","そこで私がそう云う諸君の下風に立っていて、何だか不平を懐いているものとでも認められているらしく見えます。"
"38","mori","resignation_no_setsu.txt","私の言うことを愚痴、厭味と極められている意味はそう云う意味かと思います。"
"39","mori","resignation_no_setsu.txt",""
"40","mori","resignation_no_setsu.txt","おおかたこんなことを言えば、即ちそれが厭味だと云うかも知れません。"
"41","mori","resignation_no_setsu.txt","然らば口を閉じるより外はないようなものです。"
"42","mori","resignation_no_setsu.txt",""
"43","mori","resignation_no_setsu.txt","所が、私の考えている事は全く違っています。"
"44","mori","resignation_no_setsu.txt","尤もこの考えている事というのが、告白であるかないか、矯飾をしていないかという疑問が直ぐに伴って来る。"
"45","mori","resignation_no_setsu.txt","もっと立ち入って云えば、自分では云々と考えていると思っても、それは自ら欺いている、即ち自己のために自己を矯飾しているのかも知れない。"
"46","mori","resignation_no_setsu.txt","そんな風に穿鑿して見ると、むしろ頭からその考えている事を言わずに置くのが好いかも知れないのです。"
"47","mori","resignation_no_setsu.txt",""
"48","mori","resignation_no_setsu.txt","しかし何と云われたって、云われついでだから云いましょう。"
"49","mori","resignation_no_setsu.txt","私は田山君のように旨くないと云われても、実際どうでもない。"
"50","mori","resignation_no_setsu.txt","田山君も、正宗君も、島崎君も私より旨くて一向｜差支がないように感じています。"
"51","mori","resignation_no_setsu.txt","それは私の方が旨くても困りはしません。"
"52","mori","resignation_no_setsu.txt","しかしまずくても構いません。"
"53","mori","resignation_no_setsu.txt","ちっとも不平が無い。"
"54","mori","resignation_no_setsu.txt","諸君と私とを一しょに集めて、小学校のクラスの座順のように並ばせて、私に下座に座ってお辞儀をしろと云うことなら、私は平気でお辞儀をするでしょう。"
"55","mori","resignation_no_setsu.txt","そしてそれは批評家の嫌う石田少介流とかの、何でもじいっと堪えているなんぞと云うのではありません。"
"56","mori","resignation_no_setsu.txt","本当に平気なのです。"
"57","mori","resignation_no_setsu.txt",""
"58","mori","resignation_no_setsu.txt","私の考では私は私で、自分の気に入った事を自分の勝手にしているのです。"
"59","mori","resignation_no_setsu.txt","それで気が済んでいるのです。"
"60","mori","resignation_no_setsu.txt","人の上座に据えられたって困りもしないが、下座に据えられたって困りもしません。"
"61","mori","resignation_no_setsu.txt",""
"62","mori","resignation_no_setsu.txt","こう云う心持は愚痴とか厭味とか云う詞の概念とは大へんに違っていると信じています。"
"63","mori","resignation_no_setsu.txt","いつか私は西洋にある詞で、日本に無い詞がある、随ってそういう概念があちらにあって、こちらに無いと云うような事を話した事がありました。"
"64","mori","resignation_no_setsu.txt","縦令両方にその詞はあってもそれが向うでは日常使われているのに、こちらでは使われていないという関係もあるのです。"
"65","mori","resignation_no_setsu.txt","これは確に思想の貧弱な徴候だろうと思うのです。"
"66","mori","resignation_no_setsu.txt",""
"67","mori","resignation_no_setsu.txt","批評壇が、時を得ていない人は、時を得ている人に対してきっと不平を懐いていて、そんな人の云うことは、厭味、愚痴の外にないように思うのは、批評家の思想の貧弱ではあるまいかと思うのです。"
"68","mori","resignation_no_setsu.txt",""
"69","mori","resignation_no_setsu.txt","私の心持を何という詞で言いあらわしたら好いかと云うと、resignation だと云って宜しいようです。"
"70","mori","resignation_no_setsu.txt","私は文芸ばかりでは無い。"
"71","mori","resignation_no_setsu.txt","世の中のどの方面においてもこの心持でいる。"
"72","mori","resignation_no_setsu.txt","それで余所の人が、私の事をさぞ苦痛をしているだろうと思っている時に、私は存外平気でいるのです。"
"73","mori","resignation_no_setsu.txt","勿論 resignation の状態と云うものは意気地のないものかも知れない。"
