"","auth","piece","line"
"0","mori","sakaijiken.txt","堺事件"
"1","mori","sakaijiken.txt","森鴎外"
"2","mori","sakaijiken.txt",""
"3","mori","sakaijiken.txt","-------------------------------------------------------"
"4","mori","sakaijiken.txt","【テキスト中に現れる記号について】"
"5","mori","sakaijiken.txt",""
"6","mori","sakaijiken.txt","《》：ルビ"
"7","mori","sakaijiken.txt","（例）明治元年｜戊辰の歳"
"8","mori","sakaijiken.txt",""
"9","mori","sakaijiken.txt","｜：ルビの付いていない漢字とルビの付く漢字の境の記号"
"10","mori","sakaijiken.txt","（例）明治元年｜戊辰の歳"
"11","mori","sakaijiken.txt",""
"12","mori","sakaijiken.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","sakaijiken.txt","（例）Venus号"
"14","mori","sakaijiken.txt","-------------------------------------------------------"
"15","mori","sakaijiken.txt",""
"16","mori","sakaijiken.txt","明治元年｜戊辰の歳正月、徳川｜慶喜の軍が伏見、鳥羽に敗れて、大阪城をも守ることが出来ず、海路を江戸へ遁れた跡で、大阪、兵庫、堺の諸役人は職を棄てて潜み匿れ、これ等の都会は一時無政府の状況に陥った。"
"17","mori","sakaijiken.txt","そこで大阪は薩摩、兵庫は長門、堺は土佐の三藩が、朝命によって取り締ることになった。"
"18","mori","sakaijiken.txt","堺へは二月の初に先ず土佐の六番歩兵隊が這入り、次いで八番歩兵隊が繰り込んだ。"
"19","mori","sakaijiken.txt","陣所になったのは糸屋町の与力屋敷、同心屋敷である。"
"20","mori","sakaijiken.txt","そのうち土佐藩は堺の民政をも預けられたので、大目附杉紀平太、目附｜生駒静次等が入り込んで大通｜櫛屋町の元総会所に、軍監府を置いた。"
"21","mori","sakaijiken.txt","軍監府では河内、大和辺から、旧幕府の役人の隠れていたのを、七十三人捜し出して、先例によって事務を取り扱わせた。"
"22","mori","sakaijiken.txt","市中は間もなく秩序を恢復して、一旦｜鎖された芝居の木戸も、又開かれるようになった。"
"23","mori","sakaijiken.txt",""
"24","mori","sakaijiken.txt","二月十五日の事である。"
"25","mori","sakaijiken.txt","フランスの兵が大阪から堺へ来ると云うことを、町年寄が聞き出して軍監府へ訴え出た。"
"26","mori","sakaijiken.txt","横浜に碇泊していた外国軍艦十六｜艘が、摂津の天保山沖へ来て投錨した中に、イギリス、アメリカと共に、フランスのもあったのである。"
"27","mori","sakaijiken.txt","杉は六番、八番の両隊長を呼び出して、大和橋へ出張することを命じた。"
"28","mori","sakaijiken.txt","フランスの兵が若し官許を得て通るのなら、前以て外国事務係前宇和島藩主｜伊達伊予守宗城から通知がある筈であるに、それが無い。"
"29","mori","sakaijiken.txt","よしや通知が間に合わぬにしても、内地を旅行するには免状を持っていなくてはならない。"
"30","mori","sakaijiken.txt","持っていないなら、通すには及ばない。"
"31","mori","sakaijiken.txt","杉は生駒と共に二隊の兵を随えて大和橋を扼して待っていた。"
"32","mori","sakaijiken.txt","そこへフランスの兵が来掛かった。"
"33","mori","sakaijiken.txt","その連れて来た通弁に免状の有無を問わせると、持っていない。"
"34","mori","sakaijiken.txt","フランスの兵は小人数なので、土佐の兵に往手を遮られて、大阪へ引き返した。"
"35","mori","sakaijiken.txt",""
"36","mori","sakaijiken.txt","同じ日の暮方になって、大和橋から帰っていた歩兵隊の陣所へ、町人が駆け込んで、港からフランスの水兵が上陸したと訴えた。"
"37","mori","sakaijiken.txt","フランスの軍艦は港から一里ばかりの沖に来て、二十艘の端艇に水兵を載せて上陸させたのである。"
"38","mori","sakaijiken.txt","両歩兵の隊長が出張の用意をさせていると、軍監府から出張の命令が届いた。"
"39","mori","sakaijiken.txt","すぐに出張して見ると、水兵は別にこれと云う廉立った暴行をしてはいない。"
"40","mori","sakaijiken.txt","しかし神社｜仏閣に不遠慮に立ち入る。"
"41","mori","sakaijiken.txt","人家に上がり込む。"
"42","mori","sakaijiken.txt","女子を捉えて揶揄う。"
"43","mori","sakaijiken.txt","開港場でない堺の町人は、外国人に慣れぬので、驚き懼れて逃げ迷い、戸を閉じて家に籠るものが多い。"
"44","mori","sakaijiken.txt","両隊長は諭して舟へ返そうと思ったが通弁がいない。"
"45","mori","sakaijiken.txt","手真似で帰れと云っても、一人も聴かない。"
"46","mori","sakaijiken.txt","そこで隊長が陣所へ引き立ていと命じた。"
"47","mori","sakaijiken.txt","兵卒が手近にいた水兵を捉えて縄を掛けようとした。"
"48","mori","sakaijiken.txt","水兵は波止場をさして逃げ出した。"
"49","mori","sakaijiken.txt","中の一人が、町家の戸口に立て掛けてあった隊旗を奪って駆けて往った。"
"50","mori","sakaijiken.txt",""
"51","mori","sakaijiken.txt","両隊長は兵卒を率いて追い掛けた。"
"52","mori","sakaijiken.txt","脚の長い、駆歩に慣れたフランス人にはなかなか及ばない。"
"53","mori","sakaijiken.txt","水兵はもう端艇に乗り移ろうとする。"
"54","mori","sakaijiken.txt","この頃土佐の歩兵隊には鳶の者が附いていて、市中の廻番をするにも、それを四五人ずつ連れて行くことにしてあった。"
"55","mori","sakaijiken.txt","隊旗を持つのもこの鳶の者の役で、その中に旗持梅吉と云う鳶頭がいた。"
"56","mori","sakaijiken.txt","江戸で火事があって出掛けるのに、早足の馬の跡を一間とは後れぬという駆歩の達者である。"
"57","mori","sakaijiken.txt","この梅吉が隊の士卒を駆け抜けて、隊旗を奪って行く水兵に追い縋った。"
"58","mori","sakaijiken.txt","手に持った鳶口は風を切ってかの水兵の脳天に打ち卸された。"
"59","mori","sakaijiken.txt","水兵は一声叫んで仰向に倒れた。"
"60","mori","sakaijiken.txt","梅吉は隊旗を取り返した。"
"61","mori","sakaijiken.txt",""
"62","mori","sakaijiken.txt","これを見て端艇に待っていた水兵が、突然短銃で一斉射撃をした。"
"63","mori","sakaijiken.txt",""
"64","mori","sakaijiken.txt","両隊長が咄嗟の間に決心して「撃て」と号令した。"
"65","mori","sakaijiken.txt","待ち兼ねていた兵卒は七十余｜挺の銃口を並べ、上陸兵を収容している端艇を目当に発射した。"
"66","mori","sakaijiken.txt","六人ばかりの水兵はばらばらと倒れた。"
"67","mori","sakaijiken.txt","負傷して水に落ちたものもある。"
"68","mori","sakaijiken.txt","負傷せぬものも急に水中に飛び込んで、皆片手を端艇の舷に掛けて足で波を蹴て端艇を操りながら、弾丸が来れば沈んで避け、又浮き上がって汐を吐いた。"
"69","mori","sakaijiken.txt","端艇は次第に遠くなった。"
"70","mori","sakaijiken.txt","フランス水兵の死者は総数十三人で、内一人が下士であった。"
"71","mori","sakaijiken.txt",""
"72","mori","sakaijiken.txt","そこへ杉が駆け付けた。"
"73","mori","sakaijiken.txt","そして射撃を止めて陣所へ帰れと命じた。"
"74","mori","sakaijiken.txt","両隊が陣所へ引き上げていると、隊長二人を軍監府から呼びに来た。"
"75","mori","sakaijiken.txt","なぜ上司の命令を待たずに射撃したかと杉に問われて、両隊長は火急の場合で命令を待つことが出来なかったと弁明した。"
"76","mori","sakaijiken.txt","勿論端艇から先ず射撃したので、これに応戦したのではあるが、土佐の士卒は初からフランス人に対して悪感情を懐いていた。"
"77","mori","sakaijiken.txt","それは土佐人が松山藩を討つために錦旗を賜わって、それを本国へ護送する途中、神戸でフランス人がその一行を遮り留め、朝廷と幕府との和親を謀るためだと通弁に云わせ、錦旗を奪おうとしたと云う話が伝わっていたからである。"
"78","mori","sakaijiken.txt",""
"79","mori","sakaijiken.txt","杉は両隊長に言った。"
"80","mori","sakaijiken.txt","とにかくこうなった上は是非がない。"
"81","mori","sakaijiken.txt","軍艦の襲撃があるかも知れぬから、防戦の準備をせいと云った。"
"82","mori","sakaijiken.txt","そして報告のために生駒を外国事務係へ、下横目一人を京都の藩邸へ発足させた。"
"83","mori","sakaijiken.txt",""
"84","mori","sakaijiken.txt","両隊長は僅か二小隊の兵を以て軍艦を防げと云われて当惑したが、海岸へは斥候を出し、台場へは両隊から数人ずつ交代して守備に往くことにした。"
"85","mori","sakaijiken.txt","そこへこの土地に這入った時収容して遣った幕府の敗兵が数十人来て云った。"
"86","mori","sakaijiken.txt",""
"87","mori","sakaijiken.txt","「若しフランスの軍艦が来るようなら、どうぞわたくし共をお使下さい。"
"88","mori","sakaijiken.txt","砲台には徳川家の時に据え付けた大砲が三十六門あって、今岸和田藩主岡部｜筑前守長寛殿の預りになっています。"
"89","mori","sakaijiken.txt","わたくし共はあれで防ぎます。"
"90","mori","sakaijiken.txt","あなた方は上陸して来る奴を撃って下さい」と云った。"
"91","mori","sakaijiken.txt",""
"92","mori","sakaijiken.txt","両隊長はその人達を砲台へ遣った。"
"93","mori","sakaijiken.txt","そのうち岸和田藩からも砲台へ兵を出して、望遠鏡で兵庫方面を見張っていてくれた。"
"94","mori","sakaijiken.txt",""
"95","mori","sakaijiken.txt","夜に入って港口へフランスの端艇が来たと云う知らせがあった。"
"96","mori","sakaijiken.txt","しかしその端艇は五六艘で、皆上陸せずに帰った。"
"97","mori","sakaijiken.txt","水兵の死体を捜索したのだろう。"
"98","mori","sakaijiken.txt","実際幾つか死体を捜し得て、載せて帰ったらしいと云うものもあった。"
"99","mori","sakaijiken.txt",""
"100","mori","sakaijiken.txt",""
"101","mori","sakaijiken.txt","十六日の払暁に、外国事務係の沙汰で、土佐藩は堺表取締を免ぜられ、兵隊を引き払うことになった。"
"102","mori","sakaijiken.txt","軍監府はそれを取り次いで、両隊長に大阪蔵屋敷へ引き上げることを命じた。"
"103","mori","sakaijiken.txt","両隊長はすぐに支度して堺を立った。"
"104","mori","sakaijiken.txt","住吉街道を経て、大阪｜御池通六丁目の土佐藩なかし商の家に着いたのは、未の刻頃であった。"
"105","mori","sakaijiken.txt",""
"106","mori","sakaijiken.txt","堺の軍監府から外国事務係へ報告に往った生駒静次は、口上を一通聞き取られただけである。"
"107","mori","sakaijiken.txt","次いで外国事務係は堺にある軍監又は隊長の内一名出頭するようにと達した。"
"108","mori","sakaijiken.txt","杉が出頭した。"
"109","mori","sakaijiken.txt","すると大阪の土佐藩邸にいる石川石之助の出した堺事件の届書を返して、更に精しく書き替えて出せと云うことである。"
"110","mori","sakaijiken.txt","杉は一応引き取って、両隊長署名の届書を出し、この上｜御訊問の筋があるなら、本人に出頭させようと言い添えた。"
"111","mori","sakaijiken.txt",""
