"","auth","piece","line"
"0","mori","sanshodayu.txt","山椒大夫"
"1","mori","sanshodayu.txt","森鴎外"
"2","mori","sanshodayu.txt",""
"3","mori","sanshodayu.txt","-------------------------------------------------------"
"4","mori","sanshodayu.txt","【テキスト中に現れる記号について】"
"5","mori","sanshodayu.txt",""
"6","mori","sanshodayu.txt","《》：ルビ"
"7","mori","sanshodayu.txt","（例）越後の"
"8","mori","sanshodayu.txt",""
"9","mori","sanshodayu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","sanshodayu.txt","（例）一番｜隅へはいって"
"11","mori","sanshodayu.txt",""
"12","mori","sanshodayu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","sanshodayu.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","mori","sanshodayu.txt","（例）※"
"15","mori","sanshodayu.txt","-------------------------------------------------------"
"16","mori","sanshodayu.txt",""
"17","mori","sanshodayu.txt","越後の春日を経て今津へ出る道を、珍らしい旅人の一群れが歩いている。"
"18","mori","sanshodayu.txt","母は三十歳を踰えたばかりの女で、二人の子供を連れている。"
"19","mori","sanshodayu.txt","姉は十四、弟は十二である。"
"20","mori","sanshodayu.txt","それに四十ぐらいの女中が一人ついて、くたびれた同胞二人を、「もうじきにお宿にお着きなさいます」と言って励まして歩かせようとする。"
"21","mori","sanshodayu.txt","二人の中で、姉娘は足を引きずるようにして歩いているが、それでも気が勝っていて、疲れたのを母や弟に知らせまいとして、折り折り思い出したように弾力のある歩きつきをして見せる。"
"22","mori","sanshodayu.txt","近い道を物詣りにでも歩くのなら、ふさわしくも見えそうな一群れであるが、笠やら杖やらかいがいしい出立ちをしているのが、誰の目にも珍らしく、また気の毒に感ぜられるのである。"
"23","mori","sanshodayu.txt",""
"24","mori","sanshodayu.txt","道は百姓家の断えたり続いたりする間を通っている。"
"25","mori","sanshodayu.txt","砂や小石は多いが、秋日和によく乾いて、しかも粘土がまじっているために、よく固まっていて、海のそばのように踝を埋めて人を悩ますことはない。"
"26","mori","sanshodayu.txt",""
"27","mori","sanshodayu.txt","藁葺きの家が何軒も立ち並んだ一構えが柞の林に囲まれて、それに夕日がかっとさしているところに通りかかった。"
