"","auth","piece","line"
"0","mori","saru.txt","猿"
"1","mori","saru.txt","AFFENPSYCHE"
"2","mori","saru.txt","ジユウル・クラルテエJules Clarete"
"3","mori","saru.txt","森林太郎訳"
"4","mori","saru.txt",""
"5","mori","saru.txt","-------------------------------------------------------"
"6","mori","saru.txt","【テキスト中に現れる記号について】"
"7","mori","saru.txt",""
"8","mori","saru.txt","《》：ルビ"
"9","mori","saru.txt","（例）生利き"
"10","mori","saru.txt",""
"11","mori","saru.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"12","mori","saru.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"13","mori","saru.txt","（例）※"
"14","mori","saru.txt",""
"15","mori","saru.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"16","mori","saru.txt","（例）ヒヨオ／＼"
"17","mori","saru.txt","-------------------------------------------------------"
"18","mori","saru.txt",""
"19","mori","saru.txt","猿と云ふものは元から溜まらない程己に気に入つてゐる。"
"20","mori","saru.txt","第一人間に比べて見ると附合つて見て面白い処がある。"
"21","mori","saru.txt","それから顔の表情も人間よりははつきりしてゐて、手で優しく搦み付くところなぞは、人間が握手をするよりも正直に心持を見せてゐるのだ。"
"22","mori","saru.txt","それから猿の一番好い性質は、生利きにも猿を滑稽なものに言ひ做してゐる人間よりも、遙に残酷でないことである。"
"23","mori","saru.txt","猿は昔から人間の真似をしてゐるが、まだ人間の乱暴と不行跡とを真似たことはない。"
"24","mori","saru.txt","只一つ猿の人間に優つてゐないところは、たしかに人間と同じやうに焼餅を焼くことである。"
"25","mori","saru.txt","ビユツフオンの飼つてゐたシンパンジイ種の猿は、主人の好いた或る女が来る度に厭がつて、主人の杖を持ち出して威したさうだ。"
"26","mori","saru.txt",""
"27","mori","saru.txt","猩々やシンパンジイの猟をしたドユ・シヤイユウは人を避けて穴居してゐるこの猿共の性質の面白いことを報告してゐる。"
"28","mori","saru.txt","この男は平気で、なんの不思議な業でもない積りで、一疋のシンパンジイが木の枝に隠れて寝てゐるのを殺したことを話した。"
