"","auth","piece","line"
"0","mori","satoimono_me.txt","里芋の芽と不動の目"
"1","mori","satoimono_me.txt","森鴎外"
"2","mori","satoimono_me.txt",""
"3","mori","satoimono_me.txt","-------------------------------------------------------"
"4","mori","satoimono_me.txt","【テキスト中に現れる記号について】"
"5","mori","satoimono_me.txt",""
"6","mori","satoimono_me.txt","《》：ルビ"
"7","mori","satoimono_me.txt","（例）盛"
"8","mori","satoimono_me.txt",""
"9","mori","satoimono_me.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","satoimono_me.txt","（例）理学博士増田｜翼"
"11","mori","satoimono_me.txt",""
"12","mori","satoimono_me.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","satoimono_me.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"14","mori","satoimono_me.txt","（例）※"
"15","mori","satoimono_me.txt","-------------------------------------------------------"
"16","mori","satoimono_me.txt",""
"17","mori","satoimono_me.txt","東京化学製造所は盛に新聞で攻撃せられながら、兎に角一廉の大工場になった。"
"18","mori","satoimono_me.txt",""
"19","mori","satoimono_me.txt","攻撃は職工の賃銀問題である。"
"20","mori","satoimono_me.txt","賃銀は上げて遣れば好い。"
"21","mori","satoimono_me.txt","しかしどこまでも上げて遣るというわけには行かない。"
"22","mori","satoimono_me.txt","そんならその度合はどうして極まるか。"
"23","mori","satoimono_me.txt","職工の生活の需要であろうか。"
"24","mori","satoimono_me.txt","生活の需要なんぞというものも、高まろうとしている傾はいつまでも止まることはあるまい。"
"25","mori","satoimono_me.txt","そんなら工場の利益の幾分を職工に分けて遣れば好いか。"
"26","mori","satoimono_me.txt","その幾分というものも、極まった度合にはならない。"
"27","mori","satoimono_me.txt",""
"28","mori","satoimono_me.txt","工場を立てて行くには金がいる。"
"29","mori","satoimono_me.txt","しかし金ばかりでは機関が運転して行くものではない。"
"30","mori","satoimono_me.txt","職工の多数の意志に対抗する工場主の一人の意志がなくてはならない。"
"31","mori","satoimono_me.txt","工場主は自分の意志で機関を運転させて行くのである。"
"32","mori","satoimono_me.txt",""
"33","mori","satoimono_me.txt","社会問題にいくら高尚な理論があっても、いくら緻密な研究があっても、己は己の意志で遣る。"
"34","mori","satoimono_me.txt","職工にどれだけのものを与えるかは、己の意志でその度合が極まるのである。"
"35","mori","satoimono_me.txt","東京化学製造所長になって、二十五年の間に、初め基礎の危かった工場を、兎に角今の地位まで高めた理学博士増田｜翼はかく信じているのである。"
"36","mori","satoimono_me.txt",""
"37","mori","satoimono_me.txt","製造所の創立第二十五年記念の宴会が紅葉館で開かれた。"
"38","mori","satoimono_me.txt","何某の講談は塩原多助一代記の一節で、その跡に時代な好みの紅葉狩と世話に賑やかな日本一と、ここの女中達の踊が二組あった。"
"39","mori","satoimono_me.txt","それから饗応があった。"
"40","mori","satoimono_me.txt",""
"41","mori","satoimono_me.txt","三｜間打ち抜いて、ぎっしり客を詰め込んだ宴会も、存外静かに済んで、農商務大臣、大学総長、理科大学長なんぞが席を起たれた跡は、方々に群をなして女中達とふざけていた人々も、一人帰り二人帰って、いつの間にか広間がひっそりして来た。"
"42","mori","satoimono_me.txt",""
"43","mori","satoimono_me.txt","もう十一時であろう。"
"44","mori","satoimono_me.txt",""
"45","mori","satoimono_me.txt","今日の主人増田博士の周囲には大学時代からの親友が二三人、製造所の職員になっている少壮な理学士なんぞが居残って、燗の熱いのをと命じて、手あきの女中達大勢に取り巻かれて、暫く一｜夕の名残を惜んでいる。"
"46","mori","satoimono_me.txt",""
"47","mori","satoimono_me.txt","花房という、今年卒業して製造所に這入った理学士に、児髷に結った娘が酌をすると、花房が顧みながら云った。"
"48","mori","satoimono_me.txt",""
"49","mori","satoimono_me.txt","「何だ。"
"50","mori","satoimono_me.txt","お前の袖からは馬鹿に好い※がするじゃあないか。"
"51","mori","satoimono_me.txt","何を持っているのだ。"
"52","mori","satoimono_me.txt","」"
"53","mori","satoimono_me.txt","「これなの。"
"54","mori","satoimono_me.txt","」"
"55","mori","satoimono_me.txt","娘が絹のハンケチを取り出した。"
"56","mori","satoimono_me.txt",""
"57","mori","satoimono_me.txt","「それだそれだ。"
"58","mori","satoimono_me.txt","※で思い出したが、ここの内に丁度お前のような薫という子がいたが、あれはどうした。"
"59","mori","satoimono_me.txt","」"
"60","mori","satoimono_me.txt","「薫さんはお内へ帰りましたの。"
"61","mori","satoimono_me.txt","」"
"62","mori","satoimono_me.txt","「内は何だい。"
"63","mori","satoimono_me.txt","」"
"64","mori","satoimono_me.txt","「お医者さんですわ。"
"65","mori","satoimono_me.txt","」"
"66","mori","satoimono_me.txt","「おお方｜誰かが一旦内へ帰して置いて、それからお上さんにするというようなわけだろう。"
"67","mori","satoimono_me.txt","」"
"68","mori","satoimono_me.txt","「知りませんわ。"
"69","mori","satoimono_me.txt","」"
"70","mori","satoimono_me.txt","こんな話をしているうちに、聯想は聯想を生んで、台湾の樟脳の話が始まる。"
"71","mori","satoimono_me.txt","樺太のテレベン油の話が始まるのである。"
"72","mori","satoimono_me.txt",""
"73","mori","satoimono_me.txt","増田博士は胡坐を掻いて、大きい剛い目の目尻に皺を寄せて、ちびりちびり飲んでいる。"
"74","mori","satoimono_me.txt","抜け上がった額の下に光っている白目｜勝の目は頗る剛い。"
"75","mori","satoimono_me.txt","それに皺を寄せて笑っている処がひどく優しい。"
"76","mori","satoimono_me.txt","この矛盾が博士の顔に一種の滑稽を生ずる。"
"77","mori","satoimono_me.txt","それで誰でも博士の機嫌の好い時の顔に対するときは、微笑を禁じ得ないのである。"
"78","mori","satoimono_me.txt",""
"79","mori","satoimono_me.txt","誰やらが、樺太のテレベン油は非常な利益になりそうで、始て製造を試みた何某の着眼は実にえらいという評判だと云うと、黙って酒を飲んでいた博士が短い笑声を洩した。"
"80","mori","satoimono_me.txt",""
"81","mori","satoimono_me.txt","「あれか。"
"82","mori","satoimono_me.txt","あれは樺太へ立つ前に己の処へ来たから、己が気を附けて遣ったのだ。"
"83","mori","satoimono_me.txt","」"
"84","mori","satoimono_me.txt","一同耳を欹てた。"
"85","mori","satoimono_me.txt","この席にいるだけのものは、皆博士が人の功を奪うような人でないことを知っている。"
"86","mori","satoimono_me.txt","それだから、皆博士のこの詞に信を置くのである。"
"87","mori","satoimono_me.txt","博士は再び無邪気らしい、短い笑声を洩して語り続けた。"
"88","mori","satoimono_me.txt",""
"89","mori","satoimono_me.txt","「あればかりではないよ。"
"90","mori","satoimono_me.txt","己の処へは己の思付を貰いに来る奴が沢山あるのだ。"
"91","mori","satoimono_me.txt","むつかしく云えば落想とでも云うのかなあ。"
"92","mori","satoimono_me.txt","独逸語なら Einfaelle ※とでも云うのだろう。"
"93","mori","satoimono_me.txt","しかし己は嘘は言わないから、誰も落ち込みはしない。"
"94","mori","satoimono_me.txt","己は遣って来る人の性質や伎倆や境遇を見て、その人に出来そうな為事を授けるのだ。"
"95","mori","satoimono_me.txt","それで成功したものが、これまでに随分あるよ。"
"96","mori","satoimono_me.txt","妻がいつも傍で聞いていてそういうのだ。"
"97","mori","satoimono_me.txt","あなたそんなにお金になるような事を沢山知っていらっしゃるなら、御自分で少しして御覧なすってはどうですと云うのだ。"
"98","mori","satoimono_me.txt","女なんというものは馬鹿なものだ。"
"99","mori","satoimono_me.txt","なんでも余所でする事を好い事だと思っている。"
"100","mori","satoimono_me.txt","己には己の為事がある。"
"101","mori","satoimono_me.txt","己なんぞは会社の為事をして給料を貰っていりゃあ好いのだ。"
"102","mori","satoimono_me.txt","為事は一つありゃあ好いのだ。"
"103","mori","satoimono_me.txt","思付なんぞはいくらでもあるから、片っ端から人にくれて遣る。"
"104","mori","satoimono_me.txt","それを一つ掴まえて為事にする奴が成功するのだ。"
"105","mori","satoimono_me.txt","中には己の思付で己より沢山金をこしらえるものもある。"
"106","mori","satoimono_me.txt","金が何だ。"
"107","mori","satoimono_me.txt","金くらい詰まらないものが、世の中にありゃあしねえ。"
"108","mori","satoimono_me.txt","」"
"109","mori","satoimono_me.txt","博士はそろそろ巻舌になって来た。"
"110","mori","satoimono_me.txt","博士は純粋の江戸子で、何か話をして興に乗じて来ると、巻舌になって来る。"
"111","mori","satoimono_me.txt","これが平生寡言沈黙の人たる博士が、天賦の雄弁を発揮する時である。"
"112","mori","satoimono_me.txt","そして博士に親しい人々、今夜この席に居残っているような人々は、いつもこういう時の来るのを楽み待っているのである。"
"113","mori","satoimono_me.txt",""
"114","mori","satoimono_me.txt","博士は虚になった杯を、黙って児髷の子の前に出して酒を注がせて、一口飲んで語り続けた。"
"115","mori","satoimono_me.txt",""
"116","mori","satoimono_me.txt","「金が何だ。"
"117","mori","satoimono_me.txt","会社は事業をするために金がいる。"
"118","mori","satoimono_me.txt","己はいらねえ。"
"119","mori","satoimono_me.txt","己達夫婦が飯を食って、餓鬼｜共の学校へ行く銭が出せれば好い。"
"120","mori","satoimono_me.txt","金を溜めるようなしみったれは江戸子じゃあねえ。"
"121","mori","satoimono_me.txt","」"
