"","auth","piece","line"
"0","mori","seinen.txt","青年"
"1","mori","seinen.txt","森鴎外"
"2","mori","seinen.txt",""
"3","mori","seinen.txt","-------------------------------------------------------"
"4","mori","seinen.txt","【テキスト中に現れる記号について】"
"5","mori","seinen.txt",""
"6","mori","seinen.txt","《》：ルビ"
"7","mori","seinen.txt","（例）芝日蔭町"
"8","mori","seinen.txt",""
"9","mori","seinen.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","seinen.txt","（例）新橋｜停留場"
"11","mori","seinen.txt",""
"12","mori","seinen.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","seinen.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"14","mori","seinen.txt","（例）※"
"15","mori","seinen.txt",""
"16","mori","seinen.txt","〔〕：アクセント分解された欧文をかこむ"
"17","mori","seinen.txt","（例）〔Bohe`me〕"
"18","mori","seinen.txt","アクセント分解についての詳細は下記URLを参照してください"
"19","mori","seinen.txt","http://www.aozora.gr.jp/accent_separation.html"
"20","mori","seinen.txt","-------------------------------------------------------"
"21","mori","seinen.txt",""
"22","mori","seinen.txt","壱"
"23","mori","seinen.txt",""
"24","mori","seinen.txt","小泉純一は芝日蔭町の宿屋を出て、東京方眼図を片手に人にうるさく問うて、新橋｜停留場から上野行の電車に乗った。"
"25","mori","seinen.txt","目まぐろしい須田町の乗換も無事に済んだ。"
"26","mori","seinen.txt","さて本郷三丁目で電車を降りて、追分から高等学校に附いて右に曲がって、根津権現の表坂上にある袖浦館という下宿屋の前に到着したのは、十月二十何日かの午前八時であった。"
"27","mori","seinen.txt",""
"28","mori","seinen.txt","此処は道が丁字路になっている。"
"29","mori","seinen.txt","権現前から登って来る道が、自分の辿って来た道を鉛直に切る処に袖浦館はある。"
"30","mori","seinen.txt","木材にペンキを塗った、マッチの箱のような擬西洋造である。"
"31","mori","seinen.txt","入口の鴨居の上に、木札が沢山並べて嵌めてある。"
"32","mori","seinen.txt","それに下宿人の姓名が書いてある。"
"33","mori","seinen.txt",""
"34","mori","seinen.txt","純一は立ち留まって名前を読んで見た。"
"35","mori","seinen.txt","自分の捜す大石｜狷太郎という名は上から二三人目に書いてあるので、すぐに見附かった。"
"36","mori","seinen.txt","赤い襷を十文字に掛けて、上り口の板縁に雑巾を掛けている十五六の女中が雑巾の手を留めて、「どなたの所へいらっしゃるの」と問うた。"
"37","mori","seinen.txt",""
"38","mori","seinen.txt","「大石さんにお目に掛りたいのだが」"
"39","mori","seinen.txt","田舎から出て来た純一は、小説で読み覚えた東京｜詞を使うのである。"
"40","mori","seinen.txt","丁度｜不慣な外国語を使うように、一語一語考えて見て口に出すのである。"
"41","mori","seinen.txt","そしてこの返事の無難に出来たのが、心中で嬉しかった。"
"42","mori","seinen.txt",""
"43","mori","seinen.txt","雑巾を掴んで突っ立った、ませた、おちゃっぴいな小女の目に映じたのは、色の白い、卵から孵ったばかりの雛のような目をしている青年である。"
"44","mori","seinen.txt","薩摩絣の袷に小倉の袴を穿いて、同じ絣の袷羽織を着ている。"
"45","mori","seinen.txt","被物は柔かい茶褐の帽子で、足には紺足袋に薩摩下駄を引っ掛けている。"
"46","mori","seinen.txt","当前の書生の風俗ではあるが、何から何まで新しい。"
"47","mori","seinen.txt","これで昨夕始めて新橋に着いた田舎者とは誰にも見えない。"
"48","mori","seinen.txt","小女は親しげに純一を見て、こう云った。"
"49","mori","seinen.txt",""
"50","mori","seinen.txt","「大石さんの所へいらっしったの。"
"51","mori","seinen.txt","あなた今時分いらっしったって駄目よ。"
