"","auth","piece","line"
"0","mori","sekaiman'yu.txt","世界漫遊"
"1","mori","sekaiman'yu.txt","ダウィットJacob Julius David"
"2","mori","sekaiman'yu.txt","森鴎外訳"
"3","mori","sekaiman'yu.txt",""
"4","mori","sekaiman'yu.txt","-------------------------------------------------------"
"5","mori","sekaiman'yu.txt","【テキスト中に現れる記号について】"
"6","mori","sekaiman'yu.txt",""
"7","mori","sekaiman'yu.txt","《》：ルビ"
"8","mori","sekaiman'yu.txt","（例）頗る"
"9","mori","sekaiman'yu.txt",""
"10","mori","sekaiman'yu.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","mori","sekaiman'yu.txt","（例）時｜心"
"12","mori","sekaiman'yu.txt",""
"13","mori","sekaiman'yu.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","mori","sekaiman'yu.txt","（数字は、JIS X 0213の面区点番号またはUnicode、底本のページと行数）"
"15","mori","sekaiman'yu.txt","（例）※"
"16","mori","sekaiman'yu.txt","-------------------------------------------------------"
"17","mori","sekaiman'yu.txt",""
"18","mori","sekaiman'yu.txt","ウィインで頗る勢力のある一大銀行に、先ずいてもいなくても差支のない小役人があった。"
"19","mori","sekaiman'yu.txt","名をチルナウエルと云う小男である。"
"20","mori","sekaiman'yu.txt","いてもいなくても好いにしても、兎に角あの大銀行の役をしているだけでも名誉には違いない。"
"21","mori","sekaiman'yu.txt",""
"22","mori","sekaiman'yu.txt","この都に大勢いる銀行員と云うものの中で、この男には何の特色もない。"
"23","mori","sekaiman'yu.txt","風采はかなりで、極力身なりに気を附けている。"
"24","mori","sekaiman'yu.txt","そして文士の出入する珈琲店に行く。"
"25","mori","sekaiman'yu.txt",""
"26","mori","sekaiman'yu.txt","そこへ行けば、精神上の修養を心掛けていると云う評を受ける。"
"27","mori","sekaiman'yu.txt","こう云う評は損にはならない。"
"28","mori","sekaiman'yu.txt","そこには最新の出来事を知っていて、それを伝播させる新聞記者が大勢来るから、噂評判の源にいるようなものである。"
"29","mori","sekaiman'yu.txt","その噂評判を知ることも、先ず益があって損のない事である。"
"30","mori","sekaiman'yu.txt",""
"31","mori","sekaiman'yu.txt","この店に這入って据わると、誰でも自分の前に、新聞を山のように積み上げられる。"
"32","mori","sekaiman'yu.txt","チルナウエルもその新聞の山の蔭に座を占めていて、隣の卓でする話を、一言も聞き漏さないように、気を附けている。"
"33","mori","sekaiman'yu.txt","中には内で十分腹案をして置いて、この席で「洒落」の広めをする人がある。"
"34","mori","sekaiman'yu.txt","それをも聞き漏さない。"
"35","mori","sekaiman'yu.txt","そんな時｜心から笑う。"
"36","mori","sekaiman'yu.txt","それで定連に可哀がられている。"
"37","mori","sekaiman'yu.txt","こう云う社会では「話を受ける」人物もいなくてはならないのである。"
"38","mori","sekaiman'yu.txt",""
"39","mori","sekaiman'yu.txt","こんな風で何年か立った。"
"40","mori","sekaiman'yu.txt",""
"41","mori","sekaiman'yu.txt","そのうちある時、いつも話の受け手にばかりなっていた、このチルナウエルが忽ち話題になった。"
"42","mori","sekaiman'yu.txt","多分当人も生涯この事件を唯一の話の種にすることであろう。"
"43","mori","sekaiman'yu.txt","それをなんだと云うと、この男は世界を一周した。"
"44","mori","sekaiman'yu.txt","そこで珍らしい人物ばかり来るこの店でさえ、珍らしい人物として扱われるようになったのである。"
"45","mori","sekaiman'yu.txt","この男がその壮遊をしたのは、富籤に当ったのではない。"
"46","mori","sekaiman'yu.txt","また研究心に促されて起ったのでもない。"
"47","mori","sekaiman'yu.txt","この店の給仕頭は多年文士に交際しているので、人物の鑑識が上手になって、まだ鬚の生えない高等学校の生徒を相して、「あなたはきっと晩年のギョオテのような爛熟した作をお出しになる」なんぞと云うのだが、この給仕頭の炬の如き眼光を以て見ても、チルナウエルを研究家だとすることは出来なかったのである。"
"48","mori","sekaiman'yu.txt","それから銀行であるが、なるほどウィインの銀行は、いてもいなくても好い役人位は置く。"
"49","mori","sekaiman'yu.txt","しかしそれに世界を漫遊させる程、おうような評議会を持っている銀行は、先ずウィインにも無い。"
"50","mori","sekaiman'yu.txt",""
"51","mori","sekaiman'yu.txt","＊＊＊"
"52","mori","sekaiman'yu.txt","文士珈琲店の客は皆知り合いである。"
"53","mori","sekaiman'yu.txt","その中に折々来る貴族が二人あった。"
"54","mori","sekaiman'yu.txt","それが来るのを、定連は名誉としている。"
"55","mori","sekaiman'yu.txt","二人共陸軍騎兵中尉で、一人は竜騎兵、一人は旆騎兵に属している。"
"56","mori","sekaiman'yu.txt",""
"57","mori","sekaiman'yu.txt","中にもどこへ顔を出しても、人の注意を惹くのは、竜騎兵中尉の方である。"
"58","mori","sekaiman'yu.txt","画にあるような美男子である。"
"59","mori","sekaiman'yu.txt","人を眩するような、生々とした気力を持っている。"
"60","mori","sekaiman'yu.txt","馬鹿ではない。"
"61","mori","sekaiman'yu.txt","ただ話し振りなどがひどくじだらくである。"
"62","mori","sekaiman'yu.txt","何をするにも、努力とか勉強とか云うことをしたことがない。"
"63","mori","sekaiman'yu.txt","そのくせ人に取り入ろうと思うと、きっと取り入る。"
"64","mori","sekaiman'yu.txt","決して失敗したことがない。"
"65","mori","sekaiman'yu.txt",""
"66","mori","sekaiman'yu.txt","この二人は大抵｜極まった隅の卓に据わる。"
"67","mori","sekaiman'yu.txt","そしてコニャックを飲む。"
"68","mori","sekaiman'yu.txt","往来を眺める。"
"69","mori","sekaiman'yu.txt","格別物を考えはしない。"
"70","mori","sekaiman'yu.txt",""
"71","mori","sekaiman'yu.txt","用事があってこの店へ来ることはない。"
"72","mori","sekaiman'yu.txt","金貸しには交際があるが、それはこの店を禁物にしていて近寄らない。"
"73","mori","sekaiman'yu.txt","さて文士連と何の触接点があるかと云うと、当時流行のある女優を、文士連も崇拝しているし、中尉達も崇拝しているに過ぎない。"
"74","mori","sekaiman'yu.txt","中尉達の方では、それに金を掛けているだけが違う。"
"75","mori","sekaiman'yu.txt","それでも竜騎兵中尉は折々文士のいる卓に来て、余り気も附けずに話を聞いて、微笑して、コニャックをもう一杯｜呑んで帰ることがある。"
"76","mori","sekaiman'yu.txt",""
"77","mori","sekaiman'yu.txt","これが銀行員チルナウエルの大事件に出逢う因縁になったのである。"
"78","mori","sekaiman'yu.txt","チルナウエルはいつか文士｜卓の隅に据わることを許されていたのである。"
"79","mori","sekaiman'yu.txt",""
"80","mori","sekaiman'yu.txt","＊＊＊"
"81","mori","sekaiman'yu.txt","ある日の事であった。"
"82","mori","sekaiman'yu.txt","まだ時間は早い。"
"83","mori","sekaiman'yu.txt","文士卓にはもう大勢｜団欒をしていて、隅の方には銀行員チルナウエルもいた。"
"84","mori","sekaiman'yu.txt","そこへ竜騎兵中尉が這入って来て、平生の無頓着な、傲慢な調子でこう云った。"
"85","mori","sekaiman'yu.txt",""
"86","mori","sekaiman'yu.txt","「諸君のうちで誰か世界を一周して来る気はありませんか。"
"87","mori","sekaiman'yu.txt","」"
"88","mori","sekaiman'yu.txt","ただこれだけで、跡はなんにも言わない。"
"89","mori","sekaiman'yu.txt","青天の霹靂である。"
"90","mori","sekaiman'yu.txt","一同｜暫くは茫然としていた。"
"91","mori","sekaiman'yu.txt","笑談だろうか。"
"92","mori","sekaiman'yu.txt","この貴族先生の顔色を見るに、そうは受け取れない。"
"93","mori","sekaiman'yu.txt","世界を一周する。"
"94","mori","sekaiman'yu.txt","誰一人それを望まないものはない。"
"95","mori","sekaiman'yu.txt","しかしどんな条件があるのだろうと、誰も猶予する。"
"96","mori","sekaiman'yu.txt",""
"97","mori","sekaiman'yu.txt","「僕がしましょう。"
"98","mori","sekaiman'yu.txt","」興奮の余りに、上わ調子になった声で、チルナウエルが叫んだ。"
"99","mori","sekaiman'yu.txt",""
"100","mori","sekaiman'yu.txt","「その日数だけ休暇が貰えるかね。"
"101","mori","sekaiman'yu.txt","半年は掛かるよ。"
"102","mori","sekaiman'yu.txt","」中尉はこう云って、小さい銀行員を、頭から足まで見卸した。"
"103","mori","sekaiman'yu.txt",""
"104","mori","sekaiman'yu.txt","「ええ。"
"105","mori","sekaiman'yu.txt","僕がいないと、銀行で差支えるのですが、どうにかして貰えないことはなかろうと思います。"
"106","mori","sekaiman'yu.txt","」実はこれ程容易な事はない。"
"107","mori","sekaiman'yu.txt","自分がいなくても好いことは、自分が一番好く知っているのである。"
"108","mori","sekaiman'yu.txt",""
"109","mori","sekaiman'yu.txt","「宜しい。"
