"","auth","piece","line"
"0","mori","sentsuamani.txt","センツアマニ"
"1","mori","sentsuamani.txt","FAMILIE OHNEHAND"
"2","mori","sentsuamani.txt","マクシム・ゴルキイMaksim Gorkii"
"3","mori","sentsuamani.txt","森林太郎訳"
"4","mori","sentsuamani.txt",""
"5","mori","sentsuamani.txt","-------------------------------------------------------"
"6","mori","sentsuamani.txt","【テキスト中に現れる記号について】"
"7","mori","sentsuamani.txt",""
"8","mori","sentsuamani.txt","《》：ルビ"
"9","mori","sentsuamani.txt","（例）黄金色"
"10","mori","sentsuamani.txt",""
"11","mori","sentsuamani.txt","｜：ルビの付く文字列の始まりを特定する記号"
"12","mori","sentsuamani.txt","（例）丈｜魚の鱗を"
"13","mori","sentsuamani.txt",""
"14","mori","sentsuamani.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"15","mori","sentsuamani.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"16","mori","sentsuamani.txt","（例）疲※"
"17","mori","sentsuamani.txt",""
"18","mori","sentsuamani.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"19","mori","sentsuamani.txt","（例）ごろ／＼"
"20","mori","sentsuamani.txt","-------------------------------------------------------"
"21","mori","sentsuamani.txt",""
"22","mori","sentsuamani.txt","島は深い沈黙の中に眠つてゐる。"
"23","mori","sentsuamani.txt","海も死んでゐるかと思はれるやうに眠つてゐる。"
"24","mori","sentsuamani.txt","秘密な有力者が強い臂を揮つて、この怪しげな形をした黒い岩を、天から海へ投げ落して、その岩の中に潜んでゐた性命を、その時殺してしまつたのである。"
"25","mori","sentsuamani.txt",""
"26","mori","sentsuamani.txt","遠くから此島を見れば妙な形をしてゐる。"
"27","mori","sentsuamani.txt","遠くからと云ふのは、天の川の黄金色をした帯が黒い海水に接した所から見るのである。"
"28","mori","sentsuamani.txt","そこから見れば、此島は額の広い獣のやうである。"
"29","mori","sentsuamani.txt","獣は曲つた毛むくじやらな背をしてゐる。"
"30","mori","sentsuamani.txt","それが恐ろしい顎を海にぺたりと漬けて、音も立てずに油のやうに凝つた水を啜つてゐるかと思はれる。"
"31","mori","sentsuamani.txt",""
"32","mori","sentsuamani.txt","十二月になつてからは、今宵のやうな、死に切つた静けさの闇夜が、カプリの島に度々ある。"
"33","mori","sentsuamani.txt","いかにも不思議な静けさなので、誰でも物を言ふに中音で言ふか囁くかせずにはゐられない。"
"34","mori","sentsuamani.txt","若し大きい声をしたら、この天鵝絨のやうな青い夜の空の下で、石の如き沈黙を守つて、そつと傍観してゐる何物かの邪魔をすることにならうかと憚るのである。"
"35","mori","sentsuamani.txt",""
"36","mori","sentsuamani.txt","だから今島の浪打際の、石のごろ／＼した中にすわつてゐる二人も中音で話をしてゐる。"
"37","mori","sentsuamani.txt","一人は税務署附の兵卒である。"
"38","mori","sentsuamani.txt","黄いろい縁を取つた黒のジヤケツを着て、背に小銃を負つてゐる。"
"39","mori","sentsuamani.txt","此男は岩の窪みに溜まる塩を、百姓や漁師の取らぬやうに見張るのである。"
"40","mori","sentsuamani.txt","今一人は漁師である。"
"41","mori","sentsuamani.txt","色が黒くて、耳から鼻へ掛けて銀色の頬髯が生えてゐる。"
"42","mori","sentsuamani.txt","鼻は大きくて、鸚鵡の嘴のやうに曲つてゐる。"
"43","mori","sentsuamani.txt",""
"44","mori","sentsuamani.txt","岩は銀象嵌をしたやうである。"
"45","mori","sentsuamani.txt","併しその白い金質は潮に触れて酸化してゐる。"
"46","mori","sentsuamani.txt",""
"47","mori","sentsuamani.txt","役人はまだ年が若い。"
"48","mori","sentsuamani.txt","年齢相応な、口から出任せの事を言つてゐる。"
"49","mori","sentsuamani.txt","老人は不精々々に返事をしてゐる。"
"50","mori","sentsuamani.txt","折々は不機嫌な詞も交る。"
"51","mori","sentsuamani.txt",""
"52","mori","sentsuamani.txt","「十二月になつて色をする奴があるかい。"
"53","mori","sentsuamani.txt","もう子供の生れる時ぢやないか。"
"54","mori","sentsuamani.txt","」"
"55","mori","sentsuamani.txt","「さう云つたつて、年の若いうちは、どうも待たれないからね。"
"56","mori","sentsuamani.txt","」"
"57","mori","sentsuamani.txt","「それは待たなくてはならないのだ。"
"58","mori","sentsuamani.txt","」"
"59","mori","sentsuamani.txt","「お前さんなんぞは待つたかね。"
"60","mori","sentsuamani.txt","」"
