"","auth","piece","line"
"0","mori","shi.txt","死"
"1","mori","shi.txt","アルチバシェッフ・ミハイル・ペトローヴィチArtsybashev Mikhail Petrovich"
"2","mori","shi.txt","森林太郎訳"
"3","mori","shi.txt",""
"4","mori","shi.txt","-------------------------------------------------------"
"5","mori","shi.txt","【テキスト中に現れる記号について】"
"6","mori","shi.txt",""
"7","mori","shi.txt","《》：ルビ"
"8","mori","shi.txt","（例）本町"
"9","mori","shi.txt",""
"10","mori","shi.txt","｜：ルビの付く文字列の始まりを特定する記号"
"11","mori","shi.txt","（例）一寸｜嚇して"
"12","mori","shi.txt",""
"13","mori","shi.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"14","mori","shi.txt","（数字は、JIS X 0213の面区点番号、または底本のページと行数）"
"15","mori","shi.txt","（例）※いて"
"16","mori","shi.txt",""
"17","mori","shi.txt","／＼：二倍の踊り字（「く」を縦に長くしたような形の繰り返し記号）"
"18","mori","shi.txt","（例）ぴか／＼"
"19","mori","shi.txt","-------------------------------------------------------"
"20","mori","shi.txt",""
"21","mori","shi.txt","医学士ウラヂミル・イワノヰツチユ・ソロドフニコフは毎晩六時に、病用さへなければ、本町へ散歩に行くことにしてゐた。"
"22","mori","shi.txt","大抵本町で誰か知る人に逢つて、一しよに往つたり来たりして、それから倶楽部へ行つて、新聞を読んだり、玉を突いたりするのである。"
"23","mori","shi.txt",""
"24","mori","shi.txt","然るに或日天気が悪かつた。"
"25","mori","shi.txt","早朝から濃い灰色の雲が空を蔽つてゐて、空気が湿つぽく、風が吹いてゐる。"
"26","mori","shi.txt","本町に出て見たが、巡査がぢつとして立つてゐる外に、人が一人もゐない。"
"27","mori","shi.txt",""
"28","mori","shi.txt","ソロドフニコフは本町の詰まで行つて、踵を旋らして、これからすぐに倶楽部へ行かうと思つた。"
"29","mori","shi.txt","その時誰やら向うから来た。"
"30","mori","shi.txt","それを見ると、知つた人で、歩兵見習士官ゴロロボフといふ人であつた。"
"31","mori","shi.txt","此人の癖で、いつものわざとらしい早足で、肩に綿の入れてある服の肩を怒らせて、矢張胸に綿の入れてある服の胸を張つて、元気好く漆沓の足を踏み締めて、ぬかるみ道を歩いてゐる。"
"32","mori","shi.txt",""
"33","mori","shi.txt","見習士官が丁度自分の前へ来たとき、ソロドフニコフが云つた。"
"34","mori","shi.txt","「いや。"
"35","mori","shi.txt","相変らずお元気ですな。"
"36","mori","shi.txt","」"
"37","mori","shi.txt","ゴロロボフは丁寧に会釈をして、右の手の指を小さい帽の庇に当てた。"
"38","mori","shi.txt",""
"39","mori","shi.txt","ソロドフニコフは只何か言はうといふ丈の心持で云つた。"
"40","mori","shi.txt","「どこへ行くのですか。"
"41","mori","shi.txt","」"
"42","mori","shi.txt","見習士官は矢張丁寧に、「内へ帰ります」と答へた。"
"43","mori","shi.txt",""
"44","mori","shi.txt","ソロドフニコフは「さうですか」と云つた。"
"45","mori","shi.txt",""
"46","mori","shi.txt","見習士官は前に立ち留まつて待つてゐる。"
"47","mori","shi.txt","ソロドフニコフは何と云つて好いか分からなくなつた。"
"48","mori","shi.txt","一体此見習士官をば余り好く知つてゐるのではない。"
"49","mori","shi.txt","これ迄「どうですか」とか、「さやうなら」とかしか云ひ交はしたことはない。"
"50","mori","shi.txt","それだから、ソロドフニコフの為めには、先方の賢不肖なんぞは分かる筈がないのに、只なんとなく馬鹿で、時代後れな奴だらうと思つてゐる。"
"51","mori","shi.txt","それだから、これが外の時で、誰か知つた人が本町を通つてゐたら、此見習士官に彼此云つてゐるのではないのである。"
"52","mori","shi.txt",""
"53","mori","shi.txt","ソロドフニコフは「さうですか、ゆつくり御休息なさい」と親切らしい、しかも目下に言ふやうな調子で云つた。"
"54","mori","shi.txt","言つて見れば、ずつと低いものではあるが、自分の立派な地位から、相当の軽い扱をせずに、親切にして遣るといふやうな風である。"
"55","mori","shi.txt","そして握手した。"
"56","mori","shi.txt",""
"57","mori","shi.txt","ソロドフニコフは倶楽部に行つて、玉を三度突いて、麦酒を三本勝つて取つて、半分以上飲んだ。"
"58","mori","shi.txt","それから閲覧室に這入つて、保守党の新聞と自由党の新聞とを、同じやうに気を附けて見た。"
"59","mori","shi.txt","知合の女客に物を言つて、居合せた三人の官吏と一寸話をした。"
"60","mori","shi.txt","その官吏をソロドフニコフは馬鹿な、可笑しい、時代後れな男達だと思つてゐるのである。"
"61","mori","shi.txt","なぜさう思ふかといふに、只官吏だからと云ふに過ぎない。"
"62","mori","shi.txt","それから物売場へ行つて物を食つて、コニヤツクを四杯飲んだ。"
"63","mori","shi.txt","総てこんな事は皆退屈に思はれた。"
"64","mori","shi.txt","それで十時に倶楽部を出て帰り掛けた。"
"65","mori","shi.txt",""
"66","mori","shi.txt","曲り角から三軒目の家を見ると、入口がパン屋の店になつてゐる奥の方の窓から、燈火の光が差して、その光が筋のやうになつてゐる処丈、雨垂がぴか／＼光つてゐる。"
"67","mori","shi.txt","その時学士はふいと先きに出逢つた見習士官が此家に住まつてゐるといふことを思ひ出した。"
"68","mori","shi.txt",""
"69","mori","shi.txt","ソロドフニコフは窓の前に立ち留まつて、中を見込むと、果して見習士官が見えた。"
"70","mori","shi.txt","丁度窓に向き合つた処にゴロロボフは顔を下に向けて、ぢつとして据わつてゐる。"
"71","mori","shi.txt","退屈まぎれに、一寸｜嚇して遣らうと思つて、杖の尖で窓をこつ／＼敲いた。"
"72","mori","shi.txt",""
"73","mori","shi.txt","見習士官はすぐに頭を挙げた。"
"74","mori","shi.txt","明るいランプの光が顔へまともに差した。"
"75","mori","shi.txt","ソロドフニコフはこの時始て此男の顔を精しく見た。"
"76","mori","shi.txt","此男はまだひどく若い。"
"77","mori","shi.txt","殆ど童子だと云つても好い位である。"
"78","mori","shi.txt","鼻の下にも頬にも鬚が少しもない。"
"79","mori","shi.txt","面皰だらけの太つた顔に、小さい水色の目が附いてゐる。"
"80","mori","shi.txt","睫も眉も黄色である。"
"81","mori","shi.txt","頭の髪は短く刈つてある。"
"82","mori","shi.txt","色の蒼い顔がちつともえらさうにない。"
"83","mori","shi.txt",""
"84","mori","shi.txt","ゴロロボフは窓の外に立つてゐる医学士を見て、すぐに誰だといふことが分かつたといふ様子で、立ち上がつた。"
"85","mori","shi.txt","嚇かしたので、学士は満足して、一寸｜腮で会釈をして笑つて帰らうと思つた。"
"86","mori","shi.txt","ところが、ゴロロボフの方で先きへ会釈をして、愛想好く笑つて、その儘部屋の奥の方へ行つてしまつた。"
"87","mori","shi.txt","戸口の方へ行つたのらしい。"
"88","mori","shi.txt",""
"89","mori","shi.txt","「はてな。"
"90","mori","shi.txt","己を呼び入れようとするのかな」と思ひながら、ソロドフニコフは立ち留まつた。"
"91","mori","shi.txt","その儘行つてしまふが好いか、それとも待つてゐるが好いかと、判断に困つた。"
"92","mori","shi.txt",""
"93","mori","shi.txt","パン屋の店の処の入口の戸が開いた。"
"94","mori","shi.txt","そして真黒い長方形の戸の枠からゴロロボフの声がした。"
"95","mori","shi.txt",""
"96","mori","shi.txt","「先生。"
"97","mori","shi.txt","あなたですか。"
"98","mori","shi.txt","」"
"99","mori","shi.txt","ソロドフニコフはまだどうしようとも決心が附かずにゐた。"
"100","mori","shi.txt","そこでためらひながら戸口に歩み寄つた。"
"101","mori","shi.txt","闇の中に立つてゐるゴロロボフは学士と握手をして、そして自分は腋へ寄つて、学士を通さうとした。"
"102","mori","shi.txt",""
"103","mori","shi.txt","「いやはや、飛んだ事になつた。"
"104","mori","shi.txt","とう／＼なんの用事もないに、人の内へ案内せられることになつた」と、学士は腹の中で思つて、そこらに置いてある空き箱やなんぞにぶつ附かりながら、這入つて行く。"
"105","mori","shi.txt",""
