"","auth","piece","line"
"0","mori","shinyaku_genji_jyo_mori.txt","『新訳源氏物語』初版の序"
"1","mori","shinyaku_genji_jyo_mori.txt","森林太郎"
"2","mori","shinyaku_genji_jyo_mori.txt",""
"3","mori","shinyaku_genji_jyo_mori.txt","-------------------------------------------------------"
"4","mori","shinyaku_genji_jyo_mori.txt","【テキスト中に現れる記号について】"
"5","mori","shinyaku_genji_jyo_mori.txt",""
"6","mori","shinyaku_genji_jyo_mori.txt","《》：ルビ"
"7","mori","shinyaku_genji_jyo_mori.txt","（例）精しく"
"8","mori","shinyaku_genji_jyo_mori.txt",""
"9","mori","shinyaku_genji_jyo_mori.txt","｜：ルビの付く文字列の始まりを特定する記号"
"10","mori","shinyaku_genji_jyo_mori.txt","（例）故人｜松波資之さん"
"11","mori","shinyaku_genji_jyo_mori.txt",""
"12","mori","shinyaku_genji_jyo_mori.txt","：入力者注主に外字の説明や、傍点の位置の指定"
"13","mori","shinyaku_genji_jyo_mori.txt","（例）"
"14","mori","shinyaku_genji_jyo_mori.txt",""
"15","mori","shinyaku_genji_jyo_mori.txt","〔〕：アクセント分解された欧文をかこむ"
"16","mori","shinyaku_genji_jyo_mori.txt","（例）源氏物語が 〔Conge'nial〕 な人の手で"
"17","mori","shinyaku_genji_jyo_mori.txt","アクセント分解についての詳細は下記URLを参照してください"
"18","mori","shinyaku_genji_jyo_mori.txt","http://aozora.gr.jp/accent_separation.html"
"19","mori","shinyaku_genji_jyo_mori.txt","-------------------------------------------------------"
"20","mori","shinyaku_genji_jyo_mori.txt",""
"21","mori","shinyaku_genji_jyo_mori.txt","源氏物語を現代の口語に訳する必要がありましょうか。"
"22","mori","shinyaku_genji_jyo_mori.txt","この問題を解決しようと試みることは、この本の序文として適当だろうかと思われます。"
"23","mori","shinyaku_genji_jyo_mori.txt",""
"24","mori","shinyaku_genji_jyo_mori.txt","単に必要があるかと申しますのは、精しくいえば、時代がそれを要求するかということになりましょう。"
"25","mori","shinyaku_genji_jyo_mori.txt","それは迂濶なわたくしに取っては、難問題でございます。"
"26","mori","shinyaku_genji_jyo_mori.txt",""
"27","mori","shinyaku_genji_jyo_mori.txt","わたくしはそれを避けて、必要か不必要かという問題を、わたくしの歯の立つ方角に持って行きたいと思います。"
"28","mori","shinyaku_genji_jyo_mori.txt","どういう方角かというに、わたくしは問題をわたくし個人の上に移してしまいたいのでございます。"
"29","mori","shinyaku_genji_jyo_mori.txt",""
"30","mori","shinyaku_genji_jyo_mori.txt","現在の口語に訳した源氏物語がほしいかと、わたくしが問われることになりますと、わたくしは躊躇せずに、ほしいと申します。"
"31","mori","shinyaku_genji_jyo_mori.txt","わたくしはこの物語の訳本を切に要求いたしております。"
"32","mori","shinyaku_genji_jyo_mori.txt",""
"33","mori","shinyaku_genji_jyo_mori.txt","日本支那の古い文献やら、擬古文で書いた近世人の著述やらが、この頃沢山に翻訳せられます。"
"34","mori","shinyaku_genji_jyo_mori.txt","どれもどれも時代が要求しているのかも知れませんが、わたくしのほしいと思う本は、その中に余り多くないのでございます。"
"35","mori","shinyaku_genji_jyo_mori.txt","中には近世人の書いた、平易な漢文を訳した本なんぞは、わたくしは少しもほしく思いません。"
"36","mori","shinyaku_genji_jyo_mori.txt",""
"37","mori","shinyaku_genji_jyo_mori.txt","わたくしのほしいのは、古事記のような、ごく古い国文の訳本でございます。"
"38","mori","shinyaku_genji_jyo_mori.txt","それからやや降って物語類の中では、源氏物語の訳本が一番ほしゅうございます。"
"39","mori","shinyaku_genji_jyo_mori.txt",""
"40","mori","shinyaku_genji_jyo_mori.txt","しかしそのわたくしのほしがる訳本というのは、ただ現代語に訳してあるだけで好いと申すのではございません。"
"41","mori","shinyaku_genji_jyo_mori.txt","わたくしはあまやかされている子供のような性質で、ほしいといっていた物を貰っても、その品の好悪次第で、容易に満足しないのでございます。"
"42","mori","shinyaku_genji_jyo_mori.txt",""
"43","mori","shinyaku_genji_jyo_mori.txt","そのわたくしでもこの本には満足せずにはいられません。"
"44","mori","shinyaku_genji_jyo_mori.txt","なぜと申しますに、源氏物語を翻訳するに適した人を、わたくし共の同世の人の間に求めますれば、与謝野晶子さんに増す人はあるまいと思いますからでございます。"
"45","mori","shinyaku_genji_jyo_mori.txt","源氏物語が 〔Conge'nial〕 な人の手で訳せられたのだと思いますからでございます。"
"46","mori","shinyaku_genji_jyo_mori.txt",""
"47","mori","shinyaku_genji_jyo_mori.txt","こういう意味で、わたくし個人としての立場からは、現代語の源氏物語を要求しています。"
"48","mori","shinyaku_genji_jyo_mori.txt","そしてその要求がこの本で十分に充たされたのでございます。"
"49","mori","shinyaku_genji_jyo_mori.txt",""
"50","mori","shinyaku_genji_jyo_mori.txt","最後にわたくしは、なぜこの物語類の中で、特に源氏物語を訳して貰いたかったかというわけを一言申し添えたいのでございます。"
"51","mori","shinyaku_genji_jyo_mori.txt",""
"52","mori","shinyaku_genji_jyo_mori.txt","わたくしは源氏物語を読むたびに、いつも或る抗抵に打ち勝った上でなくては、詞から意に達することが出来ないように感じます。"
"53","mori","shinyaku_genji_jyo_mori.txt","そしてそれが単に現代語でないからだというだけではないのでございます。"
"54","mori","shinyaku_genji_jyo_mori.txt","或る時故人｜松波資之さんにこのことを話しました。"
"55","mori","shinyaku_genji_jyo_mori.txt","そうすると松波さんが、源氏物語は悪文だといわれました。"
"56","mori","shinyaku_genji_jyo_mori.txt","随分皮肉なこともいうお爺さんでございましたから、この詞を余り正直に聞いて、源氏物語の文章を謗られたのだと解すべきではございますまい。"
"57","mori","shinyaku_genji_jyo_mori.txt","しかし源氏物語の文章は、詞の新古は別としても、とにかく読みやすい文章ではないらしゅう思われます。"
"58","mori","shinyaku_genji_jyo_mori.txt",""
"59","mori","shinyaku_genji_jyo_mori.txt","そうして見ますれば、特に源氏物語の訳本がほしいと思っていたわたくし、今晶子さんのこの本を獲て嬉しがるわたくしと同感だという人も、世間に少なくないかも知れません。"
"60","mori","shinyaku_genji_jyo_mori.txt",""
"61","mori","shinyaku_genji_jyo_mori.txt",""
"62","mori","shinyaku_genji_jyo_mori.txt","明治四十五年一月"
"63","mori","shinyaku_genji_jyo_mori.txt",""
"64","mori","shinyaku_genji_jyo_mori.txt","森林太郎"
"65","mori","shinyaku_genji_jyo_mori.txt",""
"66","mori","shinyaku_genji_jyo_mori.txt",""
"67","mori","shinyaku_genji_jyo_mori.txt",""
"68","mori","shinyaku_genji_jyo_mori.txt","底本：「源氏物語上巻日本文学全集1」河出書房新社"
"69","mori","shinyaku_genji_jyo_mori.txt","1965（昭和40）年6月3日初版発行"
"70","mori","shinyaku_genji_jyo_mori.txt","1971（昭和46）年7月15日24版発行"
"71","mori","shinyaku_genji_jyo_mori.txt","入力：めいこ"
"72","mori","shinyaku_genji_jyo_mori.txt","校正：もりみつじゅんじ"
"73","mori","shinyaku_genji_jyo_mori.txt","2005年2月19日作成"
"74","mori","shinyaku_genji_jyo_mori.txt","青空文庫作成ファイル："
"75","mori","shinyaku_genji_jyo_mori.txt","このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。"
"76","mori","shinyaku_genji_jyo_mori.txt","入力、校正、制作にあたったのは、ボランティアの皆さんです。"
"77","mori","shinyaku_genji_jyo_mori.txt",""
